x^2-551 2^2*19*29 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1526],[-1526]] 1 [1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-550,2,1]>,[[1,1],[-1,-1]]>,<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-551,0,1]>,[[0,-1],[0,1]]>,<29,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-551,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,19,29],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*19*29,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,19,29],[3,3,3],1,[1.000000000,0.8287469945,0.9172269671],<"1.2e2t19t29.2.1.2t1.1",1>,[2,1]>]
x^3-15*x-7 3^3*11*41 3 0 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 7 x-1 5 [[3178],[-209],[-2969]] 1 [3,1,2,1,1,3,2,1,2,2,3,3,1,2,3,3,2,2,2,3,2,3,3,3,2,2,3,3,3,2,2,3,3,2,2,3,2,1,2,3,3,2,3,3,3,2,3,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,3,3,3,2,2,1,3,2,2,2,3,1,2,2,3,1,2,2,3,2,2,3,3,2,1,2,2,1,2,2,2,3,1,3,2,2,3,2,3,1,3,1,2,3,2,3,2,2,2,3,2,2,3,2,3,2,2,2,2,1,2,2,3,3,2,1,3,2,2,2,2,2,3,2,3,3,3,1,2,3,1,3,3,2,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,6,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,2,3],[1,2,3],[1,2],[[[2,3,1],[1,3,2]],[[2,3,1]]],20,<[],[569270895,1707812685,-1423177383,1280859561,-142317717,-498112050,1]>,[[-295778348,100394262,-379955465,-473399475,-248669838,-545992586],[463360135,-289599858,-355242623,-61781362,513557370,351381370],[-167581787,189205596,-427063379,535180837,-264887532,194611216]]>,<11,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[187184000038712836940,214706764746798980480,1]>,[[214706764746798980466,0],[-214706764746798980473,-1],[7,1]]>,<41,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[86357723235135648695017479600634,39303656985486530968038796746478,1]>,[[39303656985486530968038796746422,0],[-39303656985486530968038796746450,-1],[28,1]]>*] [x,x^2-x-338,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,11,41],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*11*41,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,11,41],[4,4,4],1,[1.000000000,1.986719470,1.313630956],<"notfaithful",0>,[3,2]>,<2,3^3*11*41,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,11,41],[4,5,5],1,[1.000000000,0.7795895025,0.7991498758],<"2.3e3t11t41.6.1.3t2.1",1>,[3,2]>]
x^5-x^4+x^3+x^2+3*x-3 2^4*3*877 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 317 x-1 5 [[-1103482803912],[-1105598344296],[-1319517416611],[1253990097902],[-926469934439]] 3 [3,4,6,7,5,5,4,6,6,7,5,3,7,7,7,5,4,5,7,6,6,2,7,4,6,6,4,5,6,4,2,4,4,6,2,3,7,7,6,4,4,7,7,5,6,5,4,3,4,2,7,4,6,6,4,6,5,7,5,2,5,3,3,2,7,1,5,5,4,5,5,5,6,7,7,2,7,4,6,5,4,6,4,4,4,7,6,5,7,4,6,5,4,4,6,7,7,3,4,6,6,6,6,3,5,4,6,7,3,6,7,6,5,6,3,5,5,6,6,7,5,7,6,5,6,6,2,2,6,4,3,7,3,6,2,6,5,5,3,4,5,3,6,2,6,4,5,4,4,5,1,7,4,4,2,4,3,6,5,7,6,6,5,4,5,5,2,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,8,4,[[1,3,2,4,5],[1,5,4,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,3,2,4,5],[1,5,4,3,2],[1,4,5,3,2]],[1,5,4,3,2],[1,3,2,3,5],[2],[[[1,2,3,5,4],[1,3,2,4,5]]],20,<<[],[1,1,1]>,[[264968,-104622],[118148,164196],[356312,-217428],[-234312,-367570],[1,0]]>,[[[-402777,0],[0,0],[0,0],[0,0]],[[29950,-31169],[64692,-87500],[-53742,59090],[42014,-97558]],[[107746,-96217],[-64692,87500],[53742,-59090],[-42014,97558]],[[9163,-116023],[-118088,-79420],[105418,89876],[64420,-3970]],[[-6225,-18735],[118088,79420],[-105418,-89876],[-64420,3970]]]>,<3,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[1,2,0,1]>,[[425099013,0,0],[-1392923082,0,0],[1,0,0]]>,[[[91005012,796538025,-455211571],[0,0,0]],[[-1168487458,1272626459,343561277],[0,0,0]],[[-315440635,1417619917,111650294],[0,0,0]],[[1392923082,0,0],[-1,0,0]],[[0,0,0],[1,0,0]]]>,<877,2,2,[[1,2,3,5,4]],[[1,2,3,4,5],[1,2,3,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,2,3,5,4]]],20,<[],[529892574188686199010711673889887260082634928906264681472,-8722297828393068412181408223058116691756958055929132535731,1]>,[[-12620775555071681576859325336516348845111682990831055070362,0],[18658689988855612231359237008197469451234298989643504991163,0],[-14760212262176999066681319894739237297879574054741582457163,0],[8722297828393068412181408223058116691756958055929132536047,-1],[316,1]]>*] [x,x^2-2631,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,877],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2^2*3*877,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,877],[8,8,8],1,[1.000000000,1.030684987,1.011733766],<"notfaithful",0>,[5,5]>,<4,2^8*3^3*877^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[-1]]],[2,3,877],[8,9,9],1,[0,0,0],<"4.2e8t3e3t877e3.120.1.10t12.1",1>,[5,5]>,<4,2^4*3*877,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[2,3,877],[8,9,10],1,[1.000000000,0.8541814950,1.000996469],<"4.2e4t3t877.120.1.5t5.1",1>,[5,5]>,<5,2^6*3^2*877^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[2,3,877],[8,9,10],1,[0,0,0],<"5.2e6t3e2t877e2.120.1.10t13.1",1>,[5,5]>,<5,2^8*3^3*877^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[1],[1]],[[1],[-2],[1]]],[2,3,877],[8,9,10],1,[0,0,0],<"5.2e8t3e3t877e3.120.1.6t14.1",1>,[5,5]>,<6,2^10*3^3*877^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[2,3,877],[8,9,10],1,[0,0,0],<"6.2e10t3e3t877e3.120.1.20t35.1",1>,[5,5]>]
