x^2-555 2^2*3*5*37 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[-1572],[1572]] 1 [1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-554,2,1]>,[[1,1],[-1,-1]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-555,0,1]>,[[0,-1],[0,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-555,0,1]>,[[0,-1],[0,1]]>,<37,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-555,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,5,37],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*3*5*37,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,37],[3,3,3,3],1,[1.000000000,1.391677452,1.037162972],<"1.2e2_3_5_37.2t1.1",1>,[2,1]>]
x^4-x^3+6*x^2-31*x+16 -3^2*5^3*131 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 73 x-1 5 [[229668882],[788758239],[289743546],[764900927]] 3 [4,3,1,3,4,5,4,5,2,5,3,2,4,5,4,5,4,4,4,5,1,5,4,4,4,4,4,5,4,3,4,3,4,3,3,2,4,4,5,4,4,5,4,3,4,5,2,4,1,5,5,4,5,5,2,5,4,4,3,3,5,2,3,2,4,5,5,5,4,5,3,5,5,4,4,3,3,3,5,4,5,4,4,4,4,2,3,5,3,2,3,5,5,5,5,2,5,3,2,5,4,5,3,2,5,3,5,1,4,4,2,3,4,3,2,4,4,3,3,2,5,4,4,3,2,4,5,1,2,2,4,4,3,3,3,1,4,3,3,3,4,4,4,3,4,4,4,4,3,5,3,5,1,3,3,2,3,2,3,3,4,5,4,3,5,4,4,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<3,4,2,[[3,4,1,2],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[3,2,1,4]],[1,4,3,2],[1,2,3,3],[1],[[[3,4,1,2]]],20,<<[],[2,2,1]>,[[1639567677,0],[-451495080,0],[1,0]]>,[[[451495081,0],[387420488,0]],[[247353466,-108029727],[115408385,115408385]],[[1,0],[1,0]],[[463412920,108029727],[272012104,272012104]]]>,<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[180,225,90,15,1]>,[[24144954398409,9423231169349,-7482246147020,8345040333975],[-29986591141526,5228965255608,-1949365589370,2596051762808],[5841636743114,4421289903167,9431611736390,8132394231342],[4,1,0,0]]>,<131,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[2,127,1]>,[[270983016254431268389116336584462372668208,0],[180739480081991196930202582544724414158604,0],[1,0]]>,[[[-355630015875165448021030532859441986051639,-1071049096061193192980758086627634419750562],[0,0]],[[536369495957156644951233115404166400210074,1071049096061193192980758086627634419750562],[0,0]],[[-180739480081991196930202582544724414158519,0],[-1,0]],[[85,0],[1,0]]]>*] [x,x^2-x+164,x^3-x^2+5,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,131],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,5*131,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,131],[3,6,6],1,[1.000000000,1.473026191,1.181702968],<"notfaithful",0>,[4,5]>,<2,5*131,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[3,5,131],[3,6,6],1,[1.000000000,0.7133423456,0.7969668302],<"notfaithful",0>,[4,5]>,<3,3^2*5^2*131^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1]]],[3,5,131],[6,7,6],1,[0,0,0],<"3.3e2_5e2_131e2.6t8.1",1>,[4,5]>,<3,3^2*5^3*131,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1]],[[1]],[[1],[0],[-1]]],[3,5,131],[6,7,8],1,[1.000000000,1.581019878,1.152904354],<"3.3e2_5e3_131.4t5.1",1>,[4,5]>]
x^8-2*x^7+3*x^6-8*x^5+16*x^4-6*x^3+12*x^2-12*x+3 2^12*3^6*11^2 0 4 64 "C2wrC2^2" [[2,1,3,4,5,7,6,8],[1,2,8,5,4,6,7,3],[1,2,5,8,3,6,7,4],[6,2,3,8,5,1,7,4],[1,7,3,8,5,6,2,4],[3,8,1,7,6,5,4,2]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[6,7,5,8,3,1,2,4]>,<2,2,[6,7,3,4,5,1,2,8]>,<2,2,[2,1,8,5,4,7,6,3]>,<2,2,[2,1,4,3,8,7,6,5]>,<2,4,[6,2,3,8,5,1,7,4]>,<2,4,[2,1,3,4,5,7,6,8]>,<2,4,[3,8,1,7,6,5,4,2]>,<2,4,[3,4,1,2,6,5,8,7]>,<2,4,[2,1,5,8,3,7,6,4]>,<4,4,[5,8,1,2,6,3,4,7]>,<4,4,[5,4,1,7,6,3,8,2]>,<4,4,[7,1,4,5,8,2,6,3]>,<4,8,[7,1,3,8,5,2,6,4]>,<4,8,[8,3,1,7,6,4,5,2]>,<4,8,[4,3,1,2,6,8,5,7]>] [[1,1,1,1,1,1,1,1],[1,1,1,1,2,2],[1,1,2,4],[2,2,2,2],[4,4]] 709 x-1 7 [[-4966167978383261188],[-2955506858119024703],[13529436391620124384],[-8715780901784955144],[-36565151811596109437],[-19424806475219659256],[-16501681642547052074],[-14458620320498116449]] 8 [12,7,16,14,12,6,15,14,9,15,10,5,15,14,11,16,11,13,10,11,13,14,8,16,4,15,7,8,6,16,14,12,16,14,15,14,4,10,12,15,9,3,11,6,15,10,14,7,8,2,15,12,13,9,16,12,16,14,6,15,14,15,14,9,3,16,10,13,8,13,16,8,10,13,10,9,16,5,16,13,9,3,12,3,14,11,16,13,15,7,11,12,7,8,10,12,16,16,14,6,14,15,12,15,14,2,11,15,9,6,14,13,16,7,7,16,7,9,16,12,4,6,15,9,10,15,1,11,7,6,14,8,10,3,15,6,16,14,16,15,14,15,10,8,1,9,13,15,7,9,13,16,7,8,10,11,14,16,6,15,9,15,14,11,16,9,7,13] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2,2],"RES",<[1],x^2>,[<x^2+4*x+112,3>,<x^4+8*x^3-36*x^2-208*x-16652,6>,<x^4-24*x^3+292*x^2-1776*x+4288,7>]*],[*[1,1,2,4],"CYC",0,14*],[*[2,2,2,2],"RES",<[1],x^2>,[<x+18,2>,<x^2+4*x+4,4>,<x^2+4*x+48,5>,<x^4-4*x^3-180*x^2+368*x+5392,8>,<x^4-4*x^3-26*x^2+60*x-207,9>,<x^4+40*x^3+676*x^2+5520*x+17856,10>]*],[*[4,4],"RES",<[1],x^2>,[<x^4-4*x^3+294*x^2-580*x-13967,11>,<x^4-4*x^3+228*x^2-448*x+256,12>,<x^4+8*x^3+156*x^2+560*x-908,13>,<x^8-8*x^7+64*x^6-272*x^5+20224*x^4-79232*x^3+1681984*x^2-3206144*x+78794752,15>,<x^8-8*x^7+284*x^6-1592*x^5+35558*x^4-131768*x^3+2958556*x^2-5657736*x+119436705,16>]*]] [*<2,16,4,[[1,2,4,3,5,6,8,7],[8,7,2,1,4,3,6,5]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[6,5,8,7,2,1,4,3],[2,1,4,3,6,5,8,7],[6,5,7,8,2,1,3,4],[2,1,3,4,6,5,7,8],[8,7,2,1,4,3,6,5],[4,3,6,5,8,7,2,1],[7,8,2,1,3,4,6,5],[4,3,5,6,8,7,1,2]],[8,7,2,1,4,3,6,5],[1,2,4,4,10,7,12,12,15,15],[2,4],[[[2,1,4,3,6,5,8,7],[1,2,4,3,5,6,8,7]],[[2,1,4,3,6,5,8,7]]],20,<<[],[1,1,0,0,1]>,[[360578,128574,36790,141906],[-419664,-482228,-319032,266180],[-101744,283960,372970,-127414],[-367424,316304,-299224,181860],[1,0,0,0]]>,[[[-181907,-10217,-159518,-201563],[32354,256414,146502,67392],[21011,223757,105005,221305],[257706,226757,131202,90915]],[[-183415,-222145,-223866,-110771],[-32354,-256414,-146502,-67392],[241133,38387,157139,40839],[4438,35387,130942,171229]],[[124784,-233331,180563,-166343],[261128,-116466,75878,-75578],[63206,36524,125156,83537],[223503,123212,171542,102212]],[[251108,29641,166795,-31519],[-261128,116466,-75878,75578],[198938,225620,136988,178607],[38641,138932,90602,159932]],[[258829,196460,-256905,-194471],[247546,8130,197192,207900],[142414,41798,163877,250325],[239378,33348,180338,56549]],[[242117,-2452,74275,-11415],[-247546,-8130,-197192,-207900],[119730,220346,98267,11819],[22766,228796,81806,205595]],[[-130433,-135164,-79752,-152975],[-176614,9252,215238,22156],[232309,233228,18790,6330],[201243,88067,154583,7067]],[[143207,-147080,-225880,-179519],[176614,-9252,-215238,-22156],[29835,28916,243354,255814],[60901,174077,107561,255077]]]>,<3,8,4,[[2,3,4,1,8,7,5,6],[1,4,3,2,6,5,7,8]],[[1,2,3,4,5,6,7,8],[3,4,1,2,6,5,8,7],[1,4,3,2,6,5,7,8],[2,1,4,3,7,8,5,6],[2,3,4,1,8,7,5,6]],[1,4,3,2,6,5,7,8],[1,5,7,9,16],[1],[[[2,3,4,1,8,7,5,6]]],20,<<[],[2,2,1]>,[[1728778872,0],[-155727150,0],[804405213,0],[600241671,0],[1,0]]>,[[[-1452456486,0],[-324674764,0],[-70623694,0],[297114359,0]],[[1422709884,-746789724],[313903511,-429564604],[-516702513,-552014360],[-429946018,299741895]],[[0,0],[1,0],[0,0],[0,0]],[[-570495069,746789724],[10771252,429564604],[-574935260,552014360],[132831659,-299741895]],[[1558121,244070775],[264146544,78337689],[287404730,155142987],[108989859,185156392]],[[-486583429,-244070775],[107471166,309082800],[364539245,232277502],[126097564,202264097]],[[464204030,0],[286707396,0],[333907279,0],[348552045,0]],[[-541198516,0],[116515872,0],[176410213,0],[191201510,0]]]>,<11,8,2,[[1,2,3,4,6,5,8,7],[2,3,4,1,7,8,6,5]],[[1,2,3,4,5,6,7,8],[3,4,1,2,6,5,8,7],[1,2,3,4,6,5,8,7],[3,4,1,2,5,6,7,8],[2,3,4,1,7,8,6,5],[4,1,2,3,8,7,5,6],[2,3,4,1,8,7,5,6],[4,1,2,3,7,8,6,5]],[2,3,4,1,7,8,6,5],[1,2,6,6,12,12,11,11],[1],[[[1,2,3,4,6,5,8,7]]],20,<<[],[2,10,8,0,1]>,[[152400798050363801268,-293453534472373912087,-75493540119680650055,-154952902726934716195],[321121518047393425978,174912216048332578695,300326320758699369970,244821908711281496463],[1,0,0,0]]>,[[[96472067336142430977,-126366355031274119334,-75482591743972611994,-102164800869874602256],[0,0,0,0]],[[275187173767170963072,216783172072024205570,132600726376590756950,-323863888663216596587],[0,0,0,0]],[[220547860876580631032,-128187132088415108902,-5393024901393883936,-167852463709362164493],[0,0,0,0]],[[29846691769115503205,37770315047665022666,-51725109731224261020,-78868841690106645865],[0,0,0,0]],[[-321121518047393425970,-174912216048332578691,-300326320758699369969,-244821908711281496455],[-1,0,0,0]],[[8,4,1,8],[1,0,0,0]],[[-163414431863159522594,-79156314957024241028,193636329352873130921,49967380289151303322],[-2558088708540655998,11317015692941343732,-11438195496576448615,-18618176980234126734]],[[-137517843838456579728,254068531005356819715,106689991405826239047,194854528422130193125],[2558088708540655998,-11317015692941343732,11438195496576448615,18618176980234126734]]]>,<13,2,1,[[1,3,2,4,6,5,7,8]],[[1,2,3,4,5,6,7,8],[1,3,2,4,6,5,7,8]],[1,3,2,4,6,5,7,8],[1,6],[1],[[]],20,<[],[2,12,1]>,[[8915106894724996669000,0],[4251625502066861179410,-8344987124927738888184],[9366652126795730643613,8344987124927738888184],[3392831691089634213283,0],[8464607987416506782402,4238457196031278106750],[-4386950815197231620996,-4238457196031278106750],[-122756152834854978106,0],[-642711426552720675064,0]]>*] [x,x^2+1,x^2-x+3,x^2-11,x^2-x-8,x^2+33,x^2-x+1,x^2-3,x^4-x^3-6*x^2-x+1,x^4-66*x^2+1452,x^4+2*x^2+12,x^4-2*x^2+12,x^4-x^3-4*x+16,x^4-6*x^2+12,0,0] [1,2,2,2,2,2,2,2,5,5,5,5,5,5,15,16] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,11,13,37,397],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,29]>,<1,2^2,1,[[1],[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1],[-1],[1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,11,13,37,397],[17,7,7,1,1,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[8,29]>,<1,11,1,[[1],[1],[1],[1],[1],[-1],[1],[-1],[1],[1],[1],[-1],[-1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,11,13,37,397],[6,1,17,6,1,1],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[8,29]>,<1,2^2*11,1,[[1],[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[-1],[1],[-1],[1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,11,13,37,397],[17,6,17,6,1,1],1,[1.000000000,0.9024906449,0.9468447206],<"notfaithful",0>,[8,29]>,<1,3*11,1,[[1],[1],[1],[1],[1],[-1],[1],[1],[-1],[1],[-1],[1],[-1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,13,37,397],[1,17,17,6,1,1],1,[1.000000000,1.332797188,1.249510981],<"notfaithful",0>,[8,29]>,<1,2^2*3*11,1,[[1],[1],[1],[1],[1],[-1],[-1],[-1],[1],[-1],[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,13,37,397],[17,17,17,6,1,1],1,[1.000000000,1.093762170,0.9854869242],<"notfaithful",0>,[8,29]>,<1,3,1,[[1],[1],[1],[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,11,13,37,397],[8,17,8,1,1,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[8,29]>,<1,2^2*3,1,[[1],[1],[1],[1],[1],[1],[-1],[1],[1],[-1],[1],[1],[1],[-1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,11,13,37,397],[17,17,1,1,1,1],1,[1.000000000,0.7603459963,0.9497031263],<"notfaithful",0>,[8,29]>,<2,2^2*3^2*11,1,[[2],[2],[-2],[2],[-2],[0],[0],[2],[0],[0],[0],[-2],[0],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]]],[2,3,11,13,37,397],[17,18,17,6,3,3],1,[1.000000000,0.5655463963,0.7911096569],<"notfaithful",0>,[8,29]>,<2,2^6*3^2*11^2,1,[[2],[2],[2],[-2],[-2],[-2],[0],[0],[0],[0],[0],[0],[2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[2,3,11,13,37,397],[17,17,17,4,4,4],1,[1.000000000,0.8546816134,0.9862589332],<"notfaithful",0>,[8,29]>,<2,2^6*3*11,1,[[2],[2],[-2],[-2],[2],[0],[0],[0],[2],[0],[-2],[0],[0],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[-1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,11,13,37,397],[17,18,19,6,1,1],1,[1.000000000,1.428232331,1.120590017],<"notfaithful",0>,[8,29]>,<2,2^6*3*11,1,[[2],[2],[-2],[-2],[2],[0],[0],[0],[-2],[0],[2],[0],[0],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[-1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,11,13,37,397],[17,18,19,6,1,1],1,[1.000000000,0.8495023872,0.9078122413],<"notfaithful",0>,[8,29]>,<2,2^2*3^2*11,1,[[2],[2],[-2],[2],[-2],[0],[0],[-2],[0],[0],[0],[2],[0],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,3,11,13,37,397],[17,18,17,6,3,3],1,[1.000000000,1.983865129,1.339785383],<"notfaithful",0>,[8,29]>,<2,2^6*3^2,1,[[2],[2],[2],[-2],[-2],[2],[0],[0],[0],[0],[0],[0],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[2,3,11,13,37,397],[17,17,7,1,4,4],1,[1.000000000,1.042826753,1.008413822],<"notfaithful",0>,[8,29]>,<4,2^6*3^3*11^2,1,[[4],[-4],[0],[0],[0],[0],[2],[0],[0],[-2],[0],[0],[0],[0],[0],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[4],[6],[4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[2],[0],[1]],[[1],[0],[2],[0],[1]],[[1],[0],[2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,3,11,13,37,397],[17,18,17,3,3,3],1,[1.000000000,1.088230542,1.056170191],<"4.2e6_3e3_11e2.8t29.2",1>,[8,29]>,<4,2^10*3^3*11^2,1,[[4],[-4],[0],[0],[0],[0],[-2],[0],[0],[2],[0],[0],[0],[0],[0],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[4],[6],[4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[2],[0],[1]],[[1],[0],[2],[0],[1]],[[1],[0],[2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1]],[[1],[1]],[[1],[0],[1]]],[2,3,11,13,37,397],[17,18,19,3,3,3],1,[0,0,0],<"4.2e10_3e3_11e2.8t29.4",1>,[8,29]>]
