x^2-45439 2^2*45439 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[22],[-22]] 1 [1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-45438,2,1]>,[[1,1],[-1,-1]]>,<45439,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-45439,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,45439],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*45439,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,45439],[3,3],1,[1.000000000,2.515568426,1.212609808],<"1.2e2_45439.2t1.1",1>,[2,1]>]
x^6-3*x^5-7*x^4+19*x^3+52*x^2-62*x-2 2^4*3^3*43^5 2 2 12 "D12" [[6,5,4,3,2,1],[2,1,6,5,4,3],[1,4,5,2,3,6]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,3,2,5,4,1]>,<2,3,[6,5,4,3,2,1]>,<2,3,[1,4,5,2,3,6]>,<3,2,[3,4,5,6,1,2]>,<6,2,[4,1,6,3,2,5]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 29 x^2+24*x+2 7 [[-6601491175,0],[198430195,-1758139],[-198430194,1758139],[240625531,1758139],[-240625530,-1758139],[6601491176,0]] 4 [4,4,4,6,3,5,3,2,3,4,5,6,3,1,3,3,3,2,5,4,6,1,3,4,1,3,1,3,1,4,5,4,4,1,4,6,6,6,3,3,4,5,4,5,3,2,6,6,4,1,4,3,6,3,4,4,3,5,6,3,1,3,5,3,2,3,2,5,4,6,3,3,5,6,5,4,4,1,3,6,4,2,3,2,5,3,4,2,3,6,4,3,5,4,6,4,3,4,6,1,1,3,3,3,6,6,4,4,3,6,2,5,3,5,6,4,1,4,4,3,5,6,4,3,6,3,1,3,6,6,6,4,6,2,4,5,4,5,3,3,6,3,5,3,6,4,1,3,6,4,5,3,5,4,5,4,5,4,2,3,3,4,1,3,3,4,6,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+10,2>,<x^3+30*x^2+300*x+2376,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[2,3,1,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[2,3,1,5,6,4]],[1,3,2,4,6,5],[1,4,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[-64550,0],[64556,0],[-64546,0],[1,0]]>,[[[0,0],[1,0],[0,0]],[[-328010,328010],[0,1],[0,0]],[[392556,-328010],[524287,524287],[0,0]],[[1,0],[524287,0],[0,0]],[[328011,-328010],[0,524287],[0,0]],[[-392555,328010],[1,1],[0,0]]]>,<3,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[51032220,0],[3,0],[1,0]]>,[[[-4,0],[387420486,0]],[[5,0],[3,0]],[[-297026856,1261634149],[123154130,0]],[[-666489246,1261634149],[-123154130,0]],[[666489247,-1261634149],[123154130,0]],[[297026857,-1261634149],[-123154130,0]]]>,<5,2,1,[[1,2,5,6,3,4]],[[1,2,3,4,5,6],[1,2,5,6,3,4]],[1,2,5,6,3,4],[1,4],[1],[[]],20,<[],[2,4,1]>,[[31717196783519,0],[-31717196783518,0],[7747012953114,2863895008858],[3708567082319,2863895008858],[-3708567082318,-2863895008858],[-7747012953113,-2863895008858]]>,<43,6,6,[[3,6,2,5,1,4]],[[1,2,3,4,5,6],[6,5,4,3,2,1],[2,4,6,1,3,5],[4,1,5,2,6,3],[3,6,2,5,1,4],[5,3,1,6,4,2]],[1,2,3,4,5,6],[1,2,5,5,6,6],[1],[[[3,6,2,5,1,4]]],20,<[],[96505330,27139622,3175378,197843,6923,129,1]>,[[-21,-1,0,0,0,0],[43409851988894624263257362593204,4778877473527940370988707687847,3822949142372347463161304832532,2931308961135236397195052078639,4132965119672107304646005330511,1503522321886029285775035146755],[199095241248027262410276253688718,434168936063773725025389953818,-1245877484669180290462566007739,-1413399576328930248768265795109,512374671785301766343240435223,4399994680195473716417247062997],[-199095241248027262410276253688717,-434168936063773725025389953818,1245877484669180290462566007739,1413399576328930248768265795109,-512374671785301766343240435223,-4399994680195473716417247062997],[-43409851988894624263257362593203,-4778877473527940370988707687847,-3822949142372347463161304832532,-2931308961135236397195052078639,-4132965119672107304646005330511,-1503522321886029285775035146755],[22,1,0,0,0,0]]>*] [x,x^2-x+1,x^2-x-32,x^2-x+11,x^3-x^2+29*x+121,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,43],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,43],[3,7,3,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,3*43,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,43],[1,7,1,7],1,[1.000000000,1.835836955,1.347240642],<"notfaithful",0>,[6,3]>,<1,43,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,43],[2,2,2,7],1,[1.000000000,0.4790883882,0.6905410722],<"notfaithful",0>,[6,3]>,<2,2^2*3*43^2,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,5,43],[7,8,3,7],1,[1.000000000,1.389382321,1.102515567],<"notfaithful",0>,[6,3]>,<2,2^2*3*43^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,3,5,43],[7,8,3,7],1,[1.000000000,0.8019226844,0.9095495467],<"2.2e2_3_43e2.6t3.2",1>,[6,3]>]
x^8+52*x^6+290*x^4-724*x^2+1 2^22*3^4*97^4 4 2 32 "C2^3:C4" [[6,4,1,7,2,8,5,3],[4,3,2,1,8,7,6,5],[5,3,2,8,1,7,6,4],[1,7,6,4,5,3,2,8],[6,8,4,2,7,5,1,3]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<2,2,[5,3,2,8,1,7,6,4]>,<2,2,[4,3,2,1,8,7,6,5]>,<2,2,[1,7,6,4,5,3,2,8]>,<2,4,[2,1,4,3,6,5,8,7]>,<4,4,[6,8,4,2,7,5,1,3]>,<4,4,[7,4,8,3,6,1,5,2]>,<4,4,[3,5,8,2,7,1,4,6]>,<4,4,[8,3,7,4,5,2,6,1]>,<4,4,[8,6,2,4,5,7,3,1]>] [[1,1,1,1,1,1,1,1],[1,1,1,1,2,2],[1,1,2,4],[2,2,2,2],[4,4]] 167 x-1 11 [[-41469937779443532994312],[1391739816108488571623556],[866494306031091515757261],[1313619173062779579616104],[-1313619173062779579616104],[-866494306031091515757261],[-1391739816108488571623556],[41469937779443532994312]] 5 [1,8,11,9,7,11,9,11,6,10,2,10,6,8,5,7,11,7,11,6,5,4,10,4,6,7,3,11,7,5,6,10,6,10,11,5,11,7,1,10,10,10,3,4,7,9,11,6,8,8,6,9,1,11,9,6,8,6,10,6,8,7,7,6,3,10,10,6,11,11,3,6,6,10,8,9,7,7,9,9,8,8,3,6,9,11,3,9,8,1,8,3,5,7,11,4,8,4,10,11,7,8,10,6,8,6,11,3,6,9,4,8,2,10,5,9,7,2,10,10,8,4,7,7,7,8,10,9,5,7,11,4,4,10,6,6,7,7,10,1,8,11,5,11,7,6,10,4,10,9,7,5,11,6,10,9,9,9,3,10,10,6,5,7,9,6,6,8] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2,2],"CYC",0,5*],[*[1,1,2,4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x^4-12079104*x^2+21974313074688,10>,<x^4-11805696*x^2+19263275532288,11>]*],[*[2,2,2,2],"RES",<[1],x^2-3*x+1>,[<x+312,2>,<x^2-55872,3>,<x^2-56448,4>,<x^4+13824*x^2+23887872,6>]*],[*[4,4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x^4+597888*x^2+31086215168,7>,<x^4+324480*x^2+14974189568,8>,<x^4+744960*x^2+2774827008,9>]*]] [*<2,4,4,[[5,6,7,8,2,1,4,3]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[5,6,7,8,2,1,4,3],[6,5,8,7,1,2,3,4]],[1,2,3,4,5,6,7,8],[1,3,7,8],[3,5],[[[5,6,7,8,2,1,4,3]],[[2,1,4,3,6,5,8,7]]],20,<[],[178770,137824,454308,495256,1]>,[[1,1,0,0],[5341,-6385,2148,3568],[-5341,6385,-2148,4624],[-1,-1,0,0],[1413,-2423,-6966,3289],[5897,-7577,4818,1335],[-5897,7577,-4818,6857],[-1413,2423,6966,4903]]>,<3,8,2,[[2,1,4,3,6,5,8,7],[3,4,5,6,7,8,1,2]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[5,6,7,8,1,2,3,4],[6,5,8,7,2,1,4,3],[3,4,5,6,7,8,1,2],[7,8,1,2,3,4,5,6],[4,3,6,5,8,7,2,1],[8,7,2,1,4,3,6,5]],[3,4,5,6,7,8,1,2],[1,3,3,2,8,7,7,8],[1],[[[2,1,4,3,6,5,8,7]]],20,<<[],[2,0,0,2,1]>,[[779858409,862598664,-734187084,-245992137],[1306027911,-450264537,662496564,-1518259926],[1,0,0,0]]>,[[[-1306027909,450264539,-662496564,1518259928],[-1,0,0,0]],[[2,2,0,2],[1,0,0,0]],[[-12364207,-765416669,-910415947,-882354290],[172918480,0,6737644,6737644]],[[1344771107,-1069881464,-1247734087,56611156],[-172918480,0,-6737644,-6737644]],[[-2,-2,0,-2],[-1,0,0,0]],[[1306027909,-450264539,662496564,-1518259928],[1,0,0,0]],[[-1344771107,1069881464,1247734087,-56611156],[172918480,0,6737644,6737644]],[[12364207,765416669,910415947,882354290],[-172918480,0,-6737644,-6737644]]]>,<31,2,1,[[3,4,1,2,7,8,5,6]],[[1,2,3,4,5,6,7,8],[3,4,1,2,7,8,5,6]],[3,4,1,2,7,8,5,6],[1,2],[1],[[]],20,<[],[3,29,1]>,[[-264187021165860660609984009079,-226706510403567650329146601123],[-31917326651196659325239881104,-326513864026536043695050902918],[264187021165860660609984009079,226706510403567650329146601123],[31917326651196659325239881104,326513864026536043695050902918],[-5816951713232605343649082574,-401169083671214161630971212],[-4450277498985374309808356112,-1054179904066936028080378955],[5816951713232605343649082574,401169083671214161630971212],[4450277498985374309808356112,1054179904066936028080378955]]>,<97,4,2,[[2,1,4,3,6,5,8,7],[7,8,5,6,3,4,1,2]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[7,8,5,6,3,4,1,2],[8,7,6,5,4,3,2,1]],[7,8,5,6,3,4,1,2],[1,6,6,4],[1],[[[2,1,4,3,6,5,8,7]]],20,<<[],[5,96,1]>,[[-207121384758452118532597213771238254977,2696748605297796015716590724427833934227],[229876112934569600330747850629324306268,2611574552689920213275238693423213593454],[1,0]]>,[[[2217981613740930971996945189418113030923,-2007868808425104701559157259383042381063],[9693318059546822636360719832882374206,-16242607502775742402329317291365588086]],[[-2553864812734963419101184651734937972149,-603705744264815511716081434040171212331],[-9693318059546822636360719832882374206,16242607502775742402329317291365588086]],[[-229876112934569600330747850629324306210,-2611574552689920213275238693423213593424],[-1,0]],[[58,30],[1,0]],[[2553864812734963419101184651734937972149,603705744264815511716081434040171212331],[9693318059546822636360719832882374206,-16242607502775742402329317291365588086]],[[-2217981613740930971996945189418113030923,2007868808425104701559157259383042381063],[-9693318059546822636360719832882374206,16242607502775742402329317291365588086]],[[-58,-30],[-1,0]],[[229876112934569600330747850629324306210,2611574552689920213275238693423213593424],[1,0]]]>*] [x,x^2-194,x^2-x-24,x^2-2,x^4+1164*x^2+169362,x^4+12*x^2+18,x^4+12*x^2+18,x^4+1164*x^2+169362,x^4-84*x^2+18,x^4+13*x^2+18,0] [1,2,2,2,2,4,4,4,5,5,11] <[1],[2],[3],[4],[5,8],[6,7],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,29,31,97],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,19]>,<1,2^3*97,1,[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,29,31,97],[12,6,1,1,12],1,[1.000000000,0.8566878013,0.9167921204],<"notfaithful",0>,[8,19]>,<1,97,1,[[1],[1],[1],[1],[1],[-1],[1],[1],[-1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,29,31,97],[1,1,6,1,12],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[8,19]>,<1,2^3,1,[[1],[1],[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,29,31,97],[12,7,7,1,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[8,19]>,<1,2^4*3*97,4,[[1,0],[1,0],[-1,0],[1,0],[-1,0],[-1,0],[0,1],[0,-1],[1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,29,31,97],[12,12,7,1,12],0,[-0.3826834324+0.9238795325*i,1.062152958-0.1580529972*i,1.020355171-0.03934848879*i],<"notfaithful",0>,[8,19]>,<1,2^4*3,4,[[1,0],[1,0],[-1,0],[1,0],[-1,0],[1,0],[0,-1],[0,1],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,29,31,97],[12,12,8,1,1],0,[-0.3826834324-0.9238795325*i,0.8378660543-0.3470554832*i,0.9776434191-0.05444629029*i],<"notfaithful",0>,[8,19]>,<1,2^4*3,4,[[1,0],[1,0],[-1,0],[1,0],[-1,0],[1,0],[0,1],[0,-1],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,29,31,97],[12,12,8,1,1],0,[-0.3826834324+0.9238795325*i,0.8378660543+0.3470554832*i,0.9776434191+0.05444629029*i],<"notfaithful",0>,[8,19]>,<1,2^4*3*97,4,[[1,0],[1,0],[-1,0],[1,0],[-1,0],[-1,0],[0,-1],[0,1],[1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,29,31,97],[12,12,7,1,12],0,[-0.3826834324-0.9238795325*i,1.062152958+0.1580529972*i,1.020355171+0.03934848879*i],<"notfaithful",0>,[8,19]>,<2,2^8*3^2*97,1,[[2],[2],[-2],[-2],[2],[0],[0],[0],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1]],[[1],[1]]],[2,3,29,31,97],[12,12,6,1,13],1,[1.000000000,1.141557847,1.004699734],<"notfaithful",0>,[8,19]>,<2,2^3*97,1,[[2],[2],[2],[-2],[-2],[0],[0],[0],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,3,29,31,97],[12,6,10,1,13],1,[1.000000000,2.125788901,1.348753088],<"notfaithful",0>,[8,19]>,<4,2^11*3^2*97^2,1,[[4],[-4],[0],[0],[0],[0],[0],[0],[0],[0],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[4],[6],[4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[0],[2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[-1]],[[1],[0],[1]],[[1],[0],[-1]]],[2,3,29,31,97],[12,13,7,2,14],1,[0,0,0],<"4.2e11_3e2_97e2.8t21.1",1>,[8,19]>]
