x^2-14619 2^2*3*11*443 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-713],[713]] 1 [1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-14618,2,1]>,[[1,1],[-1,-1]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-14619,0,1]>,[[0,-1],[0,1]]>,<11,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-14619,0,1]>,[[0,-1],[0,1]]>,<443,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-14619,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,11,443],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*3*11*443,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,443],[3,3,3,3],1,[1.000000000,1.043571951,1.014896045],<"1.2e2_3_11_443.2t1.1",1>,[2,1]>]
x^4+7*x^2-14*x+42 2^4*7^3*47 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 6 [[-3220034],[-14628124],[8280995],[9567163]] 2 [1,4,3,4,5,3,5,1,5,4,1,2,3,5,4,2,4,5,5,3,3,3,4,5,5,5,4,5,4,4,5,4,4,2,1,5,5,5,1,5,5,3,3,4,1,1,5,1,2,3,4,3,5,4,3,3,5,4,2,4,4,3,4,2,3,4,3,2,3,3,5,5,2,4,3,4,4,5,1,3,1,4,3,3,4,5,4,2,3,5,2,4,3,3,5,1,3,5,4,2,5,4,2,4,3,3,1,3,5,5,2,1,2,4,5,4,4,4,2,3,5,4,3,3,1,4,1,4,1,5,3,5,5,4,5,5,5,2,3,4,4,4,3,3,3,2,5,3,2,3,4,3,3,2,3,3,5,5,3,5,3,4,3,2,2,1,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+98,2>,<x^2-14*x-2912,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[2],[[[2,1,4,3]]],20,<[],[107498,-319586,1]>,[[0,1],[-204702,-1],[31607,23512],[-23513,-23512]]>,<7,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[3,6,1]>,[[42,0],[-14,0],[7,0],[0,0],[1,0]]>,[[[19948066574403002,0],[-1,0],[1424861898171643,0],[-1424861898171643,0]],[[-17950795441514677,-2658920718104392],[4565191160887598,5321362115420247],[5560306048120297,-3608535260284532],[3563034915231973,-949614542180140]],[[0,0],[1,0],[0,0],[0,0]],[[-1997271132888325,2658920718104392],[-4565191160887598,-5321362115420247],[4413727239081203,3608535260284532],[-2138173017060330,949614542180140]]]>,<47,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[5,45,1]>,[[528266137107323469646111471695214,0],[-1157730176677738723111041232942343,0],[1,0]]>,[[[-63965769925127195536774452883692,-161560166645767179918105593485604],[0,0]],[[-1093764406752611527574266780058715,161560166645767179918105593485604],[0,0]],[[1157730176677738723111041232942375,0],[-1,0]],[[32,0],[1,0]]]>*] [x,x^2-7,x^2-x-82,x^2-47,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,47],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,47],[6,6,1],1,[1.000000000,1.046454885,1.065817093],<"notfaithful",0>,[4,3]>,<1,7*47,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,47],[1,6,6],1,[1.000000000,1.695219767,1.243723210],<"notfaithful",0>,[4,3]>,<1,2^2*47,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,47],[6,3,6],1,[1.000000000,0.6657627802,0.8576517731],<"notfaithful",0>,[4,3]>,<2,2^2*7^2*47,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]],[[1],[1]]],[2,7,47],[6,7,8],1,[1.000000000,2.467936735,1.358982510],<"2.2e2_7e2_47.4t3.1",1>,[4,3]>]
x^4-2*x^3-9*x^2+10*x+18 2^4*7^3*47 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 139 x-1 5 [[-8130073259],[-12165773536],[12165773537],[8130073260]] 1 [1,4,3,4,5,3,5,2,5,4,2,2,3,5,1,2,4,5,5,3,3,3,4,5,5,5,4,5,4,4,5,4,4,1,1,5,5,5,2,5,5,3,3,4,1,2,5,2,1,3,4,3,5,4,3,3,5,4,2,4,4,3,4,1,3,4,3,2,3,3,5,5,1,4,3,4,4,5,1,3,2,4,3,3,4,5,4,2,3,5,1,4,3,3,5,2,3,5,4,2,5,4,1,4,3,3,2,3,5,5,1,1,2,4,5,4,4,4,2,3,5,4,3,3,2,4,1,4,2,5,3,5,5,4,5,5,5,1,3,4,4,4,3,3,3,1,5,3,1,3,4,3,3,1,3,3,5,5,3,5,3,4,3,1,2,2,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+10,2>,<x^2-22*x-208,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[2],[[[2,1,4,3]]],20,<[],[360618,42042,1]>,[[0,1],[-42042,-1],[1,-1],[42043,1]]>,<7,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[3,6,1]>,[[42,0],[98,0],[63,0],[14,0],[1,0]]>,[[[-3,0],[-1,0],[0,0],[0,0]],[[-8063018794994019,10611038117937327],[2152330449619668,717443483206556],[-4603918632213691,2264992184386484],[2275554222020873,4558149802464672]],[[4,0],[1,0],[0,0],[0,0]],[[8063018794994020,-10611038117937327],[-2152330449619668,-717443483206556],[4603918632213691,-2264992184386484],[-2275554222020873,-4558149802464672]]]>,<47,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[1157730176677738723111041232942954,47,1]>,[[1035211504644777422558590337406942,0],[-1035211504644777422558590337406941,0],[-23,-1],[24,1]]>*] [x,x^2-7,x^2-x-82,x^2-47,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,47],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,47],[6,6,1],1,[1.000000000,1.046454885,1.065817093],<"notfaithful",0>,[4,3]>,<1,7*47,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,47],[1,6,6],1,[1.000000000,1.695219767,1.243723210],<"notfaithful",0>,[4,3]>,<1,2^2*47,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,47],[6,3,6],1,[1.000000000,0.6657627802,0.8576517731],<"notfaithful",0>,[4,3]>,<2,2^2*7^2*47,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,7,47],[6,7,6],1,[1.000000000,1.858117480,1.339683387],<"2.2e2_7e2_47.4t3.2",1>,[4,3]>]
x^4-2*x^3-32*x^2+33*x+203 3*23*277^2 4 0 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 83 x-1 5 [[495485024],[-666096979],[666096980],[-495485023]] 1 [5,4,3,4,3,2,3,4,4,4,3,5,4,5,4,3,4,5,4,4,3,4,1,2,5,5,5,3,5,1,3,4,3,3,3,3,4,3,5,5,5,5,1,2,5,5,1,3,3,4,5,5,4,3,5,3,5,3,1,1,5,1,2,4,4,4,3,5,4,3,4,3,4,5,4,1,1,1,3,3,3,4,1,4,3,5,5,5,5,2,1,2,1,4,2,3,5,3,5,2,1,2,2,3,5,1,5,4,5,1,3,4,1,5,5,2,4,5,5,3,5,3,2,5,3,2,4,4,5,5,2,2,5,4,4,4,3,5,1,4,3,4,3,1,3,3,2,5,2,5,3,3,1,5,4,3,4,5,4,3,4,2,2,3,2,3,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+33,2>,<x^2-68*x-2225,3>]*],[*[4],"CYC",0,5*]] [*<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[-107591619,0],[3,0],[1,0]]>,[[[-236571537,1506820663],[0,0]],[[236571538,-1506820663],[0,0]],[[-1,0],[-1,0]],[[2,0],[1,0]]]>,<7,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[3,6,1]>,[[13912890016776702,0],[-13912890016776701,0],[-3029817829932855,889876587584572],[3029817829932856,-889876587584572]]>,<23,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[5,21,1]>,[[316930132330251249645761737,0],[23,0],[1,0]]>,[[[-513722876917356962034404549,-375812813293955204560209043],[0,0]],[[513722876917356962034404550,375812813293955204560209043],[0,0]],[[-11,0],[-1,0]],[[12,0],[1,0]]]>,<277,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[1380429343080094716212493419666343353310629919035,-3062319825370395088799256477204009543714184297768,1]>,[[3062319825370395088799256477204009543714184297952,-1],[184,1],[-183,-1],[-3062319825370395088799256477204009543714184297951,1]]>*] [x,x^2-x-69,x^2-x-17,x^2-x-4778,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,23,277],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,277,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,7,23,277],[1,1,1,6],1,[1.000000000,0.9455151786,0.8820177149],<"notfaithful",0>,[4,3]>,<1,3*23,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,7,23,277],[6,4,6,1],1,[1.000000000,0.7746280617,0.8265466055],<"notfaithful",0>,[4,3]>,<1,3*23*277,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,7,23,277],[6,3,6,6],1,[1.000000000,1.216668208,1.242455742],<"notfaithful",0>,[4,3]>,<2,3*23*277,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[3,7,23,277],[6,3,6,7],1,[1.000000000,0.5552128688,0.8375572998],<"2.3_23_277.4t3.2",1>,[4,3]>]
x^4-2*x^3+58*x^2-57*x+743 3*23*277^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 89 x-1 5 [[-549710181],[-967257654],[967257655],[549710182]] 2 [5,4,3,4,3,2,3,4,1,4,3,5,4,5,4,3,4,5,4,4,3,4,2,1,5,5,5,3,5,2,3,4,3,3,3,3,4,3,5,5,5,5,2,2,5,5,1,3,3,4,5,5,4,3,5,3,5,3,1,2,5,2,2,4,4,4,3,5,4,3,4,3,4,5,4,2,2,1,3,3,3,4,2,4,3,5,5,5,5,2,2,1,1,4,2,3,5,3,5,2,1,1,1,3,5,1,5,4,5,1,3,4,2,5,5,1,4,5,5,3,5,3,1,5,3,1,4,4,5,5,2,1,5,4,4,4,3,5,2,4,3,4,3,2,3,3,2,5,2,5,3,3,1,5,4,3,4,5,4,3,4,1,2,3,1,3,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-57,2>,<x^2+112*x-8525,3>]*],[*[4],"CYC",0,5*]] [*<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[-107591574,0],[3,0],[1,0]]>,[[[544674255,-1198717946],[0,0]],[[-544674254,1198717946],[0,0]],[[-1,0],[-1,0]],[[2,0],[1,0]]]>,<13,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,12,1]>,[[-2050813675127199235379,-1925549260427933159130],[2050813675127199235380,1925549260427933159130],[150558595307462415379,-96733591646710106660],[-150558595307462415378,96733591646710106660]]>,<23,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-316930132330251249645761461,23,1]>,[[-355356615246638020063030936,0],[355356615246638020063030937,0],[-11,-1],[12,1]]>,<277,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[398058696714828381921040098708865060827355107014,892925289493877241571755874901188356945684843172,1]>,[[-892925289493877241571755874901188356945684842905,-1],[267,1],[-266,-1],[892925289493877241571755874901188356945684842906,1]]>*] [x,x^2-x-69,x^2-x-17,x^2-x-4778,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,13,23,277],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,277,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,13,23,277],[1,1,1,6],1,[1.000000000,0.9455151786,0.8820177149],<"notfaithful",0>,[4,3]>,<1,3*23,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,13,23,277],[6,1,6,1],1,[1.000000000,0.7746280617,0.8265466055],<"notfaithful",0>,[4,3]>,<1,3*23*277,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,13,23,277],[6,1,6,6],1,[1.000000000,1.216668208,1.242455742],<"notfaithful",0>,[4,3]>,<2,3*23*277,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[3,13,23,277],[6,2,7,7],1,[1.000000000,0.5711172825,0.8402204754],<"2.3_23_277.4t3.4",1>,[4,3]>]
x^6+18*x^4+81*x^2-200 2^9*3^6*7^2*11^2 2 2 12 "D12" [[2,1,3,5,4,6],[1,3,2,4,6,5],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,6,5,1,3,2]>,<2,3,[2,1,3,5,4,6]>,<3,2,[3,1,2,6,4,5]>,<6,2,[5,6,4,2,3,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 17 x^2+16*x+3 9 [[56076640716,-51472917625],[49528187237,51472917625],[12983048544,0],[-56076640716,51472917625],[-49528187237,-51472917625],[-12983048544,0]] 4 [1,2,3,1,3,3,4,3,4,3,4,3,4,6,5,6,3,3,3,4,5,4,6,5,4,6,4,3,6,4,4,2,4,3,3,4,6,3,4,6,6,2,4,4,3,4,2,4,6,6,5,5,5,3,5,5,3,5,2,5,3,2,3,1,4,6,3,4,3,3,1,5,4,6,3,5,2,2,4,5,3,3,5,4,5,6,4,4,6,5,3,4,5,3,3,4,3,1,3,2,6,3,2,5,6,4,3,4,4,1,5,6,4,6,5,4,2,1,2,3,6,4,6,6,6,3,3,5,4,3,2,5,5,3,4,1,3,3,3,5,3,3,5,3,2,5,3,4,2,4,6,5,3,4,3,4,4,5,1,2,6,5,4,3,4,1,5,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x+108,2>,<x^3-8748*x-1481328,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[3],[[[2,1,4,3,6,5]]],20,<[],[145166,0,1]>,[[0,65538],[0,65534],[12817,1],[12817,65535],[-12817,1],[-12817,65535]]>,<3,12,6,[[2,3,1,6,4,5],[1,3,2,4,6,5],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[1,3,2,4,6,5],[4,5,6,1,2,3],[2,3,1,6,4,5],[6,5,4,2,1,3]],[4,6,5,1,3,2],[1,2,4,3,5,6],[1,2],[[[2,3,1,6,4,5],[1,3,2,4,6,5]],[[2,3,1,6,4,5]]],20,<<[],[2,2,1]>,[[-960384939,0],[605629584,0],[-1266678924,0],[-1218217554,0],[-156602757,0],[1715705751,0],[1,0]]>,[[[129080978,129080978],[306712239,306712239],[-452994983,-452994983],[569909430,569909430],[-395059017,-395059017],[-511438856,-511438856]],[[-135989230,-135989230],[-375987276,-375987276],[-548048687,-548048687],[-105555934,-105555934],[331967424,331967424],[-443244260,-443244260]],[[6908252,6908252],[69275037,69275037],[-161217797,-161217797],[-464353496,-464353496],[63091593,63091593],[-207578351,-207578351]],[[-129080978,-129080978],[-306712239,-306712239],[452994983,452994983],[-569909430,-569909430],[395059017,395059017],[511438856,511438856]],[[-6908252,-6908252],[-69275037,-69275037],[161217797,161217797],[464353496,464353496],[-63091593,-63091593],[207578351,207578351]],[[135989230,135989230],[375987276,375987276],[548048687,548048687],[105555934,105555934],[-331967424,-331967424],[443244260,443244260]]]>,<5,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,3],[1],[[]],20,<[],[2,4,1]>,[[-8595600401280,-4297800200640],[8595600401280,4297800200640],[8548335448264,-2148900100320],[-1929550478581,2148900100320],[-8548335448264,2148900100320],[1929550478581,-2148900100320]]>,<7,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,2,4,3,6,5]]],20,<[],[-31768281105226869,-11591349494665283,1]>,[[-11591349494665293,0],[11591349494665293,0],[11591349494665288,-1],[5,1],[-5,-1],[-11591349494665288,1]]>,<11,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,3,4,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,7,1]>,[[-59696162360924028698,0],[244292512473681375682,165905002839988965795],[1,0]]>,[[[-244292512473681375668,-165905002839988965791],[0,0]],[[244292512473681375668,165905002839988965791],[0,0]],[[-244292512473681375675,-165905002839988965793],[-1,0]],[[7,2],[1,0]],[[-7,-2],[-1,0]],[[244292512473681375675,165905002839988965793],[1,0]]]>*] [x,x^2+462,x^2-2,x^2-x+58,x^3+18*x-40,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7,11],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^3*3*7*11,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,7,11],[7,7,3,7,7],1,[1.000000000,0.5846404719,0.9451311730],<"notfaithful",0>,[6,3]>,<1,2^3,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,11],[7,2,2,1,2],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[6,3]>,<1,3*7*11,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,11],[1,7,1,7,7],1,[1.000000000,2.480419453,1.393330667],<"notfaithful",0>,[6,3]>,<2,2^3*3^3*7*11,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3,5,7,11],[7,8,3,7,7],1,[1.000000000,2.395123647,1.372030462],<"notfaithful",0>,[6,3]>,<2,2^3*3^3*7*11,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[-1]],[[1]],[[1],[1]]],[2,3,5,7,11],[7,8,3,7,9],1,[1.000000000,2.194100387,1.352483639],<"2.2e3_3e3_7_11.6t3.1",1>,[6,3]>]
