x^2-x+334 -3*5*89 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[8171],[-8170]] 2 [1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[336,3,1]>,[[-1,-1],[2,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[340,5,1]>,[[-2,-1],[3,1]]>,<89,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2314,89,1]>,[[-44,-1],[45,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,5,89],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*5*89,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,5,89],[3,3,3],1,[1.000000000,2.407505407,1.359652554],<"1.3_5_89.2t1.1",1>,[2,1]>]
x^4-50 -2^11*5^2 2 1 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 6 [[-6354258],[-7764266],[7764266],[6354258]] 4 [1,3,5,4,3,5,1,3,4,5,4,5,2,3,4,5,3,5,3,4,2,4,3,1,1,5,4,3,5,2,4,3,1,3,5,4,5,3,4,5,3,5,4,1,5,4,3,4,3,5,2,4,2,3,2,4,5,4,5,1,3,5,3,4,1,5,3,2,3,5,2,4,4,5,3,4,5,5,2,2,3,5,4,1,4,3,2,1,5,4,3,4,4,3,3,4,5,2,3,5,3,5,3,2,3,2,3,2,4,1,4,5,2,3,4,2,3,4,5,3,5,1,5,3,3,5,5,4,4,5,3,4,4,5,2,2,5,3,5,2,3,5,4,3,5,4,5,1,3,4,5,1,3,4,3,4,4,2,2,5,3,1,4,3,1,4,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x,2>,<x^2+7200,3>]*],[*[4],"CYC",0,5*]] [*<2,8,8,[[4,3,1,2],[2,1,3,4]],[[1,2,3,4],[2,1,4,3],[2,1,3,4],[3,4,1,2],[4,3,1,2]],[1,2,3,4],[1,2,4,3,5],[2,4,8],[[[4,3,1,2],[2,1,3,4]],[[4,3,1,2]],[[2,1,4,3]]],20,<[],[285522,129672,236556,-58936,-171966,-41888,167800,8,1]>,[[-43730,-90396,112649,67307,422,115814,70972,47588],[43730,90396,18423,63765,130650,15258,60100,83484],[19246,68140,76421,19703,42126,9004,39611,80557],[-19246,-68140,54651,111369,88946,122068,91461,50515]]>,<5,4,2,[[2,3,4,1]],[[1,2,3,4],[3,4,1,2],[2,3,4,1],[4,1,2,3]],[2,3,4,1],[1,2,5,5],[1],[[[3,4,1,2]]],20,<<[],[2,4,1]>,[[-10,-5],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[355101282318,0]],[[0,0],[1,0]],[[0,0],[-355101282318,0]]]>*] [x,x^2-2,x^2+2,x^2+1,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5],[6,3,3],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5],[6,1,4],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[4,3]>,<1,2^2,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5],[6,3,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[4,3]>,<2,2^8*5^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]]],[2,3,5],[6,3,6],1,[1.000000000,1.217101853,1.018755688],<"2.2e8_5e2.4t3.2",1>,[4,3]>]
x^4-x^3-1620*x^2+442*x+628279 5^2*19^2*29*31^2 4 0 8 "D8" [[3,4,1,2],[1,2,4,3]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[2,1,3,4]>,<4,2,[4,3,1,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 59 x-1 8 [[-16431410279635],[3023274418961],[60060343770086],[-46652207909411]] 1 [5,5,2,3,4,3,5,4,3,4,4,5,4,5,5,3,1,4,3,1,5,4,3,4,5,4,3,3,2,5,5,4,5,2,1,2,5,5,3,3,1,2,4,5,3,1,4,3,3,4,3,1,2,4,3,5,4,4,3,2,3,5,5,4,3,5,4,5,3,2,3,4,5,3,4,3,4,3,2,4,2,4,2,5,1,5,4,3,4,3,5,4,3,4,2,5,1,2,3,4,3,3,5,4,2,5,3,3,4,4,5,3,5,4,2,4,3,3,5,4,1,3,5,3,2,2,2,1,5,5,4,5,4,5,1,4,5,3,5,4,2,2,5,5,4,4,5,3,4,3,3,4,3,5,5,4,2,2,3,1,5,3,5,4,3,5,2,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+1177,2>,<x^2-883*x-2320255,3>]*],[*[4],"CYC",0,5*]] [*<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,3],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[-33505062373710,34975024051265],[6118494524855,26901105172590],[1,0]]>,[[[-6118494524855,-26901105172587],[-1,0]],[[0,3],[1,0]],[[23088048777618,2750322973502],[-7772971608576,5985793905573]],[[-16969554252762,24150782199082],[7772971608576,-5985793905573]]]>,<19,4,2,[[2,1,4,3],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[2,1,3,4]],[1,2,4,3],[1,2,4,4],[1],[[[2,1,4,3]]],20,<<[],[2,18,1]>,[[6855707991998558756733363,0],[8751674996211859573806416,0],[1,0]]>,[[[-8751674996211859573806399,0],[-1,0]],[[17,0],[1,0]],[[-10559725740493675537789180,12958815984756805372450248],[-93480538739583031006993,-450035538895578912139439]],[[-18278572720840423081760038,-12958815984756805372450248],[93480538739583031006993,450035538895578912139439]]]>,<29,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,24,1]>,[[-42964589105819047555076993167,0],[-6949258151021871488942118435,0],[1,0]]>,[[[84218650129772999318854749225,36806869292291953454908257438],[0,0]],[[85826667870314882389989772718,-36806869292291953454908257438],[0,0]],[[6949258151021871488942118447,0],[-1,0]],[[12,0],[1,0]]]>,<31,4,2,[[2,1,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,4,3],[2,1,3,4],[1,2,4,3]],[2,1,3,4],[1,2,4,4],[1],[[[2,1,4,3]]],20,<<[],[3,29,1]>,[[81555639106553107222770903514,0],[43437508465793361683839183313,0],[1,0]]>,[[[20921113715642481635446915606,23110180958088754607696456881],[-10422634792769200853959594957,-2213330828464799796460267064]],[[22516394750150880048392267658,-23110180958088754607696456881],[10422634792769200853959594957,2213330828464799796460267064]],[[-43437508465793361683839183288,0],[-1,0]],[[25,0],[1,0]]]>,<20873,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[3,20868,1]>,[[-64360123315892088756617230498257649234272243970693617627197634318948698701931937295452,-70306810115370703817493286882801676895021586226588468115200472200523395558902774529522],[87239655538382452053890781651001610523425795943288240881403990226066396013197070926091,70306810115370703817493286882801676895021586226588468115200472200523395558902774529522],[-5324980447022433185555383504347563415512965959217068860193867431518148153799887799,670431747801182925834060678214819263090348905645338034911490782846754070230583412],[-5468669692079452233079825258649310636172948862286926493875623301534829472852205070,-670431747801182925834060678214819263090348905645338034911490782846754070230583412]]>*] [x,x^2-x-1,x^2-x-7,x^2-x-36,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,19,29,31,20873],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,19,29,31,20873],[6,1,1,1,3],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,29,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,19,29,31,20873],[1,4,6,4,1],1,[1.000000000,0.6117662896,0.7583749766],<"notfaithful",0>,[4,3]>,<1,5*29,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,19,29,31,20873],[6,3,6,3,3],1,[1.000000000,2.112534460,1.447063894],<"notfaithful",0>,[4,3]>,<2,5*19^2*29*31^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]]],[5,19,29,31,20873],[6,7,6,7,3],1,[0,0,0],<"2.5_19e2_29_31e2.4t3.2",1>,[4,3]>]
x^8-3*x^7-13*x^6+47*x^5+3*x^4-109*x^3+78*x^2-16*x+1 3^4*5^4*101^3 8 0 16 "D16" [[5,7,2,3,8,1,4,6],[2,1,5,8,3,7,6,4],[8,4,7,2,6,5,3,1],[2,5,1,6,7,3,8,4]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,4,7,2,6,5,3,1]>,<2,4,[1,3,2,7,6,5,4,8]>,<2,4,[2,1,5,8,3,7,6,4]>,<4,2,[5,7,2,3,8,1,4,6]>,<8,2,[2,5,1,6,7,3,8,4]>,<8,2,[7,8,5,1,4,2,6,3]>] [[1,1,1,1,1,1,1,1],[1,1,2,2,2],[2,2,2,2],[4,4],[8]] 359 x-1 6 [[524752186159193],[-981061654504076],[-878241765335162],[-443391457199447],[353390348830882],[798799904719154],[401900962063434],[223851475266025]] 1 [7,7,2,7,3,4,4,5,4,3,5,4,3,4,4,6,3,3,6,2,6,1,6,3,4,1,7,4,3,6,6,5,4,3,3,3,4,7,6,7,5,2,3,4,4,3,5,4,4,3,4,5,3,5,6,7,3,3,6,5,4,7,4,3,6,4,3,7,7,3,6,1,4,4,5,4,3,7,3,2,3,5,3,6,3,7,1,7,3,7,7,3,6,1,2,7,5,5,7,5,7,4,4,2,3,7,4,4,3,5,4,7,6,1,5,3,4,7,4,3,3,7,4,4,5,1,3,3,4,6,3,4,3,6,5,3,7,4,6,5,3,5,6,4,2,5,4,4,3,7,6,3,6,4,6,3,3,5,6,3,6,7,4,3,4,6,2,4] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2,2],"CYC",0,3*],[*[2,2,2,2],"RES",<[1],x^2>,[<x-6,2>,<x^4-65*x^3+726*x^2+166*x-8483,4>]*],[*[4,4],"CYC",0,5*],[*[8],"RES",<[1,7],x^2>,[<x+23,6>,<x-88,7>]*]] [*<3,8,2,[[7,8,2,1,4,3,6,5]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[6,5,8,7,1,2,3,4],[5,6,7,8,2,1,4,3],[7,8,2,1,4,3,6,5],[3,4,5,6,7,8,2,1],[8,7,1,2,3,4,5,6],[4,3,6,5,8,7,1,2]],[7,8,2,1,4,3,6,5],[1,2,5,5,7,6,6,7],[1],[[[2,1,4,3,6,5,8,7]]],20,<<[],[2,0,0,2,1]>,[[-370459605,665230953,463034376,-1115907543],[-396842607,-701729784,-733709307,46004544],[1,0,0,0]]>,[[[396842607,701729785,733709307,-46004542],[-1,0,0,0]],[[0,1,0,2],[1,0,0,0]],[[1596533188,1176039965,-1505522902,-758298566],[185284797,-449361697,-392789034,351050562]],[[-1206872789,-80559133,830097482,-94302203],[-185284797,449361697,392789034,-351050562]],[[-1403255926,-882218215,1472078516,15489675],[160884704,531197903,-374810178,133924002]],[[-127258174,180488429,-1596067117,640235571],[-160884704,-531197903,374810178,-133924002]],[[-1222856448,-1141448744,1486957469,-1311826638],[123101756,-533084627,-26769135,88051674]],[[-1519916856,45967912,-1421252755,1554706701],[-123101756,533084627,26769135,-88051674]]]>,<5,4,2,[[2,1,4,3,6,5,8,7],[5,6,7,8,1,2,3,4]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[5,6,7,8,1,2,3,4],[6,5,8,7,2,1,4,3]],[5,6,7,8,1,2,3,4],[1,4,2,4],[1],[[[2,1,4,3,6,5,8,7]]],20,<<[],[2,4,1]>,[[-20686369727160,22307970541230],[-23264720195310,27654323952380],[1,0]]>,[[[23264720195312,-27654323952376],[-1,0]],[[2,4],[1,0]],[[-28003913628476,14908415651938],[1989242870853,-6158655341310]],[[-46984281902146,-36957687277377],[-1989242870853,6158655341310]],[[5091735053246,-43775684589814],[-2600842209382,-553603014377]],[[33422849310931,-23937423098439],[2600842209382,553603014377]],[[18420590073232,26692800945957],[-3507740778214,5397967580251]],[[-5211699102098,-4643529320518],[3507740778214,-5397967580251]]]>,<79,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-22584873148993318027119960659799097391,39114735037810756864633757914970642917,20011240760071738373477217711451100018,-27278037916756208533963593105424396859,1630534251913867699521100283224840797,34905721562024394265748927673732292926,-50139814701801021983174278275989150,-357660743094191420320943703220388495]>,<101,2,2,[[1,2,4,3,6,5,8,7]],[[1,2,3,4,5,6,7,8],[1,2,4,3,6,5,8,7]],[1,2,3,4,5,6,7,8],[1,3],[1],[[[1,2,4,3,6,5,8,7]]],20,<[],[1321163540534147529827275403511690737586,2547589393947310773894623674378009648525,1]>,[[1428254378629906181261080572925592525773,0],[4844371940989798365026448298130246323914,0],[-2547589393947310773894623674378009648488,-1],[37,1],[-2912918066989315095197065539322644529420,-370796026564937705418292454179535293],[-1682689896897988941715902674857999682308,370796026564937705418292454179535293],[-3557068504526357759180088325764980258029,4375860992239883890628936486891427233],[4427639542741268023700151343267795268524,-4375860992239883890628936486891427233]]>*] [x,x^2-x-25,x^2-x-1,x^2-x-126,x^4-2*x^3-4*x^2+5*x+5,0,0] [1,2,2,2,5,6,7] <[1],[2],[3],[4],[5],[6,7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,79,101],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,6]>,<1,101,1,[[1],[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,79,101],[3,1,1,8],1,[1.000000000,0.5966686680,0.7389776048],<"notfaithful",0>,[8,6]>,<1,5,1,[[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,79,101],[4,8,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[8,6]>,<1,5*101,1,[[1],[1],[-1],[-1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1]]],[3,5,79,101],[1,8,1,8],1,[1.000000000,2.630430151,1.502818097],<"notfaithful",0>,[8,6]>,<2,5*101,1,[[2],[2],[0],[0],[-2],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[-1]]],[3,5,79,101],[6,8,1,8],1,[1.000000000,0.7734936159,0.9613475996],<"notfaithful",0>,[8,6]>,<2,3^2*5*101,8,[[2,0,0,0],[-2,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,1,0,-1],[0,-1,0,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,-1,0,1],[1,0,0,0]],[[1,0,0,0],[0,1,0,-1],[1,0,0,0]],[[1,0,0,0]],[[1,0,0,0],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[3,5,79,101],[8,9,1,10],1,[1.000000000,0.3788290564,0.6606091197],<"2.3e2_5_101.8t6.1",1>,[8,6]>,<2,3^2*5*101,8,[[2,0,0,0],[-2,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,-1,0,1],[0,1,0,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,1,0,-1],[1,0,0,0]],[[1,0,0,0],[0,-1,0,1],[1,0,0,0]],[[1,0,0,0]],[[1,0,0,0],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[3,5,79,101],[8,9,1,10],1,[1.000000000,1.763954889,1.394334956],<"2.3e2_5_101.8t6.1",2>,[8,6]>]
x^4-4*x^2-16*x-18 -2^11*5^2 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 227 x-1 5 [[-27053144387],[166856958066],[-264866393258],[125062579579]] 3 [3,4,3,3,4,5,4,4,5,5,5,3,4,2,5,5,2,3,4,5,4,3,4,4,2,3,5,4,3,4,5,2,4,4,5,3,5,4,5,3,4,5,5,4,5,3,4,3,1,3,2,5,4,4,2,5,3,5,5,2,4,3,4,3,2,3,4,4,4,3,2,3,3,5,4,3,5,3,4,4,4,3,3,4,5,4,4,4,3,3,2,5,5,1,2,3,5,4,4,3,4,5,2,4,2,4,4,4,3,4,3,5,1,1,5,2,2,3,3,4,5,1,3,4,4,5,3,3,5,5,2,5,5,3,4,4,5,2,5,2,2,5,3,4,5,3,5,4,4,5,3,2,4,3,2,3,5,2,4,5,2,4,3,4,4,3,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,8,4,[[3,4,2,1],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[3,4,1,2],[3,4,2,1]],[1,2,4,3],[1,2,3,2,5],[3,5],[[[3,4,2,1]],[[2,1,4,3]]],20,<<[],[1,1,1]>,[[-18,0],[-16,0],[-4,0],[0,0],[1,0]]>,[[[0,0],[1,0],[0,0],[0,0]],[[-75864,0],[16415,0],[25484,0],[23920,0]],[[96604,117344],[26481,69378],[31832,89148],[95871,84590]],[[-20740,-117344],[88175,61694],[73756,41924],[11281,46482]]]>,<5,6,3,[[1,4,2,3],[1,2,4,3]],[[1,2,3,4],[1,2,4,3],[1,4,2,3]],[1,2,4,3],[1,3,4],[1],[[[1,4,2,3]]],20,<<[],[2,4,1]>,[[-283509497230,0],[-1326400179305,0],[-7114668737040,0],[1,0]]>,[[[-21690779022641,0],[0,0],[0,0]],[[3249263389542,0],[2208104314080,0],[-1841864253761,0]],[[9296651401267,4806318374390],[-2289734923670,-592841383315],[-650210386366,168103059783]],[[9144864231832,-4806318374390],[81630609590,592841383315],[-1322622625498,-168103059783]]]>*] [x,x^2+2,x^3-x^2+2*x+2,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,2^3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5],[6,3],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[4,5]>,<2,2^3*5^2,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]],[[1]]],[2,5],[6,7],1,[1.000000000,1.157104169,1.170674330],<"notfaithful",0>,[4,5]>,<3,2^8*5^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1]]],[2,5],[6,6],1,[1.000000000,0.5782101239,0.7619370556],<"3.2e8_5e2.6t8.1",1>,[4,5]>,<3,2^11*5^2,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1]],[[1],[-1]]],[2,5],[6,7],1,[1.000000000,1.207462385,1.053706180],<"3.2e11_5e2.4t5.1",1>,[4,5]>]
x^4+4*x^2-8*x+2 -2^11*5^2 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 59 x-1 5 [[-311573615],[-329204136],[-135659649],[61513101]] 3 [1,4,3,5,4,3,4,4,5,3,5,5,4,2,3,5,1,5,4,3,4,5,4,4,2,5,3,4,5,4,5,2,4,4,3,5,5,4,3,3,4,5,5,4,5,3,4,3,2,3,2,3,4,4,2,5,3,5,3,2,4,5,4,5,2,3,4,4,4,5,2,5,3,5,4,5,5,3,4,4,4,3,5,4,3,4,4,4,3,3,2,5,5,2,2,3,5,4,4,3,4,3,1,4,2,4,4,4,5,4,3,5,2,2,5,2,2,3,5,4,3,2,3,4,4,3,3,5,3,3,2,5,3,3,4,4,3,2,5,2,2,5,3,4,3,3,5,4,4,3,3,2,4,3,2,3,5,1,4,3,1,4,3,4,4,5,5,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,8,8,[[3,4,2,1],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[3,4,1,2],[3,4,2,1]],[1,2,3,4],[1,2,3,2,5],[2,4,8],[[[3,4,2,1],[1,2,4,3]],[[3,4,2,1]],[[2,1,4,3]]],20,<[],[52450,-324280,196348,95208,-32726,-13728,277968,182984,1]>,[[-14206,-7060,42969,123599,110345,122558,46530,20583],[-123138,5092,33439,117961,53845,121078,78564,111113],[-10330,126136,1481,83891,12351,48912,35843,64164],[-114470,-124168,53183,67765,85603,100668,101207,66284]]>,<5,6,3,[[1,3,4,2],[1,4,3,2]],[[1,2,3,4],[1,4,3,2],[1,3,4,2]],[1,4,3,2],[1,3,4],[1],[[[1,3,4,2]]],20,<<[],[2,4,1]>,[[15166695860590,0],[-26269502138885,0],[1260086115435,0],[1,0]]>,[[[1260086115423,0],[0,0],[0,0]],[[-37602759586021,-42328216174310],[4501318133293,7019030648678],[4847397600131,-7113044363997]],[[4,0],[1,0],[0,0]],[[36342673470594,42328216174310],[-4501318133294,-7019030648678],[-4847397600131,7113044363997]]]>*] [x,x^2+2,x^3-x^2+2*x+2,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,2^3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5],[6,3],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[4,5]>,<2,2^3*5^2,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]],[[1]]],[2,5],[6,7],1,[1.000000000,1.157104169,1.170674330],<"notfaithful",0>,[4,5]>,<3,2^10*5^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1]],[[1],[1]]],[2,5],[6,7],1,[1.000000000,0.9906632992,0.9794985803],<"3.2e10_5e2.6t8.2",1>,[4,5]>,<3,2^11*5^2,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1]],[[1],[-1]]],[2,5],[6,7],1,[1.000000000,1.092325875,1.025173815],<"3.2e11_5e2.4t5.2",1>,[4,5]>]
