x^2+322 -2^3*7*23 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 13 x-1 5 [[-78581],[78581]] 2 [1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[322,0,1]>,[[0,1],[0,262143]]>,<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[322,0,1]>,[[0,-1],[0,1]]>,<23,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[322,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,7,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*7*23,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,7,23],[3,3,3],1,[1.000000000,0.7002964555,0.8683935905],<"1.2e3_7_23.2t1.1",1>,[2,1]>]
x^6-2*x^5-13*x^4+14*x^3+49*x^2-59*x-118 11*13*59^3 2 2 48 "C2*S4" [[2,3,1,6,4,5],[3,2,1,5,4,6],[1,2,5,4,3,6]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,6,5,1,3,2]>,<2,3,[1,6,3,4,5,2]>,<2,3,[1,6,5,4,3,2]>,<2,6,[3,2,1,5,4,6]>,<2,6,[3,6,1,5,4,2]>,<3,8,[2,3,1,6,4,5]>,<4,6,[1,5,2,4,6,3]>,<4,6,[4,5,2,1,6,3]>,<6,8,[2,5,1,6,4,3]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 31 x^2+29*x+3 11 [[-1556436190694395,-6178738591048516],[-7289370479505300,3259311357291258],[-1253783752468605,0],[-175492255332458,-3259311357291258],[10507438003122008,0],[-232355325121248,6178738591048516]] 5 [8,7,10,7,8,8,3,7,8,10,5,9,7,9,9,7,3,9,9,3,6,10,8,9,5,9,8,10,6,8,10,5,10,3,6,8,6,3,7,9,6,7,8,7,4,7,9,2,8,5,5,7,7,7,7,10,6,7,10,7,5,7,7,7,8,2,10,9,5,8,9,7,8,2,10,3,4,5,9,6,8,5,6,7,2,8,10,6,4,5,8,1,10,10,10,9,9,4,10,6,3,7,9,5,9,10,9,7,7,9,10,8,10,10,3,1,10,7,7,5,10,5,3,5,9,9,10,6,4,4,8,1,8,7,7,6,5,4,8,9,8,6,8,4,7,5,7,5,8,5,7,8,7,5,7,7,9,5,9,6,10,3,6,7,9,9,6,10] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-22*x^2-1964*x-26048,4>,<x^6-115*x^5+2885*x^4+50933*x^3-2208584*x^2+11544188*x+1594665013,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x+11,2>,<x^6-5*x^5-111*x^4+38475*x^3+1087400*x^2+10725080*x+36645529,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<11,8,2,[[1,2,3,4,6,5],[4,1,2,3,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[4,1,2,3,5,6],[2,3,4,1,5,6],[4,1,2,3,6,5],[2,3,4,1,6,5]],[4,1,2,3,5,6],[1,4,3,2,8,8,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,10,8,0,1]>,[[129643628240156013137,0,0,0],[108433403447380203258,0,0,0],[1,0,0,0]]>,[[[36604871480618407686,87124153671610703739,256897843450292626034,-46045981099978285075],[0,0,0,0]],[[-174518766598464652501,-302163445342549769176,-317230986419876020315,321706242411241919513],[0,0,0,0]],[[218427644966463539229,78867037377166596681,148115280727887722064,-8635577512086986032],[0,0,0,0]],[[27919653598762908840,136172254293772468756,-87782137758304327783,-267024683799176648406],[0,0,0,0]],[[-108433403447380203255,0,0,0],[-1,0,0,0]],[[3,0,0,0],[1,0,0,0]]]>,<13,8,2,[[1,2,3,4,6,5],[2,4,1,3,5,6]],[[1,2,3,4,5,6],[4,3,2,1,5,6],[1,2,3,4,6,5],[4,3,2,1,6,5],[2,4,1,3,5,6],[3,1,4,2,5,6],[2,4,1,3,6,5],[3,1,4,2,6,5]],[2,4,1,3,5,6],[1,4,3,2,8,8,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,12,3,0,1]>,[[-2214134443871345969220,0,0,0],[-8910622534146495736938,0,0,0],[1,0,0,0]]>,[[[2436901973194975461065,5269490401437982776229,4832973346202273268611,6047776545785620867643],[0,0,0,0]],[[7269558341056072298247,-2569955526564651436754,9318997139007599876136,557911128169077348631],[0,0,0,0]],[[802538796996151790060,684310888273345298152,-636368746129958645738,3610243690227656983456],[0,0,0,0]],[[-414657870512895847513,-3383845763146676637627,5489362035800884939792,8789032410698444239071],[0,0,0,0]],[[8910622534146495736941,0,0,0],[-1,0,0,0]],[[3,0,0,0],[1,0,0,0]]]>,<59,4,2,[[2,1,4,3,6,5],[1,2,4,3,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,4,3,5,6],[2,1,3,4,6,5]],[1,2,4,3,5,6],[1,6,3,5],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,58,1]>,[[-47682072462541755705276751813304027,0],[-30241366973793218474252343543244413,0],[1,0]]>,[[[30241366973793218474252343543244413,0],[-1,0]],[[0,0],[1,0]],[[-18394933344328402088276996596151975,-82372190725805059664522866104359132],[785570126107139313717401636488261,2011965516656910936173640999702492]],[[56866089669768053753440393542307263,82372190725805059664522866104359132],[-785570126107139313717401636488261,-2011965516656910936173640999702492]],[[62602102862923608109211638020560566,0],[-998560925341676753036680889173681,0]],[[129925709342432244234739779485282536,0],[998560925341676753036680889173681,0]]]>,<229,2,1,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,4,3,6,5],[1,5],[1],[[]],20,<[],[6,228,1]>,[[-35635397520575741374435929511126238445553796905,0],[-26236649460739619725761392872075774744716984715,0],[16718520351479707169303521330238176994677015436,63219699473325444063772301770158604485090547606],[73591408009777897917925687813593021055012470160,-63219699473325444063772301770158604485090547606],[88166243463634149798171037577301192414903733,-67304505581277558867816852233868492043407292],[322466874325894046866813890769197449199293991,67304505581277558867816852233868492043407292]]>*] [x,x^2-x+36,x^2-x+15,x^2-x-2109,x^6-x^5+105*x^4-73*x^3+3855*x^2-935*x+49214,x^3+2*x-1,x^4-x^3+12*x^2+12*x+1,0,0,x^4-x^3+12*x^2+12*x+1] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[11,13,59,229],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,11*13,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[11,13,59,229],[11,11,2,2],1,[1.000000000,2.627131755,1.468354438],<"notfaithful",0>,[6,11]>,<1,59,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[11,13,59,229],[5,5,11,5],1,[1.000000000,1.227001579,0.9463260356],<"notfaithful",0>,[6,11]>,<1,11*13*59,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[11,13,59,229],[11,11,11,1],1,[1.000000000,1.011831226,0.8831339111],<"notfaithful",0>,[6,11]>,<2,11^2*13^2*59,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[11,13,59,229],[11,11,12,5],1,[1.000000000,0.7353241768,0.9574596693],<"notfaithful",0>,[6,11]>,<2,59,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[11,13,59,229],[5,5,11,5],1,[1.000000000,0.6470271521,0.8951603653],<"notfaithful",0>,[6,11]>,<3,11^2*13^2*59,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[1]],[[1],[0],[-1]]],[11,13,59,229],[11,11,12,5],1,[0,0,0],<"notfaithful",0>,[6,11]>,<3,11*13*59^2,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[0],[1]],[[1],[-1]]],[11,13,59,229],[11,11,12,3],1,[1.000000000,1.711533910,1.262202067],<"3.11_13_59e2.6t11.2",1>,[6,11]>,<3,11*13*59,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[0],[1]],[[1],[0],[-1]]],[11,13,59,229],[11,11,12,4],1,[1.000000000,0.5868122801,0.7560864636],<"3.11_13_59.6t11.2",1>,[6,11]>,<3,11^2*13^2*59^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]]],[11,13,59,229],[11,11,12,3],1,[0,0,0],<"notfaithful",0>,[6,11]>]
x^6-3*x^5+13*x^4-21*x^3+13*x^2-3*x+6 -3^3*5^3*349^2 0 3 12 "D12" [[6,5,4,3,2,1],[1,6,5,4,3,2],[4,3,2,1,6,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,3,2,1,6,5]>,<2,3,[1,6,5,4,3,2]>,<3,2,[3,4,5,6,1,2]>,<6,2,[2,3,4,5,6,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 47 x^2+45*x+5 6 [[2755745868,2428985556],[5224428956,0],[1243549138,-2428985556],[-2755745867,-2428985556],[-5224428955,0],[-1243549137,2428985556]] 3 [4,1,1,6,2,6,5,5,5,3,5,3,3,2,4,4,6,4,3,6,3,4,5,6,2,6,6,4,5,4,6,2,4,5,6,5,3,2,4,4,6,1,3,6,4,4,4,3,5,4,5,3,5,6,5,1,3,1,2,3,3,1,3,6,3,4,4,3,4,1,5,6,6,6,4,4,2,3,6,1,3,4,6,6,4,1,3,3,6,6,5,3,2,3,4,4,2,2,6,1,3,4,1,2,4,3,5,4,6,4,3,3,5,4,5,3,6,5,1,6,5,3,4,5,4,3,4,6,3,2,5,5,4,6,2,4,5,2,4,3,4,3,3,4,4,6,3,4,4,4,6,6,3,4,6,6,4,3,3,3,5,5,3,3,5,1,5,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x-10,2>,<x^3+18*x^2-84*x-4752,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,1,[[1,2,6,5,4,3]],[[1,2,3,4,5,6],[1,2,6,5,4,3]],[1,2,6,5,4,3],[1,4],[1],[[]],20,<[],[1,1,1]>,[[-8442,0],[8443,0],[-48220,-161607],[-113386,-161607],[48221,161607],[113387,161607]]>,<3,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[863044656,-330086244,1]>,[[330086244,-1],[0,1],[-873002419,-554521525],[873002420,554521525],[1,-1],[-330086243,1]]>,<5,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[-42299580429460,-24633615827320,1]>,[[24633615827324,-1],[4,1],[4469225758963,1330517945985],[-4469225758962,-1330517945985],[-3,-1],[-24633615827323,1]]>,<349,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,2,4,3,6,5]]],20,<[],[-299772882081139022364979558764355833264378376348208,-33183134561047220449816483745564745604113643545697,1]>,[[265729190767368565638466011276049804418713114942992,0],[-265729190767368565638466011276049804418713114942991,0],[33183134561047220449816483745564745604113643545969,-1],[272,1],[-271,-1],[-33183134561047220449816483745564745604113643545968,1]]>*] [x,x^2-x+1309,x^2-x+4,x^2-x-87,x^3-x^2+5*x+40,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,349],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3*5*349,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,349],[3,7,7,7],1,[1.000000000,1.042084104,0.8339158765],<"notfaithful",0>,[6,3]>,<1,3*5,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,349],[1,7,7,1],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[6,3]>,<1,349,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,349],[2,1,1,7],1,[1.000000000,1.051432743,0.9143206818],<"notfaithful",0>,[6,3]>,<2,3*5*349,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,5,349],[3,7,7,7],1,[1.000000000,1.964290543,1.226652566],<"notfaithful",0>,[6,3]>,<2,3*5*349,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[-1]]],[2,3,5,349],[3,7,7,7],1,[1.000000000,2.081973515,1.249641772],<"2.3_5_349.6t3.6",1>,[6,3]>]
