x^2-x+1143 -7*653 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[9],[-8]] 2 [2,1,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1155,7,1]>,[[-3,-1],[4,1]]>,<653,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[107745,653,1]>,[[-326,-1],[327,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,653],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*653,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,653],[3,3],1,[1.000000000,1.301074884,0.9397369545],<"1.7_653.2t1.1",1>,[2,1]>]
x^6-2*x^5+2*x^4-4*x^3+9*x-7 23^2*293 2 2 48 "C2*S4" [[1,5,3,4,2,6],[1,3,2,4,6,5],[2,3,1,5,6,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,2,3,1,5,6]>,<2,3,[4,5,3,1,2,6]>,<2,6,[1,3,2,4,6,5]>,<2,6,[4,3,2,1,6,5]>,<3,8,[2,3,1,5,6,4]>,<4,6,[5,1,3,2,4,6]>,<4,6,[6,5,1,3,2,4]>,<6,8,[5,3,1,2,6,4]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 17 x^2+16*x+3 9 [[-19740319011,24777086477],[-46410425620,0],[58177803345,-24777086477],[44330286832,58998765457],[33177479457,0],[49053051496,-58998765457]] 5 [10,10,6,8,8,10,5,6,2,10,7,9,10,5,10,9,4,5,9,7,7,6,9,6,9,3,6,9,5,8,10,10,5,10,9,10,8,10,1,3,10,6,5,7,7,9,1,3,8,9,7,7,6,8,7,6,7,4,7,8,5,8,4,10,8,4,7,8,4,7,7,8,6,6,8,9,9,7,6,10,9,8,8,9,10,7,4,8,10,4,8,9,10,7,7,5,7,9,8,10,7,8,6,5,9,7,7,3,3,7,4,8,9,9,6,9,9,7,7,5,6,7,9,7,3,9,9,4,9,8,7,6,8,6,10,8,8,6,9,3,7,1,7,8,3,5,4,7,10,7,3,6,4,10,6,6,5,10,5,8,7,8,7,8,6,9,2,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3+2*x^2+65*x+107,4>,<x^6-13*x^5+95*x^4-519*x^3+7368*x^2+61180*x-299912,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x+5,2>,<x^6+13*x^5-31*x^4-735*x^3+225*x^2+12875*x-3125,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<5,2,1,[[2,1,6,5,4,3]],[[1,2,3,4,5,6],[2,1,6,5,4,3]],[2,1,6,5,4,3],[1,6],[1],[[]],20,<[],[2,4,1]>,[[-20777112893710,-34122029283532],[20343572599793,34122029283532],[9325753763603,-7713697376094],[-9475130701082,-6774490912219],[-1450653380331,6774490912219],[2033570611729,7713697376094]]>,<23,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,5,6],[1],[[[1,2,4,3,6,5]]],20,<<[],[5,21,1]>,[[-24499481479585616618857668,699981365743619760012751665],[531570218748737397070938259,-712484661105768373367725636],[1,0]]>,[[[-622222933445756045755511029,158290751828805399462457386],[0,0]],[[-514017059181496748619325733,-158290751828805399462457386],[0,0]],[[-531570218748737397070938247,712484661105768373367725646],[-1,0]],[[12,10],[1,0]],[[437830030488318455427957356,-670150375569840710411989021],[30441410139762514513247384,-16993460110617509052267229]],[[-486175650446914606906077558,-42334285535927662955736635],[-30441410139762514513247384,16993460110617509052267229]]]>,<293,8,2,[[1,2,3,4,6,5],[2,3,4,1,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[2,3,4,1,5,6],[4,1,2,3,5,6],[2,3,4,1,6,5],[4,1,2,3,6,5]],[2,3,4,1,5,6],[1,4,3,2,8,8,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,166,3,0,1]>,[[-5157688278232198524355714126465064150293455782646,0,0,0],[4124221866507693919637900731322678513529054171996,0,0,0],[1,0,0,0]]>,[[[2534172383844989458959393832544062783654822022994,3674475279792998431270853143475725842628883661656,5812663034375699925376371527730431307724779032264,-10187996266743096488531526275012715821666744224903],[0,0,0,0]],[[-2621856622443559597770253612242207927615473620217,-6657762091831601145794683673487434639790524140432,-8498283986201579733404518985777345844804028267814,-10755612375575002406081591862536774892840882307707],[0,0,0,0]],[[3343925221930362551728237624675983106180613668231,-10494204597413067289500932970776971881319234365151,2038784086001872651735218844559222867128879875775,9862067287539474197349132502270076820492260331427],[0,0,0,0]],[[867980883175901506720522886344840551309092100846,-8267157859085744287581449992266506666194901810074,646836865824007156292928613487691669950369359775,-10663107913758789594342227857775773450660410452818],[0,0,0,0]],[[-4124221866507693919637900731322678513529054171924,0,0,0],[-1,0,0,0]],[[72,0,0,0],[1,0,0,0]]]>*] [x,x^2-x+1685,x^2-x+6,x^2-x-73,x^6-2*x^5-145*x^4+805*x^3+4670*x^2-48107*x+9086603,x^3-x^2+1,x^4-x^3+15*x^2-44*x-115,0,0,x^4-x^3+15*x^2-44*x-115] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,23,293],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,23*293,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,23,293],[1,11,11],1,[1.000000000,0.6888499792,0.7648294026],<"notfaithful",0>,[6,11]>,<1,23,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,23,293],[5,11,5],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[6,11]>,<1,293,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,23,293],[2,2,11],1,[1.000000000,0.3314383943,0.6690787423],<"notfaithful",0>,[6,11]>,<2,23*293^2,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1],[1]],[[1]]],[5,23,293],[5,11,12],1,[1.000000000,2.044647763,1.375976312],<"notfaithful",0>,[6,11]>,<2,23,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[5,23,293],[5,11,5],1,[1.000000000,0.3684093207,0.6747996946],<"notfaithful",0>,[6,11]>,<3,23*293^2,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-2],[1]],[[1],[1]]],[5,23,293],[5,11,12],1,[0,0,0],<"notfaithful",0>,[6,11]>,<3,23*293,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[2],[1]],[[1],[0],[1]]],[5,23,293],[4,11,12],1,[1.000000000,0.8214335864,0.9702886526],<"3.23_293.6t11.1",1>,[6,11]>,<3,23^2*293,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[1]]],[5,23,293],[3,11,12],1,[1.000000000,0.9125234912,0.9951175555],<"3.23e2_293.6t11.1",1>,[6,11]>,<3,23^2*293^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1]]],[5,23,293],[3,11,11],1,[0,0,0],<"notfaithful",0>,[6,11]>]
x^4-x^3-90*x^2+497*x-739 241^3 4 0 4 "C4" [[4,1,2,3],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<4,1,[4,1,2,3]>,<4,1,[2,3,4,1]>] [[1,1,1,1],[2,2],[4]] 83 x-1 5 [[1216643632],[1897264055],[1805710018],[-980577061]] 1 [2,2,2,3,3,4,4,3,3,2,4,3,2,4,2,2,2,2,2,4,3,2,1,4,1,4,3,1,4,2,3,3,3,4,3,1,4,4,4,4,3,1,2,2,3,3,2,2,4,2,2,2,1,1,1,4,3,2,1,1,3,4,3,3,2,3,1,1,1,2,3,1,4,4,3,3,3,3,1,3,3,2,3,2,4,3,4,1,4,3,1,2,2,1,4,4,2,3,2,2,3,2,1,1,4,4,3,4,4,1,2,3,1,3,3,1,2,3,3,1,3,2,4,1,2,4,4,1,1,1,1,2,3,3,4,4,2,1,4,3,4,1,1,3,1,2,4,1,3,4,1,1,1,2,4,2,2,4,2,3,4,3,2,3,4,3,2,4] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x-226,3>,<x-708,4>]*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[1,1,1]>,[[77854,258959],[-181105,-258959],[-53555,-210362],[156807,210362]]>,<241,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,4,3],[1],[[[2,4,1,3]]],20,<[],[1064494108,23588598,195933,723,1]>,[[6014095,99291,546,1],[-3024128,906345563521553783404439304342061338691085250,906345563521553783404439304342061338691134807,906345563521553783404439304342061338691135080],[-2990147,906345563521553783404439304342061338691085619,906345563521553783404439304342061338691134808,906345563521553783404439304342061338691135080],[181,1,0,0]]>*] [x,0,x^2-x-60,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,241],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,241,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,241],[2,5],0,[-0.9915228035-0.1299327911*i,0.3464943413+0.06238440247*i,0.6896620480+0.01588044010*i],<"1.241.4t1.1",1>,[4,1]>,<1,241,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,241],[1,5],1,[1.000000000,2.418356384,1.498381897],<"notfaithful",0>,[4,1]>,<1,241,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,241],[2,5],0,[-0.9915228035+0.1299327911*i,0.3464943413-0.06238440247*i,0.6896620480-0.01588044010*i],<"1.241.4t1.1",2>,[4,1]>]
x^6-x^5-6*x^4+15*x^3+28*x^2+113*x-69 2^6*13^3*101^2 2 2 12 "D12" [[1,6,3,5,4,2],[6,2,5,4,3,1],[3,4,1,2,6,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,4,1,2,6,5]>,<2,3,[6,2,5,4,3,1]>,<2,3,[5,4,6,2,1,3]>,<3,2,[2,6,4,5,3,1]>,<6,2,[4,5,2,6,1,3]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 23 x^2+21*x+5 7 [[-524672021,0],[-564065723,1446551871],[1534912285,0],[1495518583,1446551871],[-1643467132,-1446551871],[-298225991,-1446551871]] 3 [2,3,4,6,4,3,5,6,3,5,4,4,4,5,4,5,4,5,4,4,4,3,4,4,6,1,1,5,2,3,5,5,6,3,6,2,3,4,6,1,5,3,5,6,4,1,1,4,2,2,5,4,4,1,3,1,5,6,5,6,1,6,6,5,3,4,4,3,3,6,4,4,3,3,6,4,1,6,4,6,3,4,6,3,1,3,6,4,6,6,3,6,6,1,6,5,4,5,3,4,3,4,1,5,3,4,6,6,5,5,3,2,4,6,4,3,2,5,3,3,6,3,3,6,6,3,6,5,3,6,4,4,5,5,6,4,6,6,5,1,4,4,1,2,3,4,4,1,3,6,6,3,3,3,3,1,5,2,3,2,4,3,4,3,2,2,3,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,3*],[*[2,2,2],"RES",<[1],x^2>,[<x+39,2>,<x^3+13*x^2-37*x-681,4>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[1,3,2,4,6,5],[4,5,6,1,2,3]],[[1,2,3,4,5,6],[4,5,6,1,2,3],[1,3,2,4,6,5],[4,6,5,1,3,2]],[4,5,6,1,2,3],[1,2,3,4],[3],[[[1,3,2,4,6,5]]],20,<<[],[1,1,1]>,[[-87782,-281484],[-184708,-152300],[1,0]]>,[[[115512,-76151],[0,0]],[[0,1],[1,0]],[[-77436,-109843],[-1,0]],[[191663,76151],[0,0]],[[-76151,109843],[1,0]],[[108557,-1],[-1,0]]]>,<5,2,1,[[3,4,1,2,6,5]],[[1,2,3,4,5,6],[3,4,1,2,6,5]],[3,4,1,2,6,5],[1,4],[1],[[]],20,<[],[2,4,1]>,[[21475078744372,45513403717269],[-31617018668652,26408203268523],[30156327156546,-45513403717269],[-41882400102119,-26408203268523],[-3862283928353,-7398145181640],[6656810470082,7398145181640]]>,<13,4,2,[[2,1,4,3,6,5],[3,4,1,2,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[3,4,1,2,5,6],[4,3,2,1,6,5]],[3,4,1,2,5,6],[1,2,3,4],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,12,1]>,[[9070909922640630055108,0],[-6160507198523272027420,0],[1,0]]>,[[[-7361199727544301586530,-691680930575819955614],[-1,0]],[[5483256848813225824851,-691680930575819955614],[1,0]],[[938971439365537880838,691680930575819955614],[-1,0]],[[-5221535759157734146582,691680930575819955614],[1,0]],[[6160507198523272027422,0],[-1,0]],[[2,0],[1,0]]]>,<101,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[1,2,4,3,6,5]]],20,<[],[4273856097955964050981012836593044320100,-54027240827516618666099313390162495409,1]>,[[-5565160011319244518414102022665999052036,0],[-4385525152823032073082616525692030262894,0],[54027240827516618666099313390162495508,-1],[99,1],[-1125607617668695826665386183583806293634,-1],[-1179634858496212445331485496973968789043,1]]>,<251,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[-264277630517331970633051549860354000441478850209,-257468521925300888201397066176185367765064313574,-118907522343487247147348832795070630094197709855,38752186456097133686867230280046813017811803702,884454399534141912534455322166147197715801475,545894081091001372333683609201277845186729059]>*] [x,x^2+202,x^2+2626,x^2-x-3,x^3-x^2+2*x-6,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,13,101,251],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^3*101,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,13,101,251],[7,3,3,7,1],1,[1.000000000,0.6631250633,0.8738197739],<"notfaithful",0>,[6,3]>,<1,2^3*13*101,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,13,101,251],[7,1,7,7,1],1,[1.000000000,1.103506808,0.9309469279],<"notfaithful",0>,[6,3]>,<1,13,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,13,101,251],[2,2,7,1,1],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[6,3]>,<2,2^3*101,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,5,13,101,251],[7,3,3,7,1],1,[1.000000000,1.685462078,1.313627688],<"notfaithful",0>,[6,3]>,<2,2^3*13^2*101,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1]],[[1],[-1]]],[2,5,13,101,251],[7,3,8,9,1],1,[1.000000000,0.8612627853,0.8256132681],<"2.2e3_13e2_101.6t3.2",1>,[6,3]>]
x^6+8*x^4+16*x^2-96 2^11*3^3*89^2 2 2 12 "D12" [[6,2,4,3,5,1],[1,6,5,4,3,2],[4,3,2,1,6,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,3,2,1,6,5]>,<2,3,[6,2,4,3,5,1]>,<3,2,[2,6,4,5,3,1]>,<6,2,[3,4,2,6,1,5]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 19 x^2+18*x+2 8 [[5544580149,0],[-1609955226,-8362633204],[3934624923,-8362633204],[-5544580149,0],[1609955226,8362633204],[-3934624923,8362633204]] 4 [4,4,4,3,3,3,3,4,5,5,3,3,6,4,4,4,6,3,5,4,5,6,6,3,5,1,3,3,6,6,3,3,2,5,5,3,6,4,4,4,3,3,5,4,1,6,4,6,3,3,3,5,4,3,3,4,4,2,6,2,1,5,5,4,4,4,1,4,3,3,6,1,2,6,4,1,1,3,3,5,6,3,1,4,3,3,3,4,4,2,3,4,6,6,4,1,4,2,1,3,4,5,6,6,4,4,3,6,1,5,6,6,6,5,6,3,5,5,5,3,3,5,1,6,5,4,3,1,3,6,4,5,2,6,3,5,5,4,4,3,5,4,6,6,3,5,3,2,4,1,3,3,4,5,5,4,3,3,5,5,3,6,3,3,3,4,3,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x+48,2>,<x^3-1728*x-587520,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,12,6,[[2,1,4,3,6,5],[6,5,1,2,4,3],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,6,5,4,3],[2,1,5,6,3,4],[6,5,1,2,4,3],[5,6,2,1,3,4]],[1,2,6,5,4,3],[1,2,4,3,5,6],[1,7],[[[2,1,4,3,6,5],[6,5,1,2,4,3]],[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[-486,0],[0,0],[1696,0],[0,0],[-82,0],[0,0],[1,0]]>,[[[0,0],[-1848,0],[0,0],[6000,0],[0,0],[5441,0]],[[0,0],[1848,0],[0,0],[-6000,0],[0,0],[10943,0]],[[0,0],[8690,15532],[0,0],[-7714,-9428],[0,0],[10362,9781]],[[0,0],[-8690,-15532],[0,0],[7714,9428],[0,0],[6022,6603]],[[0,0],[6842,15532],[0,0],[-1714,-9428],[0,0],[15803,9781]],[[0,0],[-6842,-15532],[0,0],[1714,9428],[0,0],[581,6603]]]>,<3,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[-1470703272,0],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[1,0]],[[-550576015,-550576015],[-581130733,0]],[[-550576015,-550576015],[581130733,0]],[[550576015,550576015],[-581130733,0]],[[550576015,550576015],[581130733,0]]]>,<89,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,3,4,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[3,82,1]>,[[366023589452999054736552341384703064518,-363423121963601489979284741051495992583],[-384823635176723688992306943915200243588,-104244445520490850749537523452452818338],[1,0]]>,[[[-384823635176723688992306943915200243710,-104244445520490850749537523452452818354],[0,0]],[[384823635176723688992306943915200243710,104244445520490850749537523452452818354],[0,0]],[[384823635176723688992306943915200243649,104244445520490850749537523452452818346],[-1,0]],[[61,8],[1,0]],[[-61,-8],[-1,0]],[[-384823635176723688992306943915200243649,-104244445520490850749537523452452818346],[1,0]]]>*] [x,x^2-x+67,x^2-6,x^2+178,x^3-x^2-x+13,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,89],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3*89,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,89],[3,7,7],1,[1.000000000,0.3845246962,0.7395011685],<"notfaithful",0>,[6,3]>,<1,2^3*3,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,89],[7,7,2],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[6,3]>,<1,2^3*89,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,89],[7,2,7],1,[1.000000000,0.9418892991,0.8995323099],<"notfaithful",0>,[6,3]>,<2,2^2*3*89,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,89],[7,8,8],1,[1.000000000,1.378401879,1.122226552],<"notfaithful",0>,[6,3]>,<2,2^6*3*89,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,3,89],[7,8,8],1,[1.000000000,0.7928967532,0.8999069523],<"2.2e6_3_89.6t3.4",1>,[6,3]>]
