x^2-x+1129 -3*5*7*43 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 13 x-1 5 [[34270],[-34269]] 2 [2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1131,3,1]>,[[-1,-1],[2,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1135,5,1]>,[[-2,-1],[3,1]]>,<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1141,7,1]>,[[-3,-1],[4,1]]>,<43,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1591,43,1]>,[[-21,-1],[22,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,5,7,43],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*5*7*43,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,5,7,43],[3,3,3,3],1,[1.000000000,0.7480678288,0.8005331217],<"1.3_5_7_43.2t1.1",1>,[2,1]>]
x^3-x^2+35*x-55 -2^2*5*2719 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[68332],[-47768],[-20563]] 2 [2,3,1,2,1,3,2,1,2,3,3,3,2,1,2,2,2,2,1,3,2,1,3,3,2,2,3,3,2,2,3,2,1,2,3,2,1,1,3,2,3,1,2,3,2,2,3,3,1,2,3,2,2,2,3,1,2,2,1,2,2,2,2,3,2,1,2,3,3,3,3,3,2,2,3,3,3,1,3,3,2,2,3,2,1,3,3,3,2,2,2,2,1,3,2,2,1,3,2,2,2,1,3,1,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,1,3,2,1,1,3,3,2,2,3,3,2,2,2,2,2,2,2,2,1,1,2,3,2,2,3,2,2,3,1,3,2,3,2,2,1,2,2,2,3,3,2,3,2,2,3,3,3,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[3,1,2]]],20,<<[],[1,1,1]>,[[131022,0],[344,0],[34,0],[1,0]]>,[[[-250745,0],[-34192,0],[210855,0]],[[254931,259116],[-46100,-126392],[57752,64215]],[[-4185,-259116],[80292,126392],[255681,197929]]]>,<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-30341124599670,-43705715623230,1]>,[[-43705715623229,0],[43705715623230,-1],[0,1]]>,<2719,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-47911966270572553699474611457041076326233764491858599360421455511400,-45290197380265703071031537257465841872274057498677125782473211807017,1]>,[[-45290197380265703071031537257465841872274057498677125782473211809844,0],[45290197380265703071031537257465841872274057498677125782473211808431,-1],[1414,1]]>*] [x,x^2-x+3399,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,2719],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,5*2719,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,2719],[2,4,4],1,[1.000000000,1.077755525,0.8942704471],<"notfaithful",0>,[3,2]>,<2,2^2*5*2719,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,5,2719],[4,5,5],1,[1.000000000,1.056259947,0.9411816393],<"2.2e2_5_2719.3t2.1",1>,[3,2]>]
x^5+5*x-8 2^8*5^3*17 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 97 x^2+96*x+5 5 [[265304507,-120758491],[3270779386,120758491],[-3239433174,0],[-2285836280,-4248750145],[1989185561,4248750145]] 3 [2,6,1,4,7,7,4,4,6,5,5,4,5,5,5,7,6,7,5,5,6,5,7,6,3,3,7,6,5,4,7,2,7,5,4,4,5,4,3,6,6,7,4,6,4,2,7,5,3,3,6,6,5,4,5,5,7,6,6,6,4,5,2,5,6,6,4,4,6,6,2,4,3,5,7,7,6,6,7,6,5,3,7,2,7,2,5,5,4,5,5,7,6,4,5,6,6,7,2,5,3,2,5,3,7,5,5,5,3,5,6,5,6,7,4,7,6,5,4,4,6,3,6,4,5,6,5,5,7,2,4,6,5,5,6,4,7,3,7,7,7,5,6,1,6,5,3,4,6,5,4,2,7,3,6,2,6,5,2,2,3,2,7,3,7,3,7,6] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,8,4,[[1,4,5,2,3],[1,2,3,5,4]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,2,3],[1,3,2,4,5],[1,5,4,2,3]],[1,2,3,5,4],[1,3,3,2,5],[2,4],[[[1,3,2,5,4],[1,4,5,2,3]],[[1,3,2,5,4]]],20,<<[],[1,1,1]>,[[240302,0],[-167492,0],[-213634,0],[-399764,0],[1,0]]>,[[[-399768,0],[524288,0],[524288,0],[0,0]],[[1,0],[1,0],[0,0],[0,0]],[[-56597,0],[-36417,0],[36512,0],[72704,0]],[[-30239,7446],[72659,108902],[-97151,104354],[-114495,105858]],[[-37685,-7446],[-36243,-108902],[60639,-104354],[41791,-105858]]]>,<5,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,3,5,5],[1],[[[1,3,5,2,4]]],20,<[],[6111252026160,1946952338020,-4870177434660,27103331100365,1]>,[[8029844772228,0,0,0],[465602334863,-5303321061906,-2230769427844,8798755416139],[-1471131794272,126695288068,7914443071968,-6165774160212],[-7024315312822,5176625773837,-5683673644124,-2632981255927],[3,1,0,0]]>,<17,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[14,1,0,1]>,[[-1173794289413134454746794,0,0],[503543654206888359887391,0,0],[1,0,0]]>,[[[2015585813768595014408697,871499661440234189359572,-1292624513098124180732249],[0,0,0]],[[1944581415311373904613937,84268829404070027986214,-1399131110783955845424389],[0,0,0]],[[607607831774491963266354,-955768490844304217345786,-1372475782765492496244963],[0,0,0]],[[-503543654206888359887389,0,0],[-1,0,0]],[[2,0,0],[1,0,0]]]>*] [x,x^2-x-21,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,17],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,5*17,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,17],[2,8,8],1,[1.000000000,0.9585496198,0.9067840099],<"notfaithful",0>,[5,5]>,<4,2^8*5^3*17^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[1]],[[1],[-1]]],[2,5,17],[8,9,9],1,[0,0,0],<"4.2e8_5e3_17e3.10t12.1",1>,[5,5]>,<4,2^8*5^3*17,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1]],[[1],[0],[0],[-1]]],[2,5,17],[8,8,9],1,[1.000000000,1.565135722,1.242839394],<"4.2e8_5e3_17.5t5.1",1>,[5,5]>,<5,2^8*5^4*17^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1]],[[1],[-1]],[[1],[0],[0],[-1]]],[2,5,17],[8,9,10],1,[0,0,0],<"5.2e8_5e4_17e2.10t13.1",1>,[5,5]>,<5,2^8*5^3*17^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[1],[1]]],[2,5,17],[8,9,10],1,[0,0,0],<"5.2e8_5e3_17e3.6t14.1",1>,[5,5]>,<6,2^16*5^5*17^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1]],[[1],[-1]],[[1],[0],[0],[-1]]],[2,5,17],[8,9,10],1,[0,0,0],<"6.2e16_5e5_17e3.20t35.1",1>,[5,5]>]
x^4-x^3-2*x^2+8*x-24 -11^2*367 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 191 x-1 5 [[21839438538],[-83810765964],[-27370374736],[89341702163]] 3 [4,3,5,4,5,2,5,3,4,3,2,4,4,3,4,4,2,4,4,5,4,3,4,4,5,4,5,2,5,2,5,5,4,5,4,4,5,3,5,4,5,4,1,3,5,4,4,5,4,4,3,5,5,4,3,5,5,4,4,4,4,3,3,3,2,3,3,3,4,3,5,5,3,5,5,2,5,4,3,5,4,5,2,4,4,5,4,3,2,3,2,4,4,4,4,5,3,3,5,4,3,2,1,2,2,4,4,2,5,4,4,3,5,4,1,4,3,3,5,4,5,5,3,3,2,3,3,3,5,5,3,2,3,2,3,5,5,4,2,5,3,4,2,3,4,4,3,3,5,4,5,3,2,3,4,5,3,2,5,4,2,3,5,4,3,3,5,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,3,1,[[1,4,2,3]],[[1,2,3,4],[1,4,2,3],[1,3,4,2]],[1,4,2,3],[1,4,4],[1],[[]],20,<[],[1,1,0,1]>,[[-406113,0,0],[-98554,-60434,42328],[26066,-48702,98186],[-45686,109136,121630]]>,<11,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[[2,1,4,3]]],20,<<[],[2,7,1]>,[[-136134449636845481998,-110456610436346892575],[-86444287438542164307,71408774293639382952],[1,0]]>,[[[86444287438542164309,-71408774293639382946],[-1,0]],[[2,6],[1,0]],[[175904783175015180521,30496125502691335767],[4722459355993821027,13726564370101271453]],[[-262349070613557344831,40912648790948047173],[-4722459355993821027,-13726564370101271453]]]>,<367,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[6,366,1]>,[[-898921287977071808771950442320483654465632468828314,0],[666200850540908272950745423863940936551970856052711,0],[1,0]]>,[[[6192813784368271296473537700550597226617158245293,-484937187184550534941045890349142857020189282110234],[0,0]],[[660008036756540001654271886163390339325353697806847,484937187184550534941045890349142857020189282110234],[0,0]],[[-666200850540908272950745423863940936551970856052425,0],[-1,0]],[[286,0],[1,0]]]>*] [x,x^2-x+92,x^3-x^2+2*x+3,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,367],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,367,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,11,367],[1,3,6],1,[1.000000000,1.475908215,1.172607197],<"notfaithful",0>,[4,5]>,<2,367,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,11,367],[4,3,6],1,[1.000000000,0.6087948784,0.7642099819],<"notfaithful",0>,[4,5]>,<3,11^2*367^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1]],[[1],[1]]],[2,11,367],[4,6,7],1,[0,0,0],<"3.11e2_367e2.6t8.1",1>,[4,5]>,<3,11^2*367,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1]],[[1],[0],[-1]]],[2,11,367],[4,6,7],1,[1.000000000,1.239439639,1.094265019],<"3.11e2_367.4t5.1",1>,[4,5]>]
x^6-x^5+24*x^4-31*x^3+172*x^2-213*x+291 -2^4*3^3*433^2 0 3 12 "D12" [[1,5,6,4,2,3],[2,1,4,3,5,6],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,3,2,1,6,5]>,<2,3,[4,6,5,1,3,2]>,<2,3,[2,1,4,3,5,6]>,<3,2,[5,1,4,6,2,3]>,<6,2,[3,6,5,2,4,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 19 x^2+18*x+2 8 [[-7523939749,-1770276925],[7357481860,1770276925],[-3238403923,-3590451021],[-6544537709,3590451021],[-3453731989,0],[-3580431530,0]] 3 [3,1,2,4,3,5,3,4,6,6,4,5,3,4,6,3,3,4,4,6,4,1,6,2,4,6,4,6,5,6,5,6,3,5,6,4,4,4,3,2,3,4,3,4,3,5,5,5,6,1,3,6,5,6,3,2,3,1,5,2,1,3,4,2,4,6,5,5,2,4,6,3,5,4,5,3,3,5,3,5,2,1,3,1,5,6,3,5,6,4,3,6,1,2,1,3,6,3,4,1,4,2,2,3,4,5,6,6,6,4,4,4,6,4,5,3,5,2,6,6,4,4,6,2,4,2,4,3,5,1,5,3,5,5,3,4,6,5,6,6,4,6,4,3,5,3,1,3,4,3,5,6,5,2,5,6,5,6,4,3,3,2,4,3,3,3,4,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+25,2>,<x^3+13*x^2+4499*x+26447,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[2,3,1,5,6,4],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[2,3,1,5,6,4]],[4,6,5,1,3,2],[1,3,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[-6,24],[8,-2],[0,4],[1,0]]>,[[[0,1],[1,0],[0,0]],[[0,468997],[474194,389429],[473374,83945]],[[0,-468999],[50093,134859],[50914,440343]],[[406219,-472277],[164299,22294],[163479,326958]],[[-1,-5],[349526,174763],[349525,174762]],[[-406217,472283],[10463,327231],[11284,22568]]]>,<3,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[587211798,-358571991,1]>,[[358571991,-1],[0,1],[446662894,160735709],[198122797,226684780],[-8254745,814725],[-5028353,13534182]]>,<17,2,1,[[3,4,1,2,6,5]],[[1,2,3,4,5,6],[3,4,1,2,6,5]],[3,4,1,2,6,5],[1,3],[1],[[]],20,<[],[3,16,1]>,[[1191448563679724007393726,-1958057376978167934925302],[447300470807510011552692,1020794182087066832985739],[6515342149830786985750,1958057376978167934925302],[371519184004730773387272,-1020794182087066832985739],[117365311309308596277386,95893554762809924833297],[17503049215257748027552,-95893554762809924833297]]>,<433,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,2,4,3,6,5]]],20,<[],[-5023588740129617237147890105597659747663589825570344,-7388892959178074762036118697915281795669969779993912,1]>,[[-21442912730833062655867620114837154944782288417066780,0],[21296664984836765913192839627829929564568740586063369,0],[7388892959178074762036118697915281795669969779994286,-1],[374,1],[4388353553175795935615656767279468258429497623871315,43653311789348201524000310866150699304432248204078],[-11630998766357573954976994978187524673885919572862563,-43653311789348201524000310866150699304432248204078]]>*] [x,x^2-x+325,x^2-x+1,x^2-x-108,x^3-x^2-17*x+45,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,17,433],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3*433,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,17,433],[3,7,3,7],1,[1.000000000,0.6973250781,0.8110845608],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,17,433],[2,7,2,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,433,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,17,433],[1,1,1,7],1,[1.000000000,2.248559241,1.428385695],<"notfaithful",0>,[6,3]>,<2,2^2*3*433,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,17,433],[7,8,3,8],1,[1.000000000,1.912711074,1.208592638],<"notfaithful",0>,[6,3]>,<2,2^2*3*433,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[2,3,17,433],[7,8,3,8],1,[1.000000000,1.079942313,1.037859430],<"2.2e2_3_433.6t3.2",1>,[6,3]>]
x^6-x^4-16*x^3+x^2+8*x+64 -2^4*3^3*433^2 0 3 12 "D12" [[1,3,2,5,4,6],[2,1,5,6,3,4],[6,5,4,3,2,1]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,4,5,2,3,1]>,<2,3,[6,5,4,3,2,1]>,<2,3,[1,3,2,5,4,6]>,<3,2,[4,3,6,5,1,2]>,<6,2,[3,1,4,6,2,5]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 61 x^2+60*x+2 5 [[-296634639,0],[377199816,182526339],[405371389,-182526339],[-248325789,-55451252],[-299635873,55451252],[62025096,0]] 3 [2,4,3,5,3,5,6,1,2,3,5,5,6,5,6,6,3,4,5,6,4,4,6,3,4,3,1,2,5,3,4,6,6,4,3,5,4,5,3,3,3,4,3,4,6,4,4,4,6,1,6,2,1,6,2,6,6,4,1,3,4,6,1,2,4,3,4,5,6,4,3,3,4,4,4,3,6,1,6,5,6,5,3,1,4,6,2,5,3,1,3,6,4,2,4,3,3,6,5,5,5,3,6,6,5,1,2,3,6,4,1,4,3,5,4,6,4,6,3,6,4,4,3,2,1,3,4,3,4,5,4,3,4,1,2,4,3,4,3,3,5,3,1,3,1,3,5,6,5,3,5,3,4,6,4,6,4,3,4,6,3,3,1,3,2,3,5,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+24,2>,<x^3+x-8,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[1,2,4,3,6,5],[2,1,6,5,4,3]],[[1,2,3,4,5,6],[2,1,6,5,4,3],[1,2,4,3,6,5],[2,1,5,6,3,4]],[2,1,6,5,4,3],[1,2,4,3],[2],[[[1,2,4,3,6,5]]],20,<<[],[1,1,1]>,[[172470,172470],[0,97802],[1,0]]>,[[[0,32264],[65536,0]],[[-32264,-32264],[0,65536]],[[0,1],[1,0]],[[0,-97801],[-1,0]],[[97801,97801],[0,-1]],[[-1,-1],[0,1]]]>,<3,4,2,[[2,1,4,3,6,5],[3,4,1,2,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[3,4,1,2,5,6],[4,3,2,1,6,5]],[3,4,1,2,5,6],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[203750346,0],[-1064901123,0],[1,0]]>,[[[308125380,-1435266820],[308125380,-273005353]],[[-1521472056,-989021494],[-308125380,273005353]],[[-308125381,1435266820],[-308125381,273005353]],[[456570932,989021494],[308125381,-273005353]],[[1064901124,0],[-1,0]],[[1,0],[1,0]]]>,<433,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,2,4,3,6,5]]],20,<[],[-18542690523467451274581431907588356144113927814198946,-10548014700878845837070311985886928301048907597671444,1]>,[[18904966232639066919465464472420769403575299665818472,0],[-10548014700878845837070311985886928301048907597671866,0],[10548014700878845837070311985886928301048907597671655,-1],[211,1],[-5535773942857427732506097288754753522223024886328996,46911869625823454423645872436718343330575776957560],[-13369192289781639186959367183666015881352274779489476,-46911869625823454423645872436718343330575776957560]]>*] [x,x^2+433,x^2-x+1,x^2-1299,x^3+x-8,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,433],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^2*433,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,433],[7,3,7],1,[1.000000000,0.9058518485,0.8903099092],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,433],[2,7,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,2^2*3*433,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,433],[7,7,7],1,[1.000000000,1.654947071,1.077647843],<"notfaithful",0>,[6,3]>,<2,2^2*433,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,433],[7,3,7],1,[1.000000000,1.808433165,1.319114975],<"notfaithful",0>,[6,3]>,<2,2^2*3^2*433,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1]],[[1],[-1]]],[2,3,433],[7,8,9],1,[1.000000000,0.6188819034,0.7839235506],<"2.2e2_3e2_433.6t3.4",1>,[6,3]>]
