x^2-x+2751 -11003 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-48],[49]] 2 [2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<11003,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[30269253,11003,1]>,[[-5501,-1],[5502,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[11003],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,11003,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[11003],[3],1,[1.000000000,0.8086453255,0.8724057446],<"1.11003.2.1.2t1.1",1>,[2,1]>]
x^3+14*x-1 -11003 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 7 x-1 5 [[4684],[-2161],[-2523]] 2 [2,3,2,1,2,2,1,3,2,2,3,2,2,2,3,2,2,2,2,3,2,2,3,2,2,3,1,2,2,2,2,3,2,3,2,3,3,1,3,2,3,3,3,3,3,2,3,2,1,3,1,2,3,1,2,3,2,2,2,2,3,2,3,3,1,3,2,2,2,2,3,2,3,2,1,2,3,2,1,3,1,2,2,2,2,2,3,2,1,3,2,3,2,1,2,3,1,3,1,2,3,3,1,2,2,2,2,3,2,1,2,2,2,2,1,2,3,2,2,2,3,3,2,2,2,3,2,3,2,2,2,1,1,2,2,2,3,1,3,2,3,2,3,3,1,2,2,2,1,3,2,3,2,3,2,2,3,3,3,3,3,2,3,3,1,3,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<11003,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[83664309981748122590922280977393668145774274771231137240155227797644271552137192,61667066859418215515371691586665431247160542892965897691346937739271388350950960,1]>,[[61667066859418215515371691586665431247160542892965897691346937739271388350948602,0],[-61667066859418215515371691586665431247160542892965897691346937739271388350949781,-1],[1179,1]]>*] [x,x^2-x+2751,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[11003],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,11003,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[11003],[4],1,[1.000000000,0.8086453255,0.8724057446],<"notfaithful",0>,[3,2]>,<2,11003,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[11003],[4],1,[1.000000000,1.264803438,0.9932320743],<"2.11003.6.1.3t2.1",1>,[3,2]>]
x^4-x^3-2*x-3 -11003 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 5 x^2+4*x+2 5 [[1196,0],[-122,-1444],[-596,1444],[-477,0]] 3 [5,4,3,2,5,3,2,4,3,3,4,3,5,5,4,5,5,5,5,4,5,3,4,5,5,4,2,5,5,5,3,4,3,4,3,4,4,2,4,3,4,4,4,4,4,5,4,5,2,4,2,3,4,2,5,4,5,3,3,3,4,3,4,4,2,4,3,5,3,5,4,3,4,5,2,5,4,3,2,4,2,3,5,5,3,3,4,5,2,4,3,4,3,2,5,4,2,4,2,3,4,4,2,5,5,5,3,4,5,2,3,3,3,3,2,3,4,5,5,3,4,4,3,3,5,4,3,4,3,5,3,2,1,3,5,3,4,2,4,5,4,5,4,4,2,3,5,5,2,4,5,4,3,4,3,5,4,4,4,4,4,3,4,4,2,4,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<11003,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[230905712188981011767195282443732718403099244816965256497780049407959895845920130,177568092229564636434474742675553981972636360711409037583182806525780739843554178,1]>,[[-130589428032909418262867334031532360581656905246792499089494853342585950549624972,0],[308157520262474054697342076707086342554293265958201536672677659868366690393166503,0],[-177568092229564636434474742675553981972636360711409037583182806525780739843547854,-1],[6324,1]]>*] [x,x^2-x+2751,x^3+14*x-1,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[11003],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,11003,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[11003],[6],1,[1.000000000,0.8086453255,0.8724057446],<"notfaithful",0>,[4,5]>,<2,11003,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[11003],[6],1,[1.000000000,1.264803438,0.9932320743],<"notfaithful",0>,[4,5]>,<3,11003^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1]]],[11003],[6],1,[0,0,0],<"3.11003e2.24.1.6t8.1",1>,[4,5]>,<3,11003,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-2],[1]]],[11003],[6],1,[1.000000000,0.5664472263,0.7675697634],<"3.11003.24.1.4t5.1",1>,[4,5]>]
x^4-2*x^3-3*x-2 -11003 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 233 x-1 5 [[-292925272551],[280382807137],[173982740043],[-161440274627]] 3 [3,4,5,2,5,5,2,4,5,5,4,3,5,3,4,5,3,5,5,4,5,3,4,3,3,4,2,3,3,3,5,4,5,4,5,4,4,2,4,3,4,4,4,4,4,5,4,5,2,4,1,3,4,2,3,4,5,5,5,5,4,3,4,4,2,4,3,3,5,5,4,3,4,3,2,5,4,3,1,4,2,5,5,3,3,5,4,5,2,4,5,4,3,2,5,4,2,4,2,3,4,4,2,3,5,3,3,4,3,2,3,3,5,5,2,3,4,3,5,5,4,4,5,3,3,4,5,4,3,3,5,1,2,3,3,5,4,2,4,3,4,3,4,4,1,5,5,3,1,4,5,4,5,4,5,3,4,4,4,4,4,5,4,4,2,4,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<11003,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[134183702595787499808982270384041310466360951412311537272569471135160058179634454,76260020782773959747694163014651285738920357494770137496272379724230169805673988,1]>,[[-81888065864043111896740160693211287406042723419606804186755610650671853867114258,0],[158148086646817071644434323707862573144963080914376941683027990374902023672775118,0],[-76260020782773959747694163014651285738920357494770137496272379724230169805667423,-1],[6565,1]]>*] [x,x^2-x+2751,x^3+14*x-1,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[11003],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,11003,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[11003],[6],1,[1.000000000,0.8086453255,0.8724057446],<"notfaithful",0>,[4,5]>,<2,11003,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[11003],[6],1,[1.000000000,1.264803438,0.9932320743],<"notfaithful",0>,[4,5]>,<3,11003^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1]]],[11003],[6],1,[0,0,0],<"3.11003e2.24.1.6t8.2",1>,[4,5]>,<3,11003,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-2],[1]]],[11003],[6],1,[1.000000000,1.452562241,1.313243751],<"3.11003.24.1.4t5.2",1>,[4,5]>]
x^4-x^3-3*x^2-5*x-3 -11003 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 17 x-1 5 [[545736],[401259],[-383151],[-563843]] 3 [5,4,5,2,3,5,1,4,5,5,4,3,3,5,4,3,5,3,3,4,3,3,4,5,5,4,2,5,5,5,5,4,5,4,5,4,4,2,4,3,4,4,4,4,4,3,4,3,2,4,2,3,4,2,5,4,3,5,5,5,4,3,4,4,1,4,3,5,5,3,4,3,4,5,2,3,4,3,2,4,2,5,3,5,3,5,4,3,2,4,5,4,3,1,3,4,2,4,2,3,4,4,2,5,3,5,3,4,5,2,3,3,5,5,2,3,4,5,3,5,4,4,5,3,5,4,5,4,3,5,5,2,2,3,5,5,4,2,4,5,4,5,4,4,2,5,3,5,2,4,3,4,5,4,5,5,4,4,4,4,4,5,4,4,1,4,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<11003,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[-232865313564903871206399670268725089994759335687437819506063978917976811914314847,-170200081499122636041640882874149366566286538577193942910458543643413874187366460,1]>,[[-204294372953933118638953070750752022924262969556348173345951336638631318233247348,0],[34094291454810482597312187876602656357976430979154230435492792995217444045877307,0],[170200081499122636041640882874149366566286538577193942910458543643413874187368251,-1],[1791,1]]>*] [x,x^2-x+2751,x^3+14*x-1,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[11003],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,11003,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[11003],[6],1,[1.000000000,0.8086453255,0.8724057446],<"notfaithful",0>,[4,5]>,<2,11003,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[11003],[6],1,[1.000000000,1.264803438,0.9932320743],<"notfaithful",0>,[4,5]>,<3,11003^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1]]],[11003],[6],1,[0,0,0],<"3.11003e2.24.1.6t8.3",1>,[4,5]>,<3,11003,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-2],[1]]],[11003],[6],1,[1.000000000,0.4471497749,0.7172592924],<"3.11003.24.1.4t5.3",1>,[4,5]>]
