x^5-x^4+x+1 2^4*349 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 19 x^2+18*x+2 5 [[403001,-749752],[-1053586,587408],[855078,0],[-958057,749752],[753565,-587408]] 3 [5,6,6,5,7,5,6,3,4,4,6,6,4,2,5,7,2,7,6,5,4,5,3,5,7,5,7,5,4,7,5,5,5,6,5,6,6,5,5,5,2,3,3,7,7,5,5,6,6,7,4,6,4,5,6,4,3,4,2,6,4,3,6,5,4,2,5,6,5,2,4,5,5,2,5,7,5,6,7,4,3,5,5,7,5,6,4,4,7,7,4,6,5,3,5,7,7,2,2,4,4,5,3,7,7,4,4,2,7,7,3,3,3,5,3,6,5,3,6,7,3,3,7,6,7,4,7,7,4,5,4,3,7,7,7,7,4,7,2,6,2,4,4,5,5,5,3,7,5,2,7,5,6,2,7,5,5,6,4,4,6,6,4,6,6,4,6,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,20,5,[[2,3,4,5,1],[1,3,5,2,4]],[[1,2,3,4,5],[3,2,1,5,4],[4,2,5,3,1],[5,2,4,1,3],[2,3,4,5,1]],[1,3,5,2,4],[1,3,5,5,6],[1],[[[2,3,4,5,1]]],20,<<[],[1,1,0,0,1]>,[[2,0,0,0],[2,0,0,0],[4,0,0,0],[6,0,0,0],[4,0,0,0],[1,0,0,0]]>,[[[1,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[373021,116756,-95116,147836],[489698,158364,374858,128643],[385738,116268,113559,164792],[362316,103849,144094,483088],[512808,45191,425407,159456]],[[179529,-437084,-92672,239372],[81438,223862,462909,283347],[460711,269817,506436,264756],[341540,286032,451975,280624],[213863,93355,178033,110388]],[[-179583,442032,228300,-239444],[67136,424887,297118,89515],[388598,318497,487346,343368],[359127,446150,213459,478836],[110677,53581,489815,322332]],[[-372967,-121704,-40512,-147764],[410303,241463,437979,22783],[337817,343994,465523,275660],[509881,212545,239048,330316],[211228,332161,479609,456400]]]>,<349,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,348,1]>,[[211002424892101215359092688665550493957259942451481,0],[-55579982253185810944990710276329648896923271503767,0],[1,0]]>,[[[316858336716443854080412930771111066677118828671752,0],[0,0]],[[-192950301539140160229995068271055414220868927431505,161034741938837358330200105298939248767769067680221],[0,0]],[[-179488017430489504795408572776385301353173172744335,-161034741938837358330200105298939248767769067680221],[0,0]],[[55579982253185810944990710276329648896923271503928,0],[-1,0]],[[161,0],[1,0]]]>*] [x,x^2-x-87,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,349],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,349,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,349],[2,8],1,[1.000000000,1.051432743,0.9143206818],<"notfaithful",0>,[5,5]>,<4,2^4*349^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[1]]],[2,349],[8,9],1,[0,0,0],<"4.2e4_349e3.10t12.1",1>,[5,5]>,<4,2^4*349,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1]],[[1],[-1],[-1],[1]]],[2,349],[8,9],1,[1.000000000,0.4898219286,0.8456291611],<"4.2e4_349.5t5.1",1>,[5,5]>,<5,2^4*349^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1],[-1],[1]]],[2,349],[8,9],1,[0,0,0],<"5.2e4_349e2.10t13.1",1>,[5,5]>,<5,2^4*349^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[0],[-1]]],[2,349],[8,9],1,[0,0,0],<"5.2e4_349e3.6t14.1",1>,[5,5]>,<6,2^4*349^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[1]],[[1],[1],[-1],[-1]]],[2,349],[8,9],1,[0,0,0],<"6.2e4_349e3.20t35.1",1>,[5,5]>]
x^2-x+6084 -5*31*157 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[90],[-89]] 2 [1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[6090,5,1]>,[[-2,-1],[3,1]]>,<31,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[6324,31,1]>,[[-15,-1],[16,1]]>,<157,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[12246,157,1]>,[[-78,-1],[79,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,31,157],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*31*157,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,31,157],[3,3,3],1,[1.000000000,3.705544392,1.534574836],<"1.5_31_157.2t1.1",1>,[2,1]>]
x^2-x-3889 47*331 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[-66932],[66933]] 1 [2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<47,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-3337,47,1]>,[[-23,-1],[24,1]]>,<331,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[23501,331,1]>,[[-165,-1],[166,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[47,331],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,47*331,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[47,331],[3,3],1,[1.000000000,0.4695619228,0.6898793312],<"1.47_331.2t1.1",1>,[2,1]>]
