x^2-x-1390 67*83 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-1040],[1041]] 1 [1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<67,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-268,67,1]>,[[-33,-1],[34,1]]>,<83,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[332,83,1]>,[[-41,-1],[42,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[67,83],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,67*83,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[67,83],[3,3],1,[1.000000000,1.728580253,1.225967098],<"1.67_83.2t1.1",1>,[2,1]>]
x^4-2*x^3+3*x^2+28*x+98 2^6*1801 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 43 x-1 5 [[-1559175],[29487520],[14566022],[-42494365]] 3 [1,2,3,3,4,5,2,4,5,5,5,3,4,1,5,3,4,5,2,5,1,5,4,1,4,3,3,2,5,2,5,4,4,4,5,5,5,4,5,5,4,3,5,1,3,3,1,3,1,5,1,3,4,4,1,3,5,3,5,4,1,3,4,5,4,3,2,4,4,3,2,3,3,3,4,5,3,5,2,4,1,5,5,4,3,4,2,1,3,3,1,5,3,4,4,3,5,1,4,3,2,5,1,4,4,2,1,4,3,2,3,5,2,1,5,4,2,3,5,4,5,4,5,4,1,5,5,3,5,3,4,3,3,5,4,2,3,1,5,4,4,3,5,2,3,5,5,4,4,3,5,4,1,3,4,3,3,4,2,3,4,2,5,4,1,5,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-28,2>,<x^2-62*x-840,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[3],[[[2,1,4,3]]],20,<[],[-370142,306080,1]>,[[0,1],[218208,262143],[-11951,29464],[-9647,3304]]>,<7,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[3,6,1]>,[[-37933885598554492,-29066386476635294],[-23120099333966730,29066386476635294],[2428773852182013,2032822314013610],[1630735153473496,-2032822314013610]]>,<1801,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-25698517335574468602034516739211966175457676848392436353679567345,50916627858088515062308191386869614756145457358988480589187365485,1]>,[[-26469309787667558609409909320021553848607341417088129451370909521,0],[-51520396004783668960295232302938035205250570785999120200537362735,0],[-50916627858088515062308191386869614756145457358988480589187364614,-1],[871,1]]>*] [x,x^2+2,x^2-x-450,x^2+3602,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,1801],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,1801],[6,3,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[4,3]>,<1,1801,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,1801],[1,1,6],1,[1.000000000,3.266713486,1.567128988],<"notfaithful",0>,[4,3]>,<1,2^3*1801,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,1801],[6,3,6],1,[1.000000000,1.256288141,1.062746133],<"notfaithful",0>,[4,3]>,<2,2^3*1801,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,7,1801],[6,3,6],1,[1.000000000,1.130401461,1.075975082],<"2.2e3_1801.4t3.1",1>,[4,3]>]
x^4-2*x^3+27*x^2-26*x+119 2^6*1801 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 7 x-1 8 [[1481823],[-1481822],[563579],[-563578]] 2 [3,3,3,1,5,5,1,5,4,5,4,3,4,3,4,3,5,5,3,4,2,4,5,1,4,3,1,3,5,2,4,5,4,5,5,4,5,5,4,5,5,3,4,1,3,2,3,2,3,5,1,1,4,5,1,2,5,2,5,4,3,3,5,4,4,3,3,4,5,3,2,2,1,3,5,4,3,5,2,4,3,5,4,4,2,5,1,2,3,2,3,4,1,5,5,2,5,2,5,3,3,5,3,4,5,2,3,4,2,2,2,5,1,3,4,4,3,2,5,5,5,4,5,5,3,5,5,2,4,3,5,1,1,5,4,2,3,3,5,4,5,3,4,3,3,4,5,4,5,1,5,4,3,1,5,1,1,4,2,3,5,1,4,5,2,4,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-26,2>,<x^2+50*x-1176,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[3],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[-61194,173380],[-86692,-173380],[1,0]]>,[[[0,1],[1,0]],[[86692,173381],[262143,0]],[[-86691,-173381],[1,0]],[[1,-1],[262143,0]]]>,<5,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,4,1]>,[[6799234950649,-2062981655840],[-4022324754116,2062981655840],[-6799234950648,2062981655840],[4022324754117,-2062981655840]]>,<1801,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[44840283739854194786905492706968453553786062254013853933589335591,1801,1]>,[[38862494016452583530621205852103757273805369505325647351887077589,0],[-38862494016452583530621205852103757273805369505325647351887077588,0],[-900,-1],[901,1]]>*] [x,x^2-2,x^2-x-450,x^2-3602,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,1801],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,1801],[6,3,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<1,1801,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,1801],[1,1,6],1,[1.000000000,3.266713486,1.567128988],<"notfaithful",0>,[4,3]>,<1,2^3*1801,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,1801],[6,3,6],1,[1.000000000,0.8879647799,0.8982078570],<"notfaithful",0>,[4,3]>,<2,2^3*1801,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,5,1801],[6,3,7],1,[1.000000000,1.151134132,0.8511191445],<"2.2e3_1801.4t3.2",1>,[4,3]>]
x^6-2*x^5-5*x^4+4*x^3+11*x^2+8*x+2 2^7*7*29^2 2 2 48 "C2*S4" [[2,1,3,4,6,5],[5,2,3,4,1,6],[2,3,1,5,6,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,6,4,3,1,2]>,<2,3,[1,2,4,3,5,6]>,<2,3,[5,2,4,3,1,6]>,<2,6,[2,1,3,4,6,5]>,<2,6,[2,1,4,3,6,5]>,<3,8,[2,3,1,5,6,4]>,<4,6,[3,2,5,1,4,6]>,<4,6,[3,6,5,1,4,2]>,<6,8,[2,3,5,1,6,4]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 101 x^2+97*x+2 8 [[402411294546320,0],[-3613743963906091,3368845726066212],[5293799352376176,-3368845726066212],[-4901615255819858,3766012614471645],[4852707518825644,0],[-2033558946022189,-3766012614471645]] 5 [4,10,7,8,7,7,6,3,8,6,7,8,8,7,7,10,6,9,9,8,6,10,6,6,8,5,9,5,10,9,3,3,9,8,10,6,9,7,9,4,9,7,3,9,3,9,7,9,6,5,7,6,10,10,10,10,5,7,3,7,8,5,10,4,10,8,7,9,5,7,3,10,1,10,4,5,6,7,7,8,8,8,6,8,9,1,9,4,9,6,10,7,8,7,9,7,7,10,8,6,5,3,10,5,9,8,8,10,10,8,7,10,5,10,8,5,8,5,8,7,4,7,9,5,6,10,10,5,4,9,7,2,3,6,3,6,9,8,5,9,6,10,3,7,5,7,5,10,10,6,10,6,5,7,4,10,6,2,2,7,7,7,10,3,7,7,6,9] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-10*x^2-75*x+1000,4>,<x^6-62*x^5+1356*x^4-11304*x^3-17480*x^2+839568*x-3823616,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x+8,2>,<x^6+6*x^5-474*x^4-9492*x^3-75247*x^2-279714*x-405376,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,8,4,[[2,1,3,4,5,6],[2,1,4,3,6,5],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[2,1,3,4,5,6],[1,2,6,5,4,3],[2,1,6,5,4,3],[1,2,4,3,6,5],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,5,6,3,4]],[1,2,6,5,4,3],[1,3,4,2,5,6,5,6],[2,4],[[[2,1,3,4,5,6],[2,1,4,3,6,5]],[[2,1,3,4,5,6]]],20,<<[],[1,1,1]>,[[511766,179744],[375804,257536],[204050,184640],[55068,412992],[1,0]]>,[[[-121716,-60112],[5082,-98432],[223721,46296],[12655,83720]],[[-222900,60112],[-5082,98432],[38423,215848],[249489,178424]],[[-245156,-169743],[5598,-3792],[214283,-105736],[-74804,202176]],[[62722,-15455],[-5598,3792],[-214283,105736],[74804,-202176]],[[107825,-159361],[207986,115312],[82365,-157672],[240724,-12416]],[[-105061,-179729],[-207986,-115312],[-82365,157672],[-240724,12416]]]>,<7,8,2,[[1,2,3,4,6,5],[2,3,4,1,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[2,3,4,1,5,6],[4,1,2,3,5,6],[2,3,4,1,6,5],[4,1,2,3,6,5]],[2,3,4,1,5,6],[1,4,3,2,8,8,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[3,4,5,0,1]>,[[-4599371312632376,0,0,0],[16624822483777809,0,0,0],[1,0,0,0]]>,[[[-2868351161824788,31396043106405078,-39225684821527032,-2900225866988887],[0,0,0,0]],[[8122136513576739,14107275958228669,36913786669213383,-22790156401999390],[0,0,0,0]],[[-26575526700912327,-33832949301250509,18705980264975829,-19182872136631117],[0,0,0,0]],[[37946563832938183,-11670369763383238,-16394082112662180,-34919011891992607],[0,0,0,0]],[[-16624822483777807,0,0,0],[-1,0,0,0]],[[2,0,0,0],[1,0,0,0]]]>,<29,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,6,5,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,24,1]>,[[29042897549701683095883505114,68055956996504353964833199668],[-79634044506531274109007373425,-66765229244705639380510562637],[1,0]]>,[[[-25098721819685304089082232224,-3222426970431890812921254096],[0,0]],[[52239525470680075421027866080,3222426970431890812921254096],[0,0]],[[79634044506531274109007373425,66765229244705639380510562650],[-1,0]],[[0,13],[1,0]],[[-40732401305670745346035223140,-65599354879156301817821586754],[233805864831365760841751470,-2364609402494848230430387901]],[[-66042446851855300094917784139,-1165874365549337562688975909],[-233805864831365760841751470,2364609402494848230430387901]]]>*] [x,x^2+406,x^2+29,x^2-14,x^6+42*x^4+441*x^2+19894,x^3-x^2-2,x^4-2*x^3-5*x^2-8*x+2,0,0,x^4-2*x^3-5*x^2-8*x+2] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,29],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,2^3*7*29,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,29],[11,11,11],1,[1.000000000,1.247317004,0.9560084366],<"notfaithful",0>,[6,11]>,<1,2^2*29,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,29],[11,5,11],1,[1.000000000,1.750137331,1.161305134],<"notfaithful",0>,[6,11]>,<1,2^3*7,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,29],[11,11,2],1,[1.000000000,0.9087107831,0.9420581177],<"notfaithful",0>,[6,11]>,<2,2^6*7^2*29,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,7,29],[11,11,12],1,[1.000000000,0.7045803305,1.041398183],<"notfaithful",0>,[6,11]>,<2,2^2*29,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,7,29],[11,5,11],1,[1.000000000,1.001971004,1.128628533],<"notfaithful",0>,[6,11]>,<3,2^6*7^2*29,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]],[[1],[-2],[1]]],[2,7,29],[11,12,13],1,[1.000000000,1.704016536,1.307802957],<"notfaithful",0>,[6,11]>,<3,2^5*7*29,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[1]],[[1],[2],[1]]],[2,7,29],[11,12,13],1,[1.000000000,0.6139693000,0.7980147355],<"3.2e5_7_29.6t11.4",1>,[6,11]>,<3,2^5*7*29^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[1]]],[2,7,29],[11,12,11],1,[1.000000000,0.7010673281,0.8011232198],<"3.2e5_7_29e2.6t11.4",1>,[6,11]>,<3,2^8*7^2*29^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[-1]]],[2,7,29],[11,12,12],1,[0,0,0],<"notfaithful",0>,[6,11]>]
x^6+8*x^4-19*x^2+14 -2^9*7^3*97^2 0 3 12 "D12" [[6,5,4,3,2,1],[1,6,5,4,3,2],[4,3,2,1,6,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,3,2,1,6,5]>,<2,3,[1,6,5,4,3,2]>,<3,2,[3,4,5,6,1,2]>,<6,2,[2,3,4,5,6,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 13 x^2+12*x+2 9 [[-4314049365,1733215628],[-4347936994,0],[-3903638155,-1733215628],[4314049365,-1733215628],[4347936994,0],[3903638155,1733215628]] 3 [1,5,4,4,3,4,6,4,4,2,3,6,6,3,3,3,4,1,6,4,3,5,4,3,3,1,3,6,3,5,4,4,4,4,6,5,4,3,3,4,6,4,5,5,3,6,2,2,5,5,4,4,3,4,2,4,5,6,2,4,1,5,5,6,3,6,6,4,6,4,3,4,6,6,3,6,3,5,4,6,5,3,5,6,6,2,5,4,5,5,5,3,5,3,6,3,5,3,4,6,3,3,4,4,3,6,4,3,4,2,3,3,5,4,5,4,5,3,6,2,5,5,5,3,1,3,2,6,3,5,6,5,1,2,2,6,5,5,4,5,1,6,5,6,1,2,4,3,4,4,3,3,6,2,6,4,4,2,3,4,6,4,1,1,4,6,4,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x+48,2>,<x^3+84*x^2+2052*x+99360,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[3],[[[2,1,4,3,6,5]]],20,<[],[217230,0,1]>,[[0,1],[0,262143],[-25047,12689],[-25047,52847],[25047,12689],[25047,52847]]>,<7,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,6,1]>,[[27350846371208675,0],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[1,0]],[[-24564983354795764,18409094314272079],[-2179474359285056,0]],[[-24564983354795764,18409094314272079],[2179474359285056,0]],[[24564983354795764,-18409094314272079],[-2179474359285056,0]],[[24564983354795764,-18409094314272079],[2179474359285056,0]]]>,<97,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,3,4,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[5,96,1]>,[[1712978160477610836813689304541781180806,611549689824467323585559794394421173210],[1323641851207736363152888755904325499932,1613642705436507341794775300883673891859],[1,0]]>,[[[-1303015770566979987520607539698897084371,-1499922507313419238667024909941132196658],[0,0]],[[1303015770566979987520607539698897084371,1499922507313419238667024909941132196658],[0,0]],[[-1323641851207736363152888755904325499903,-1613642705436507341794775300883673891820],[-1,0]],[[29,39],[1,0]],[[-29,-39],[-1,0]],[[1323641851207736363152888755904325499903,1613642705436507341794775300883673891820],[1,0]]]>*] [x,x^2+1358,x^2+14,x^2-x-24,x^3+11*x-2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,97],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^3*7*97,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,7,97],[7,7,7],1,[1.000000000,1.023013191,1.065082597],<"notfaithful",0>,[6,3]>,<1,2^3*7,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,97],[7,7,2],1,[1.000000000,1.679251908,1.165526701],<"notfaithful",0>,[6,3]>,<1,97,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,97],[1,2,7],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[6,3]>,<2,2^3*7*97,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,7,97],[7,7,7],1,[1.000000000,1.588835893,1.210769645],<"notfaithful",0>,[6,3]>,<2,2^3*7*97,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[-1]],[[1],[1]]],[2,7,97],[7,8,8],1,[1.000000000,1.337235798,1.168503094],<"2.2e3_7_97.6t3.2",1>,[6,3]>]
