x^2-x+24 -5*19 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-21],[22]] 2 [1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[30,5,1]>,[[-2,-1],[3,1]]>,<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[114,19,1]>,[[-9,-1],[10,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,19],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*19,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,19],[3,3],1,[1.000000000,2.578564843,1.478883863],<"1.5_19.2t1.1",1>,[2,1]>]
x^4-x^3-2868*x^2+84617*x-697045 5*7649^3 4 0 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 11 [[-37181839715941],[-14385708309203],[-44076694524898],[-20846016348176]] 1 [4,3,1,3,1,3,4,1,4,2,5,4,2,4,3,4,5,5,3,5,4,2,3,2,3,5,3,4,5,3,3,5,3,1,5,1,4,4,3,4,5,5,1,3,4,5,1,3,3,5,3,1,5,2,4,4,1,2,3,1,3,4,3,5,4,3,1,3,3,2,3,2,4,4,5,4,5,4,5,5,2,5,5,4,1,3,2,3,5,3,4,5,3,2,5,4,1,2,3,2,3,4,4,1,2,3,3,4,2,5,3,3,3,1,1,5,4,3,3,2,2,3,3,4,5,5,5,5,3,4,5,3,2,4,2,2,4,3,3,1,5,5,4,3,5,1,3,4,1,3,3,5,3,3,4,1,5,2,4,2,4,4,3,5,3,4,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-83661,2>,<x^2-167322*x+6999124676,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[1,1,1]>,[[-313044,149279],[-462323,-149279],[220609,0],[30471,0]]>,<5,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-5596923653905,279846182675,1]>,[[13336922725535,0],[6016409785262,0],[-279846182673,-1],[2,1]]>,<7649,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[1082993960554000,755159839890,197458935,22947,1]>,[[37900051135,19795611,24578113693362272527009771414348811719593160200913464226753620561012772586,12289056846681136263504885707174405859796580100456732113376810280506384570],[122656925297801502042848480875377911319675918667660243331213401209461249781847,28676574006560112828574650705215636595496978759613803550737280851991960552,13759788703504944860484246424703032941473717479721130584467999672433862835,-6144528423340568131752442853587202929898290050228366056688405140253192285],[-122656925297801502042848480875377911319675918667660243331213401209499149838718,-28676574006560112828574650705215636595496978759613803550737280852011756164,23107381836538463930030410696820184637916022821649065755662431169085287428,-6144528423340568131752442853587202929898290050228366056688405140253192285],[5737,1,0,0]]>*] [x,x^2-x-1912,x^2-x-9561,x^2-x-1,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,7649],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,7649,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,7649],[1,1,6],1,[1.000000000,1.919217592,1.238933335],<"notfaithful",0>,[4,3]>,<1,5*7649,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,7649],[4,6,6],1,[1.000000000,1.311885074,0.9289675337],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,7649],[3,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<2,5*7649^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,5,7649],[3,6,7],1,[0,0,0],<"2.5_7649e2.4t3.1",1>,[4,3]>]
x^8-36*x^6+432*x^4-1836*x^2+1377 2^24*3^4*17^3 8 0 32 "C4wrC2" [[8,7,6,5,4,3,2,1],[4,6,2,8,1,7,3,5],[7,1,5,3,6,4,8,2],[1,3,7,4,5,2,6,8],[1,7,6,4,5,3,2,8]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<2,2,[1,7,6,4,5,3,2,8]>,<2,4,[3,4,1,2,7,8,5,6]>,<4,1,[4,6,2,8,1,7,3,5]>,<4,1,[5,3,7,1,8,2,6,4]>,<4,2,[1,3,7,4,5,2,6,8]>,<4,2,[1,6,2,4,5,7,3,8]>,<4,2,[8,6,2,5,4,7,3,1]>,<4,2,[8,3,7,5,4,2,6,1]>,<4,2,[4,3,7,8,1,2,6,5]>,<4,4,[7,1,5,3,6,4,8,2]>,<8,4,[6,1,5,7,2,4,8,3]>,<8,4,[7,4,1,3,6,8,5,2]>] [[1,1,1,1,1,1,1,1],[1,1,1,1,2,2],[1,1,1,1,4],[2,2,2,2],[2,2,4],[4,4],[8]] 89 x-1 15 [[18627724906379271704556427283],[21625352649922022661138576154],[-72951923733462133928936474314],[-56492456917667391988843624361],[56492456917667391988843624361],[72951923733462133928936474314],[-21625352649922022661138576154],[-18627724906379271704556427283]] 1 [3,13,13,10,14,12,8,4,10,13,7,13,8,4,11,4,4,14,12,7,7,10,4,1,7,12,2,13,14,8,3,13,11,13,12,3,12,14,7,13,4,14,11,10,14,7,14,6,14,4,7,11,9,12,6,3,13,11,13,5,14,12,12,9,10,14,4,7,14,4,11,5,8,12,13,3,4,14,8,11,14,12,10,3,7,12,8,3,4,2,4,7,8,4,14,8,12,10,12,13,13,12,4,3,14,11,4,3,1,10,9,12,9,14,6,7,13,11,14,12,4,8,13,13,14,12,13,9,11,4,4,9,7,4,11,11,4,13,4,10,13,13,8,14,12,8,13,10,4,2,14,7,12,7,14,10,11,10,5,14,13,1,5,4,3,9,7,14] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2,2],"CYC",0,3*],[*[1,1,1,1,4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x^2-1872*x+847296,7>,<x^2-1440*x+469728,8>]*],[*[2,2,2,2],"RES",<[1],x^2-3*x+1>,[<x-216,2>,<x^4-44064*x^2+228427776,4>]*],[*[2,2,4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x^2+1872*x+847296,9>,<x^2+1440*x+469728,10>]*],[*[4,4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x+216,5>,<x-216,6>,<x^2-2592,11>,<x^4-44064*x^2+228427776,12>]*],[*[8],"RES",<[1],x^7+2*x^6+3*x^5+4*x^4+5*x^3+6*x^2+7*x+8>,[<x^4-5938603200*x^2+8231380829712000000,13>,<x^4-30871130688*x^2+165887758630374220800,14>]*]] [*<2,16,8,[[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4],[1,2,4,3,5,6,8,7]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[1,2,4,3,5,6,8,7],[3,4,1,2,7,8,5,6],[8,7,5,6,3,4,2,1],[5,6,7,8,2,1,4,3],[6,5,8,7,1,2,3,4],[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4],[8,7,6,5,3,4,1,2]],[1,2,4,3,5,6,8,7],[1,2,3,4,4,5,6,12,11,12],[2,4,8],[[[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4]],[[3,4,2,1,7,8,6,5]],[[2,1,4,3,6,5,8,7]]],20,<<[],[1,1,1]>,[[-62,0],[-2152,0],[244,0],[1064,0],[-38,0],[-160,0],[-8,0],[8,0],[1,0]]>,[[[1,0],[1,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]],[[-1,0],[-1,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]],[[-19263,-38526],[-20267,-40534],[12338,24676],[40314,-50444],[-31795,-63590],[-65305,462],[-29473,-58946],[-22935,-45870]],[[19263,38526],[20267,40534],[-12338,-24676],[-40314,50444],[31795,63590],[65305,-462],[29473,58946],[22935,45870]],[[-43687,0],[3,0],[-1,0],[-43691,0],[0,0],[0,0],[0,0],[0,0]],[[43687,0],[-3,0],[1,0],[43691,0],[0,0],[0,0],[0,0],[0,0]],[[56137,-18798],[-7197,-14394],[-62069,6934],[-45083,40906],[6805,13610],[59229,-12614],[-36602,57868],[-42678,45716]],[[-56137,18798],[7197,14394],[62069,-6934],[45083,-40906],[-6805,-13610],[-59229,12614],[36602,-57868],[42678,-45716]]]>,<3,8,2,[[4,5,6,7,8,1,2,3]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[7,8,1,2,3,4,5,6],[3,4,5,6,7,8,1,2],[4,5,6,7,8,1,2,3],[2,3,4,5,6,7,8,1],[8,1,2,3,4,5,6,7],[6,7,8,1,2,3,4,5]],[4,5,6,7,8,1,2,3],[1,2,5,6,13,14,13,14],[1],[[[5,6,7,8,1,2,3,4]]],20,<<[],[2,0,0,2,1]>,[[1717591044,1255311933,493456923,-550284921],[475577730,-974277882,-696788406,-280762686],[1,0,0,0]]>,[[[-17122752,-4916376,-16115274,25531038],[14176052,7463826,10337220,4760856]],[[52916652,-30581550,22200237,-16557048],[9588420,27198275,28057959,33744780]],[[9191232,-13105233,45041994,2207412],[4480997,6725489,40737405,39425049]],[[59199174,-35992917,-55514079,62252226],[4381310,25408198,14171256,37901865]],[[17122752,4916376,16115274,-25531038],[28870669,35582895,32709501,38285865]],[[-52916652,30581550,-22200237,16557048],[33458301,15848446,14988762,9301941]],[[-9191232,13105233,-45041994,-2207412],[38565724,36321232,2309316,3621672]],[[-59199174,35992917,55514079,-62252226],[38665411,17638523,28875465,5144856]]]>,<17,16,4,[[1,2,3,4,6,7,8,5],[2,3,4,1,5,6,7,8]],[[1,2,3,4,5,6,7,8],[3,4,1,2,5,6,7,8],[1,2,3,4,7,8,5,6],[3,4,1,2,7,8,5,6],[2,3,4,1,5,6,7,8],[4,1,2,3,5,6,7,8],[1,2,3,4,6,7,8,5],[1,2,3,4,8,5,6,7],[2,3,4,1,6,7,8,5],[4,1,2,3,8,5,6,7],[4,1,2,3,6,7,8,5],[2,3,4,1,8,5,6,7],[3,4,1,2,6,7,8,5],[3,4,1,2,8,5,6,7],[2,3,4,1,7,8,5,6],[4,1,2,3,7,8,5,6]],[2,3,4,1,5,6,7,8],[1,3,3,2,8,7,7,8,11,11,6,5,10,9,9,10],[1],[[[1,2,3,4,6,7,8,5]]],20,<<[],[3,10,7,0,1]>,[[-2024384058709427690321055,0,0,0],[0,0,0,0],[-1863417031764667287007392,0,0,0],[0,0,0,0],[1,0,0,0]]>,[[[-8496151162008802768089,-78541760005431396489308,-789530332676663520210179,-987429133788349038404862],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[1017184373787298207715255,-605818154652553367854793,-964320334112677315411920,1940384541306746682354797],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[8496151162008802768089,78541760005431396489308,789530332676663520210179,987429133788349038404862],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-1017184373787298207715255,605818154652553367854793,964320334112677315411920,-1940384541306746682354797],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[0,0,0,0],[-1,0,0,0],[0,0,0,0],[0,0,0,0]],[[0,0,0,0],[4,0,0,0],[0,0,0,0],[-79690811895050441615718,0,0,0]],[[0,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0]],[[0,0,0,0],[-4,0,0,0],[0,0,0,0],[79690811895050441615718,0,0,0]]]>*] [x,x^2-x-4,x^2-34,x^2-2,x^4-x^3-6*x^2+x+1,x^4-x^3-6*x^2+x+1,x^4-34*x^2+272,x^4-34*x^2+272,x^4-34*x^2-68*x-34,x^4-6*x^2-4*x+2,0,0,0,0] [1,2,2,2,2,2,4,2,5,5,11,12,13,14] <[1],[2],[3],[4],[5,6],[7,8],[9],[10],[11,13],[12,14]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,13,17,37,10597],[1,1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,17]>,<1,17,1,[[1],[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,13,17,37,10597],[1,7,7,1,15,7,7],1,[1.000000000,1.016084834,1.126461493],<"notfaithful",0>,[8,17]>,<1,2^3*17,1,[[1],[1],[1],[-1],[1],[1],[-1],[-1],[-1],[-1],[1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,13,17,37,10597],[15,1,1,4,15,1,1],1,[1.000000000,1.457151825,1.145009805],<"notfaithful",0>,[8,17]>,<1,2^3,1,[[1],[1],[1],[-1],[1],[1],[1],[1],[1],[1],[1],[-1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,13,17,37,10597],[15,4,4,4,1,4,4],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[8,17]>,<1,17,4,[[1,0],[1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,1],[0,-1],[0,1],[0,-1],[1,0],[1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,5,13,17,37,10597],[3,7,7,1,15,7,8],0,[0.6154122094+0.7882054380*i,0.5927817455+0.1936151527*i,0.7905606152+0.09732245913*i],<"notfaithful",0>,[8,17]>,<1,17,4,[[1,0],[1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,-1],[0,1],[0,-1],[0,1],[1,0],[1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,5,13,17,37,10597],[3,7,7,1,15,7,8],0,[0.6154122094-0.7882054380*i,0.5927817455-0.1936151527*i,0.7905606152-0.09732245913*i],<"notfaithful",0>,[8,17]>,<1,2^3*17,4,[[1,0],[1,0],[-1,0],[1,0],[-1,0],[-1,0],[0,-1],[0,1],[0,-1],[0,1],[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,5,13,17,37,10597],[15,8,8,3,15,8,7],0,[-0.6154122094+0.7882054380*i,0.7806431474+0.5560712396*i,0.9777393631+0.1633760727*i],<"notfaithful",0>,[8,17]>,<1,2^3*17,4,[[1,0],[1,0],[-1,0],[1,0],[-1,0],[-1,0],[0,1],[0,-1],[0,1],[0,-1],[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,5,13,17,37,10597],[15,8,8,3,15,8,7],0,[-0.6154122094-0.7882054380*i,0.7806431474-0.5560712396*i,0.9777393631-0.1633760727*i],<"notfaithful",0>,[8,17]>,<2,2^5*17^2,1,[[2],[2],[-2],[0],[2],[2],[0],[0],[0],[0],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1]]],[2,3,5,13,17,37,10597],[15,4,4,4,15,4,4],1,[1.000000000,1.092047585,1.012921012],<"notfaithful",0>,[8,17]>,<2,2^5*17,1,[[2],[2],[2],[0],[-2],[-2],[0],[0],[0],[0],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1]],[[1],[1]]],[2,3,5,13,17,37,10597],[15,13,13,4,16,13,13],1,[1.000000000,0.8136741928,0.9826777231],<"notfaithful",0>,[8,17]>,<2,2^8*3^2*17,4,[[2,0],[-2,0],[0,0],[0,0],[0,-2],[0,2],[1,1],[1,-1],[-1,-1],[-1,1],[0,0],[0,0],[0,0],[0,0]],[[[1,0],[-2,0],[1,0]],[[1,0],[2,0],[1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,2],[-1,0]],[[1,0],[0,-2],[-1,0]],[[1,0],[-1,-1],[0,1]],[[1,0],[-1,1],[0,-1]],[[1,0],[1,1],[0,1]],[[1,0],[1,-1],[0,-1]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[0,1]],[[1,0],[0,0],[0,-1]],[[1,0]],[[1,0],[0,1]]],[2,3,5,13,17,37,10597],[15,15,13,11,16,13,14],0,[0.6154122094+0.7882054380*i,0.8999866926+0.1373456279*i,0.9798506800+0.01806310725*i],<"2.2e8_3e2_17.8t17.1",1>,[8,17]>,<2,2^8*3^2*17^2,4,[[2,0],[-2,0],[0,0],[0,0],[0,2],[0,-2],[-1,1],[-1,-1],[1,-1],[1,1],[0,0],[0,0],[0,0],[0,0]],[[[1,0],[-2,0],[1,0]],[[1,0],[2,0],[1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,-2],[-1,0]],[[1,0],[0,2],[-1,0]],[[1,0],[1,-1],[0,-1]],[[1,0],[1,1],[0,1]],[[1,0],[-1,1],[0,-1]],[[1,0],[-1,-1],[0,1]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[0,-1]],[[1,0],[0,0],[0,1]],[[1,0]]],[2,3,5,13,17,37,10597],[15,15,13,11,15,13,14],0,[-0.7882054380+0.6154122094*i,1.054759420+0.3082262675*i,1.020136473+0.02541445320*i],<"2.2e8_3e2_17e2.8t17.1",1>,[8,17]>,<2,2^8*3^2*17,4,[[2,0],[-2,0],[0,0],[0,0],[0,2],[0,-2],[1,-1],[1,1],[-1,1],[-1,-1],[0,0],[0,0],[0,0],[0,0]],[[[1,0],[-2,0],[1,0]],[[1,0],[2,0],[1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,-2],[-1,0]],[[1,0],[0,2],[-1,0]],[[1,0],[-1,1],[0,-1]],[[1,0],[-1,-1],[0,1]],[[1,0],[1,-1],[0,-1]],[[1,0],[1,1],[0,1]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[0,-1]],[[1,0],[0,0],[0,1]],[[1,0]],[[1,0],[0,-1]]],[2,3,5,13,17,37,10597],[15,15,13,11,16,13,14],0,[0.6154122094-0.7882054380*i,0.8999866926-0.1373456279*i,0.9798506800-0.01806310725*i],<"2.2e8_3e2_17.8t17.1",2>,[8,17]>,<2,2^8*3^2*17^2,4,[[2,0],[-2,0],[0,0],[0,0],[0,-2],[0,2],[-1,-1],[-1,1],[1,1],[1,-1],[0,0],[0,0],[0,0],[0,0]],[[[1,0],[-2,0],[1,0]],[[1,0],[2,0],[1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,2],[-1,0]],[[1,0],[0,-2],[-1,0]],[[1,0],[1,1],[0,1]],[[1,0],[1,-1],[0,-1]],[[1,0],[-1,-1],[0,1]],[[1,0],[-1,1],[0,-1]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[0,1]],[[1,0],[0,0],[0,-1]],[[1,0]]],[2,3,5,13,17,37,10597],[15,15,13,11,15,13,14],0,[-0.7882054380-0.6154122094*i,1.054759420-0.3082262675*i,1.020136473-0.02541445320*i],<"2.2e8_3e2_17e2.8t17.1",2>,[8,17]>]
