x^2-x+26 -103 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[4664],[-4663]] 2 [1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<103,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2678,103,1]>,[[-51,-1],[52,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[103],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,103,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[103],[3],1,[1.000000000,1.547751611,1.183153031],<"1.103.2t1.1",1>,[2,1]>]
x^5-x^4-2*x^2+3*x-2 3^2*4421 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 13 x^2+12*x+2 5 [[-149312,79852],[-30480,85465],[115631,0],[6343,-79852],[57819,-85465]] 3 [5,5,6,6,5,3,4,7,5,4,6,5,7,6,6,7,7,5,7,6,3,4,2,5,5,3,5,6,6,6,3,2,4,6,4,4,6,2,5,6,3,5,2,4,7,6,6,5,3,4,5,7,4,6,3,5,3,4,7,5,6,3,7,3,6,5,6,5,2,6,3,5,7,3,2,5,6,5,6,5,7,7,5,5,2,2,7,5,4,5,2,6,4,7,5,4,5,5,3,3,7,7,4,3,3,6,3,3,3,2,4,7,3,4,6,5,4,5,4,5,4,7,7,2,5,6,7,6,5,2,6,5,3,4,4,6,4,4,6,5,2,4,5,6,6,5,5,5,5,6,6,3,6,5,5,3,6,5,7,4,7,5,6,5,3,4,2,7] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<3,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,3,5,5],[1],[[[1,3,2,5,4]]],20,<<[],[2,2,1]>,[[-831354489,582850929],[475839132,-55409751],[1,0]]>,[[[1062497771,0],[0,0]],[[-475839132,55409752],[-1,0]],[[0,1],[1,0]],[[1524753958,-840877447],[-450440373,295246922]],[[1375371805,785467694],[450440373,-295246922]]]>,<4421,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[4418,6,0,1]>,[[1894414354553081026298090569278635097214017378046714918600071229777902450,0,0],[-625773965368207711276380984648645239256960828159279910727949702757587234,0,0],[1,0,0]]>,[[[-2791867649501879637339587531817696294362208136923935969595722991068186007,2427663710529832650879327597301187615138635496329547358333414483613804358,-3357815074157321653253792860076144533987818070201662503277968807566688810],[0,0,0]],[[15440654870532822824648849600131623178573916723170051995913131661552073,-1499939046506822107081664754658437362000285379115778216315806840867481369,-2655987998064218538212733764721687554602622556789885997880059776884254290],[0,0,0]],[[2150653029263139103238557697568919431926673392041486006871860156649044029,-927724664023010543797662842642750253138350117213769142017607642746322989,-2122184904466066968109256552729490602415597687960307009161073020637381301],[0,0,0]],[[625773965368207711276380984648645239256960828159279910727949702757588570,0,0],[-1,0,0]],[[1336,0,0],[1,0,0]]]>*] [x,x^2-x-1105,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,4421],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,4421,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,4421],[2,8],1,[1.000000000,0.7369375341,0.7640378928],<"notfaithful",0>,[5,5]>,<4,3^2*4421^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1],[-1]]],[3,4421],[8,9],1,[0,0,0],<"4.3e2_4421e3.10t12.1",1>,[5,5]>,<4,3^2*4421,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]]],[3,4421],[8,9],1,[1.000000000,0.7614383467,0.9546217030],<"4.3e2_4421.5t5.1",1>,[5,5]>,<5,3^2*4421^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[3,4421],[8,9],1,[0,0,0],<"5.3e2_4421e2.10t13.1",1>,[5,5]>,<5,3^2*4421^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1],[-1],[1]],[[1],[1],[1]]],[3,4421],[8,9],1,[0,0,0],<"5.3e2_4421e3.6t14.1",1>,[5,5]>,<6,3^4*4421^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]]],[3,4421],[8,9],1,[0,0,0],<"6.3e4_4421e3.20t35.1",1>,[5,5]>]
x^4-2*x^3+18*x^2-17*x+8 61*257^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 73 x-1 5 [[-962033563],[-152299662],[152299663],[962033564]] 2 [4,3,3,5,4,2,4,3,4,4,4,5,3,5,3,5,4,1,4,5,1,4,3,4,3,5,3,3,3,1,3,3,2,4,3,5,4,3,3,4,3,5,5,4,2,1,4,4,4,3,5,1,1,5,3,3,3,3,5,5,1,1,4,5,5,1,5,5,3,4,3,5,3,4,2,5,5,4,4,5,4,5,3,4,3,3,3,4,3,3,5,2,3,2,4,1,5,5,4,5,5,5,2,3,2,5,4,4,5,3,3,2,5,3,4,5,4,4,4,3,5,4,5,1,3,4,4,1,2,3,4,5,3,3,5,4,1,4,2,3,5,4,4,3,1,2,3,3,2,2,5,3,5,4,4,1,3,1,3,5,4,5,2,1,3,5,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-17,2>,<x^2+32*x+195,3>]*],[*[4],"CYC",0,5*]] [*<61,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-213701484097408867030553314579229276,61,1]>,[[-236120697917490774461830078380667174,0],[236120697917490774461830078380667175,0],[-30,-1],[31,1]]>,<257,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[3,251,1]>,[[-354741762176166924811281391640673555365990453194,368777786712444887174530068473863661074459625343],[441966479059329111905834168814924817544567836958,-714096805694810705271032323825479223889263963368],[1,0]]>,[[[-441966479059329111905834168814924817544567836866,714096805694810705271032323825479223889263963466],[-1,0]],[[92,98],[1,0]],[[-91,-98],[-1,0]],[[441966479059329111905834168814924817544567836867,-714096805694810705271032323825479223889263963466],[1,0]]]>*] [x,x^2-x-64,x^2-x-15,x^2-x-3919,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[61,257],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,257,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[61,257],[1,6],1,[1.000000000,1.297484959,1.149850287],<"notfaithful",0>,[4,3]>,<1,61,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[61,257],[6,1],1,[1.000000000,0.9383101983,0.9115020912],<"notfaithful",0>,[4,3]>,<1,61*257,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[61,257],[6,6],1,[1.000000000,0.3654076859,0.6975807326],<"notfaithful",0>,[4,3]>,<2,61*257,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[61,257],[6,7],1,[1.000000000,1.418864005,1.069527494],<"2.61_257.4t3.2",1>,[4,3]>]
x^6-2*x^5+3*x^4-8*x^3+11*x^2+x-5 61*257^2 2 2 48 "C2*S4" [[1,5,3,4,2,6],[2,1,5,4,3,6],[4,1,6,2,3,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,5,1,6,2,4]>,<2,3,[1,2,3,6,5,4]>,<2,3,[1,5,3,6,2,4]>,<2,6,[2,1,5,4,3,6]>,<2,6,[2,1,5,6,3,4]>,<3,8,[4,1,6,2,3,5]>,<4,6,[1,4,3,5,6,2]>,<4,6,[3,4,1,5,6,2]>,<6,8,[4,1,6,5,3,2]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 41 x^2+38*x+6 8 [[3690575522090,0],[1858184798647,-3788857599078],[2353301132791,0],[-448014147715,29663878116],[-1575241516123,-29663878116],[2106119439433,3788857599078]] 4 [10,9,5,6,10,7,10,5,10,10,10,8,5,8,9,8,10,4,3,8,7,10,5,10,9,6,5,9,9,4,9,5,7,10,5,6,2,5,5,10,9,8,8,3,4,7,10,10,3,9,6,7,1,8,4,9,9,5,8,6,7,7,10,8,6,7,8,6,5,10,5,6,5,10,7,6,8,10,10,6,2,8,9,10,9,9,5,10,9,5,6,7,9,7,3,7,6,6,10,8,6,6,7,9,7,6,3,10,8,5,5,7,6,9,2,6,3,10,3,5,6,10,8,7,5,10,10,7,7,9,3,6,9,9,8,10,7,10,7,5,6,3,3,5,7,7,9,9,4,4,6,9,8,10,2,7,5,1,9,8,3,6,7,4,5,6,5,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-20*x^2-5*x+229,4>,<x^6-7*x^5-289*x^4+1835*x^3+17016*x^2+12788*x+110056,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-3,2>,<x^6+15*x^5-61*x^4-771*x^3+765*x^2+18507*x+81053,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<19,2,1,[[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5]],[1,3,2,4,6,5],[1,5],[1],[[]],20,<[],[2,18,1]>,[[-12237373023485683823439677,0],[5319361503453567259802349,13226236021274729103300612],[-7213046134215807439475061,-13226236021274729103300612],[-7916596633160521773670947,0],[118122121660887556488971,766674653211054107801457],[166915953484108739930598,-766674653211054107801457]]>,<61,4,2,[[1,2,3,4,6,5],[2,1,4,3,5,6]],[[1,2,3,4,5,6],[2,1,4,3,5,6],[1,2,3,4,6,5],[2,1,4,3,6,5]],[2,1,4,3,5,6],[1,4,3,2],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,60,1]>,[[185888050874546508237788285960578300,0],[-83860715260162331586880673393557029,0],[1,0]]>,[[[84296314299808178940202564570843946,-186848614302124773931089322813755358],[0,0]],[[100334760794353756200441909808611004,186848614302124773931089322813755358],[0,0]],[[144822418799108022457353967835559352,136516804537462121011519642567866813],[0,0]],[[95543900466246840751717249099953788,-136516804537462121011519642567866813],[0,0]],[[83860715260162331586880673393557071,0],[-1,0]],[[42,0],[1,0]]]>,<257,4,2,[[1,2,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[1,2,5,6,3,4],[1,2,6,5,4,3]],[1,2,5,6,3,4],[1,5,4,5],[1],[[[1,2,4,3,6,5]]],20,<<[],[3,251,1]>,[[763849080470549698363675120272251362427190111896,550332923324943981908260807498373151350387877309],[636743008265254189864267060269891555604948298503,611621641364207606821019568606366730618096152986],[1,0]]>,[[[429731921507336068936935676530351482045166948767,0],[0,0]],[[588620579177818164887228977574874161878348658624,0],[0,0]],[[-636743008265254189864267060269891555604948298380,-611621641364207606821019568606366730618096152854],[-1,0]],[[123,132],[1,0]],[[416264964251643628856011829020545825229808526357,351412203488233585566317986610818410765644751831],[1052907664729458746442114413308292749453819485,882851199173363289006775524713802586954765193]],[[782145115148773390752869363265393199006838116512,260209437875974021254701581995548319852451400891],[-1052907664729458746442114413308292749453819485,-882851199173363289006775524713802586954765193]]]>*] [x,x^2-x-3919,x^2-x-64,x^2-x-15,x^6-2*x^5-397*x^4+749*x^3+39250*x^2-69849*x-851031,x^3-x^2-4*x+3,x^4-x^3-2*x^2-37*x+88,0,0,x^4-x^3-2*x^2-37*x+88] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,19,61,257],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,61*257,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,19,61,257],[2,2,11,11],1,[1.000000000,0.3654076859,0.6975807326],<"notfaithful",0>,[6,11]>,<1,257,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,19,61,257],[5,5,1,11],1,[1.000000000,1.297484959,1.149850287],<"notfaithful",0>,[6,11]>,<1,61,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,19,61,257],[1,1,11,1],1,[1.000000000,0.9383101983,0.9115020912],<"notfaithful",0>,[6,11]>,<2,61^2*257,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[5,19,61,257],[5,5,11,12],1,[1.000000000,1.862729324,1.261059712],<"notfaithful",0>,[6,11]>,<2,257,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[5,19,61,257],[5,5,1,11],1,[1.000000000,0.4926871260,0.7565711632],<"notfaithful",0>,[6,11]>,<3,61^2*257,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[0],[-1]]],[5,19,61,257],[5,5,11,12],1,[0,0,0],<"notfaithful",0>,[6,11]>,<3,61*257,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[2],[1]],[[1],[0],[-1]]],[5,19,61,257],[3,3,11,12],1,[1.000000000,0.7588038185,0.8991546949],<"3.61_257.6t11.1",1>,[6,11]>,<3,61*257^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[2],[1]],[[1],[1]]],[5,19,61,257],[4,4,11,12],1,[0,0,0],<"3.61_257e2.6t11.1",1>,[6,11]>,<3,61^2*257^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]]],[5,19,61,257],[3,3,11,12],1,[0,0,0],<"notfaithful",0>,[6,11]>]
