x^2-x+31 -3*41 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[20803],[-20802]] 2 [2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[33,3,1]>,[[-1,-1],[2,1]]>,<41,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[451,41,1]>,[[-20,-1],[21,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,41],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*41,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,41],[3,3],1,[1.000000000,0.5665357400,0.7580050230],<"1.3_41.2t1.1",1>,[2,1]>]
x^3+27*x-39 -3^5*17*29 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 13 x-1 5 [[-119613],[-64865],[184478]] 2 [3,1,3,2,2,1,1,2,1,1,3,3,2,2,3,2,2,1,1,3,3,3,2,3,3,1,3,3,2,2,2,2,3,2,2,3,2,1,3,3,2,2,3,1,3,2,1,1,1,2,3,2,2,1,2,3,2,2,2,2,2,3,2,2,2,2,2,1,3,3,2,3,3,1,3,2,1,2,1,2,3,2,3,2,2,3,2,1,3,1,3,2,2,3,2,2,2,3,3,3,2,2,1,3,2,2,2,2,1,3,3,1,2,1,3,2,2,2,2,1,3,2,2,1,2,2,2,1,2,2,2,2,3,2,2,2,1,2,1,2,2,3,3,2,2,2,1,3,2,2,2,2,3,2,3,2,3,3,3,1,2,2,2,3,2,2,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,6,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,2,3],[1,2,3],[1,4],[[[3,1,2],[1,3,2]],[[3,1,2]]],20,<[],[1362801522,0,-1298830545,34915455,-712714788,-804642552,1]>,[[-455629806,394168833,239108747,204508584,295257957,321523263],[-196261083,-48944835,229781333,42304761,274117533,93086378],[-510370578,-345223998,305950898,140607144,205465488,360231337]]>,<17,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-1927592133073159925095398,1501184393990887627816072,1]>,[[1501184393990887627816062,0],[-1501184393990887627816067,-1],[5,1]]>,<29,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-67647188578453855377902261979,46495560601046018540703566668,1]>,[[46495560601046018540703566654,0],[-46495560601046018540703566661,-1],[7,1]]>*] [x,x^2-x+370,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,17,29],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*17*29,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,17,29],[4,4,4],1,[1.000000000,2.287303619,1.358951655],<"notfaithful",0>,[3,2]>,<2,3^5*17*29,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,17,29],[4,5,5],1,[1.000000000,0.6275542662,0.7453779905],<"2.3e5_17_29.3t2.1",1>,[3,2]>]
x^3+27*x-396 -3^5*17*29 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 23 x-1 5 [[-1684358],[2562417],[-878059]] 2 [1,1,3,2,2,3,1,2,1,1,3,3,2,2,1,2,2,3,3,1,3,3,2,3,3,3,1,3,2,2,2,2,3,2,2,3,2,1,1,1,2,2,3,3,3,2,1,3,3,2,3,2,2,1,2,3,2,2,2,2,2,3,2,2,2,2,2,3,1,3,2,1,1,1,3,2,3,2,3,2,3,2,1,2,2,3,2,3,3,1,1,2,2,3,2,2,2,3,3,1,2,2,3,1,2,2,2,2,3,3,1,3,2,3,3,2,2,2,2,1,3,2,2,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,1,3,2,2,2,3,3,2,2,2,2,1,2,1,2,3,1,3,3,2,2,2,1,2,2,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-88412,-145367,233779]>,<3,6,6,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,2,3],[1,2,3],[1,4],[[[2,3,1],[1,3,2]],[[2,3,1]]],20,<[],[-1073026356,1403478954,207268146,679771089,-1615110822,880917255,1]>,[[-99843174,-77660649,167630970,44407053,81881927,105960450],[-136770642,77004678,84011106,160791768,45790493,14549232],[-150806673,655971,135778413,182221668,1467743,8630481]]>,<17,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[1274688182639940194309866,-593026418658512908418132,1]>,[[-593026418658512908418142,0],[593026418658512908418137,-1],[5,1]]>,<29,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[68295359946620424390452838006,5509951291733765449303559112,1]>,[[5509951291733765449303559068,0],[-5509951291733765449303559090,-1],[22,1]]>*] [x,x^2-x+370,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,17,29],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*17*29,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,17,29],[1,4,4,4],1,[1.000000000,2.287303619,1.358951655],<"notfaithful",0>,[3,2]>,<2,3^5*17*29,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,17,29],[1,4,5,5],1,[1.000000000,3.436385324,1.709339130],<"2.3e5_17_29.3t2.2",1>,[3,2]>]
x^3-27*x-207 -3^5*17*29 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 23 x-1 5 [[1147746],[-356843],[-790903]] 2 [3,1,3,2,2,3,1,2,1,1,1,3,2,2,3,2,2,3,3,3,1,1,2,1,3,3,3,3,2,2,2,2,1,2,2,1,2,1,3,3,2,2,1,3,1,2,1,3,3,2,1,2,2,1,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3,1,2,3,3,1,1,2,3,2,3,2,1,2,3,2,2,3,2,3,3,1,3,2,2,3,2,2,2,3,1,3,2,2,3,3,2,2,2,2,3,3,3,3,2,3,3,2,2,2,2,1,1,2,2,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,3,3,2,2,2,3,3,2,2,2,2,3,2,3,2,3,3,1,3,2,2,2,3,2,2,2,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,6,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,2,3],[1,2,3],[1,4],[[[2,3,1],[1,3,2]],[[2,3,1]]],20,<[],[743530179,-1158418071,1207620171,107212275,562053474,-187440669,1]>,[[-155493306,-136405827,-158005299,55813905,110062868,34747278],[-72383472,145271892,-88147497,-177368841,17286212,109110084],[-159543711,-8866065,-141267693,121554936,1791083,114422964]]>,<17,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[255693064860730878083866,1736431955249687248447751,1]>,[[1736431955249687248447723,0],[-1736431955249687248447737,-1],[14,1]]>,<29,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[58153935817298925576396700924,61797079700114609494752008219,1]>,[[61797079700114609494752008213,0],[-61797079700114609494752008216,-1],[3,1]]>*] [x,x^2-x+370,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,17,29],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*17*29,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,17,29],[4,4,4],1,[1.000000000,2.287303619,1.358951655],<"notfaithful",0>,[3,2]>,<2,3^5*17*29,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,17,29],[4,5,5],1,[1.000000000,0.5524360416,0.7344543383],<"2.3e5_17_29.3t2.3",1>,[3,2]>]
x^6+6*x^4+12*x^2-4 2^10*3^10 2 2 24 "S4" [[3,2,1,6,5,4],[6,4,2,3,1,5],[6,2,4,3,5,1],[3,1,2,6,4,5]] [<1,1,[1,2,3,4,5,6]>,<2,3,[1,5,6,4,2,3]>,<2,6,[3,2,1,6,5,4]>,<3,8,[6,4,2,3,1,5]>,<4,6,[4,6,2,1,3,5]>] [[1,1,1,1,1,1],[1,1,2,2],[2,4],[3,3]] 13 x^2+12*x+2 13 [[-59845158561263,-60453377525586],[5048072309494,101799714249000],[128940509198845,0],[59845158561263,60453377525586],[-5048072309494,-101799714249000],[-128940509198845,0]] 3 [5,1,3,4,5,2,3,2,5,5,4,4,5,4,3,3,5,4,4,5,4,2,3,5,2,5,4,3,4,5,4,3,3,4,5,4,4,4,5,5,3,4,3,4,3,2,2,4,5,4,5,5,4,5,5,5,5,4,4,5,4,5,2,3,4,5,1,4,3,4,5,5,4,1,4,5,3,4,3,4,5,4,3,4,2,3,5,4,3,1,5,5,2,3,2,3,5,5,4,4,4,5,3,3,4,4,5,3,5,4,4,4,3,4,4,3,1,3,5,5,4,2,3,3,4,3,2,5,2,4,4,3,4,4,5,2,3,4,3,3,4,5,1,5,1,5,4,3,4,3,4,3,2,5,2,5,1,3,4,3,3,5,4,5,3,5,4,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"RES",<[1],x^2-3*x+1>,[<x^3+36*x^2+432*x+22464,2>,<x^6-72*x^5+432*x^4+115776*x^3-5225472*x^2+87340032*x-503884800,3>]*],[*[2,4],"CYC",0,5*],[*[3,3],"CYC",0,4*]] [*<2,24,12,[[3,4,5,6,1,2],[2,1,6,5,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[6,5,3,4,2,1],[3,4,5,6,1,2],[2,1,6,5,3,4]],[2,1,6,5,3,4],[1,2,3,4,5],[1,6],[[[2,1,4,3,5,6],[3,4,5,6,1,2]],[[1,2,4,3,6,5],[2,1,4,3,5,6]]],20,<<[],[1,1,1]>,[[-199262,-449008],[460072,7432],[322920,124060],[-171340,-450720],[-364830,367518],[-517740,105732],[-488828,-368236],[140472,76216],[-359778,486172],[-440708,-482576],[159064,-300012],[-163820,250028],[1,0]]>,[[[101950,-64332],[28872,56278],[118376,35872],[35222,-104682],[108739,20750],[43188,115254],[41145,122774],[55574,22030],[126715,34854],[75950,61652],[80139,113121],[92443,111004]],[[-101950,64332],[-28872,-56278],[-118376,-35872],[-35222,104682],[22333,110322],[87884,15818],[89927,8298],[75498,109042],[4357,96218],[55122,69420],[50933,17951],[38629,20068]],[[104492,17758],[-18976,7932],[-5510,-30968],[59402,-106944],[127150,42653],[120972,76568],[124685,76800],[119034,97312],[63339,98487],[41246,1522],[63826,42278],[109903,123061]],[[-104492,-17758],[18976,-7932],[5510,30968],[-59402,106944],[3922,88419],[10100,54504],[6387,54272],[12038,33760],[67733,32585],[89826,129550],[67246,88794],[21169,8011]],[[3088,65406],[-41300,-3998],[90654,43586],[121206,43382],[90475,56241],[130054,106344],[114491,8296],[25916,122834],[117222,57728],[68568,116902],[8515,105258],[104200,124067]],[[-3088,-65406],[41300,3998],[-90654,-43586],[-121206,-43382],[40597,74831],[1018,24728],[16581,122776],[105156,8238],[13850,73344],[62504,14170],[122557,25814],[26872,7005]]]>,<3,6,6,[[3,1,2,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[3,1,2,5,6,4]],[1,2,3,4,5,6],[1,3,4],[1,4],[[[3,1,2,5,6,4],[1,3,2,4,6,5]],[[3,1,2,5,6,4]]],20,<[],[-709961829,-134036613,1363476105,-74638746,932872122,-780467958,1]>,[[-245374552,531596130,92349968,321686166,245946059,252789390],[495543383,-150592686,36989282,341321922,313973021,273478997],[-266820724,-381003444,258081239,111832890,214921898,248572591],[245374552,-531596130,295070521,65734323,141474430,134631099],[266820724,381003444,129339250,275587599,172498591,138847898],[-495543383,150592686,350431207,46098567,73447468,113941492]]>*] [x,x^2-x+1,x^3-12,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,7]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3],[3,6],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,7]>,<2,2^2*3^5,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1]]],[2,3],[6,6],1,[1.000000000,1.028995684,0.9955823389],<"notfaithful",0>,[6,7]>,<3,2^8*3^6,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1]]],[2,3],[6,6],1,[1.000000000,0.8838473840,0.9624789532],<"3.2e8_3e6.6t8.9",1>,[6,7]>,<3,2^8*3^5,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1]],[[1],[-1]]],[2,3],[6,7],1,[1.000000000,1.470459997,1.153760646],<"3.2e8_3e5.4t5.5",1>,[6,7]>]
x^8-8*x^6+50*x^4-104*x^2+97 2^16*97^3 0 4 16 "D16" [[8,7,6,5,4,3,2,1],[4,3,7,8,1,2,6,5],[2,1,5,6,3,4,8,7],[2,4,8,3,6,1,5,7]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<2,4,[1,6,7,5,4,2,3,8]>,<2,4,[2,1,5,6,3,4,8,7]>,<4,2,[4,3,7,8,1,2,6,5]>,<8,2,[2,4,8,3,6,1,5,7]>,<8,2,[3,8,5,7,2,4,1,6]>] [[1,1,1,1,1,1,1,1],[1,1,2,2,2],[2,2,2,2],[4,4],[8]] 101 x-1 7 [[17803469883163],[-36115686927457],[39494630704807],[46460556107152],[-46460556107152],[-39494630704807],[36115686927457],[-17803469883163]] 4 [4,4,3,6,4,3,3,6,7,3,4,3,3,4,4,5,7,5,7,7,5,4,6,5,3,1,4,7,5,2,7,7,3,6,3,4,3,4,4,3,6,3,4,5,1,7,7,6,4,5,3,6,2,7,3,6,5,7,3,3,4,1,4,6,5,3,6,3,6,3,2,6,7,3,4,7,2,2,3,3,4,1,4,3,6,6,5,3,5,4,4,4,4,4,7,4,2,5,7,3,4,2,6,3,4,3,7,5,7,3,4,2,5,7,4,3,4,4,3,7,5,2,2,4,4,5,3,6,4,5,7,4,4,3,3,3,1,4,3,5,4,3,4,6,2,7,3,5,7,6,1,2,6,6,6,6,6,3,2,3,7,3,4,4,3,6,6,1] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2,2],"CYC",0,3*],[*[2,2,2,2],"RES",<[1],x^2-3*x+1>,[<x-48,2>,<x^4-4608*x^2-26873856,4>]*],[*[4,4],"CYC",0,5*],[*[8],"RES",<[1,7],x^2-3*x+1>,[<x-96,6>,<x+96,7>]*]] [*<2,8,4,[[6,5,7,8,2,1,3,4],[2,1,4,3,8,7,6,5]],[[1,2,3,4,5,6,7,8],[4,3,2,1,7,8,5,6],[6,5,7,8,2,1,3,4],[2,1,4,3,8,7,6,5],[7,8,6,5,1,2,4,3]],[2,1,4,3,8,7,6,5],[1,2,4,4,5],[2,4],[[[4,3,2,1,7,8,5,6],[6,5,7,8,2,1,3,4]],[[4,3,2,1,7,8,5,6]]],20,<<[],[1,1,1]>,[[-42658,-111792],[31524,63056],[15766,31528],[4,0],[1,0]]>,[[[1,0],[1,0],[0,0],[0,0]],[[12881,-1640],[-11627,-15648],[12390,11756],[4130,9380]],[[-12881,1640],[11627,15648],[3994,4628],[12254,7004]],[[-1,0],[-1,0],[0,0],[0,0]],[[-4539,-794],[-12965,-9934],[3745,2674],[12171,11814]],[[8941,-9522],[12039,-14214],[4647,9346],[1549,14038]],[[4539,794],[12965,9934],[12639,13710],[4213,4570]],[[-8941,9522],[-12039,14214],[11737,7038],[14835,2346]]]>,<3,2,1,[[2,1,4,3,6,5,8,7]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7]],[2,1,4,3,6,5,8,7],[1,4],[1],[[]],20,<[],[2,2,1]>,[[-334952718,-237873559],[140794400,237873559],[334952718,237873559],[-140794400,-237873559],[140794400,378667959],[545719949,-378667959],[-545719949,378667959],[-140794400,-378667959]]>,<97,4,2,[[1,2,4,3,6,5,8,7],[2,1,3,4,7,8,5,6]],[[1,2,3,4,5,6,7,8],[2,1,3,4,7,8,5,6],[1,2,4,3,6,5,8,7],[2,1,4,3,8,7,6,5]],[2,1,3,4,7,8,5,6],[1,3,3,2],[1],[[[1,2,4,3,6,5,8,7]]],20,<<[],[5,96,1]>,[[2248076894692168620790540268075070960081,0],[0,0],[1,0]]>,[[[-2448550828395266971384256939541027176696,855312429286344033846117571932324092219],[0,0]],[[2448550828395266971384256939541027176696,-855312429286344033846117571932324092219],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]],[[-615932032862794046211306741990065339038,-239412893570786233233557955001316900830],[-1244995747691528952304641121473637502,0]],[[-615932032862794046211306741990065339038,-239412893570786233233557955001316900830],[1244995747691528952304641121473637502,0]],[[615932032862794046211306741990065339038,239412893570786233233557955001316900830],[-1244995747691528952304641121473637502,0]],[[615932032862794046211306741990065339038,239412893570786233233557955001316900830],[1244995747691528952304641121473637502,0]]]>*] [x,x^2-x-24,x^2+1,x^2+97,x^4-2*x^3-3*x^2+4*x+5,0,0] [1,2,2,2,5,6,7] <[1],[2],[3],[4],[5],[6,7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,97],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,6]>,<1,97,1,[[1],[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,97],[1,1,8],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[8,6]>,<1,2^2,1,[[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,97],[8,4,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[8,6]>,<1,2^2*97,1,[[1],[1],[-1],[-1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,97],[8,3,8],1,[1.000000000,0.6379608106,0.8697741646],<"notfaithful",0>,[8,6]>,<2,2^2*97,1,[[2],[2],[0],[0],[-2],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,3,97],[8,3,9],1,[1.000000000,0.7119168491,0.8097659686],<"notfaithful",0>,[8,6]>,<2,2^6*97,8,[[2,0,0,0],[-2,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,1,0,-1],[0,-1,0,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,-1,0,1],[1,0,0,0]],[[1,0,0,0],[0,1,0,-1],[1,0,0,0]],[[1,0,0,0]],[[1,0,0,0],[1,0,0,0]]],[2,3,97],[8,3,9],1,[1.000000000,1.360043764,1.044127327],<"2.2e6_97.8t6.2",1>,[8,6]>,<2,2^6*97,8,[[2,0,0,0],[-2,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,-1,0,1],[0,1,0,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,1,0,-1],[1,0,0,0]],[[1,0,0,0],[0,-1,0,1],[1,0,0,0]],[[1,0,0,0]],[[1,0,0,0],[1,0,0,0]]],[2,3,97],[8,3,9],1,[1.000000000,0.9968070302,0.9850434328],<"2.2e6_97.8t6.2",2>,[8,6]>]
