x^3-45*x-45 3^4*5^2*17 3 0 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 59 x-1 5 [[184584760],[42216820],[-226801580]] 1 [3,2,2,2,2,3,1,3,2,2,2,2,2,3,3,3,1,2,3,2,2,2,1,1,2,1,3,2,2,2,1,2,1,2,3,3,3,2,2,2,3,2,3,2,2,2,2,1,2,1,2,1,2,3,3,1,2,3,2,3,2,1,3,2,2,2,1,2,2,1,3,3,2,1,2,3,3,2,2,1,2,3,2,1,2,3,2,3,3,3,3,2,2,3,2,2,3,2,1,2,2,1,1,1,2,3,3,3,1,2,2,3,2,2,3,2,2,3,2,3,3,2,2,2,2,3,2,2,3,3,3,2,2,1,3,3,3,2,1,2,2,2,2,2,3,2,2,2,3,3,2,2,3,2,2,2,1,2,1,2,2,3,1,1,1,2,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,3,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[2],[[[3,1,2]]],20,<<[],[2,2,1]>,[[-75,0],[225,0],[-30,0],[1,0]]>,[[[0,0],[-3,0],[77484098,0]],[[169274229,169274229],[-139173678,54536565],[114044684,152786733]],[[-169274229,-169274229],[139173681,-54536565],[-191528782,-152786733]]]>,<5,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,4,1]>,[[-45,0],[-45,0],[0,0],[1,0]]>,[[[-12512015834730,-6256007917365],[-625600791737,4455571186163],[417067194491,-9328209566817]],[[0,0],[1,0],[0,0]],[[12512015834730,6256007917365],[625600791736,-4455571186163],[-417067194491,9328209566817]]]>,<17,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[1693343054340901633498841,-503103238844116806731556,1]>,[[-503103238844116806731570,0],[503103238844116806731563,-1],[7,1]]>*] [x,x^2-x-4,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,17],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,17,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,17],[2,2,4],1,[1.000000000,1.016084834,1.126461493],<"notfaithful",0>,[3,2]>,<2,3^4*5^2*17,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,5,17],[4,4,5],1,[1.000000000,0.5642053110,0.7581406849],<"2.3e4_5e2_17.3t2.1",1>,[3,2]>]
x^2-x+1367 -7*11*71 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 19 x-1 5 [[81477],[-81476]] 2 [2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1379,7,1]>,[[-3,-1],[4,1]]>,<11,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1397,11,1]>,[[-5,-1],[6,1]]>,<71,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2627,71,1]>,[[-35,-1],[36,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,11,71],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*11*71,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,11,71],[3,3,3],1,[1.000000000,0.3399110810,0.6858933692],<"1.7_11_71.2t1.1",1>,[2,1]>]
x^4-2*x^3+60*x^2-59*x+30 5*3361^2 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 7 [[257368606],[313761107],[-313761106],[-257368605]] 2 [4,4,1,4,3,5,5,1,4,3,3,5,2,5,4,5,2,3,5,1,4,3,4,1,5,3,5,4,3,5,5,3,4,2,3,2,4,5,4,5,2,3,3,5,5,2,1,4,5,3,5,1,3,3,5,4,1,3,5,3,4,5,5,3,5,5,3,4,5,3,4,3,5,4,2,5,2,5,3,1,2,2,3,5,2,5,3,4,3,4,4,2,4,1,3,4,3,1,4,2,5,4,5,3,3,5,4,5,3,1,5,5,4,1,3,3,4,4,4,3,2,4,4,4,1,2,1,3,4,4,2,4,3,5,3,1,4,4,5,2,3,3,4,5,2,2,5,5,2,5,4,3,4,4,4,1,1,2,5,2,5,5,4,1,5,5,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-59,2>,<x^2+116*x+3119,3>]*],[*[4],"CYC",0,5*]] [*<5,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[46325688074920,5,1]>,[[-33407186590955,-38146972656250],[-4739786065294,0],[-2,-1],[3,1]]>,<7,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[3,6,1]>,[[-2582998466663218,0],[2582998466663219,0],[-361187975601456,1779419872361705],[361187975601457,-1779419872361705]]>,<3361,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[22,3360,1]>,[[4889068390154886928618490159186651649293113884624967549551202628827675,1297479132259927133304339132866302788694555933145563166693666014509237],[-2388811369939608432671673483019700273078537577435860643714893436944436,-10977759858940656963317123518520685395265822232108464201502062233898605],[1,0]]>,[[[2388811369939608432671673483019700273078537577435860643714893436945106,10977759858940656963317123518520685395265822232108464201502062233900627],[-1,0]],[[670,2022],[1,0]],[[-669,-2022],[-1,0]],[[-2388811369939608432671673483019700273078537577435860643714893436945105,-10977759858940656963317123518520685395265822232108464201502062233900627],[1,0]]]>*] [x,x^2-x-840,x^2-x-1,x^2-x-4201,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,7,3361],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3361,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,7,3361],[1,1,6],1,[1.000000000,3.409399180,1.569808152],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,7,3361],[6,4,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,5*3361,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,7,3361],[6,3,6],1,[1.000000000,0.4797237227,0.7068237101],<"notfaithful",0>,[4,3]>,<2,5*3361,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[5,7,3361],[6,3,7],1,[1.000000000,1.979492383,1.130224512],<"2.5_3361.4t3.2",1>,[4,3]>]
x^4-2*x^3+37*x^2-36*x+284 2^6*3*5^2*163 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 43 x-1 5 [[-25771272],[10594054],[-10594053],[25771273]] 2 [1,4,1,5,3,4,3,5,3,3,4,4,4,1,5,4,3,3,4,4,5,4,4,1,3,3,5,2,5,5,5,5,3,5,3,1,4,1,5,4,5,5,1,5,4,2,5,3,4,5,3,2,4,5,3,5,3,4,4,4,4,1,1,1,3,2,5,5,4,5,3,4,3,2,3,5,3,2,2,2,5,3,1,5,1,1,2,3,5,5,1,2,3,3,3,5,3,1,2,5,1,2,4,1,5,3,2,5,1,4,3,4,3,5,4,4,4,5,4,3,3,3,4,2,3,5,3,1,5,2,3,5,4,4,1,4,4,2,4,1,5,5,5,1,3,4,2,3,5,3,2,1,4,3,4,4,2,1,5,5,4,3,3,5,3,3,4,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-36,2>,<x^2+70*x-3176,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[3],[[[2,1,4,3]]],20,<[],[26986,449412,1]>,[[-131070,2],[18682,131070],[112391,2],[-1,131070]]>,<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[292301931,0],[3,0],[1,0]]>,[[[-1413242025,330150175],[0,0]],[[1413242026,-330150175],[0,0]],[[5,0],[3,0]],[[-4,0],[387420486,0]]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-24222585199210,34774454263690,1]>,[[-34774454263686,-1],[4,1],[-3,-1],[34774454263687,1]]>,<163,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[1375667637794655354493373879017557330494669,163,1]>,[[11153291576162802610373807751750084540232637,0],[-11153291576162802610373807751750084540232636,0],[-81,-1],[82,1]]>*] [x,x^2-10,x^2-x-122,x^2-4890,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,163],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,163],[6,1,6,1],1,[1.000000000,1.150086523,1.092365033],<"notfaithful",0>,[4,3]>,<1,3*163,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,163],[1,6,1,6],1,[1.000000000,2.120311667,1.365425629],<"notfaithful",0>,[4,3]>,<1,2^3*3*5*163,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,163],[6,6,6,6],1,[1.000000000,0.8671342614,1.000380034],<"notfaithful",0>,[4,3]>,<2,2^3*3*5*163,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,3,5,163],[6,7,6,6],1,[1.000000000,1.975938173,1.251208514],<"2.2e3_3_5_163.4t3.1",1>,[4,3]>]
x^4-2*x^3+35*x^2-34*x+39 2^6*3*5^2*163 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 89 x-1 5 [[855267422],[1187088437],[-1187088436],[-855267421]] 2 [3,1,3,5,3,4,3,5,3,3,4,4,4,2,5,4,3,3,4,4,5,4,4,1,3,3,5,1,5,5,5,5,3,5,3,1,4,4,5,4,5,5,1,5,4,2,5,3,4,5,3,2,4,5,3,5,3,4,4,4,4,2,2,1,3,1,5,5,4,5,3,4,3,1,3,5,3,1,2,2,5,3,1,5,1,2,2,3,5,5,2,2,3,3,3,5,3,1,1,5,2,1,4,1,5,3,1,5,1,4,3,4,3,5,4,4,4,5,4,3,3,3,4,1,3,5,3,1,5,1,3,5,4,4,1,4,4,1,4,1,5,5,5,2,3,4,1,3,5,3,1,1,4,3,4,4,2,1,5,5,4,3,3,5,3,3,4,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-34,2>,<x^2+66*x+600,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[3],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[324430,278324],[385124,-278324],[1,0]]>,[[[0,1],[1,0]],[[139164,-245963],[262143,0]],[[-139163,245963],[1,0]],[[1,-1],[262143,0]]]>,<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-1346616732,3,1]>,[[-1469245704,-1162261467],[306984238,0],[-1,-1],[2,1]]>,<5,4,2,[[2,1,4,3],[4,3,2,1]],[[1,2,3,4],[2,1,4,3],[4,3,2,1],[3,4,1,2]],[4,3,2,1],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[-1653003120770,936158321575],[-1539891702110,8766797313005],[1,0]]>,[[[15,1],[5,0]],[[7699458510565,-5687013908774],[-5,0]],[[-14,-1],[-5,0]],[[-7699458510564,5687013908774],[5,0]]]>,<163,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,159,1]>,[[84204811175093806792764967053398606552134037,0],[163,0],[1,0]]>,[[[27663792438682696287173331292524443767802893,62084612421826259450453884645852885999437199],[0,0]],[[-27663792438682696287173331292524443767802892,-62084612421826259450453884645852885999437199],[0,0]],[[-81,0],[-1,0]],[[82,0],[1,0]]]>*] [x,x^2-10,x^2-x-122,x^2-4890,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,163],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,163],[6,1,6,1],1,[1.000000000,1.150086523,1.092365033],<"notfaithful",0>,[4,3]>,<1,3*163,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,163],[1,6,1,6],1,[1.000000000,2.120311667,1.365425629],<"notfaithful",0>,[4,3]>,<1,2^3*3*5*163,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,163],[6,6,6,6],1,[1.000000000,0.8671342614,1.000380034],<"notfaithful",0>,[4,3]>,<2,2^3*3*5*163,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,3,5,163],[6,7,6,6],1,[1.000000000,0.8468306458,0.8646070372],<"2.2e3_3_5_163.4t3.2",1>,[4,3]>]
x^4-28*x^2-20*x+71 2^6*3*5^2*163 4 0 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 151 x-1 5 [[-15708338482],[-34330794225],[3257567681],[-31721160725]] 1 [1,4,1,5,3,4,3,5,3,3,4,4,4,2,5,4,3,3,4,4,5,4,4,2,3,3,5,2,5,5,5,5,3,5,3,1,4,4,5,4,5,5,2,5,4,2,5,3,4,5,3,1,4,5,3,5,3,4,4,4,4,1,2,2,3,2,5,5,4,5,3,4,3,1,3,5,3,1,1,2,5,3,2,5,1,1,1,3,5,5,1,1,3,3,3,5,3,2,1,5,2,2,4,2,5,3,2,5,2,4,3,4,3,5,4,4,4,5,4,3,3,3,4,2,3,5,3,2,5,1,3,5,4,4,2,4,4,1,4,2,5,5,5,1,3,4,1,3,5,3,1,2,4,3,4,4,2,2,5,5,4,3,3,5,3,3,4,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-88,2>,<x^2-20*x-17504,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[3],[[[2,1,4,3]]],20,<[],[7706,57604,1]>,[[31727,32764],[-1,4],[99347,55237],[131071,75835]]>,<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[856067052,0],[428033532,0],[1,0]]>,[[[-1601627808,1671139828],[0,0]],[[-1457123063,-1671139828],[0,0]],[[-428033531,0],[-1,0]],[[1,0],[1,0]]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-30885751733485,-846912327610,1]>,[[846912327613,-1],[3,1],[-4913784830323,-1016718125677],[4066872502707,1016718125677]]>,<163,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,159,1]>,[[24762017480303796380880729822316031948785378,0],[-86956146450683117501751714811433721213103326,0],[1,0]]>,[[[-32912016955021668917117845717674596898003373,-84754973892922948288668162555151323609109453],[0,0]],[[-54044129495661448584633869093759124315100023,84754973892922948288668162555151323609109453],[0,0]],[[86956146450683117501751714811433721213103361,0],[-1,0]],[[35,0],[1,0]]]>*] [x,x^2-10,x^2-x-122,x^2-4890,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,163],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,163],[6,1,6,1],1,[1.000000000,1.150086523,1.092365033],<"notfaithful",0>,[4,3]>,<1,3*163,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,163],[1,6,1,6],1,[1.000000000,2.120311667,1.365425629],<"notfaithful",0>,[4,3]>,<1,2^3*3*5*163,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,163],[6,6,6,6],1,[1.000000000,0.8671342614,1.000380034],<"notfaithful",0>,[4,3]>,<2,2^3*3*5*163,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,3,5,163],[6,7,6,7],1,[1.000000000,1.700856328,1.247700395],<"2.2e3_3_5_163.4t3.7",1>,[4,3]>]
x^4-2*x^3-15*x^2+6*x+9 2^6*3*5^2*163 4 0 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 43 x-1 5 [[-21368441],[39099976],[-18499380],[767847]] 1 [2,1,3,5,3,4,3,5,3,3,4,4,4,1,5,4,3,3,4,4,5,4,4,2,3,3,5,1,5,5,5,5,3,5,3,1,4,1,5,4,5,5,2,5,4,2,5,3,4,5,3,1,4,5,3,5,3,4,4,4,4,2,1,2,3,1,5,5,4,5,3,4,3,2,3,5,3,2,1,2,5,3,2,5,1,2,1,3,5,5,2,1,3,3,3,5,3,2,2,5,1,1,4,2,5,3,1,5,2,4,3,4,3,5,4,4,4,5,4,3,3,3,4,1,3,5,3,2,5,2,3,5,4,4,2,4,4,2,4,2,5,5,5,2,3,4,2,3,5,3,2,2,4,3,4,4,2,2,5,5,4,3,3,5,3,3,4,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+6,2>,<x^2+6*x-480,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,3],[3],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[-100502,481054],[417764,-213044],[1,0]]>,[[[0,1],[1,0]],[[106524,213045],[262143,0]],[[193085,-142799],[32784,224681]],[[224681,-70247],[229360,37463]]]>,<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-3,428033529,1]>,[[-107734303,0],[535767834,-387420489],[-428033529,-1],[0,1]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[24192618598040,-19635952801470],[846912327615,423456163810],[1,0]]>,[[[-846912327615,-423456163809],[-1,0]],[[0,1],[1,0]],[[-11679114654949,40559110352569],[7967249169518,6263013491283]],[[12526026982566,-40135654188761],[-7967249169518,-6263013491283]]]>,<163,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-7167423458593106941136029828415396044785305,-86956146450683117501751714811433721213103163,1]>,[[39270818746853990979285799333285190298666044,0],[49060995341623781876959289357166088244925362,0],[86956146450683117501751714811433721213103280,-1],[117,1]]>*] [x,x^2-10,x^2-x-122,x^2-4890,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,163],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,163],[6,1,6,1],1,[1.000000000,1.150086523,1.092365033],<"notfaithful",0>,[4,3]>,<1,3*163,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,163],[1,6,1,6],1,[1.000000000,2.120311667,1.365425629],<"notfaithful",0>,[4,3]>,<1,2^3*3*5*163,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,163],[6,6,6,6],1,[1.000000000,0.8671342614,1.000380034],<"notfaithful",0>,[4,3]>,<2,2^3*3*5*163,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,3,5,163],[6,7,6,7],1,[1.000000000,0.8468417118,0.8659838358],<"2.2e3_3_5_163.4t3.8",1>,[4,3]>]
