x^2-x-1125 7*643 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-72],[73]] 1 [2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1113,7,1]>,[[-3,-1],[4,1]]>,<643,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[102237,643,1]>,[[-321,-1],[322,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,643],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*643,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,643],[3,3],1,[1.000000000,1.357829345,0.9426087828],<"1.7_643.2t1.1",1>,[2,1]>]
x^4-2*x^3-1133*x^2+1134*x+312413 5*2269^3 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 101 x-1 7 [[-12407878101902],[19946563906891],[-19946563906890],[12407878101903]] 1 [3,4,4,4,2,3,4,5,3,2,5,4,5,3,3,4,2,2,3,5,4,5,4,2,3,1,3,3,2,4,3,5,4,1,5,1,4,4,4,3,2,5,5,3,3,1,5,4,3,5,3,5,1,5,4,3,2,5,3,5,3,3,3,5,4,3,1,3,3,5,3,2,4,4,5,3,1,3,5,5,5,5,2,4,5,3,5,4,2,4,3,5,3,1,5,4,5,2,4,1,4,3,4,1,1,3,3,3,5,2,4,4,4,5,2,2,4,4,4,2,2,3,3,4,2,5,2,1,3,3,5,3,2,3,5,2,3,3,3,1,5,1,3,4,5,2,3,3,2,4,4,5,3,3,4,1,5,5,4,2,3,3,4,5,3,3,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+1134,2>,<x^2-2270*x-3714920,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[3,4,1,2]],[[1,2,3,4],[3,4,1,2]],[3,4,1,2],[1,3],[1],[[]],20,<[],[1,1,1]>,[[17018,59159],[42142,59159],[-42141,-59159],[-17017,-59159]]>,<3,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[2,2,1]>,[[750776358,-992615843],[-750776357,992615843],[31963709,0],[-31963708,0]]>,<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[-33446101577585,0],[5,0],[1,0]]>,[[[-10984148188530,18349783815891],[0,0]],[[10984148188531,-18349783815891],[0,0]],[[-2,0],[-1,0]],[[3,0],[1,0]]]>,<7,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[3,6,1]>,[[26556060368635398,0],[-26556060368635397,0],[12614937418759,-1895610885089271],[-12614937418758,1895610885089271]]>,<2269,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[1655141420453,5838241374,7721407,4538,1]>,[[-1134,-1,0,0],[1892369755276668097535634028299333087394796902127018618506195425284,-1623523048288622768483012492731734739712967813353359966234289498,651250571345279597907209785998692267092152661407126146271128511,1227540300918935678382804988101984537449264590028890822381595949],[-1892369755276668097535634028299333087394796902127018618506195425283,1623523048288622768483012492731734739712967813353359966234289498,-651250571345279597907209785998692267092152661407126146271128511,-1227540300918935678382804988101984537449264590028890822381595949],[1135,1,0,0]]>*] [x,x^2-x-567,x^2-x-2836,x^2-x-1,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7,2269],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2269,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,2269],[3,1,1,1,6],1,[1.000000000,1.391124836,0.9580899475],<"notfaithful",0>,[4,3]>,<1,5*2269,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,7,2269],[1,4,6,4,6],1,[1.000000000,1.503304217,1.187761055],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,7,2269],[3,3,6,3,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<2,5*2269^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]]],[2,3,5,7,2269],[3,3,6,3,7],1,[0,0,0],<"2.5_2269e2.4t3.2",1>,[4,3]>]
x^5-10*x^3-20*x^2+45*x+68 -2^6*3^3*5^7 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 29 x^2+24*x+2 5 [[9509427,0],[-9742998,0],[-9841672,-6583814],[4591821,6583814],[5483422,0]] 2 [4,2,1,5,5,5,4,6,6,2,3,7,7,5,3,6,7,4,7,2,7,6,3,2,5,5,5,4,3,6,2,7,4,3,7,6,2,7,3,3,5,4,5,5,3,6,4,7,6,3,6,5,6,7,4,6,5,3,5,5,7,6,5,7,5,6,3,7,4,3,6,2,7,5,3,3,5,7,2,6,7,6,2,7,4,6,5,2,5,7,4,5,2,5,4,6,5,5,5,6,5,3,6,7,6,5,3,4,7,3,5,7,6,6,4,2,5,3,6,7,4,7,3,4,6,5,3,7,7,5,6,4,6,5,7,6,4,5,4,5,4,5,7,3,4,5,5,3,6,4,7,5,7,4,2,7,6,5,7,7,6,4,7,5,3,4,6,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,12,4,[[1,4,5,2,3],[1,2,5,3,4]],[[1,2,3,4,5],[1,4,5,2,3],[1,2,4,5,3],[1,2,5,3,4]],[1,2,5,3,4],[1,3,4,4],[2],[[[1,5,4,3,2],[1,4,5,2,3]]],20,<<[],[1,1,0,1]>,[[3338,0,0],[14664,0,0],[14374,0,0],[22846,0,0],[1,0,0]]>,[[[390636,0,0],[0,0,0],[0,0,0],[0,0,0]],[[-27825,0,0],[21616,0,0],[37603,0,0],[-1156,0,0]],[[40023,-48318,44832],[59032,-63636,-31716],[13355,-30430,38834],[46136,-6748,3090]],[[46427,20678,54438],[-11672,-46240,-6700],[-7565,-65256,7454],[-17276,17118,-26492]],[[-56045,27640,31802],[62096,-21196,38416],[-43393,-35386,-46288],[-27704,-10370,23402]]]>,<3,8,4,[[1,3,4,5,2],[1,2,5,4,3]],[[1,2,3,4,5],[1,4,5,2,3],[1,2,5,4,3],[1,5,4,3,2],[1,3,4,5,2]],[1,2,5,4,3],[1,3,2,3,5],[1],[[[1,3,4,5,2]]],20,<<[],[2,2,1]>,[[103262655,0],[-140358066,0],[-474957318,0],[110228829,0],[1,0]]>,[[[110228821,0],[0,0],[0,0],[0,0]],[[736727963,0],[179852414,0],[493229066,0],[100630913,0]],[[-140170177,283308216],[113244506,-377960020],[-167806170,78808363],[502677627,-28137650]],[[2,0],[1,0],[0,0],[0,0]],[[-706786609,-283308216],[-293096921,377960020],[-325422896,-78808363],[558952927,28137650]]]>,<5,20,20,[[4,5,1,2,3],[1,4,2,5,3]],[[1,2,3,4,5],[1,5,4,3,2],[1,4,2,5,3],[1,3,5,2,4],[4,5,1,2,3]],[1,2,3,4,5],[1,3,5,5,6],[1,4],[[[4,5,1,2,3],[1,4,2,5,3]],[[4,5,1,2,3]]],20,<[],[12440236698060,-26737787599750,-44596536721925,8055355145625,37157271000500,-39581312251875,-40430433412700,14823994163925,-38921316148800,-26713136477000,-42416452440450,-13604488983150,-28850008483805,39076306801375,23965259498225,26415937251000,-31562478559570,-46441808885425,24524901909750,19868214935075,1]>,[[5063199409762,5192584681950,-3160746090510,112898750405,-4253480226757,5329113430925,-8914382155100,8658202923125,-4620436795072,-5639665038055,2529649126460,-3877767136710,-1419547177342,296867932770,-1385522081391,624325454765,405356091948,-976416495590,-798966623064,-717094386199],[-1819882892503,-3607801858150,1450772666560,7764397294030,534095451413,1816231272225,-444315833175,-8992613662071,-7859020388502,8295340297440,4703691451828,-6441589362020,-995521307337,1275292933785,1154609172223,81369632010,-544595272587,991661173955,-641749213921,299551656691],[-7979811617278,7794956302845,8144632419725,-956836625170,-2214156239722,-5099585756955,8824601157000,-4353049498232,-6313006160987,-4390081746065,-1337213003548,6137480366665,-729622062007,1573084442435,-1397327324915,-430100002085,1842942391393,-1594806029321,-1083186836807,1678211083476],[-2741054268778,-5209530284620,8290733810085,2359998765030,-1335722246997,2747192546705,-2445365436450,2496991947807,6576131066863,-2568099112185,-9112964358853,8487169954565,-914042511002,-1624803208180,-1295417007465,-1052175834760,-248207750112,178944307491,-629001360202,-1684178524184],[7477549368797,-4170208842025,4348093522265,-9280458184295,7269263262063,-4792951492900,2979462267725,2190468289371,-6857154050427,4302505598865,3216836784113,-4305293822500,244035792063,-1520442100810,-891040024077,776580750070,-1455495460642,1400617043465,-661793231631,423510170216]]>*] [x,x^2-x+4,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,3*5,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5],[1,8,8],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[5,5]>,<4,2^6*3^3*5^7,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5],[8,9,10],1,[0,0,0],<"4.2e6_3e3_5e7.10t12.3",1>,[5,5]>,<4,2^6*3^3*5^7,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1]],[[1]]],[2,3,5],[8,8,9],1,[0,0,0],<"4.2e6_3e3_5e7.5t5.1",1>,[5,5]>,<5,2^6*3^4*5^8,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3,5],[8,9,10],1,[0,0,0],<"5.2e6_3e4_5e8.10t13.4",1>,[5,5]>,<5,2^6*3^3*5^7,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,3,5],[8,9,10],1,[0,0,0],<"5.2e6_3e3_5e7.6t14.1",1>,[5,5]>,<6,2^12*3^5*5^9,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1]],[[1],[1]]],[2,3,5],[8,9,8],1,[0,0,0],<"6.2e12_3e5_5e9.20t35.1",1>,[5,5]>]
x^5+5*x^3-40*x^2-75*x+262 -2^6*3^3*5^7 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 101 x^2+97*x+2 5 [[-15199971,3815653461],[-3998004734,0],[-2280068153,-3815653461],[975696858,0],[-5192524501,0]] 2 [3,2,1,7,5,5,4,6,4,7,6,5,7,7,4,4,7,6,7,5,5,4,6,5,5,2,7,6,4,3,5,2,6,3,7,4,2,7,3,4,5,3,7,7,3,3,4,7,4,4,4,2,3,5,6,3,5,4,5,5,5,4,7,5,2,4,3,2,6,4,4,5,5,5,6,6,2,5,5,4,2,6,7,7,6,6,7,2,5,5,6,7,2,5,6,6,5,2,5,4,5,6,4,7,3,5,3,6,2,6,5,5,6,6,6,5,5,6,4,7,4,5,6,3,4,5,4,5,7,5,6,6,6,7,7,6,6,7,4,5,4,2,5,4,6,2,5,3,6,6,5,5,7,4,5,7,3,5,7,5,3,4,7,5,3,6,3,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,4,2,[[1,3,2,5,4],[1,4,5,2,3]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,2,3],[1,5,4,3,2]],[1,4,5,2,3],[1,3,3,3],[3],[[[1,3,2,5,4]]],20,<<[],[1,1,1]>,[[309358,-417254],[-67380,-353744],[1,0]]>,[[[218986,524288],[0,0]],[[0,1],[1,0]],[[67380,-170543],[262143,0]],[[133833,-153859],[111320,95477]],[[104089,-199887],[150824,166667]]]>,<3,8,4,[[1,4,5,3,2],[1,2,3,5,4]],[[1,2,3,4,5],[1,3,2,5,4],[1,2,3,5,4],[1,4,5,2,3],[1,4,5,3,2]],[1,2,3,5,4],[1,3,2,3,5],[1],[[[1,4,5,3,2]]],20,<<[],[2,2,1]>,[[-18188142,0],[25660302,0],[-113256753,0],[-450803727,0],[1,0]]>,[[[1262264675,0],[0,0],[0,0],[0,0]],[[491284570,0],[71857422,0],[37633340,0],[65098005,0]],[[290549650,0],[311866818,0],[334041410,0],[220215566,0]],[[511429561,-209913192],[280067826,84509457],[192801709,378639084],[349662909,298609450]],[[-231005522,209913192],[111048912,302911032],[210364519,8781405],[139864498,88811039]]]>,<5,20,20,[[3,4,5,1,2],[1,4,2,5,3]],[[1,2,3,4,5],[1,5,4,3,2],[1,4,2,5,3],[1,3,5,2,4],[3,4,5,1,2]],[1,2,3,4,5],[1,3,5,5,6],[1,4],[[[3,4,5,1,2],[1,4,2,5,3]],[[3,4,5,1,2]]],20,<[],[26154782145215,22879632069750,-43098629135075,-21369902382250,-42415009912450,22597206671875,24652890228725,-30917475973950,-10887218016700,-39802425980000,-7852826362150,41296505914525,42320152150005,29628290972625,44220040181850,-47299591284625,-44346415331920,-6401037016700,-33926001029250,-39413359009075,1]>,[[8380873003038,-5354115619650,6812087669005,-8652855691280,7362421347032,-297686290425,-4785643261215,-7636671460525,9177317894558,4632770893330,5344611403190,-6593950999305,-360984311877,-1541721839190,-265182102316,712622402780,-923470148542,749868567975,1207992370743,1035009001469],[8529683570828,-5542674601600,5874860379135,1993013620670,5305821849947,-9094326529400,-8374949580400,-824458175246,6448534360378,-3860351226190,-5825216948118,-6302724305520,-238549126167,-878618736895,1296223874648,-267836532380,-1650875509412,-334291629715,-834570265588,1598139092859],[-6587359029622,-51081641160,-7520179859805,-8568944907630,1585370563912,-8021632711570,-4031756698155,-4577776104262,6032926783093,1149816691035,2236681269758,873045958950,-760387156972,-1890382013035,-926688910490,-565720330905,1206667768123,-879309187764,-1128673342561,-778275310966],[-3050254610372,-8967995778015,3754804393010,-2917847513730,-6848400603038,-5401632669805,-5918625675205,-4318251902888,-2359335948457,-2608080742585,5280754524278,-980058178110,-1181887586617,-1847563574140,1077598969010,-1051565981060,1319473182298,568644485404,67113089234,231449976449],[-7272942933872,842381312300,-8921572581345,-926851836155,-7405213157853,3741791873075,4037488886850,-1716328685204,-225956761447,685844384410,-7036830249108,-6069798804140,-1272889083992,-1471108367990,-1181951830852,1172500441565,48204707533,-104912235900,688138148172,1728374505814]]>*] [x,x^2-x+4,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,3*5,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5],[1,8,8],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[5,5]>,<4,2^6*3^3*5^7,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1],[1]],[[1]]],[2,3,5],[8,9,10],1,[0,0,0],<"4.2e6_3e3_5e7.10t12.4",1>,[5,5]>,<4,2^6*3^3*5^7,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[-1]],[[1]]],[2,3,5],[8,9,10],1,[0,0,0],<"4.2e6_3e3_5e7.5t5.2",1>,[5,5]>,<5,2^6*3^4*5^8,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1]],[[1]]],[2,3,5],[8,9,10],1,[0,0,0],<"5.2e6_3e4_5e8.10t13.5",1>,[5,5]>,<5,2^6*3^3*5^7,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,3,5],[8,9,10],1,[0,0,0],<"5.2e6_3e3_5e7.6t14.2",1>,[5,5]>,<6,2^12*3^5*5^9,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[2],[1]],[[1],[1]],[[1]]],[2,3,5],[8,9,10],1,[0,0,0],<"6.2e12_3e5_5e9.20t35.2",1>,[5,5]>]
