x^2-x+2627 -7*19*79 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[-80331],[80332]] 2 [2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2639,7,1]>,[[-3,-1],[4,1]]>,<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2717,19,1]>,[[-9,-1],[10,1]]>,<79,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4187,79,1]>,[[-39,-1],[40,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,19,79],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*19*79,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,19,79],[3,3,3],1,[1.000000000,0.6129718100,0.7078778681],<"1.7_19_79.2t1.1",1>,[2,1]>]
x^3+9*x-94 -2^2*3^3*13*43 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 37 x-1 5 [[24061298],[-9371777],[-14689521]] 2 [1,1,2,2,2,1,2,2,3,3,3,1,3,1,2,2,2,2,1,3,3,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,3,3,2,3,2,1,2,3,1,3,2,2,3,2,3,2,1,1,1,2,3,2,3,2,3,3,2,2,2,3,3,3,2,1,3,2,1,2,2,2,1,2,3,3,2,2,2,3,2,2,2,3,3,1,2,2,3,1,2,3,3,1,2,3,2,3,2,1,3,2,3,3,2,3,3,2,2,1,2,2,2,2,3,3,3,2,1,3,2,2,2,2,1,2,2,2,3,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,1,2,3,3,3,3,3,1,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[2],[[[1,3,2]]],20,<[],[22798,466702,1]>,[[409110,0],[3,2],[115175,-2]]>,<3,6,6,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,2,3],[1,2,3],[1,2],[[[3,1,2],[1,3,2]],[[3,1,2]]],20,<[],[-1138541811,71158968,1263069993,1245280239,-1298649252,996224124,1]>,[[78979720,-2244237,-92442898,-300213729,320407149,540294512],[-527729474,-581130633,-257582200,-9423721,402079644,-414644632],[448749754,-578886597,350025098,309637450,439774674,-125649880]]>,<13,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-3171855143844468132246,4933711761508836474415,1]>,[[4933711761508836474401,0],[-4933711761508836474408,-1],[7,1]]>,<43,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[200409237866652227496985911618408,115470713455501995222234663278717,1]>,[[115470713455501995222234663278657,0],[-115470713455501995222234663278687,-1],[30,1]]>*] [x,x^2+1677,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,13,43],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^2*3*13*43,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,13,43],[4,4,4,4],1,[1.000000000,0.6137243129,0.9321591289],<"notfaithful",0>,[3,2]>,<2,2^2*3^3*13*43,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3,13,43],[4,5,4,4],1,[1.000000000,2.184486991,1.340586146],<"2.2e2_3e3_13_43.3t2.2",1>,[3,2]>]
x^4+30*x^2+197 2^6*7^2*197 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 7 [[-81794638],[200917009],[-200917009],[81794638]] 2 [4,4,5,3,5,5,5,1,3,2,4,1,3,3,2,1,2,3,5,5,5,5,1,5,3,3,4,3,1,4,3,4,1,4,4,5,3,3,4,3,5,3,3,2,4,4,5,1,4,5,2,3,5,1,3,5,5,4,4,4,4,3,4,1,3,4,3,4,3,5,3,5,4,4,3,4,4,5,2,3,2,4,3,3,4,3,1,2,5,5,4,1,3,3,3,1,5,3,4,4,5,2,1,1,5,5,1,5,5,3,1,1,2,1,3,4,4,4,1,5,3,4,5,3,1,4,4,4,1,3,3,5,3,4,5,3,3,2,3,4,1,1,5,3,3,1,3,5,4,5,4,3,5,4,5,5,5,5,5,5,5,4,5,4,4,4,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+180,2>,<x^2-28368,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[4,3,2,1],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[4,3,2,1],[2,1,3,4],[3,4,2,1]],[1,2,4,3],[1,2,3,4,5],[2],[[[2,1,4,3],[4,3,2,1]]],20,<<[],[1,1,1]>,[[3810,0],[8152,0],[940,0],[262102,0],[1,0]]>,[[[-64807,0],[57428,0],[30223,0],[27948,0]],[[64807,0],[-57428,0],[-30223,0],[-27948,0]],[[7945,15890],[64888,-1296],[-7563,-15126],[-34902,61268]],[[-7945,-15890],[-64888,1296],[7563,15126],[34902,-61268]]]>,<7,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[3,6,1]>,[[24086941275404021,0],[12531213842153279,30774493379921760],[1,0]]>,[[[-12531213842153276,-30774493379921759],[-1,0]],[[3,1],[1,0]],[[-3,-1],[-1,0]],[[12531213842153276,30774493379921759],[1,0]]]>,<197,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,192,1]>,[[1284367814989949245179049773452437844219753422,0],[0,0],[1,0]]>,[[[-259697936619060439925491724858294686755382003,-2343974042805172090065441995394313998532057892],[0,0]],[[259697936619060439925491724858294686755382003,2343974042805172090065441995394313998532057892],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>*] [x,x^2-7,x^2-x-49,x^2-1379,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,197],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,197],[6,6,1],1,[1.000000000,1.046454885,1.065817093],<"notfaithful",0>,[4,3]>,<1,197,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,197],[4,1,6],1,[1.000000000,0.4750008885,0.6996107555],<"notfaithful",0>,[4,3]>,<1,2^2*7*197,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,197],[6,6,6],1,[1.000000000,1.203173945,0.9559496590],<"notfaithful",0>,[4,3]>,<2,2^4*7*197,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]]],[2,7,197],[6,7,7],1,[1.000000000,1.063108532,0.9949617740],<"2.2e4_7_197.4t3.3",1>,[4,3]>]
x^4-30*x^2+197 2^6*7^2*197 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 37 x-1 6 [[-390520521],[-1048210317],[1048210317],[390520521]] 1 [4,4,5,1,5,5,5,2,3,2,4,1,3,3,1,1,1,3,5,5,5,5,2,5,3,3,4,3,1,4,3,4,1,4,4,5,3,3,4,3,5,3,3,2,4,4,5,2,4,5,2,3,5,2,3,5,5,4,4,4,4,3,4,2,3,4,3,4,3,5,3,5,4,4,3,4,4,5,2,3,1,4,3,3,4,3,1,2,5,5,4,2,3,3,3,2,5,3,4,4,5,2,2,1,5,5,2,5,5,3,2,1,2,2,3,4,4,4,1,5,3,4,5,3,2,4,4,4,2,3,3,5,3,4,5,3,3,1,3,4,2,1,5,3,3,2,3,5,4,5,4,3,5,4,5,5,5,5,5,5,5,4,5,4,4,4,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-180,2>,<x^2-28368,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[3,4,1,2],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[2,1,3,4],[4,3,1,2]],[1,2,4,3],[1,2,3,4,5],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,1]>,[[2138,0],[8348,0],[65512,0],[46,0],[1,0]]>,[[[58713,0],[26836,0],[-48284,0],[-15719,0]],[[-58713,0],[-26836,0],[48284,0],[15719,0]],[[-43259,44554],[58036,-15000],[-22462,-44924],[-58409,14254]],[[43259,-44554],[-58036,15000],[22462,44924],[58409,-14254]]]>,<7,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-243807235910042,13095495442133244,1]>,[[-13095495442133238,-1],[6,1],[-6,-1],[13095495442133238,1]]>,<197,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,192,1]>,[[-1284367814989949245179049773452437844219753422,0],[0,0],[1,0]]>,[[[-19591329680516708739391196872514210088209793,-1211205208746730203896837802515891037958832873],[0,0]],[[19591329680516708739391196872514210088209793,1211205208746730203896837802515891037958832873],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>*] [x,x^2-7,x^2-x-49,x^2-1379,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,197],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,197],[6,6,1],1,[1.000000000,1.046454885,1.065817093],<"notfaithful",0>,[4,3]>,<1,197,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,197],[4,1,6],1,[1.000000000,0.4750008885,0.6996107555],<"notfaithful",0>,[4,3]>,<1,2^2*7*197,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,197],[6,6,6],1,[1.000000000,1.203173945,0.9559496590],<"notfaithful",0>,[4,3]>,<2,2^4*7*197,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,7,197],[6,7,8],1,[1.000000000,1.179917543,1.027180701],<"2.2e4_7_197.4t3.4",1>,[4,3]>]
x^4+259*x^2+16317 2^4*7^2*37^3 0 2 4 "C4" [[3,1,4,2],[4,3,2,1]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[3,1,4,2]>,<4,1,[2,4,1,3]>] [[1,1,1,1],[2,2],[4]] 11 x-1 8 [[12893277],[85456428],[-85456428],[-12893277]] 2 [4,2,3,1,1,3,3,4,3,3,3,1,1,3,1,1,4,4,1,2,1,3,1,4,3,1,3,2,4,3,2,3,1,2,1,1,2,4,4,1,4,2,3,4,1,3,2,1,4,2,2,3,3,3,3,1,2,1,3,4,3,2,2,3,3,2,3,2,4,2,4,2,1,2,2,4,4,1,3,4,1,3,4,2,3,1,4,4,3,3,4,4,3,2,4,4,1,1,4,4,4,3,4,3,2,3,3,2,2,2,3,2,2,2,4,1,3,3,3,1,4,1,1,3,2,4,4,1,3,1,1,1,1,4,1,4,2,1,4,3,1,1,2,3,4,2,4,3,4,2,1,1,4,2,3,3,4,1,2,2,3,2,3,1,3,2,4,3] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x+10878,3>,<x-10878,4>]*]] [*<2,4,2,[[4,3,1,2]],[[1,2,3,4],[2,1,4,3],[4,3,1,2],[3,4,2,1]],[4,3,1,2],[1,2,4,3],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[374374,-300086],[0,2],[1,0]]>,[[[0,1],[1,0]],[[0,-1],[-1,0]],[[185439,-82043],[256806,-185439]],[[-185439,82043],[-256806,185439]]]>,<3,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,2,1]>,[[-1247267065,-1247267065],[1247267065,1247267065],[307884066,307884066],[-307884066,-307884066]]>,<7,2,2,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[1,2,3,4],[1,2],[1],[[[4,3,2,1]]],20,<[],[-29203443095265768,0,1]>,[[0,-1],[0,780577983153651],[0,-780577983153651],[0,1]]>,<37,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,4,3],[1],[[[2,4,1,3]]],20,<[],[16317,0,259,0,1]>,[[0,-1,0,0],[0,-208310663663614042582759043118,0,-119034664950636595761576596071],[0,208310663663614042582759043118,0,119034664950636595761576596071],[0,1,0,0]]>*] [x,0,x^2-x-9,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,37],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,2^2*7*37,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,7,37],[5,2,5,5],0,[-0.7630199825+0.6463748961*i,0.8026098085+0.3434371986*i,0.9071237374+0.04625771838*i],<"1.2e2_7_37.4t1.1",1>,[4,1]>,<1,37,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,37],[3,1,1,5],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[4,1]>,<1,2^2*7*37,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,7,37],[5,2,5,5],0,[-0.7630199825-0.6463748961*i,0.8026098085-0.3434371986*i,0.9071237374-0.04625771838*i],<"1.2e2_7_37.4t1.1",2>,[4,1]>]
x^5-7*x^3-2*x^2+13*x+16 2^4*7^2*37^3 1 2 20 "F5" [[3,2,1,5,4],[5,4,1,3,2],[5,2,4,1,3]] [<1,1,[1,2,3,4,5]>,<2,5,[3,2,1,5,4]>,<4,5,[5,2,4,1,3]>,<4,5,[4,2,5,3,1]>,<5,4,[5,4,1,3,2]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 71 x^2+69*x+7 7 [[-1327786601846,0],[-1973987303766,1171951499967],[-1893764812402,1332963171535],[-982559375970,-1171951499967],[-2917022064407,-1332963171535]] 2 [3,2,4,1,5,4,4,3,4,4,4,1,5,4,5,5,3,3,5,2,5,4,5,3,4,5,4,2,3,4,2,4,5,2,5,1,2,3,3,1,3,2,4,3,5,4,2,5,3,2,2,4,4,4,4,5,2,5,4,3,4,2,2,4,4,2,4,2,3,2,3,2,5,2,2,3,3,5,4,3,5,4,3,2,4,5,3,3,4,4,3,3,4,2,3,3,5,1,3,3,3,4,3,4,2,4,4,2,2,2,4,2,2,2,3,1,4,4,4,5,3,5,1,4,2,3,3,5,4,5,5,5,5,3,5,3,2,5,3,4,5,5,2,4,3,2,3,4,3,2,5,5,3,2,4,4,3,5,2,2,4,2,4,5,4,2,3,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5-337*x^3-900*x^2+30937*x+181746,3>,<x^5-337*x^3+3244*x^2+6073*x+185890,4>]*],[*[5],"CYC",0,5*]] [*<2,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,2,3,4],[2],[[[1,3,2,5,4]]],20,<<[],[1,1,1]>,[[457284,184530],[316418,461398],[1,0]]>,[[[171440,0],[0,0]],[[0,1],[1,0]],[[207870,62891],[-1,0]],[[147321,-258087],[14187,-230447]],[[-2343,195195],[-14187,230447]]]>,<7,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-21402346942914357,-21881875730701189,1]>,[[-27815463073349351,0],[21881875730701192,-1],[3,1],[19298372624318691,-3405904837086956],[-13364785281670535,3405904837086956]]>,<37,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,2,3,4],[1],[[[1,3,5,2,4]]],20,<[],[-7883911254564242228173008289437,-7345940776809741270179800379748,-1550977224864709405453623904654,4996072139872819156894932135420,1]>,[[4996072139872819156894932135336,0,0,0],[-2286879710809941329632245339801,-157359059106522920236506065068,-228772079322234250837216782778,-177422854651959679393409706149],[-10400168760633739599064249694214,308817684938959810081696191578,141976119192161583701566939953,-23896348335750554307804353484],[7690976331570861771801562898658,-151458625832436889845190126511,86795960130072667135649842825,201319202987710233701214059633],[21,1,0,0]]>*] [x,x^2-x-9,x^4+259*x^2+16317,x^4+259*x^2+16317,0] [1,2,2,4,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,37],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,37,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,37],[3,1,6],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[5,3]>,<1,2^2*7*37,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,7,37],[6,6,6],0,[-0.7630199825+0.6463748961*i,0.8026098085+0.3434371986*i,0.9071237374+0.04625771838*i],<"notfaithful",0>,[5,3]>,<1,2^2*7*37,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,7,37],[6,6,6],0,[-0.7630199825-0.6463748961*i,0.8026098085-0.3434371986*i,0.9071237374-0.04625771838*i],<"notfaithful",0>,[5,3]>,<4,2^4*7^2*37^3,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[-1]]],[2,7,37],[6,7,8],1,[0,0,0],<"4.2e4_7e2_37e3.5t3.1",1>,[5,3]>]
