x^2-x+128 -7*73 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[592],[-591]] 2 [1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[140,7,1]>,[[-3,-1],[4,1]]>,<73,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1460,73,1]>,[[-36,-1],[37,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,73],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*73,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,73],[3,3],1,[1.000000000,1.945662275,1.250544461],<"1.7_73.2t1.1",1>,[2,1]>]
x^6-2*x^5+5*x^4-7*x^3+7*x^2-6*x+1 5^3*2549 2 2 72 "S3wrC2" [[1,4,3,2,5,6],[2,1,4,3,6,5],[1,4,3,6,5,2]] [<1,1,[1,2,3,4,5,6]>,<2,6,[2,1,4,3,6,5]>,<2,6,[1,2,5,4,3,6]>,<2,9,[1,2,5,6,3,4]>,<3,4,[3,4,5,6,1,2]>,<3,4,[3,2,5,4,1,6]>,<4,18,[2,1,6,3,4,5]>,<6,12,[4,1,6,3,2,5]>,<6,12,[1,4,5,6,3,2]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,2,3],[2,2,2],[2,4],[3,3],[6]] 31 x^2+29*x+3 5 [[-7099128,10815069],[7491480,0],[12914597,0],[7238158,8655207],[-5815468,-10815069],[13899514,-8655207]] 4 [7,7,4,8,9,2,8,9,7,9,4,2,9,7,7,7,4,4,7,5,8,4,8,4,8,4,7,7,9,2,8,4,7,5,4,9,8,8,8,7,4,6,9,7,7,4,9,7,7,9,8,3,9,1,8,7,3,4,7,4,7,8,8,3,7,7,4,8,2,5,8,6,8,7,9,8,9,2,9,3,6,3,5,8,6,7,3,7,4,7,2,5,7,4,6,7,5,9,7,3,8,2,8,9,9,7,8,7,4,9,8,2,8,4,4,3,7,7,8,4,9,7,8,7,9,9,3,6,2,8,3,7,5,8,9,1,7,8,2,6,5,3,7,7,5,4,8,7,9,8,7,9,7,7,8,3,3,5,8,3,7,8,7,9,7,7,3,8] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,2,3],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,8*]] [*<5,4,2,[[2,1,4,3,6,5],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,6,5,4,3],[2,1,5,6,3,4]],[1,2,6,5,4,3],[1,2,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,4,1]>,[[43247082000170,0],[4341188941525,0],[1,0]]>,[[[-4341188941522,0],[-1,0]],[[3,0],[1,0]],[[22244833547055,11122416773528],[-3356050819072,-6446396991567]],[[20191173264980,-14831568513047],[3356050819072,6446396991567]],[[-15849984323457,14831568513047],[-3356050819071,-6446396991567]],[[-22244833547057,-11122416773528],[3356050819071,6446396991567]]]>,<2549,6,2,[[1,2,3,4,6,5],[1,4,2,3,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,4,2,3,5,6],[1,3,4,2,5,6],[1,4,2,3,6,5],[1,3,4,2,6,5]],[1,4,2,3,5,6],[1,3,6,6,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[2547,2,0,1]>,[[-6176315199208577762365180058214314919014729789774702436910023044938,0,0],[17218850798531238270223262128246590969243731443450122213954637003893,0,0],[1,0,0]]>,[[[17218850798531238270223262128246590969243731443450122213954637000742,0,0],[0,0,0]],[[36714300791862091374058858571290865365576515285815113633061401679092,29527679080025651748768091314226494306321869896144922722489771068056,61058250186807514178836977276027338972953163117490465286045113552819],[0,0,0]],[[-17250592640610625178922805157544296699115533107655067669165691785194,-10728559256974174381837561242709606254354381648136959684034866806,-46460469073368914532484937215717412473107426483870430813123331132396],[0,0,0]],[[-19463708151251466195136053413746568666460982178160045963895709893897,-29516950520768677574386253752983784700067515514496785762805736201250,-14597781113438599646352040060309926499845736633620034472921782420423],[0,0,0]],[[-17218850798531238270223262128246590969243731443450122213954637002317,0,0],[-1,0,0]],[[1576,0,0],[1,0,0]]]>*] [x,x^2-x-3186,x^2-x-1,x^2-x-637,x^4-2*x^3+52*x^2-51*x+13,0,0,0,0] [1,2,2,2,5,6,7,8,9] <[1],[2],[3],[4],[5],[6],[7],[8],[9]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,2549],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,13]>,<1,5*2549,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,2549],[10,10],1,[1.000000000,2.269999706,1.444437841],<"notfaithful",0>,[6,13]>,<1,5,1,[[1],[-1],[1],[1],[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,2549],[10,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[6,13]>,<1,2549,1,[[1],[1],[-1],[1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,2549],[1,10],1,[1.000000000,0.7191169072,0.7629231070],<"notfaithful",0>,[6,13]>,<2,5*2549,1,[[2],[0],[0],[-2],[2],[2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1]],[[1],[-1]]],[5,2549],[10,11],1,[1.000000000,0.5245429760,0.8911252523],<"notfaithful",0>,[6,13]>,<4,5^2*2549^3,1,[[4],[0],[-2],[0],[-2],[1],[0],[0],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[2],[3],[2],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1],[0],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1],[-1]]],[5,2549],[10,11],1,[0,0,0],<"4.5e2_2549e3.12t34.1",1>,[6,13]>,<4,5^2*2549,1,[[4],[0],[2],[0],[-2],[1],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[2],[3],[2],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1],[0],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]]],[5,2549],[10,11],1,[1.000000000,0.8760258263,0.9920130119],<"4.5e2_2549.6t13.1",1>,[6,13]>,<4,5*2549^2,1,[[4],[2],[0],[0],[1],[-2],[0],[-1],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[2],[3],[2],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[1],[0],[1]],[[1],[-1],[-1],[1]],[[1],[1],[1]]],[5,2549],[10,11],1,[0,0,0],<"4.5_2549e2.6t13.1",1>,[6,13]>,<4,5^3*2549^2,1,[[4],[-2],[0],[0],[1],[-2],[0],[1],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[2],[3],[2],[1]],[[1],[0],[0],[0],[-1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[1],[0],[1]],[[1],[1]],[[1],[1],[1]]],[5,2549],[10,11],1,[0,0,0],<"4.5e3_2549e2.12t34.1",1>,[6,13]>]
x^5-2*x^3-9*x^2-2*x-3 3^2*421^2 1 2 10 "D10" [[3,5,1,4,2],[2,1,3,5,4]] [<1,1,[1,2,3,4,5]>,<2,5,[3,5,1,4,2]>,<5,2,[3,4,2,5,1]>,<5,2,[2,5,4,1,3]>] [[1,1,1,1,1],[1,2,2],[5]] 11 x^2+7*x+2 5 [[51354,70839],[-45898,-2472],[38634,-70839],[-15496,0],[-28594,2472]] 2 [3,1,2,3,2,2,2,2,1,4,4,2,4,2,4,3,4,2,3,3,2,4,3,1,4,2,3,2,4,2,2,2,3,4,2,2,2,4,2,3,3,3,2,2,4,3,2,2,1,4,1,2,3,3,4,3,2,2,3,2,4,1,3,3,3,2,2,3,2,2,2,4,2,4,2,2,3,2,2,3,4,1,4,1,2,4,2,3,3,2,2,2,2,1,3,2,3,2,2,2,2,1,2,4,2,2,2,3,2,3,2,1,2,2,2,2,4,4,2,4,3,4,2,3,2,4,2,3,2,4,3,2,2,4,2,2,4,4,2,2,3,2,2,2,2,2,1,2,3,2,4,3,2,2,2,4,4,1,2,2,2,3,3,4,2,1,4,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-3789,4>,<x+3789,3>]*]] [*<3,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[93049230,471768465,1]>,[[1493616684,0],[2,3],[-253043926,387420486],[-1563027125,-193314202],[1484715832,193314202]]>,<421,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[456738145649447329882329336075736888927907370631366,10853736510944223517149264366734965365323173212145433,1]>,[[-5919198412400058310255531218931056488130590678529116,0],[-10853736510944223517149264366734965365323173212145299,-1],[134,1],[14491165714880031768128184019046133825564941069621400,32865242833473516329444850652790632801847222174255],[2281769208464250059276611566619888027888822821052881,-32865242833473516329444850652790632801847222174255]]>*] [x,x^2-x+316,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,421],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,3*421,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,421],[1,5,5],1,[1.000000000,1.767983441,1.288752720],<"notfaithful",0>,[5,2]>,<2,3*421,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,421],[3,5,5],1,[1.000000000,0.6486863085,0.7467330628],<"2.3_421.5t2.1",1>,[5,2]>,<2,3*421,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,421],[3,5,5],1,[1.000000000,1.633589517,1.254349250],<"2.3_421.5t2.1",2>,[5,2]>]
x^4+14*x^2+3 2^10*3*23^2 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 37 x-1 6 [[325683406],[576508371],[-576508371],[-325683406]] 2 [1,1,4,4,3,3,5,5,1,5,5,1,4,5,3,4,2,2,5,3,2,4,3,5,3,5,4,3,1,5,5,1,5,4,4,5,1,4,3,5,2,1,1,1,5,4,4,5,3,2,4,3,3,3,4,1,5,5,3,5,5,4,4,3,3,5,4,3,1,3,4,2,4,2,5,1,4,3,5,2,3,2,1,3,5,2,4,3,5,5,3,1,5,2,4,1,5,5,5,3,4,4,3,5,5,1,1,4,3,1,5,2,5,5,4,5,5,3,5,3,2,2,4,2,4,4,2,3,4,2,4,1,4,2,4,3,4,5,4,4,4,5,5,3,3,2,3,4,4,3,3,5,4,3,5,2,4,4,3,4,2,5,5,3,5,2,5,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+84,2>,<x^2-432,3>]*],[*[4],"CYC",0,5*]] [*<2,8,8,[[3,4,1,2],[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[2,1,3,4],[4,3,1,2]],[1,2,3,4],[1,2,3,4,5],[2,4,6],[[[3,4,1,2],[3,4,2,1]],[[2,1,4,3],[3,4,1,2]],[[2,1,4,3]]],20,<[],[109542,-483848,-117532,-218920,205630,162856,-287420,259636,1]>,[[78213,-123784,-94783,-723,89444,115713,128042,110911],[-78213,123784,94783,723,41628,15359,3030,20161],[-121595,-90682,93367,-84405,37972,59557,33989,103969],[121595,90682,-93367,84405,93100,71515,97083,27103]]>,<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[471282243,0,1]>,[[1508174918,0],[-1508174918,0],[0,-1],[0,1]]>,<23,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[688775130984846594683556029,410646541029173685930138776,1]>,[[-410646541029173685930138757,-1],[19,1],[-19,-1],[410646541029173685930138757,1]]>*] [x,x^2-46,x^2-3,x^2-138,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*23,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,23],[6,1,6],1,[1.000000000,1.591314213,1.170481953],<"notfaithful",0>,[4,3]>,<1,2^2*3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,23],[6,6,1],1,[1.000000000,0.7603459963,0.9497031263],<"notfaithful",0>,[4,3]>,<1,2^3*3*23,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,23],[6,6,6],1,[1.000000000,0.7734825997,0.9375659719],<"notfaithful",0>,[4,3]>,<2,2^7*3*23,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]]],[2,3,23],[6,7,7],1,[1.000000000,1.680313041,1.129954745],<"2.2e7_3_23.4t3.3",1>,[4,3]>]
x^4+22*x^2+75 2^10*3*23^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 59 x-1 5 [[271213327],[116936841],[-116936841],[-271213327]] 2 [1,4,4,4,3,3,5,5,1,5,5,2,4,5,3,4,1,1,5,3,2,4,3,5,3,5,4,3,2,5,5,2,5,4,4,5,2,4,3,5,1,2,1,1,5,4,4,5,3,1,4,3,3,3,4,1,5,5,3,5,5,4,4,3,3,5,4,3,2,3,4,2,4,1,5,1,4,3,5,2,3,1,1,3,5,1,4,3,5,5,3,1,5,1,4,1,5,5,5,3,4,4,3,5,5,1,2,4,3,1,5,1,5,5,4,5,5,3,5,3,1,2,4,1,4,4,1,3,4,1,4,1,4,1,4,3,4,5,4,4,4,5,5,3,3,2,3,4,4,3,3,5,4,3,5,2,4,4,3,4,1,5,5,3,5,2,5,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+132,2>,<x^2-10800,3>]*],[*[4],"CYC",0,5*]] [*<2,8,8,[[3,4,1,2],[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[2,1,3,4],[4,3,1,2]],[1,2,3,4],[1,2,3,4,5],[2,4,6],[[[3,4,1,2],[3,4,2,1]],[[2,1,4,3],[3,4,1,2]],[[2,1,4,3]]],20,<[],[-152714,-483928,17940,226168,-306410,-262824,314028,-375580,1]>,[[-120395,-69728,77553,22273,16678,69439,28738,54875],[120395,69728,-77553,-22273,114394,61633,102334,76197],[17489,-99314,-123361,-32209,29418,107711,26741,74005],[-17489,99314,123361,32209,101654,23361,104331,57067]]>,<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[-471282225,0],[0,0],[1,0]]>,[[[62463743,62463743],[0,0]],[[-62463743,-62463743],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<5,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[2,4,1]>,[[-24328154040591,35519638800017],[24328154040591,-35519638800017],[4647199916620,0],[-4647199916620,0]]>,<23,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-202983033733917648073655212,-838881938421212574077465998,1]>,[[838881938421212574077466012,-1],[14,1],[-14,-1],[-838881938421212574077466012,1]]>*] [x,x^2-46,x^2-3,x^2-138,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,23],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*23,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,23],[6,1,1,6],1,[1.000000000,1.591314213,1.170481953],<"notfaithful",0>,[4,3]>,<1,2^2*3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,23],[6,6,4,1],1,[1.000000000,0.7603459963,0.9497031263],<"notfaithful",0>,[4,3]>,<1,2^3*3*23,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,23],[6,6,3,6],1,[1.000000000,0.7734825997,0.9375659719],<"notfaithful",0>,[4,3]>,<2,2^7*3*23,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,5,23],[6,7,3,8],1,[1.000000000,0.8401565203,0.9028299109],<"2.2e7_3_23.4t3.4",1>,[4,3]>]
x^4-14*x^2+3 2^10*3*23^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 37 x-1 6 [[-252106084],[1212326471],[-1212326471],[252106084]] 1 [1,4,4,4,3,3,5,5,3,5,5,1,4,5,3,4,1,2,5,3,2,4,3,5,3,5,4,3,1,5,5,2,5,4,4,5,1,4,3,5,1,1,2,1,5,4,4,5,3,2,4,3,3,3,4,2,5,5,3,5,5,4,4,3,3,5,4,3,2,3,4,1,4,2,5,2,4,3,5,2,3,2,2,3,5,1,4,3,5,5,3,2,5,1,4,2,5,5,5,3,4,4,3,5,5,1,2,4,3,1,5,2,5,5,4,5,5,3,5,3,2,2,4,1,4,4,2,3,4,2,4,2,4,2,4,3,4,5,4,4,4,5,5,3,3,1,3,4,4,3,3,5,4,3,5,1,4,4,3,4,1,5,5,3,5,1,5,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-84,2>,<x^2-432,3>]*],[*[4],"CYC",0,5*]] [*<2,8,8,[[4,3,2,1],[2,1,3,4]],[[1,2,3,4],[2,1,4,3],[4,3,2,1],[1,2,4,3],[4,3,1,2]],[1,2,3,4],[1,2,3,4,5],[2,4,6],[[[4,3,2,1],[2,1,3,4]],[[2,1,4,3],[4,3,2,1]],[[2,1,4,3]]],20,<[],[61398,-38880,-152668,-450672,-273718,115536,504088,322964,1]>,[[-113319,-97832,3937,-110679,31755,14752,115090,79949],[113319,97832,-3937,110679,99317,116320,15982,51123],[-127863,8854,43559,-4395,88187,66522,98079,25021],[127863,-8854,-43559,4395,42885,64550,32993,106051]]>,<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[-471282243,0],[0,0],[1,0]]>,[[[1508174918,1508174918],[0,0]],[[-1508174918,-1508174918],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<23,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[5,21,1]>,[[251440436043293880113185139,190518873588974731022810334],[-429358284435169812458434770,-122612971438329807992417327],[1,0]]>,[[[429358284435169812458434772,122612971438329807992417348],[-1,0]],[[2,21],[1,0]],[[-2,-21],[-1,0]],[[-429358284435169812458434772,-122612971438329807992417348],[1,0]]]>*] [x,x^2-46,x^2-3,x^2-138,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*23,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,23],[6,1,6],1,[1.000000000,1.591314213,1.170481953],<"notfaithful",0>,[4,3]>,<1,2^2*3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,23],[6,6,1],1,[1.000000000,0.7603459963,0.9497031263],<"notfaithful",0>,[4,3]>,<1,2^3*3*23,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,23],[6,6,6],1,[1.000000000,0.7734825997,0.9375659719],<"notfaithful",0>,[4,3]>,<2,2^7*3*23,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]]],[2,3,23],[6,7,7],1,[1.000000000,0.7854912880,0.9013057054],<"2.2e7_3_23.4t3.5",1>,[4,3]>]
