x^2-x+31523 -7*18013 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-923],[924]] 2 [2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[31535,7,1]>,[[-3,-1],[4,1]]>,<18013,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[81148565,18013,1]>,[[-9006,-1],[9007,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,18013],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*18013,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,18013],[3,3],1,[1.000000000,0.7077792319,0.7505607595],<"1.7t18013.2.1.2t1.1",1>,[2,1]>]
x^5-x^4-2*x^3+2*x^2-3*x+2 -7*18013 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 227 x-1 5 [[-288201415492],[-199882436022],[109094028829],[-241387943182],[17638775961]] 2 [5,7,6,2,7,6,3,5,3,3,7,5,6,5,5,6,6,6,5,4,7,3,4,6,3,4,7,6,4,7,5,4,7,6,6,6,5,4,5,7,5,5,3,6,7,7,3,6,1,5,6,3,4,5,5,6,6,6,5,4,6,7,6,6,4,5,4,5,5,2,4,5,2,1,5,5,4,7,4,7,6,7,6,4,2,6,6,7,6,4,7,4,6,5,3,3,3,6,4,5,6,2,4,7,3,4,6,3,2,4,6,5,4,6,7,6,5,7,5,3,5,5,4,4,7,6,5,4,4,7,4,7,3,4,6,6,7,5,4,6,2,4,4,4,5,2,5,5,5,5,5,2,4,5,4,7,5,6,2,7,5,7,3,5,4,7,7,7] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<7,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[3,6,1]>,[[-15782105337872153,0],[9442254174004008,0],[1,0]]>,[[[28708919484049356,0],[0,0]],[[-25738334157016412,-18667044883599912],[0,0]],[[6471668846971059,18667044883599912],[0,0]],[[-9442254174004005,0],[-1,0]],[[3,0],[1,0]]]>,<18013,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,18009,1]>,[[503428950734992276660347076913249168154692970513825024052201137688328217378439174269,0],[71268602416118924433306972207227706347328713222676040345791975993967803530049789818,0],[1,0]]>,[[[-4268731910112976254268200017391565790943294549387360292855598227533433887504757443028,0],[0,0]],[[4416010546868154441623764822825069755530745011294104461319780275512839556566034106106,-5258241227633707142599034425628456993265427437547448977195820375367341327534964252749],[0,0]],[[-76010034339059262922257833226276258240121748684068128118390071985437865531226878075,5258241227633707142599034425628456993265427437547448977195820375367341327534964252749],[0,0]],[[-71268602416118924433306972207227706347328713222676040345791975993967803530049787410,0],[-1,0]],[[2408,0],[1,0]]]>*] [x,x^2-x+31523,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[7,18013],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,7*18013,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[7,18013],[8,8],1,[1.000000000,0.7077792319,0.7505607595],<"notfaithful",0>,[5,5]>,<4,7^3*18013^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[1]]],[7,18013],[8,8],1,[0,0,0],<"4.7e3t18013e3.120.1.10t12.1",1>,[5,5]>,<4,7*18013,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1],[-1],[1]]],[7,18013],[8,8],1,[1.000000000,0.5912037466,0.8721972179],<"4.7t18013.120.1.5t5.1",1>,[5,5]>,<5,7^2*18013^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1],[-1],[1]]],[7,18013],[8,8],1,[0,0,0],<"5.7e2t18013e2.120.1.10t13.1",1>,[5,5]>,<5,7^3*18013^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]]],[7,18013],[8,8],1,[0,0,0],<"5.7e3t18013e3.120.1.6t14.1",1>,[5,5]>,<6,7^3*18013^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[1],[-1],[-1]]],[7,18013],[8,8],1,[0,0,0],<"6.7e3t18013e3.120.1.20t35.1",1>,[5,5]>]
x^5-2*x^4+4*x^3-2*x^2+2 2^4*13*113 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 19 x^2+18*x+2 5 [[315844,0],[404144,-473458],[493026,-234676],[-978008,473458],[-235004,234676]] 3 [5,5,6,5,7,2,5,3,5,7,7,6,5,7,4,6,6,4,6,6,4,5,2,3,7,5,5,2,5,4,3,4,3,3,5,4,3,7,6,4,2,7,5,6,4,7,4,4,7,6,4,5,5,6,6,7,5,4,6,3,3,3,5,6,6,5,7,3,6,6,5,4,3,7,4,5,4,3,5,3,5,7,4,7,6,4,6,6,2,2,6,3,6,5,3,6,7,3,2,4,4,7,3,3,5,6,5,5,7,4,5,6,5,3,4,7,6,4,4,5,4,7,6,4,2,5,5,4,6,6,5,4,7,7,5,5,7,5,7,4,4,5,6,2,5,4,5,7,5,7,3,7,7,5,5,3,6,5,7,6,6,4,5,5,4,3,4,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,20,5,[[2,3,4,5,1],[1,3,5,2,4]],[[1,2,3,4,5],[3,2,1,5,4],[4,2,5,3,1],[5,2,4,1,3],[2,3,4,5,1]],[1,3,5,2,4],[1,3,5,5,6],[1],[[[2,3,4,5,1]]],20,<<[],[1,1,0,0,1]>,[[2,0,0,0],[0,0,0,0],[-2,0,0,0],[4,0,0,0],[-2,0,0,0],[1,0,0,0]]>,[[[0,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-112426,-174146,402856,-149902],[131670,483166,498252,350323],[321284,501132,236774,253616],[156180,438253,416084,208240],[270112,29452,421148,10624]],[[343862,323820,229816,458482],[447316,191360,343963,421659],[346814,133842,11796,287656],[227526,461218,493555,303368],[499100,463532,73428,490704]],[[235372,408758,-343562,-385222],[115562,263021,44672,154083],[468792,27994,327840,100768],[58139,140928,335163,427044],[122788,516052,119468,338480]],[[-466806,490144,-289110,76642],[354027,111029,161689,122511],[435974,385608,472166,406536],[82443,8177,328062,109924],[156576,39540,434532,208768]]]>,<13,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,12,1]>,[[2184680594180194316960,0],[5177186830703171029811,0],[1,0]]>,[[[4807251376401158647596,-4496170286816761867617],[0,0]],[[-1376468039257890360390,0],[0,0]],[[1746403493559902742597,4496170286816761867617],[0,0]],[[-5177186830703171029806,0],[-1,0]],[[5,0],[1,0]]]>,<113,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[110,8,0,1]>,[[-33522710791098501602588550617119491965031,0,0],[19999695229108329962355694809703915080950,0,0],[1,0,0]]>,[[[2456057858432065539396533701552732538444,-25732978754912483923491470746764129972192,28018249308445178096841150945511664131608],[0,0,0]],[[-19119701685402692061358232175852767145558,-42384898736666004085644628097623431940435,-48046504135544930030429197161694420742143],[0,0,0]],[[36663339056078956484317393284003949687922,-47113000155655257714270028363920523980174,20028254827099751933588046216182756610535],[0,0,0]],[[-19999695229108329962355694809703915080878,0,0],[-1,0,0]],[[72,0,0],[1,0,0]]]>*] [x,x^2-x-367,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,113],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,13*113,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,13,113],[2,8,8],1,[1.000000000,0.4951903541,0.7264183368],<"notfaithful",0>,[5,5]>,<4,2^4*13^3*113^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[1]],[[1],[-1]]],[2,13,113],[8,9,10],1,[0,0,0],<"4.2e4t13e3t113e3.120.1.10t12.1",1>,[5,5]>,<4,2^4*13*113,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[2,13,113],[8,9,10],1,[1.000000000,0.7283982491,0.9548426690],<"4.2e4t13t113.120.1.5t5.1",1>,[5,5]>,<5,2^4*13^2*113^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[2,13,113],[8,9,10],1,[0,0,0],<"5.2e4t13e2t113e2.120.1.10t13.1",1>,[5,5]>,<5,2^4*13^3*113^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[0],[-1]],[[1],[1],[1]]],[2,13,113],[8,9,10],1,[0,0,0],<"5.2e4t13e3t113e3.120.1.6t14.1",1>,[5,5]>,<6,2^4*13^3*113^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[2,13,113],[8,9,10],1,[0,0,0],<"6.2e4t13e3t113e3.120.1.20t35.1",1>,[5,5]>]
