x^2-x+183621 -19*29*31*43 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-78],[79]] 2 [2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[183711,19,1]>,[[-9,-1],[10,1]]>,<29,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[183831,29,1]>,[[-14,-1],[15,1]]>,<31,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[183861,31,1]>,[[-15,-1],[16,1]]>,<43,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[184083,43,1]>,[[-21,-1],[22,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[19,29,31,43],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,19*29*31*43,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[19,29,31,43],[3,3,3,3],1,[1.000000000,0.8504464712,0.8615085349],<"1.19_29_31_43.2t1.1",1>,[2,1]>]
x^6-x^5-5*x^4+4*x^3+4*x^2+x-1 -19*29*31*43 4 1 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 89 x^2+82*x+3 5 [[2202967422,0],[-64933970,0],[-1259114328,-369875643],[1150391153,369875643],[2420307271,1854335006],[1134441902,-1854335006]] 3 [10,9,11,10,7,7,9,6,10,8,8,7,7,6,11,7,10,10,11,7,11,11,10,4,9,11,8,10,10,11,10,7,8,10,10,2,6,9,9,10,8,6,7,5,11,6,11,11,6,9,3,11,8,6,7,8,11,9,5,8,9,6,9,2,9,7,9,8,7,2,8,10,7,6,9,10,10,4,7,9,10,10,11,5,11,2,9,6,9,9,7,10,9,8,4,9,9,5,8,10,11,10,9,11,6,9,4,11,9,7,10,10,2,9,7,9,8,4,9,7,10,8,9,10,11,9,10,2,4,9,11,9,8,11,7,2,9,9,8,5,7,11,9,10,9,8,8,11,10,10,10,5,10,3,7,9,9,4,10,9,9,10,4,9,11,6,10,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<19,6,2,[[1,2,3,4,6,5],[1,3,4,2,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,3,4,2,5,6],[1,4,2,3,5,6],[1,3,4,2,6,5],[1,4,2,3,6,5]],[1,3,4,2,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[17,4,0,1]>,[[2240250077955723135032903,0,0],[-18102034803340809294420116,0,0],[1,0,0]]>,[[[-13328555810939254456165412,0,0],[0,0,0]],[[72459192863467465965142,11208463918310234750741234,14720097117953728977027120],[0,0,0]],[[-11564568402145897677721918,-4990423625909749721275068,-8438774958947762048533328],[0,0,0]],[[6718630216880875373502045,-6218040292400485029466166,-6281322159005966928493792],[0,0,0]],[[18102034803340809294420130,0,0],[-1,0,0]],[[14,0,0],[1,0,0]]]>,<29,8,2,[[1,2,3,4,6,5],[4,3,1,2,5,6]],[[1,2,3,4,5,6],[2,1,4,3,5,6],[1,2,3,4,6,5],[2,1,4,3,6,5],[4,3,1,2,5,6],[3,4,2,1,5,6],[4,3,1,2,6,5],[3,4,2,1,6,5]],[4,3,1,2,5,6],[1,4,3,2,8,8,7,7],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,15,2,0,1]>,[[54785123917225409662092255973,0,0,0],[-22910908718753271602008349842,0,0,0],[1,0,0,0]]>,[[[16749001931985209533889362723,-66837078501314463884500223711,17540479942514899269827298882,16171628917357189454431181485],[0,0,0,0]],[[-6027867423062161288615619693,62132595448177892828627005012,-30421892063943604288795558243,73475319511161213359175280695],[0,0,0,0]],[[82560120696279464078350246767,-36543382343676476052232308725,-37173563241288297725166264828,42617827859508940986630389321],[0,0,0,0]],[[60802412227153969272154300747,41247865396813047108105527424,50054975362717002744134524189,44729799863082409397549788900],[0,0,0,0]],[[22910908718753271602008349850,0,0,0],[-1,0,0,0]],[[8,0,0,0],[1,0,0,0]]]>,<31,8,2,[[1,2,3,4,6,5],[4,3,1,2,5,6]],[[1,2,3,4,5,6],[2,1,4,3,5,6],[1,2,3,4,6,5],[2,1,4,3,6,5],[4,3,1,2,5,6],[3,4,2,1,5,6],[4,3,1,2,6,5],[3,4,2,1,6,5]],[4,3,1,2,5,6],[1,4,3,2,8,8,7,7],[1],[[[1,2,3,4,6,5]]],20,<<[],[3,16,3,0,1]>,[[-254018433463040248518315934450,0,0,0],[-317900443793011034502248038828,0,0,0],[1,0,0,0]]>,[[[-183022273457669893827701503084,-166909322387566841661303323386,8887400173168503695186789319,172203412991070627156045314821],[0,0,0,0]],[[215015906560781287146175954980,141741777069415396965880699502,38245621540107873145692895142,-106200508720338574877343519302],[0,0,0,0]],[[-190560915471702573703249734785,281241261828282237315127899077,118969099183106841182675505506,-206071555996677291122430369878],[0,0,0,0]],[[-159333161424419854117472755956,-256073716510130792619705275193,-166102120896383218023555189967,140068651725945238843728574359],[0,0,0,0]],[[317900443793011034502248038837,0,0,0],[-1,0,0,0]],[[9,0,0,0],[1,0,0,0]]]>,<43,6,2,[[1,2,3,4,6,5],[4,1,3,2,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[4,1,3,2,5,6],[2,4,3,1,5,6],[4,1,3,2,6,5],[2,4,3,1,6,5]],[4,1,3,2,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[40,1,0,1]>,[[-141981016959003428359460604675168,0,0],[-202203364810276020309351751199874,0,0],[1,0,0]]>,[[[1738482793800094585013288200383,197872935107365232786305232690596,-141708060789397677773244042718879],[0,0,0]],[[-163048339399146554926240550816428,76352702438211116836727776525252,-155360210190118694819596465497095],[0,0,0]],[[-23778766993073745169823029744823,0,0],[0,0,0]],[[-17114741211855814798301458839049,192830530231821564818023662278153,-169987896797881541848216163278027],[0,0,0]],[[202203364810276020309351751199896,0,0],[-1,0,0]],[[22,0,0],[1,0,0]]]>*] [x,x^2-x+183621,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[19,29,31,43],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,19*29*31*43,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[19,29,31,43],[12,12,12,12],1,[1.000000000,0.8504464712,0.8615085349],<"notfaithful",0>,[6,16]>,<5,19*29*31*43,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]]],[19,29,31,43],[12,13,13,12],1,[1.000000000,0.3576130897,0.7249966079],<"5.19_29_31_43.6t16.1",1>,[6,16]>,<5,19^2*29^2*31^2*43^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]]],[19,29,31,43],[12,13,13,12],1,[0,0,0],<"5.19e2_29e2_31e2_43e2.12t183.1",1>,[6,16]>,<5,19^4*29^4*31^4*43^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1]],[[1],[1]]],[19,29,31,43],[12,13,13,12],1,[0,0,0],<"5.19e4_29e4_31e4_43e4.12t183.1",1>,[6,16]>,<5,19^3*29^3*31^3*43^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[0],[-1]]],[19,29,31,43],[12,13,13,12],1,[0,0,0],<"5.19e3_29e3_31e3_43e3.6t16.1",1>,[6,16]>,<9,19^3*29^3*31^3*43^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]]],[19,29,31,43],[12,13,13,12],1,[0,0,0],<"9.19e3_29e3_31e3_43e3.10t32.1",1>,[6,16]>,<9,19^6*29^6*31^6*43^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]]],[19,29,31,43],[12,13,13,12],1,[0,0,0],<"9.19e6_29e6_31e6_43e6.20t145.1",1>,[6,16]>,<10,19^6*29^6*31^6*43^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]]],[19,29,31,43],[12,13,13,12],1,[0,0,0],<"10.19e6_29e6_31e6_43e6.30t176.1",1>,[6,16]>,<10,19^4*29^4*31^4*43^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]]],[19,29,31,43],[12,13,13,12],1,[0,0,0],<"10.19e4_29e4_31e4_43e4.30t176.1",1>,[6,16]>,<16,19^8*29^8*31^8*43^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]]],[19,29,31,43],[12,13,13,12],1,[0,0,0],<"16.19e8_29e8_31e8_43e8.36t1252.1",1>,[6,16]>]
x^5-x^4-56*x^3+25*x^2+715*x+325 5^2*13^2*401^2 5 0 10 "D10" [[2,1,4,3,5],[5,4,3,2,1]] [<1,1,[1,2,3,4,5]>,<2,5,[2,1,4,3,5]>,<5,2,[4,5,2,3,1]>,<5,2,[3,1,5,2,4]>] [[1,1,1,1,1],[1,2,2],[5]] 37 x^2+33*x+2 7 [[-9057223022,14523877998],[34716175441,-26304791060],[34571349782,0],[-46544490909,26304791060],[-13685811291,-14523877998]] 1 [4,4,1,4,2,1,3,4,4,4,4,2,2,2,4,4,3,2,2,3,1,2,3,2,2,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,1,4,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,3,4,1,1,2,3,1,2,2,2,2,3,3,2,3,4,2,2,3,2,4,1,2,3,2,4,2,2,4,4,3,3,2,3,2,3,3,2,2,3,2,4,2,2,4,2,2,2,3,3,2,4,4,2,2,2,2,3,2,4,3,2,2,1,4,2,2,2,2,2,4,1,4,2,2,1,2,2,1,4,2,2,4,2,3,3,1,2,1,3,2,3,2,2,2,2,3,1,4,2,4,3,3,4,2,2,4,3,3,2,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-18636475,4>,<x+18636475,3>]*]] [*<5,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-23221504164715,-10592744343885,1]>,[[-228254064630,-7629394531250],[-2458578603400,-476386078546],[-276517144610,476386078546],[10592744343888,-1],[3,1]]>,<11,2,1,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[2,1,3,5,4],[1,2],[1],[[]],20,<[],[2,7,1]>,[[-19670392950340045643,46184228986511002138],[329789999076642948592,-46184228986511002138],[-181352182700088070333,0],[28156617768872504932,17703081216506470884],[26553230150156301326,-17703081216506470884]]>,<13,2,2,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[1,2,3,4,5],[1,2],[1],[[[2,1,3,5,4]]],20,<[],[6839767184138735422199,8532670163448063380189,1]>,[[-8532670163448063380189,-1],[0,1],[689081336492191589709,0],[714303345086707203668,677552752635198637859],[-180315970008065966572,-677552752635198637859]]>,<401,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-2531043693932503557474429517545506703809836824892060,-737807408076683410118040083628943346638208642217189,1]>,[[-842616399823288285616761998374055164923914893578094,0],[737807408076683410118040083628943346638208642217409,-1],[220,1],[-1272292825954190407680639939285278271935271921194579,7846259246705940874637268076001855479360614236019],[1377101817700795283179361854030390090220978172555045,-7846259246705940874637268076001855479360614236019]]>*] [x,x^2-x-6516,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,13,401],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,5*13*401,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,11,13,401],[1,5,2,5,5],1,[1.000000000,3.558139876,1.531889405],<"notfaithful",0>,[5,2]>,<2,5*13*401,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,5,11,13,401],[4,5,2,5,5],1,[1.000000000,1.658476628,1.236216060],<"2.5_13_401.5t2.1",1>,[5,2]>,<2,5*13*401,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,5,11,13,401],[4,5,2,5,5],1,[1.000000000,0.2688890971,0.5745106871],<"2.5_13_401.5t2.1",2>,[5,2]>]
