x^2-x+73911 -239*1237 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[75],[-74]] 2 [2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<239,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[88191,239,1]>,[[-119,-1],[120,1]]>,<1237,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[456453,1237,1]>,[[-618,-1],[619,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[239,1237],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,239*1237,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[239,1237],[3,3],1,[1.000000000,1.282682138,0.9002214902],<"1.239_1237.2t1.1",1>,[2,1]>]
x^6-x^5-4*x^4+4*x^3+2*x^2-4*x+1 -239*1237 4 1 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 29 x^2+24*x+2 5 [[-3595460,-9549834],[-22083,9549834],[-5155987,-917552],[-10072127,9753386],[-3645888,917552],[1980397,-9753386]] 3 [10,7,10,7,9,9,6,9,10,2,7,10,7,5,5,9,11,11,8,7,11,10,9,10,8,4,8,7,9,11,5,11,8,10,11,11,9,6,9,4,4,9,7,11,4,10,9,4,8,5,8,8,5,5,10,8,10,9,6,9,7,7,7,8,9,11,6,6,4,10,9,9,11,11,10,10,11,9,10,9,11,7,9,9,11,9,11,6,9,8,9,11,7,11,8,7,10,5,5,11,11,11,11,10,8,8,9,9,9,5,4,10,7,5,11,9,8,9,9,9,6,9,11,10,11,11,11,6,5,4,11,9,10,9,11,4,7,6,9,9,6,11,5,10,9,3,11,10,9,4,7,10,10,9,10,9,9,4,9,9,7,11,9,10,10,10,8,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<239,8,2,[[1,2,3,4,6,5],[2,3,4,1,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[2,3,4,1,5,6],[4,1,2,3,5,6],[2,3,4,1,6,5],[4,1,2,3,6,5]],[2,3,4,1,5,6],[1,4,3,2,8,8,7,7],[1],[[[1,2,3,4,6,5]]],20,<<[],[7,132,11,0,1]>,[[-88693588846181677772095225495393594759812597533,0,0,0],[-88373833072521217326530967290881291187373002417,0,0,0],[1,0,0,0]]>,[[[72032707336785167595684215556893741511508252319,178041373971072259705735553025755512591255626536,116522124647028012043278715518002463838123360163,-132522103145038506560486215400463173052127667381],[0,0,0,0]],[[-57903107427964965495465493482113334977087523109,-55880418326458659723982424575775917231151647331,138006251985678202700659106910722120461322654562,-136895787298345585275761893644997648308167530858],[0,0,0,0]],[[121525433926014507801650417343173124476355176158,-89900348758471055875718907908459596203425592935,-31824887553992986038362170523877905833145204849,-11722363178378693469698254333660211819177168316],[0,0,0,0]],[[145763565192793294982700462311060902665360271063,-32260606886142544106034220541519999156678386270,147088943021435993505524917115049046397208369325,-88652178478386436905154205640774691684036812646],[0,0,0,0]],[[88373833072521217326530967290881291187373002594,0,0,0],[-1,0,0,0]],[[177,0,0,0],[1,0,0,0]]]>,<1237,8,2,[[1,2,3,4,6,5],[3,4,2,1,5,6]],[[1,2,3,4,5,6],[2,1,4,3,5,6],[1,2,3,4,6,5],[2,1,4,3,6,5],[3,4,2,1,5,6],[4,3,1,2,5,6],[3,4,2,1,6,5],[4,3,1,2,6,5]],[3,4,2,1,5,6],[1,4,3,2,8,8,7,7],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,960,6,0,1]>,[[5982532761324846115021379693689581978908343985095225165633038,0,0,0],[27589136683587216808174548571776028190838290824665584826008413,0,0,0],[1,0,0,0]]>,[[[20549399277112969890176667655219521027738196110139513968496945,23621428554750540908357379795937056662326908376456190297194636,26586017570117474456616803557772667774088468961490920679038010,10952530564352678032699103532863840253858209520122911254568841],[0,0,0,0]],[[-15628818336220485634587692971512336194165846897126825908864609,-15394849743508284379904677716771095192867497674815962295973418,-6111208061752728917548493096320353818580392110616816025559616,-24537950638874437726105991322798129822320430514010459268745176],[0,0,0,0]],[[-2487240429145978394464219001155700831643411094573852974134934,-28088232408873377000171142692928079790918022572621791541223895,14158110515718507826753016678000541034939046804942221470335737,20746074254107353950273668379746498785157082385091408960120723],[0,0,0,0]],[[25155796171840710947049792889224544188909352706226749740510230,19861653597631120471718440613762118321458611870981563540002677,-34632920024083253365821327139452854990447123655816326123814131,-7160654179585594256866780589812209216694861391203860945944388],[0,0,0,0]],[[-27589136683587216808174548571776028190838290824665584826008022,0,0,0],[-1,0,0,0]],[[391,0,0,0],[1,0,0,0]]]>*] [x,x^2-x+73911,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[239,1237],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,239*1237,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[239,1237],[12,12],1,[1.000000000,1.282682138,0.9002214902],<"notfaithful",0>,[6,16]>,<5,239*1237,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[0],[0],[0],[-1]]],[239,1237],[12,12],1,[1.000000000,0.2489288813,0.6356076702],<"5.239_1237.6t16.1",1>,[6,16]>,<5,239^2*1237^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[1],[1]]],[239,1237],[12,12],1,[0,0,0],<"5.239e2_1237e2.12t183.1",1>,[6,16]>,<5,239^4*1237^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[1]]],[239,1237],[12,12],1,[0,0,0],<"5.239e4_1237e4.12t183.1",1>,[6,16]>,<5,239^3*1237^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]]],[239,1237],[12,12],1,[0,0,0],<"5.239e3_1237e3.6t16.1",1>,[6,16]>,<9,239^3*1237^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]]],[239,1237],[12,12],1,[0,0,0],<"9.239e3_1237e3.10t32.1",1>,[6,16]>,<9,239^6*1237^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[-1],[1],[-1]]],[239,1237],[12,12],1,[0,0,0],<"9.239e6_1237e6.20t145.1",1>,[6,16]>,<10,239^6*1237^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]]],[239,1237],[12,12],1,[0,0,0],<"10.239e6_1237e6.30t176.1",1>,[6,16]>,<10,239^4*1237^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[0],[1],[0],[-1],[0],[-1]]],[239,1237],[12,12],1,[0,0,0],<"10.239e4_1237e4.30t176.1",1>,[6,16]>,<16,239^8*1237^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]]],[239,1237],[12,12],1,[0,0,0],<"16.239e8_1237e8.36t1252.1",1>,[6,16]>]
x^3+87*x-638 -2^3*3^4*29^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[47036],[-46067],[-969]] 2 [1,1,2,2,1,2,3,1,2,2,2,2,1,1,2,2,3,2,3,2,3,2,3,3,1,2,2,3,2,1,2,3,1,3,2,2,2,1,2,2,3,2,2,3,2,2,3,2,3,2,3,2,3,3,3,2,2,2,2,3,3,2,3,2,3,2,1,1,1,2,3,2,2,2,3,2,2,2,3,3,3,2,2,3,2,3,3,3,2,2,3,2,2,3,1,2,2,3,3,2,3,2,1,1,3,1,3,3,2,3,2,2,3,1,2,3,3,2,2,3,2,1,2,3,3,2,2,2,2,2,3,2,2,2,3,3,2,3,2,1,3,2,2,3,2,2,2,3,3,2,2,3,3,2,3,2,2,3,3,2,3,3,2,1,3,2,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[3],[[[1,3,2]]],20,<[],[366102,-350436,1]>,[[173850,0],[1,1],[-173851,262143]]>,<3,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[2],[[[3,1,2]]],20,<[],[-456,99,6,1]>,[[2,1,0],[-77579068,110674609,123604454],[77579066,-110674610,263816035]]>,<5,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[2,4,1]>,[[34864852926903,0],[-2358496890834,-6768149959785],[5640616620181,6768149959785]]>,<29,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,24,1]>,[[-638,0],[87,0],[0,0],[1,0]]>,[[[-61070109924796402491564675769,9660372185526112558851830386],[624260266063423885929916002,1832139552427366174954657487],[1998697693557126736314171804,166558141129760561359514317]],[[0,0],[1,0],[0,0]],[[61070109924796402491564675769,-9660372185526112558851830386],[-624260266063423885929916003,-1832139552427366174954657487],[-1998697693557126736314171804,-166558141129760561359514317]]]>*] [x,x^2+2,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,29],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^3,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,29],[4,1,2,2],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[3,2]>,<2,2^3*3^4*29^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3,5,29],[4,5,2,5],1,[1.000000000,2.713775486,1.363196783],<"2.2e3_3e4_29e2.3t2.1",1>,[3,2]>]
x^3-174*x-928 -2^3*3^4*29^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 113 x-1 5 [[-6979098308],[6219483421],[759614887]] 2 [1,1,2,2,3,2,3,3,2,2,2,2,3,3,2,2,3,2,3,2,3,2,3,3,3,2,2,3,2,1,2,3,3,1,2,2,2,1,2,2,3,2,2,1,2,2,3,2,1,2,1,2,1,3,3,2,2,2,2,3,3,2,1,2,1,2,1,3,3,2,1,2,2,2,3,2,2,2,1,3,3,2,2,1,2,1,1,3,2,2,1,2,2,1,3,2,2,1,3,2,1,2,3,3,1,3,1,3,2,1,2,2,1,3,2,3,3,2,2,3,2,1,2,1,3,2,2,2,2,2,3,2,2,2,3,3,2,3,2,3,1,2,2,3,2,2,2,3,3,2,2,3,3,2,1,2,2,3,3,2,3,1,2,1,3,2,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[3],[[[1,3,2]]],20,<[],[342098,273744,1]>,[[-250544,0],[0,1],[-11600,-1]]>,<3,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[2],[[[3,1,2]]],20,<[],[-1101,-171,3,1]>,[[1,1,0],[-111386879,-359781515,156818708],[111386878,359781514,230601781]]>,<29,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,24,1]>,[[-928,0],[-174,0],[0,0],[1,0]]>,[[[-79717370794634765322286836487,-80390854295848627609268336541],[-2446119086679815656747598372,559064398600430964801723011],[2213034025394349297586840318,-832790705648802806797571585]],[[0,0],[1,0],[0,0]],[[79717370794634765322286836487,80390854295848627609268336541],[2446119086679815656747598371,-559064398600430964801723011],[-2213034025394349297586840318,832790705648802806797571585]]]>*] [x,x^2+2,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,29],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^3,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,29],[4,1,2],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[3,2]>,<2,2^3*3^4*29^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3,29],[4,5,5],1,[1.000000000,1.647706650,1.314269093],<"2.2e3_3e4_29e2.3t2.2",1>,[3,2]>]
x^5+20*x^3+80*x-77 5^5*401^2 1 2 20 "F5" [[5,3,1,2,4],[1,4,5,2,3],[1,3,4,5,2]] [<1,1,[1,2,3,4,5]>,<2,5,[1,4,5,2,3]>,<4,5,[1,3,4,5,2]>,<4,5,[1,5,2,3,4]>,<5,4,[5,3,1,2,4]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 29 x^2+24*x+2 10 [[194058129360080,0],[204864686335685,132960319119653],[-22424064863171,-39553306390240],[-41232339434580,-132960319119653],[85440821902187,39553306390240]] 2 [4,4,1,4,1,4,3,5,4,2,2,3,5,3,4,4,5,2,3,2,3,5,3,2,3,2,3,3,2,3,3,2,3,5,2,5,3,4,3,3,2,5,2,4,4,1,2,3,3,2,4,2,1,2,4,3,5,2,3,2,4,4,4,5,3,3,5,4,3,5,4,5,3,3,2,3,1,4,1,2,2,5,2,3,5,4,5,4,2,4,3,2,4,5,2,3,5,2,4,5,4,4,3,5,2,4,4,4,2,5,4,4,3,2,2,2,3,3,3,1,2,4,4,4,1,2,2,2,3,3,2,4,5,4,5,1,3,3,4,2,5,2,4,4,5,5,3,4,2,4,3,2,3,3,3,5,5,5,3,2,4,3,3,5,4,3,2,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5+8000*x^3+12800000*x-2165865625,3>,<x^5+8000*x^3+12800000*x+246400000,4>]*],[*[5],"CYC",0,5*]] [*<5,20,20,[[4,5,1,2,3],[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3],[4,5,1,2,3]],[1,2,3,4,5],[1,2,4,3,5],[1,2],[[[4,5,1,2,3],[1,3,5,2,4]],[[4,5,1,2,3]]],20,<[],[20141170095730,38696111684375,-468244729725,-9834855609550,27063814153080,36192125391775,-9606292073605,35691611588120,-24939798324370,20540149272810,-47450558759835,2929475452055,19081785989340,-3839204966930,-29364207873395,39936644468220,-14511263241085,25382071820525,39787280170060,40400604848255,1]>,[[5174357522592,3114738059600,-302981073210,5112367363255,-1469154555125,1460993134100,-1592694064775,940905755120,-1385840641401,-224471221345,-1658765577778,582194611397,1646383464767,-820399332626,699036053092,493884238164,-659365785146,455784908194,1569870498243,-568051987899],[-8071264805513,-1831466333235,-6414587534315,6332221848220,-153728778785,-1176062611760,-808743782090,1244717946650,454905811754,-1498117800306,126784802683,-1758808506537,-790631081317,-222857872668,-834940403303,1349147293439,-1406914954992,1360908615822,-1666181155482,-793423313703],[6695926478697,-5522313274785,977084036060,3323979965370,-1750669186495,-516457924645,178078877615,496043025585,461784346799,-625154802387,-1749408160279,589850254819,1809799752894,-378619529790,-177943797079,372625207659,-1777089819717,793393165456,566010955803,1018781529650],[7476476456707,1026960654070,-803874233265,-8098370284375,-627800529120,64644686770,17556783635,906081827295,335854059459,-1842423065398,-1145389794769,1748193368965,-578724070380,-1421824850572,1120754546829,1163085719074,681006717629,-1516302223544,581442175638,1598654949969],[7797990675642,3212080894350,6544358804730,-6670198892470,186655783900,166882715535,-1608895080010,226948710975,133296423389,375469623811,612081464518,-1161429728644,1727869199661,-970995679969,-806906399539,435954807289,-652333423399,-1093784465928,-1051142474202,-1255961178017]]>,<401,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[4795739754677210703870277593442053991336242382853913,3873966024469150198494649427156435039758990274218573,1]>,[[5223577287555204274164082638896214140915703185745442,0],[-3873966024469150198494649427156435039758990274218241,-1],[332,1],[-4938743234418310295911571811683245689149783196453439,9279187191108822014815825036514638984459823481775],[3589131971332256220242138599943466587993070284925906,-9279187191108822014815825036514638984459823481775]]>*] [x,x^2-x-1,x^4-x^3+501*x^2-501*x+50501,x^4-x^3+501*x^2-501*x+50501,0] [1,2,4,4,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,7,401],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,7,401],[6,3,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[5,3]>,<1,5*401,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[5,7,401],[6,4,6],0,[0.8506508084+0.5257311121*i,0.5686428133+0.6813550503*i,0.9037681476+0.3597789480*i],<"notfaithful",0>,[5,3]>,<1,5*401,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[5,7,401],[6,4,6],0,[0.8506508084-0.5257311121*i,0.5686428133-0.6813550503*i,0.9037681476-0.3597789480*i],<"notfaithful",0>,[5,3]>,<4,5^5*401^2,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1]],[[1],[-2],[1]]],[5,7,401],[6,3,7],1,[0,0,0],<"4.5e5_401e2.5t3.1",1>,[5,3]>]
