x^2-x-318 19*67 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[69],[-68]] 1 [1,1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-228,19,1]>,[[-9,-1],[10,1]]>,<67,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[804,67,1]>,[[-33,-1],[34,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[19,67],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,19*67,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[19,67],[3,3],1,[1.000000000,2.267088223,1.416787562],<"1.19_67.2t1.1",1>,[2,1]>]
x^6-3*x^5-3*x^4+10*x^3+3*x^2-6*x+1 3^9*71 6 0 24 "C2*A4" [[5,2,3,4,1,6],[3,1,2,5,6,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,4,6,2,1,3]>,<2,3,[5,2,3,4,1,6]>,<2,3,[5,4,3,2,1,6]>,<3,4,[3,1,2,5,6,4]>,<3,4,[2,3,1,6,4,5]>,<6,4,[6,1,2,5,3,4]>,<6,4,[2,3,5,6,4,1]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[2,2,2],[3,3],[6]] 17 x^2+16*x+3 8 [[1375784322,0],[2657597167,722856123],[-1758689668,2143789116],[-1932343360,-722856123],[838179861,0],[-1180528319,-2143789116]] 1 [8,1,7,8,6,7,4,4,5,8,7,4,5,6,6,4,5,8,7,3,4,6,8,3,8,8,5,3,4,5,3,7,6,7,5,6,5,3,7,6,3,2,8,7,1,4,7,6,6,5,3,5,8,3,5,8,4,4,6,6,7,7,3,7,6,6,8,7,5,8,6,2,6,5,4,5,6,3,5,5,7,8,3,3,8,6,1,8,6,5,4,6,3,5,5,3,7,3,3,2,6,2,5,8,5,4,8,3,5,8,7,1,7,8,3,8,5,2,5,8,7,8,8,4,8,4,8,3,8,7,4,5,7,3,5,7,4,5,7,4,4,8,7,4,1,8,6,8,7,4,5,2,2,5,8,6,3,8,3,7,8,3,7,3,7,8,3,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^2>,[<x^4-12*x^3-261*x^2+1995*x+18378,5>,<x^4-30*x^3+243*x^2-57*x-3114,6>]*],[*[6],"RES",<[1],x^2>,[<x^4-12*x^3-261*x^2+1569*x+19656,7>,<x^4-30*x^3+243*x^2-483*x+81,8>]*]] [*<3,6,6,[[6,5,4,1,3,2]],[[1,2,3,4,5,6],[5,4,6,2,1,3],[2,3,1,6,4,5],[3,1,2,5,6,4],[6,5,4,1,3,2],[4,6,5,3,2,1]],[1,2,3,4,5,6],[1,2,5,6,8,7],[1,3],[[[6,5,4,1,3,2]],[[2,3,1,6,4,5]]],20,<[],[3,9,0,-12,-3,3,1]>,[[335960059,88579451,-389238700,95519910,344664848,340987731],[-5,-7,8,5,387420487,387420488],[386173114,-3880327,10518404,123318886,364423482,85909792],[1,1,0,0,0,0],[-335960057,-88579448,389238699,291900578,42755641,46432758],[-386173109,3880330,-10518411,264101599,22997009,301510698]]>,<71,4,2,[[1,2,3,4,6,5],[4,2,3,1,5,6]],[[1,2,3,4,5,6],[4,2,3,1,5,6],[1,2,3,4,6,5],[4,2,3,1,6,5]],[4,2,3,1,5,6],[1,3,3,4],[1],[[[1,2,3,4,6,5]]],20,<<[],[7,69,1]>,[[3702440913371552204042212601505862520,0],[-4994807527351331728979426154492042726,0],[1,0]]>,[[[-4913855138593522387082337798664726711,-2847068546048366054550900710178607393],[0,0]],[[1008815238782441807593003158093032719,0],[0,0]],[[-1884651791238407938488294195181889021,0],[0,0]],[[794884163698156788998202681261540188,2847068546048366054550900710178607393],[0,0]],[[4994807527351331728979426154492042777,0],[-1,0]],[[51,0],[1,0]]]>*] [x,x^2-x-53,x^3-3*x-1,x^6-108*x^4-53*x^3+2916*x^2+2862*x-14687,x^6-108*x^4-53*x^3+2916*x^2+2862*x-14687,x^3-3*x-1,x^4-x^3-12*x^2+15*x+12,0] [1,2,2,6,4,3,4,8] <[1],[2],[3,6],[4,5],[7],[8]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,67,71],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,6]>,<1,3*71,1,[[1],[-1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,67,71],[9,2,9],1,[1.000000000,0.5879291511,0.7619765077],<"notfaithful",0>,[6,6]>,<1,3^2,3,[[1,0],[1,0],[1,0],[1,0],[-1,-1],[0,1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[3,67,71],[9,5,1],0,[0.7660444431+0.6427876097*i,0.5894898174+0.1730977885*i,0.8313555572+0.1465904153*i],<"notfaithful",0>,[6,6]>,<1,3^2*71,3,[[1,0],[-1,0],[-1,0],[1,0],[-1,-1],[0,1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[3,67,71],[9,7,9],0,[0.6427876097-0.7660444431*i,1.389890631-0.5393686082*i,1.122720047-0.2447803641*i],<"notfaithful",0>,[6,6]>,<1,3^2*71,3,[[1,0],[-1,0],[-1,0],[1,0],[0,1],[-1,-1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[3,67,71],[9,7,9],0,[0.6427876097+0.7660444431*i,1.389890631+0.5393686082*i,1.122720047+0.2447803641*i],<"notfaithful",0>,[6,6]>,<1,3^2,3,[[1,0],[1,0],[1,0],[1,0],[0,1],[-1,-1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[3,67,71],[9,5,1],0,[0.7660444431-0.6427876097*i,0.5894898174-0.1730977885*i,0.8313555572-0.1465904153*i],<"notfaithful",0>,[6,6]>,<3,3^4*71^2,1,[[3],[3],[-1],[-1],[0],[0],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]]],[3,67,71],[9,5,10],1,[1.000000000,1.400238727,1.133812119],<"notfaithful",0>,[6,6]>,<3,3^5*71,1,[[3],[-3],[1],[-1],[0],[0],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[1]],[[1],[0],[0],[1]],[[1]],[[1],[0],[-1]]],[3,67,71],[9,7,10],1,[1.000000000,0.7621078485,0.9774280034],<"3.3e5_71.6t6.1",1>,[6,6]>]
x^4-2*x^3-34*x^2+35*x+31 3^2*13*367^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 7 [[192268374],[-12866510],[12866511],[-192268373]] 1 [5,3,4,4,4,1,1,5,3,2,4,4,5,3,5,3,5,2,4,4,4,3,5,5,5,3,3,3,5,3,3,1,5,3,5,4,3,5,4,3,2,1,3,5,4,1,2,5,5,4,2,4,5,3,2,2,1,4,1,5,1,4,5,1,2,4,5,3,3,5,4,4,3,3,5,5,1,4,4,5,3,5,5,1,2,2,5,5,5,5,3,5,4,3,4,2,4,2,3,4,3,5,3,3,1,4,5,5,2,1,2,5,4,4,4,3,5,1,1,3,5,3,2,4,4,1,5,2,3,5,5,5,3,1,4,5,4,4,3,2,5,5,2,4,1,5,5,1,3,5,5,2,2,2,1,2,3,5,3,5,5,2,5,3,4,4,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+35,2>,<x^2-72*x+659,3>]*],[*[4],"CYC",0,5*]] [*<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[1213417758,1166683518],[1546733919,1546733922],[1,0]]>,[[[-1546733919,-1546733921],[-1,0]],[[0,1],[1,0]],[[1,-1],[-1,0]],[[1546733920,1546733921],[1,0]]]>,<7,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[3,6,1]>,[[6283858944215488,0],[-6283858944215487,0],[-5492919881455555,3868474298868053],[5492919881455556,-3868474298868053]]>,<13,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-4986504554924439944917,13,1]>,[[1347140025654387041101,0],[-1347140025654387041100,0],[-6,-1],[7,1]]>,<367,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[6,366,1]>,[[277456496234711540178152084834212913806988205382607,159401141828376845171449716679700436927872759835792],[754883615450246197529926684840248576821892083106856,229595423582790647419372091654002109070253287337802],[1,0]]>,[[[-754883615450246197529926684840248576821892083106756,-229595423582790647419372091654002109070253287337634],[-1,0]],[[100,168],[1,0]],[[-99,-168],[-1,0]],[[754883615450246197529926684840248576821892083106757,229595423582790647419372091654002109070253287337634],[1,0]]]>*] [x,x^2-x-275,x^2-x-3,x^2-x-3578,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,13,367],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*367,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,7,13,367],[6,1,1,6],1,[1.000000000,1.066845413,0.8623461914],<"notfaithful",0>,[4,3]>,<1,13,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,7,13,367],[1,4,6,1],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[4,3]>,<1,3*13*367,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,7,13,367],[6,3,6,6],1,[1.000000000,1.450616192,1.251052496],<"notfaithful",0>,[4,3]>,<2,3*13*367,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[3,7,13,367],[6,3,7,6],1,[1.000000000,0.7061084944,0.8573820152],<"2.3_13_367.4t3.3",1>,[4,3]>]
x^4+49*x^2+325 3^2*13*367^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 29 x-1 7 [[-3550802828],[-3161078348],[3161078348],[3550802828]] 2 [5,1,4,4,4,1,2,5,3,1,4,4,5,3,5,3,5,2,4,4,4,3,5,5,5,3,3,3,5,3,3,2,5,3,5,4,3,5,4,3,1,1,3,5,4,1,2,5,5,4,1,4,5,3,1,1,2,4,1,5,1,4,5,2,2,4,5,3,3,5,4,4,3,3,5,5,2,4,4,5,3,5,5,1,2,1,5,5,5,5,3,5,4,3,4,1,4,1,3,4,3,5,3,3,1,4,5,5,1,1,2,5,4,4,4,3,5,2,2,3,5,3,1,4,4,2,5,1,3,5,5,5,3,1,4,5,4,4,3,1,5,5,2,4,1,5,5,2,3,5,5,1,2,1,1,1,3,5,3,5,5,1,5,3,4,4,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+294,2>,<x^2-46800,3>]*],[*[4],"CYC",0,5*]] [*<2,4,1,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[]],20,<[],[1,1,0,0,1]>,[[-69788,-257583,158117,81712],[69788,257583,-158117,-81712],[251201,-181855,-245049,160172],[-251201,181855,245049,-160172]]>,<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-1108196283,-339920937,1]>,[[339920939,-1],[2,1],[-2,-1],[-339920939,1]]>,<5,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[2,4,1]>,[[31353829795499,0],[-31353829795499,0],[-7683130932255,5695177697935],[7683130932255,-5695177697935]]>,<13,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-4986504554924439944917,0,1]>,[[-8111154184051921529206,0],[8111154184051921529206,0],[0,-1],[0,1]]>,<367,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[6,366,1]>,[[-283339411402086127564931103906828055136304791048537,-568654849487061684642949155689951263372355308938078],[823085082668075341104313511959379911587041899927391,-521599812483422349614195304333363974401603079777334],[1,0]]>,[[[-823085082668075341104313511959379911587041899927029,521599812483422349614195304333363974401603079777344],[-1,0]],[[362,10],[1,0]],[[-362,-10],[-1,0]],[[823085082668075341104313511959379911587041899927029,-521599812483422349614195304333363974401603079777344],[1,0]]]>*] [x,x^2-x-275,x^2-x-3,x^2-x-3578,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,13,367],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*367,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,13,367],[3,6,1,1,6],1,[1.000000000,1.066845413,0.8623461914],<"notfaithful",0>,[4,3]>,<1,13,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,13,367],[4,1,4,6,1],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[4,3]>,<1,3*13*367,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,13,367],[1,6,3,6,6],1,[1.000000000,1.450616192,1.251052496],<"notfaithful",0>,[4,3]>,<2,3*13*367,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,3,5,13,367],[5,6,3,6,7],1,[1.000000000,1.319940615,1.062061551],<"2.3_13_367.4t3.4",1>,[4,3]>]
x^6-x^5-8*x^4+21*x^3+23*x^2+152*x-16 13^3*1619^2 2 2 12 "D12" [[1,3,2,5,4,6],[2,1,4,3,6,5],[6,5,4,3,2,1]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,5,4,3,2,1]>,<2,3,[2,1,4,3,6,5]>,<2,3,[5,6,3,4,1,2]>,<3,2,[5,3,6,1,4,2]>,<6,2,[3,1,5,2,6,4]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 23 x^2+21*x+5 7 [[-999826020,-1172540217],[-1522119264,0],[-1555500733,1172540217],[-210259592,1172540217],[-176878123,0],[1059758286,-1172540217]] 4 [3,5,6,3,2,4,5,3,4,5,3,2,2,1,3,5,3,4,6,3,3,5,6,2,3,4,5,4,6,4,1,5,6,5,6,6,5,3,3,4,5,4,5,6,6,5,5,3,3,2,4,6,3,4,4,1,5,2,4,3,4,3,6,4,5,6,6,4,5,6,2,2,4,4,3,3,5,2,3,6,4,3,3,4,5,1,3,3,2,3,5,6,6,4,3,5,6,4,5,6,4,3,1,4,5,3,2,3,4,5,5,6,3,6,3,4,6,4,1,4,6,5,1,3,6,5,6,4,1,6,3,6,4,4,3,2,3,2,5,1,3,6,4,2,1,6,3,1,4,6,3,5,4,5,5,1,5,3,4,3,3,5,6,5,3,3,4,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+51,2>,<x^3+11*x^2-21*x-647,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,3],[1],[[]],20,<[],[1,1,1]>,[[-93580,-448137],[354557,448137],[-1196,-2976],[1780,2976],[217565,41330],[176235,-41330]]>,<13,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,12,1]>,[[59802227262984564033,0],[5282478804899350598245,0],[1,0]]>,[[[-5282478804899350598241,0],[-1,0]],[[4,0],[1,0]],[[6407596062066464107128,4455529923028683532582],[-1,0]],[[-7314888907914984733428,4455529923028683532582],[1,0]],[[-9048835464516139406254,-4455529923028683532582],[-1,0]],[[-3766356659616788808009,-4455529923028683532582],[1,0]]]>,<71,2,1,[[4,3,2,1,6,5]],[[1,2,3,4,5,6],[4,3,2,1,6,5]],[4,3,2,1,6,5],[1,3],[1],[[]],20,<[],[7,69,1]>,[[-2166130900788504553492880070749136391,1207787692685654919828507680538993653],[1922618818266860018611331636984881212,-118836767141095886266161309492391997],[-474254825388944861686405148173273396,118836767141095886266161309492391997],[-730597084967325760356972906874079240,-1207787692685654919828507680538993653],[39340893584071886067134312259125368,58018073922167256349403247332101844],[65790772709015252632921694000386369,-58018073922167256349403247332101844]]>,<1619,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,1615,1]>,[[-3193895998207977187868584110874826240552299240554325520406406225,-3071413609842885363681006800567286509277197690978111023822088642],[-2725050360417221468605979637532648938672209858208445640250278239,1219637008086465919744396391990233646670135164426067452384722205],[1,0]]>,[[[-6552538651802314012186078760775300308132525730648421448620086645,7044507925844282638812581184134378517754495545260390823899182005],[0,0]],[[6204888782304435148447026494892461059627102354276128490415174424,-7044507925844282638812581184134378517754495545260390823899182005],[0,0]],[[2725050360417221468605979637532648938672209858208445640250278441,-1219637008086465919744396391990233646670135164426067452384720898],[-1,0]],[[202,1307],[1,0]],[[173824934748939431869526132941419624252711688186146479102455909,-1307],[-1,0]],[[-2551225425668282036736453504591229314419498170022299161147822330,1219637008086465919744396391990233646670135164426067452384720898],[1,0]]]>*] [x,x^2-x+405,x^2-x-3,x^2-x+5262,x^3-x^2+x-8,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,71,1619],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,1619,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,13,71,1619],[3,3,3,7],1,[1.000000000,1.171163981,0.9214877094],<"notfaithful",0>,[6,3]>,<1,13,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,13,71,1619],[2,7,2,2],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[6,3]>,<1,13*1619,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,13,71,1619],[1,7,1,7],1,[1.000000000,3.074985814,1.469974724],<"notfaithful",0>,[6,3]>,<2,1619,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,13,71,1619],[3,3,3,7],1,[1.000000000,0.8787256880,0.9253276543],<"notfaithful",0>,[6,3]>,<2,13^2*1619,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,13,71,1619],[3,7,3,8],1,[1.000000000,0.8059845478,0.9652664853],<"2.13e2_1619.6t3.2",1>,[6,3]>]
