x^2-318 2^3*3*53 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 29 x-1 5 [[338732],[-338732]] 1 [1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-318,0,1]>,[[0,1],[0,262143]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-318,0,1]>,[[0,-1],[0,1]]>,<53,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-318,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,53],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*3*53,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,53],[3,3,3],1,[1.000000000,0.6018155367,0.9241736601],<"1.2e3t3t53.2.1.2t1.1",1>,[2,1]>]
x^6-3*x^5+18*x^4-31*x^3+68*x^2-53*x-29 2^4*5^3*11^4 2 2 12 "D12" [[6,3,2,5,4,1],[1,6,4,3,5,2],[5,3,2,6,1,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,3,2,6,1,4]>,<2,3,[6,3,2,5,4,1]>,<2,3,[4,2,3,1,6,5]>,<3,2,[4,5,1,3,6,2]>,<6,2,[2,4,6,5,3,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 19 x^2+18*x+2 7 [[-440193501,158736601],[-278034636,158736601],[278034637,-158736601],[-106271752,0],[440193502,-158736601],[106271753,0]] 4 [3,6,1,6,4,3,3,4,2,1,4,3,5,6,6,3,4,5,6,4,3,4,2,5,3,5,2,6,5,3,6,4,3,4,5,4,3,6,6,3,4,5,4,3,3,4,4,6,6,5,3,4,5,4,3,2,5,4,3,1,6,3,2,4,3,3,4,3,6,1,3,4,6,3,4,2,5,3,5,5,4,5,4,3,4,6,5,3,5,6,6,4,2,4,4,6,5,5,2,5,2,3,6,5,4,3,6,3,4,1,2,3,3,4,4,1,6,6,3,4,5,3,3,6,4,1,5,4,6,3,4,6,4,3,1,1,3,6,3,1,4,5,6,6,5,4,3,3,4,6,3,5,2,6,6,4,4,1,3,5,2,3,2,4,3,6,4,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x-15,2>,<x^3+43*x^2-29*x+2873,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[1,3,2,4,6,5],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[1,3,2,4,6,5],[4,5,6,1,2,3]],[4,6,5,1,3,2],[1,3,4,2],[2],[[[1,3,2,4,6,5]]],20,<<[],[1,1,1]>,[[109466,36128],[-18066,488160],[1,0]]>,[[[175606,-173077],[0,0]],[[0,1],[1,0]],[[18066,36129],[262143,0]],[[-175605,173077],[0,0]],[[1,-1],[262143,0]],[[-18065,-36129],[1,0]]]>,<5,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[-47601581437295,-201406589380,1]>,[[201406589384,-1],[4,1],[-46567345944207,8190492472183],[46567345944208,-8190492472183],[-3,-1],[-201406589383,1]]>,<11,6,3,[[2,3,1,5,6,4],[3,2,1,4,6,5]],[[1,2,3,4,5,6],[3,2,1,4,6,5],[2,3,1,5,6,4]],[3,2,1,4,6,5],[1,4,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,7,1]>,[[-160188842576250423375,0],[-52162952739248425767,0],[273946294811098331697,0],[1,0]]>,[[[-254555629641159185913,62512147208762852722],[17725295800745840321,-12409655613619630277],[2841461236761947851,-7925166853555807227]],[[9,0],[1,0],[0,0]],[[-19390665169939145766,-62512147208762852722],[-17725295800745840322,12409655613619630277],[-2841461236761947851,7925166853555807227]],[[-8,0],[-1,0],[0,0]],[[19390665169939145767,62512147208762852722],[17725295800745840322,-12409655613619630277],[2841461236761947851,-7925166853555807227]],[[254555629641159185914,-62512147208762852722],[-17725295800745840321,12409655613619630277],[-2841461236761947851,7925166853555807227]]]>,<23,2,1,[[3,4,1,2,6,5]],[[1,2,3,4,5,6],[3,4,1,2,6,5]],[3,4,1,2,6,5],[1,2],[1],[[]],20,<[],[5,21,1]>,[[-561381271565496311043192205,436865354517929782640808895],[-687629275967658022840607531,-637540446251305735530880070],[561381271565496311043192206,-436865354517929782640808895],[687629275967658022840607532,637540446251305735530880070],[868544787553155144909868,-7023516775241671944476059],[-868544787553155144909867,7023516775241671944476059]]>*] [x,x^2+5,x^2-x-1,x^2+1,x^3-x^2+4*x-20,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,23],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^2*5,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,11,23],[7,7,3,1],1,[1.000000000,1.404962946,1.128043325],<"notfaithful",0>,[6,3]>,<1,5,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,23],[2,7,1,2],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[6,3]>,<1,2^2,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,23],[7,1,2,2],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,3]>,<2,2^2*5*11^2,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,5,11,23],[7,7,8,1],1,[1.000000000,1.537800372,1.215851037],<"notfaithful",0>,[6,3]>,<2,2^2*5*11^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,11,23],[7,8,9,2],1,[1.000000000,1.166240428,0.9419603019],<"2.2e2t5t11e2.12.1.6t3.1",1>,[6,3]>]
x^6-x^5+4*x^4-9*x^3+22*x^2-55*x-11 2^4*5^3*11^4 2 2 12 "D12" [[1,5,4,3,2,6],[6,4,5,2,3,1],[2,1,6,4,5,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,3,2,5,4,1]>,<2,3,[6,4,5,2,3,1]>,<2,3,[2,1,6,4,5,3]>,<3,2,[5,1,6,3,2,4]>,<6,2,[3,4,5,1,6,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 19 x^2+18*x+2 7 [[-10995106,-136655796],[-232805995,136655796],[124204509,136655796],[-381640020,0],[155221215,0],[346015398,-136655796]] 4 [3,3,5,3,4,6,6,4,3,5,4,6,5,3,3,6,4,1,3,4,2,4,3,5,6,1,3,3,5,6,3,4,2,4,5,4,2,3,3,2,4,5,4,6,6,4,4,3,3,5,6,4,1,4,6,3,5,4,6,1,3,6,3,4,6,2,4,6,3,5,6,4,3,2,4,3,5,6,5,5,4,5,4,6,4,3,5,6,5,3,3,4,3,4,4,3,1,1,3,1,3,2,3,1,4,6,3,6,4,5,3,6,6,4,4,5,3,3,2,4,5,2,6,3,4,5,1,4,3,6,4,3,4,6,5,5,2,3,2,1,4,1,3,3,5,4,6,2,4,3,6,5,3,3,3,4,4,5,6,5,3,6,3,4,6,3,4,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x-11,2>,<x^3+11*x^2+363*x+1089,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[1,3,2,4,6,5],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[1,3,2,4,6,5],[4,5,6,1,2,3]],[4,6,5,1,3,2],[1,3,4,2],[2],[[[1,3,2,4,6,5]]],20,<<[],[1,1,1]>,[[313726,33672],[3626,250396],[1,0]]>,[[[-190044,-136947],[0,0]],[[0,1],[1,0]],[[-3626,-250395],[262143,0]],[[-53097,136947],[0,0]],[[-136947,250395],[1,0]],[[-140573,-1],[262143,0]]]>,<3,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,3],[1],[[]],20,<[],[2,2,1]>,[[1173190740,-609720706],[-1094152249,609720706],[-1487766432,275385391],[1448247187,-275385391],[119095469,-54855153],[-158614714,54855153]]>,<5,6,2,[[2,1,4,3,6,5],[3,4,5,6,1,2]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[3,4,5,6,1,2],[5,6,1,2,3,4],[4,3,6,5,2,1],[6,5,2,1,4,3]],[3,4,5,6,1,2],[1,2,5,5,6,6],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,3,0,1]>,[[-44717952584070,-16189334299200,42305479220225],[-221123245260,-40498244703950,-16005133562735],[1,0,0]]>,[[[221123245263,40498244703952,16005133562736],[-1,0,0]],[[3,2,1],[1,0,0]],[[32212428661934,43288902860885,-15682929549241],[-1,0,0]],[[31991305416674,2790658156935,-31688063111976],[1,0,0]],[[15581848781006,-23039780508912,-23998219489705],[-1,0,0]],[[15360725535746,31829406427763,-40003353052440],[1,0,0]]]>,<7,2,1,[[4,3,2,1,6,5]],[[1,2,3,4,5,6],[4,3,2,1,6,5]],[4,3,2,1,6,5],[1,3],[1],[[]],20,<[],[3,6,1]>,[[1171985136278169,-19057206036529257],[-3867233229745810,-38110632542544614],[-14580236867314129,38110632542544614],[35722955057841710,19057206036529257],[663723198541425,310394486187975],[429769879324024,-310394486187975]]>,<11,6,3,[[2,3,1,5,6,4],[3,2,1,6,5,4]],[[1,2,3,4,5,6],[3,2,1,6,5,4],[2,3,1,5,6,4]],[3,2,1,6,5,4],[1,4,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,7,1]>,[[24231484190371639951,0],[-273946294811098331664,0],[149088889500734985813,0],[1,0]]>,[[[275981092314325363647,292364437713500818787],[14770301393190117866,-13253939730064122407],[-2841461236761947851,7925166853555807227]],[[0,0],[1,0],[0,0]],[[247680013117499659741,-292364437713500818787],[-14770301393190117867,13253939730064122407],[2841461236761947851,-7925166853555807227]],[[151123687003962017789,292364437713500818787],[14770301393190117866,-13253939730064122407],[-2841461236761947851,7925166853555807227]],[[-124857405310363345858,0],[1,0],[0,0]],[[122822607807136313883,-292364437713500818787],[-14770301393190117867,13253939730064122407],[2841461236761947851,-7925166853555807227]]]>*] [x,x^2+1,x^2-x-1,x^2+5,x^3-x^2+4*x+2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7,11],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^2,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,7,11],[7,3,1,3,3],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,3]>,<1,5,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,11],[2,2,7,2,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[6,3]>,<1,2^2*5,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,11],[7,1,7,1,2],1,[1.000000000,1.404962946,1.128043325],<"notfaithful",0>,[6,3]>,<2,2^2*11^2,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3,5,7,11],[7,3,5,3,8],1,[1.000000000,1.514443483,1.281822355],<"notfaithful",0>,[6,3]>,<2,2^2*5^2*11^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1]]],[2,3,5,7,11],[7,3,8,3,8],1,[1.000000000,0.8549583804,0.8174854455],<"2.2e2t5e2t11e2.12.1.6t3.2",1>,[6,3]>]
