x^2-x+2187 -8747 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[0],[1]] 2 [2,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<8747,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[19129689,8747,1]>,[[-4373,-1],[4374,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[8747],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,8747,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[8747],[3],1,[1.000000000,0.7054067387,0.8494187453],<"1.8747.2t1.1",1>,[2,1]>]
x^3-x-36 -8747 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 107 x-1 5 [[3118315242],[4522620485],[6384581580]] 2 [2,1,2,2,3,2,3,2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,3,3,2,2,3,1,1,2,3,2,2,2,2,3,2,3,2,2,2,3,1,3,2,3,2,2,2,3,3,3,2,1,3,2,2,3,1,1,2,3,3,2,2,2,2,2,3,1,1,2,3,2,2,1,2,2,2,2,3,3,3,2,2,3,2,3,2,1,2,2,3,2,3,2,1,3,3,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,3,3,1,2,1,2,2,3,2,1,1,1,1,2,1,3,1,2,2,1,1,3,2,1,2,3,2,3,3,3,3,2,1,2,2,3,3,1,2,2,2,2,2,3,2,1,3,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-500324,0],[-115283,-206602],[91319,206602]]>,<8747,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[2995526967418131474582753690987334269941567090168739992428740244300338132705884,-2257196121595256693721444624275206076349727073466627533569042875913527690839079,1]>,[[-2257196121595256693721444624275206076349727073466627533569042875913527690856465,0],[2257196121595256693721444624275206076349727073466627533569042875913527690847772,-1],[8693,1]]>*] [x,x^2-x+2187,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,8747],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,8747,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,8747],[2,4],1,[1.000000000,0.7054067387,0.8494187453],<"notfaithful",0>,[3,2]>,<2,8747,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,8747],[2,4],1,[1.000000000,2.409386830,1.332369036],<"2.8747.3t2.1",1>,[3,2]>]
x^4+11*x^2+21 2^4*3*7*37^2 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 47 x-1 5 [[107754792],[-29330059],[29330059],[-107754792]] 2 [5,1,3,4,4,5,3,5,5,5,5,3,2,3,1,4,3,5,1,4,4,3,2,3,5,1,5,4,3,5,1,3,4,4,4,1,4,3,3,2,5,4,5,3,4,5,1,4,3,4,4,5,5,3,3,4,1,4,3,5,5,1,4,3,5,4,3,1,5,4,3,4,4,1,2,3,5,4,5,5,1,3,5,4,5,4,5,3,3,3,3,3,3,4,3,3,2,1,5,3,3,5,3,5,1,5,3,1,4,4,5,1,4,4,3,4,5,3,5,4,5,2,1,5,4,5,3,1,5,4,2,4,2,3,1,5,1,4,3,5,4,4,2,5,5,1,5,3,5,4,2,2,3,2,3,5,3,1,4,2,5,4,3,2,5,2,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+66,2>,<x^2-3024,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[4,3,1,2]],[[1,2,3,4],[2,1,4,3],[4,3,1,2],[3,4,2,1]],[4,3,1,2],[1,2,5,5],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[246134,492258],[0,2],[1,0]]>,[[[0,1],[1,0]],[[0,-1],[-1,0]],[[875,-157743],[-158618,-875]],[[-875,157743],[158618,875]]]>,<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-810715134,0,1]>,[[267890897,0],[-267890897,0],[0,-1],[0,1]]>,<7,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,6,1]>,[[-7226974743192295,0],[0,0],[1,0]]>,[[[-14617643192208090,-4872547730736030],[0,0]],[[14617643192208090,4872547730736030],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<37,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,33,1]>,[[-6974340516466086691428059351523,-508990280323691706259222232525],[1243757993163171386365152790419,-7632115283240800097600560183997],[1,0]]>,[[[-1243757993163171386365152790409,7632115283240800097600560184029],[-1,0]],[[10,32],[1,0]],[[-10,-32],[-1,0]],[[1243757993163171386365152790409,-7632115283240800097600560184029],[1,0]]]>*] [x,x^2-x-9,x^2-x-5,x^2-x-194,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,37],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,37,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,37],[3,1,1,6],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[4,3]>,<1,3*7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,37],[4,6,6,1],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[4,3]>,<1,3*7*37,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,37],[1,6,6,6],1,[1.000000000,1.750780344,1.283219255],<"notfaithful",0>,[4,3]>,<2,2^4*3*7*37,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,7,37],[6,7,8,8],1,[1.000000000,1.416280342,1.103869998],<"2.2e4_3_7_37.4t3.2",1>,[4,3]>]
x^4-26*x^2+21 2^4*3*7*37^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 41 x-1 6 [[-2167409438],[-2071873367],[2071873367],[2167409438]] 1 [5,4,3,4,4,5,3,5,5,5,5,3,1,3,2,4,3,5,1,4,4,3,1,3,5,2,5,4,3,5,1,3,4,4,4,1,4,3,3,1,5,4,5,3,4,5,1,4,3,4,4,5,5,3,3,4,2,4,3,5,5,2,4,3,5,4,3,1,5,4,3,4,4,1,2,3,5,4,5,5,2,3,5,4,5,4,5,3,3,3,3,3,3,4,3,3,1,2,5,3,3,5,3,5,1,5,3,2,4,4,5,1,4,4,3,4,5,3,5,4,5,2,2,5,4,5,3,2,5,4,2,4,2,3,2,5,2,4,3,5,4,4,2,5,5,2,5,3,5,4,2,1,3,1,3,5,3,2,4,1,5,4,3,1,5,1,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-156,2>,<x^2-3024,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[-277062,117644],[-245758,-491520],[1,0]]>,[[[24577,-57344],[16385,57344]],[[-24577,57344],[-16385,-57344]],[[14309,166],[-59419,-32602]],[[-14309,-166],[59419,32602]]]>,<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[-243923856,0],[0,0],[1,0]]>,[[[1128060842,1128060842],[0,0]],[[-1128060842,-1128060842],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<7,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,6,1]>,[[-28907898972769215,0],[0,0],[1,0]]>,[[[-5675475613885236,-1891825204628412],[0,0]],[[5675475613885236,1891825204628412],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<37,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,33,1]>,[[7938110616407869012244505247300,8631199863266053930159297114735],[-6278742955424354707696775168445,10830371295628176673078379098606],[1,0]]>,[[[6278742955424354707696775168455,-10830371295628176673078379098574],[-1,0]],[[10,32],[1,0]],[[-10,-32],[-1,0]],[[-6278742955424354707696775168455,10830371295628176673078379098574],[1,0]]]>*] [x,x^2-x-9,x^2-x-5,x^2-x-194,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,37],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,37,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,37],[3,1,1,6],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[4,3]>,<1,3*7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,37],[4,6,6,1],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[4,3]>,<1,3*7*37,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,37],[1,6,6,6],1,[1.000000000,1.750780344,1.283219255],<"notfaithful",0>,[4,3]>,<2,2^4*3*7*37,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]]],[2,3,7,37],[6,7,7,7],1,[1.000000000,0.7063836978,0.8837522190],<"2.2e4_3_7_37.4t3.4",1>,[4,3]>]
x^4-x^3-6*x^2+26*x+5 -61^2*131 2 1 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 41 x-1 5 [[-31134947],[416195],[43444467],[-12725714]] 4 [5,2,1,3,3,2,5,4,5,5,5,5,1,3,4,3,3,3,5,5,4,5,4,3,4,3,4,1,2,2,4,4,4,5,4,3,5,4,1,5,1,5,3,3,4,4,3,5,5,4,3,1,4,5,4,1,1,2,3,5,2,4,3,3,5,1,5,3,4,5,1,5,1,5,1,3,5,3,5,3,5,3,2,5,2,4,4,3,4,4,3,4,1,4,5,4,5,5,5,5,5,3,1,1,4,3,3,5,3,2,4,1,5,4,3,3,5,3,3,2,5,5,5,1,1,3,5,1,4,4,3,5,4,2,5,3,4,3,2,4,3,3,5,1,1,2,4,4,4,2,3,4,5,3,3,2,4,2,1,5,5,3,4,4,2,5,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-35,2>,<x^2-37*x+375,3>]*],[*[4],"CYC",0,5*]] [*<5,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-28658756683230,45278218513649,5555092489771,-3101067992064]>,<61,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,60,1]>,[[251463175283607544679297721429383793,-9691913456610420453865883689173580],[-153392671609254020360705844031863157,3367879440019518153586411277413389],[1,0]]>,[[[153392671609254020360705844031863214,-3367879440019518153586411277413350],[-1,0]],[[57,39],[1,0]],[[-173181154465057886808177061270374690,-194032305082888298560909266011055312],[247710394319819778601282320216369,1821864562054722342617376502442022]],[[19788482855803866447471217238511420,197400184522907816714495677288468623],[-247710394319819778601282320216369,-1821864562054722342617376502442022]]]>,<131,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,127,1]>,[[-263174929610671139106963656318269545602137,0],[120633537252790579995139541148339607658066,0],[1,0]]>,[[[-187346364265074622829347653667803565815130,554277093042635278163651026404124185156749],[0,0]],[[307979901517865202824487194816143173472979,-554277093042635278163651026404124185156749],[0,0]],[[-120633537252790579995139541148339607657957,0],[-1,0]],[[109,0],[1,0]]]>*] [x,x^2-x-15,x^2-x+33,x^2-x+1998,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,61,131],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,61,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,61,131],[1,6,1],1,[1.000000000,0.9383101983,0.9115020912],<"notfaithful",0>,[4,3]>,<1,131,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,61,131],[1,1,6],1,[1.000000000,1.372411123,0.9607539228],<"notfaithful",0>,[4,3]>,<1,61*131,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,61,131],[1,6,6],1,[1.000000000,3.514384763,1.534627114],<"notfaithful",0>,[4,3]>,<2,61*131,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[5,61,131],[1,6,6],1,[1.000000000,0.6508356907,0.8186594066],<"2.61_131.4t3.1",1>,[4,3]>]
