x^2-x-234 937 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[90],[-89]] 1 [1,1,2,2,2,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<937,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[219258,937,1]>,[[-468,-1],[469,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[937],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,937,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[937],[3],1,[1.000000000,2.255375518,1.417710563],<"1.937.2t1.1",1>,[2,1]>]
x^4-x^3+5*x^2+x-2 -2^2*3^2*251 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 149 x-1 5 [[-31530854861],[10777555272],[32705654202],[-11952354612]] 3 [3,2,4,4,5,2,4,5,4,5,4,3,4,5,5,3,3,5,4,3,4,4,4,2,5,4,2,5,5,4,5,4,3,3,1,5,3,5,5,4,4,2,3,5,4,3,1,3,4,5,2,5,4,1,3,2,5,4,3,5,3,3,3,4,5,2,4,4,5,3,5,4,3,4,5,5,3,3,5,3,3,3,2,5,3,4,1,3,5,5,3,5,5,4,5,4,2,3,4,4,4,3,5,4,4,4,4,4,3,3,4,5,2,4,3,5,3,5,5,3,5,5,4,4,2,5,4,2,4,5,2,2,2,4,5,2,4,3,5,3,2,4,3,1,5,4,4,5,4,4,2,3,3,3,4,5,5,3,5,5,4,5,4,2,3,5,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,6,3,[[1,4,2,3],[1,2,4,3]],[[1,2,3,4],[1,2,4,3],[1,4,2,3]],[1,2,4,3],[1,3,4],[1],[[[1,4,2,3]]],20,<<[],[1,1,1]>,[[121582,0],[212336,0],[229856,0],[1,0]]>,[[[146710,0],[524288,0],[524288,0]],[[-176871,0],[105440,0],[240405,0]],[[232697,-89056],[-109600,-113760],[125696,229653]],[[-202535,89056],[4160,113760],[158187,32491]]]>,<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,2,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[1135912935,-791983332],[-515078247,1228313958],[1,0]]>,[[[515078247,-1228313956],[-1,0]],[[0,2],[1,0]],[[1146274403,890129005],[75113639,-504534348]],[[-1661352649,338184949],[-75113639,504534348]]]>,<251,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[-112454150492563519326599987687135771059838064591,-1285251191180707986167707959134942553554940007,1]>,[[14833670337970203455161516651550258655649887832,0],[-16118921529150911441329224610685201209204828166,0],[1285251191180707986167707959134942553554940171,-1],[164,1]]>*] [x,x^2-x+63,x^3+2*x-6,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,251],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,251,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,251],[3,1,6],1,[1.000000000,1.388068990,0.9555866966],<"notfaithful",0>,[4,5]>,<2,2^2*251,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1]],[[1],[-1]]],[2,3,251],[6,1,7],1,[1.000000000,1.534162263,1.195719616],<"notfaithful",0>,[4,5]>,<3,2^2*3^2*251^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1]]],[2,3,251],[6,6,7],1,[0,0,0],<"3.2e2_3e2_251e2.6t8.1",1>,[4,5]>,<3,2^2*3^2*251,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-2],[1]]],[2,3,251],[6,7,8],1,[1.000000000,1.159988078,1.178481690],<"3.2e2_3e2_251.4t5.1",1>,[4,5]>]
x^6-6*x^4-10*x^3+2*x^2-5*x-3 5^4*7^4*13 2 2 48 "C2*S4" [[3,2,1,5,4,6],[1,2,4,3,5,6],[2,3,1,5,6,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,6,4,3,1,2]>,<2,3,[1,6,3,4,5,2]>,<2,3,[1,6,4,3,5,2]>,<2,6,[3,2,1,5,4,6]>,<2,6,[3,6,1,5,4,2]>,<3,8,[2,3,1,5,6,4]>,<4,6,[1,4,2,6,5,3]>,<4,6,[5,4,2,6,1,3]>,<6,8,[2,4,1,5,6,3]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 53 x^2+49*x+2 9 [[163228005824934,-252340657932904],[-1451137962154503,-1310130731482079],[-923883201153892,0],[-466595947874211,0],[-671134122671302,252340657932904],[49759636226841,1310130731482079]] 5 [10,5,6,3,10,5,9,8,7,7,6,10,8,7,8,4,6,5,10,10,8,7,8,8,8,9,9,4,10,7,7,9,3,9,10,10,5,3,6,9,4,5,4,10,10,9,4,6,6,8,7,2,6,5,9,7,5,8,4,10,9,8,6,9,5,10,10,4,7,8,8,10,9,7,10,8,7,6,10,8,5,10,3,5,9,4,10,10,6,3,5,8,10,7,2,5,8,5,9,10,7,10,9,7,7,8,6,8,7,9,5,10,10,6,10,7,8,5,1,4,6,4,9,10,6,4,2,5,9,8,10,3,4,7,6,6,6,6,9,7,8,2,7,10,9,6,8,9,9,10,2,9,7,9,1,7,7,8,5,6,3,7,2,5,10,6,7,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-20*x^2-65*x-2885,4>,<x^6-35*x^5+85*x^4-3385*x^3+30550*x^2-96000*x+17811000,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x+5,2>,<x^6+35*x^5+365*x^4+885*x^3-75*x^2+18625*x-99375,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<3,2,1,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,4,3,6,5],[1,5],[1],[[]],20,<[],[2,2,1]>,[[-1138197066,0],[-1363862036,0],[-1409540076,-997684706],[585829336,997684706],[448158176,-52465278],[553088732,52465278]]>,<5,6,3,[[2,3,1,5,6,4],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[2,3,1,5,6,4]],[4,6,5,1,3,2],[1,6,7],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,4,1]>,[[21526632528985,24401804131580],[-28486418237230,31095272087155],[43599918709315,-25883756465655],[1,0]]>,[[[-22025405421888,-45204893891594],[6527571423598,1332377756483],[-5877977558408,8608419852843]],[[2,1],[1,0],[0,0]],[[-21574513287423,-24278781283374],[-6527571423599,-1332377756483],[5877977558408,-8608419852843]],[[39792122246168,27958880526404],[-7318646910006,503381430075],[3809744341324,-1777419918735]],[[-33225016250722,-5933939217036],[-3424575611871,7277936221343],[4194596851514,415174589665]],[[37032812713863,47458733865599],[-8330263806248,-7781317651418],[-8004341192838,1362245329070]]]>,<7,8,4,[[2,1,4,5,6,3],[1,2,3,6,5,4]],[[1,2,3,4,5,6],[1,2,5,6,3,4],[1,2,3,6,5,4],[2,1,4,3,6,5],[2,1,4,5,6,3]],[1,2,3,6,5,4],[1,4,3,6,9],[1],[[[2,1,4,5,6,3]]],20,<<[],[3,6,1]>,[[33464712102276784,0],[-11031147281440664,0],[-7617720227940788,0],[-1706713526749931,0],[1,0]]>,[[[10348462359020385,0],[2318518630881404,0],[5548712210320563,0],[3516760231297193,0]],[[-12055175885770320,0],[-2318518630881404,0],[-5548712210320563,0],[-3516760231297193,0]],[[20792524110368732,0],[-959240267998832,0],[-1964472049038609,0],[-4760604430357213,0]],[[-31149505881189268,19395221902744044],[1869899278052627,-5236021211335501],[2698391817693862,2471867795287043],[3640794561144055,-1479651748907041]],[[1,0],[1,0],[0,0],[0,0]],[[12063695297570470,-19395221902744044],[-910659010053796,5236021211335501],[-733919768655253,-2471867795287043],[1119809869213158,1479651748907041]]]>,<13,4,2,[[1,2,3,4,6,5],[2,1,4,3,5,6]],[[1,2,3,4,5,6],[2,1,4,3,5,6],[1,2,3,4,6,5],[2,1,4,3,6,5]],[2,1,4,3,5,6],[1,5,3,6],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,12,1]>,[[3896898810685191519468,0],[4132080148572570677340,0],[1,0]]>,[[[127883216182768198653,-5594402199338637269015],[0,0]],[[-8759145491276782328371,5594402199338637269015],[0,0]],[[39671585414972670541,-569693174277904585272],[0,0]],[[-433611775127402859580,569693174277904585272],[0,0]],[[-4132080148572570677338,0],[-1,0]],[[2,0],[1,0]]]>*] [x,x^2-x+23,x^2-x+2,x^2-x-3,x^6-3*x^5-2*x^4-6*x^3+70*x^2+150*x+205,x^3-x^2+2*x-3,x^4-x^3-18*x^2-25*x-12,0,0,x^4-x^3-18*x^2-25*x-12] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,7,13],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,7*13,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,7,13],[2,1,11,11],1,[1.000000000,0.6586567884,0.7472827706],<"notfaithful",0>,[6,11]>,<1,7,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,7,13],[5,5,11,5],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[6,11]>,<1,13,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,7,13],[1,2,2,11],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[6,11]>,<2,5^2*7*13^2,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[3,5,7,13],[5,11,12,11],1,[1.000000000,1.456181213,1.229283522],<"notfaithful",0>,[6,11]>,<2,5^2*7,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,5,7,13],[5,11,12,5],1,[1.000000000,0.6119944195,0.7778406222],<"notfaithful",0>,[6,11]>,<3,5^2*7^3*13^2,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1]]],[3,5,7,13],[5,11,12,11],1,[1.000000000,2.122156033,1.203983328],<"notfaithful",0>,[6,11]>,<3,5^2*7^3*13,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[1]],[[1]],[[1],[0],[-1]]],[3,5,7,13],[3,11,12,13],1,[1.000000000,1.207309717,1.077368766],<"3.5e2_7e3_13.6t11.1",1>,[6,11]>,<3,5^2*7^2*13,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[0],[-1]]],[3,5,7,13],[4,11,11,12],1,[1.000000000,1.029019177,0.9540602654],<"3.5e2_7e2_13.6t11.1",1>,[6,11]>,<3,5^2*7^2*13^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]]],[3,5,7,13],[3,11,11,11],1,[1.000000000,0.7389877031,0.8723255039],<"notfaithful",0>,[6,11]>]
