x^4+11*x^2+500 5*1879^2 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 29 x-1 6 [[184667979],[-30000315],[30000315],[-184667979]] 3 [4,5,1,4,3,5,4,3,5,1,3,5,3,4,4,4,2,2,4,1,4,3,4,2,4,3,5,4,1,5,4,3,4,2,3,1,5,4,5,4,3,3,3,5,5,1,2,4,5,3,4,2,1,3,5,4,2,2,5,3,5,4,5,3,4,4,3,5,5,3,5,2,4,5,2,4,1,4,2,2,3,3,2,4,3,5,3,4,3,4,4,3,4,2,3,5,3,3,5,1,4,5,5,2,1,5,4,4,3,3,4,4,4,3,3,2,5,4,5,3,2,5,4,5,3,3,2,3,5,5,3,5,1,5,1,3,4,5,5,3,1,3,5,5,2,1,5,5,1,5,5,1,4,4,4,3,2,2,5,3,5,5,5,2,5,5,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+66,2>,<x^2-72000,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[1,1,1]>,[[9346,18692],[-9346,-18692],[178945,0],[-178945,0]]>,<5,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[158149907445,0,1]>,[[-38165416745942,0],[38165416745942,0],[0,-5],[0,5]]>,<1879,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-70887654401429541122521689675966957734119139586253543021746636137,-54421691606064153262546443136484425225207199294566999714369656574,1]>,[[54421691606064153262546443136484425225207199294566999714369658133,-1],[1559,1],[-1559,-1],[-54421691606064153262546443136484425225207199294566999714369658133,1]]>*] [x,x^2-x+470,x^2-x-1,x^2-x+2349,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,1879],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,1879,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,1879],[1,1,6],1,[1.000000000,1.956817154,1.258470999],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,1879],[4,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,5*1879,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,1879],[3,6,6],1,[1.000000000,0.7778802090,0.8752663179],<"notfaithful",0>,[4,3]>,<2,5*1879,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,5,1879],[3,6,6],1,[1.000000000,1.530032489,1.099672237],<"2.5_1879.4t3.2",1>,[4,3]>]
x^2-2742 2^3*3*457 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[-34898],[34898]] 1 [1,1,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-2742,0,1]>,[[0,1],[0,262143]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-2742,0,1]>,[[0,-1],[0,1]]>,<457,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-2742,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,457],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*3*457,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,457],[3,3,3],1,[1.000000000,0.9400911648,0.9568366568],<"1.2e3_3_457.2t1.2",1>,[2,1]>]
x^2-x+4738 -3*6317 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1122],[-1121]] 2 [1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4740,3,1]>,[[-1,-1],[2,1]]>,<6317,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[9980860,6317,1]>,[[-3158,-1],[3159,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,6317],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*6317,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,6317],[3,3],1,[1.000000000,2.510305005,1.367658821],<"1.3_6317.2t1.1",1>,[2,1]>]
