x^2-x+954 -5*7*109 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[63],[-62]] 2 [1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[960,5,1]>,[[-2,-1],[3,1]]>,<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[966,7,1]>,[[-3,-1],[4,1]]>,<109,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[3924,109,1]>,[[-54,-1],[55,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,7,109],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*7*109,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,7,109],[3,3,3],1,[1.000000000,2.848332128,1.482975644],<"1.5_7_109.2t1.1",1>,[2,1]>]
x^6-31*x^4+248*x^2-496 2^6*31^5 6 0 6 "C6" [[5,3,1,2,6,4],[4,5,6,1,2,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<3,1,[6,1,5,3,4,2]>,<3,1,[2,6,4,5,3,1]>,<6,1,[5,3,1,2,6,4]>,<6,1,[3,4,2,6,1,5]>] [[1,1,1,1,1,1],[2,2,2],[3,3],[6]] 29 x^2+24*x+2 5 [[-7256779,-2313994],[-3825046,3099771],[9820135,2527607],[7256779,2313994],[3825046,-3099771],[-9820135,-2527607]] 1 [1,3,4,6,4,5,6,6,1,2,1,6,4,3,2,5,6,2,5,5,5,3,4,2,1,1,5,6,1,4,3,6,5,1,3,1,1,2,3,4,3,5,5,3,5,4,6,3,5,6,1,4,6,3,4,1,5,1,2,1,2,3,6,2,6,3,4,2,3,1,6,5,4,1,6,4,6,3,2,6,2,4,6,2,5,5,2,2,2,1,2,6,4,4,3,6,5,3,1,3,5,2,5,5,4,3,1,1,5,6,5,6,3,1,4,5,1,1,1,2,4,5,5,2,5,3,2,3,6,4,4,1,6,5,6,3,2,3,5,6,5,2,3,4,2,2,1,4,4,4,4,5,1,6,2,3,5,2,3,5,3,2,3,5,1,4,1,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^3-7*x^2+11*x-5>,[<x+124,3>,<x-372,4>]*],[*[6],"RES",<[1],x^3-7*x^2+11*x-5>,[<x+372,5>,<x-124,6>]*]] [*<2,2,2,[[2,1,6,5,4,3]],[[1,2,3,4,5,6],[2,1,6,5,4,3]],[1,2,3,4,5,6],[1,2],[2],[[[2,1,6,5,4,3]]],20,<[],[293434,2,1]>,[[1,1],[-1,-1],[-2058,2038],[-930,3166],[930,-3166],[2058,-2038]]>,<31,6,6,[[3,6,2,5,1,4]],[[1,2,3,4,5,6],[6,5,4,3,2,1],[2,4,6,1,3,5],[4,1,5,2,6,3],[3,6,2,5,1,4],[5,3,1,6,4,2]],[1,2,3,4,5,6],[1,2,3,4,5,6],[1],[[[3,6,2,5,1,4]]],20,<[],[-496,0,248,0,-31,0,1]>,[[0,-1,0,0,0,0],[0,-6772081943740748810848211705,0,7787894235301861132475443465,0,-9819518818424085775729906979],[0,-1354416388748149762169642346,0,1015812291561112321627231757,0,10496727012798160656814728150],[0,1354416388748149762169642346,0,-1015812291561112321627231757,0,-10496727012798160656814728150],[0,6772081943740748810848211705,0,-7787894235301861132475443465,0,9819518818424085775729906979],[0,1,0,0,0,0]]>*] [x,x^2-31,x^3-x^2-10*x+8,0,x^3-x^2-10*x+8,0] [1,2,2,4,3,6] <[1],[2],[3,5],[4,6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,31],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,1]>,<1,2^2*31,1,[[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,31],[7,7],1,[1.000000000,1.440364959,1.143634374],<"notfaithful",0>,[6,1]>,<1,31,3,[[1,0],[1,0],[0,1],[-1,-1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,31],[1,7],0,[0.9206223908+0.3904541120*i,1.240671186+0.1854300077*i,1.207540277+0.08181693071*i],<"notfaithful",0>,[6,1]>,<1,2^2*31,3,[[1,0],[-1,0],[0,1],[-1,-1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[2,31],[7,7],0,[0.6950911729-0.7189215961*i,0.8405434230-0.1014267517*i,0.9356338146+0.02969990075*i],<"1.2e2_31.6t1.2",1>,[6,1]>,<1,31,3,[[1,0],[1,0],[-1,-1],[0,1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,31],[1,7],0,[0.9206223908-0.3904541120*i,1.240671186-0.1854300077*i,1.207540277-0.08181693071*i],<"notfaithful",0>,[6,1]>,<1,2^2*31,3,[[1,0],[-1,0],[-1,-1],[0,1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[2,31],[7,7],0,[0.6950911729+0.7189215961*i,0.8405434230+0.1014267517*i,0.9356338146-0.02969990075*i],<"1.2e2_31.6t1.2",2>,[6,1]>]
x^6-3*x^5-7*x^4-30*x^3-160*x^2-312*x-208 11^2*13^3*157^2 2 2 12 "D12" [[1,2,5,6,3,4],[2,1,6,5,4,3],[3,6,1,4,5,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[2,1,6,5,4,3]>,<2,3,[3,6,1,4,5,2]>,<2,3,[6,3,2,5,4,1]>,<3,2,[5,4,1,6,3,2]>,<6,2,[4,5,2,3,6,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 17 x^2+16*x+3 9 [[-28480730901,0],[53219056589,0],[47037738307,-35404062306],[25363829466,53412145914],[20563352718,35404062306],[884630321,-53412145914]] 3 [4,5,6,4,4,3,3,2,3,1,4,4,4,1,4,3,6,5,4,4,4,5,4,4,6,3,3,5,6,5,3,1,6,5,4,4,1,2,6,3,3,3,3,6,6,5,1,6,4,6,3,6,4,3,5,3,3,4,3,6,3,4,4,5,5,4,4,1,3,6,4,4,3,5,2,6,1,6,6,4,1,6,6,3,5,3,6,6,2,2,5,4,4,1,6,5,2,3,3,4,3,2,5,5,3,4,6,6,3,3,1,4,4,4,4,5,6,5,5,3,4,5,3,6,6,5,4,3,5,2,6,6,3,3,4,6,4,4,5,5,4,6,3,2,1,2,6,1,3,2,4,3,3,5,5,5,5,4,5,6,2,3,6,3,4,6,5,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,3*],[*[2,2,2],"RES",<[1],x^2>,[<x+22,2>,<x^3+63*x^2+15570*x+122364,4>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,4],[1],[[]],20,<[],[1,1,1]>,[[204426,374835],[-170409,-374835],[26772,17734],[9038,-17734],[-14894,-25500],[10606,25500]]>,<11,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,4,3,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,7,1]>,[[-244622564764544486520,129195319139521564072],[169640323798904383931,-199594856977564212560],[1,0]]>,[[[334177817410081206436,-152584144517227977563],[0,0]],[[56766839165557030975,152584144517227977563],[0,0]],[[-169640323798904383924,199594856977564212564],[-1,0]],[[7,4],[1,0]],[[-202793528419108587234,127295845206147498525],[2196125641428757657,15446563414007830655]],[[-18510804357625266257,-326890702183711711093],[-2196125641428757657,-15446563414007830655]]]>,<13,4,2,[[2,1,4,3,6,5],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,6,5,4,3],[2,1,5,6,3,4]],[1,2,6,5,4,3],[1,4,3,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,12,1]>,[[2064851086974761216625,0],[-8470056343953019111088,0],[1,0]]>,[[[8470056343953019111088,0],[-1,0]],[[0,0],[1,0]],[[-5633305253684225419310,-7947051800051132844714],[53593976954389755850,206117485550385954837]],[[-7491731186776687420253,1714142811583532437677],[-53593976954389755850,-206117485550385954837]],[[-9056481150898277233576,-1714142811583532437677],[-504024731100650519160,206117485550385954837]],[[-5293502527474628476747,7947051800051132844714],[504024731100650519160,-206117485550385954837]]]>,<19,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,2],[1],[[]],20,<[],[2,18,1]>,[[-3442726215887817212369341,-15846512882208880665657985],[18664691461050327415985182,15846512882208880665657985],[-9782302264739948587919385,6862087018398986462795590],[17060025234262127855182399,-6862087018398986462795590],[-577146431355723159214507,-352915545959508171960326],[-159925571065516831300576,352915545959508171960326]]>,<157,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[1,2,4,3,6,5]]],20,<[],[28210344738899068212979293730681879469347816,-5044885498887709921778140200384837341187433,1]>,[[10800778500156699780539777422201584104330677,0],[-39149969873595012319889166291553071871744415,0],[5044885498887709921778140200384837341187574,-1],[141,1],[-14276802524475996775086005532965511392883463,-136714930611988913872679815760741394667737],[37581108399026599392657254201932161819109489,136714930611988913872679815760741394667737]]>*] [x,x^2-x+5613,x^2-x+432,x^2-x-3,x^3-4*x-29,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,13,19,157],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,11*13*157,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,11,13,19,157],[3,7,7,1,7],1,[1.000000000,1.006406111,0.9151202578],<"notfaithful",0>,[6,3]>,<1,11*157,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,11,13,19,157],[1,7,2,2,7],1,[1.000000000,2.721486628,1.458885239],<"notfaithful",0>,[6,3]>,<1,13,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,11,13,19,157],[2,2,7,2,1],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[6,3]>,<2,11*13*157,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,11,13,19,157],[3,7,7,1,7],1,[1.000000000,1.022428774,0.9323234940],<"notfaithful",0>,[6,3]>,<2,11*13*157,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1],[-1]]],[2,11,13,19,157],[3,7,7,2,8],1,[1.000000000,0.9943389503,0.9720442637],<"2.11_13_157.6t3.2",1>,[6,3]>]
