x^2+354 -2^3*3*59 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[586],[-586]] 2 [1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[354,0,1]>,[[0,1],[0,262143]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[354,0,1]>,[[0,-1],[0,1]]>,<59,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[354,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,59],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*3*59,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,59],[3,3,3],1,[1.000000000,1.335790125,1.034866625],<"1.2e3t3t59.2.1.2t1.2",1>,[2,1]>]
x^6-x^5-x^4+3*x^3-2*x^2-x+2 3^2*29*797 2 2 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 59 x^2+58*x+2 5 [[-44521153,3805145],[233077435,-208063266],[147033780,208063266],[223619360,107534545],[-265219563,-3805145],[-293989858,-107534545]] 4 [9,7,10,10,10,9,10,7,11,6,9,5,10,10,9,11,2,11,7,4,11,9,8,10,6,4,9,9,7,7,3,11,10,11,8,5,10,8,8,8,4,9,7,8,9,4,7,5,9,9,9,7,8,9,4,8,9,9,9,11,10,10,8,11,9,4,9,10,11,8,7,11,10,5,8,9,11,7,7,9,11,11,9,9,11,7,8,11,8,7,9,7,11,9,7,10,10,9,11,11,6,4,9,8,5,9,7,11,9,10,9,4,9,7,9,4,9,5,10,5,3,10,7,11,7,9,8,9,5,11,10,8,10,3,9,7,10,9,6,7,6,7,9,5,9,5,10,6,8,9,10,10,11,8,10,7,8,10,9,5,10,2,8,7,8,9,9,9] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<3,4,2,[[2,1,5,6,4,3]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[2,1,5,6,4,3],[2,1,6,5,3,4]],[2,1,5,6,4,3],[1,4,7,7],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,2,1]>,[[-1657605582,986600469],[-1449606822,-727398354],[1,0]]>,[[[46992147,-974191588],[0,0]],[[-1491409078,974191588],[0,0]],[[1449606822,727398355],[-1,0]],[[0,1],[1,0]],[[-988356371,1431226559],[266119839,296811110]],[[983166481,1328159486],[-266119839,-296811110]]]>,<29,6,2,[[1,2,3,4,6,5],[2,3,1,4,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[2,3,1,4,5,6],[3,1,2,4,5,6],[2,3,1,4,6,5],[3,1,2,4,6,5]],[2,3,1,4,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[27,2,0,1]>,[[-68789662134742247226347211995,0,0],[-63154782505286557555885120214,0,0],[1,0,0]]>,[[[39226138922103009014463223530,-80130981403153621682952145079,-47339385919426903968524100952],[0,0,0]],[[-13200053669675798273306136124,-11792581017269545777672371949,1838257712293867164542199508],[0,0,0]],[[-72979277110630074219244293810,-85071013730686585737162123373,45501128207133036803981901444],[0,0,0]],[[-16201590647083694077797913831,0,0],[0,0,0]],[[63154782505286557555885120225,0,0],[-1,0,0]],[[11,0,0],[1,0,0]]]>,<797,6,2,[[1,2,3,4,6,5],[1,3,4,2,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,3,4,2,5,6],[1,4,2,3,5,6],[1,3,4,2,6,5],[1,4,2,3,6,5]],[1,3,4,2,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[795,2,0,1]>,[[-369657668673262776247108998717390059977295726961042866218,0,0],[-1880532051593973006519478314330169082103545538700367620515,0,0],[1,0,0]]>,[[[2140695991465962253237049800412793023960385407457293977844,0,0],[0,0,0]],[[2147436256126821303360142734477655672387579768382537669381,-3813477411492574860436898644714070760334594516118054360484,-57777384665883502919712424390349516973377348051412776297],[0,0,0]],[[-3506818855925862050275330094918976120133369848988564347371,2755702458424044120995208511450411595575895983730513105935,-4298468718705396018146317046437823361364089561079739288861],[0,0,0]],[[-2661845443260894512841340754301641658318140865551634921080,1057774953068530739441690133263659164758698532387541254549,4356246103371279521066029470828172878337466909131152065158],[0,0,0]],[[1880532051593973006519478314330169082103545538700367620871,0,0],[-1,0,0]],[[356,0,0],[1,0,0]]]>*] [x,x^2-x-5778,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,29,797],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,29*797,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,29,797],[1,12,12],1,[1.000000000,2.160543455,1.407617749],<"notfaithful",0>,[6,16]>,<5,3^2*29*797,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[0],[-1],[1]]],[3,29,797],[12,13,13],1,[1.000000000,0.4732851672,0.8448809476],<"5.3e2t29t797.720.1.6t16.1",1>,[6,16]>,<5,3^2*29^2*797^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[3,29,797],[12,13,13],1,[0,0,0],<"5.3e2t29e2t797e2.720.1.12t183.1",1>,[6,16]>,<5,3^2*29^4*797^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[1],[-1],[-1]],[[1],[-1]]],[3,29,797],[12,13,13],1,[0,0,0],<"5.3e2t29e4t797e4.720.1.12t183.1",1>,[6,16]>,<5,3^2*29^3*797^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[1]]],[3,29,797],[12,13,13],1,[0,0,0],<"5.3e2t29e3t797e3.720.1.6t16.1",1>,[6,16]>,<9,3^4*29^3*797^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[0],[0],[-2],[0],[0],[1]]],[3,29,797],[12,13,13],1,[0,0,0],<"9.3e4t29e3t797e3.720.1.10t32.1",1>,[6,16]>,<9,3^4*29^6*797^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[0],[0],[-1]]],[3,29,797],[12,13,13],1,[0,0,0],<"9.3e4t29e6t797e6.720.1.20t145.1",1>,[6,16]>,<10,3^6*29^6*797^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]]],[3,29,797],[12,13,13],1,[0,0,0],<"10.3e6t29e6t797e6.720.1.30t176.1",1>,[6,16]>,<10,3^6*29^4*797^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[-2],[0],[0],[1]]],[3,29,797],[12,13,13],1,[0,0,0],<"10.3e6t29e4t797e4.720.1.30t176.1",1>,[6,16]>,<16,3^8*29^8*797^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[-4],[0],[6],[0],[-4],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]]],[3,29,797],[12,13,13],1,[0,0,0],<"16.3e8t29e8t797e8.720.1.36t1252.1",1>,[6,16]>]
x^6-6*x^4+7*x^2-1 2^6*257^2 6 0 24 "S4" [[2,6,4,5,3,1],[3,2,1,6,5,4],[6,2,4,3,5,1],[2,3,1,5,6,4]] [<1,1,[1,2,3,4,5,6]>,<2,3,[1,5,6,4,2,3]>,<2,6,[3,2,1,6,5,4]>,<3,8,[2,6,4,5,3,1]>,<4,6,[4,6,2,1,3,5]>] [[1,1,1,1,1,1],[1,1,2,2],[2,4],[3,3]] 43 x^2+42*x+3 10 [[6962561931267713,-10558337866247689],[380495479000554,0],[3428376265298578,-10558337866247689],[-6962561931267713,10558337866247689],[-380495479000554,0],[-3428376265298578,10558337866247689]] 1 [4,5,3,5,4,4,4,5,4,4,4,5,5,3,5,5,4,2,2,5,4,4,3,4,5,3,3,5,3,2,3,5,4,4,3,5,2,3,5,4,3,3,5,2,2,4,4,4,1,5,5,4,2,3,3,3,3,3,3,3,4,4,4,5,3,4,5,5,3,4,3,3,5,4,4,5,5,4,4,3,2,3,3,4,3,3,3,4,3,3,3,4,3,4,2,4,5,5,4,5,3,3,4,5,4,5,2,4,3,3,3,4,3,3,2,5,1,4,1,5,5,4,5,4,5,4,4,4,4,5,2,5,3,3,5,4,4,4,4,3,5,2,2,3,4,4,5,5,2,2,3,3,5,4,1,4,3,2,5,5,1,3,4,2,5,5,5,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"RES",<[1],x^2-3*x+1>,[<x^3-36*x^2-288*x+12096,2>,<x^6+72*x^5+792*x^4-48816*x^3-1330992*x^2-7791552*x+25427520,3>]*],[*[2,4],"CYC",0,5*],[*[3,3],"CYC",0,4*]] [*<2,12,4,[[2,1,3,4,6,5],[4,3,6,5,1,2]],[[1,2,3,4,5,6],[2,1,3,4,6,5],[4,3,6,5,1,2],[5,6,2,1,4,3]],[4,3,6,5,1,2],[1,2,4,4],[2],[[[1,2,4,3,6,5],[2,1,3,4,6,5]]],20,<<[],[1,1,0,1]>,[[-11462,-288494,17188],[211392,301468,-297484],[-510238,-369602,-261810],[-485014,407532,-488538],[1,0,0]]>,[[[262066,-260585,93714],[218856,134888,-85574],[-45322,-23779,221487],[-257551,99518,-112105]],[[-262066,260585,-93714],[-218856,-134888,85574],[45322,23779,-221487],[257551,-99518,112105]],[[-106404,-220266,-182117],[-201510,11742,-54128],[-158847,73222,-209091],[143658,65086,223745]],[[106404,220266,182117],[201510,-11742,54128],[158847,-73222,209091],[-143658,-65086,-223745]],[[-238692,-250857,-179311],[192202,-221378,-55014],[75909,-183419,160496],[128914,95787,-55414]],[[238692,250857,179311],[-192202,221378,55014],[-75909,183419,-160496],[-128914,-95787,55414]]]>,<257,4,2,[[1,2,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[1,2,5,6,3,4],[1,2,6,5,4,3]],[1,2,5,6,3,4],[1,3,3,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[3,251,1]>,[[-278288180485513399136392190148714209052541713981,-164578148512259829852141215539875553025250959936],[-634447534010527981737076378992653200727810767664,-363864584309877006322289018194812246283278154227],[1,0]]>,[[[112953288827024910805957847338176278251469616700,0],[0,0]],[[-112953288827024910805957847338176278251469616700,0],[0,0]],[[634447534010527981737076378992653200727810767901,363864584309877006322289018194812246283278154405],[-1,0]],[[237,178],[1,0]],[[-237,-178],[-1,0]],[[-634447534010527981737076378992653200727810767901,-363864584309877006322289018194812246283278154405],[1,0]]]>*] [x,x^2-x-64,x^3-x^2-4*x+3,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,257],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,7]>,<1,257,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,257],[1,6],1,[1.000000000,1.297484959,1.149850287],<"notfaithful",0>,[6,7]>,<2,257,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,257],[4,6],1,[1.000000000,0.4926871260,0.7565711632],<"notfaithful",0>,[6,7]>,<3,2^6*257^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1]],[[1],[1]]],[2,257],[6,7],1,[0,0,0],<"3.2e6t257e2.24.1.6t8.3",1>,[6,7]>,<3,2^6*257,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1]],[[1],[0],[-1]]],[2,257],[6,7],1,[1.000000000,0.6522991075,0.9042140646],<"3.2e6t257.24.1.4t5.3",1>,[6,7]>]
