x^2-x-796183 3184733 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 17 x-1 5 [[-95039],[95040]] 1 [2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3184733,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2535630274139,3184733,1]>,[[-1592366,-1],[1592367,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3184733],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3184733,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3184733],[3],1,[1.000000000,0.2934493409,0.6676349663],<"1.3184733.2t1.1",1>,[2,1]>]
x^6-2*x^5-5*x^4+11*x^3-5*x+1 3184733 6 0 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 47 x^2+45*x+5 5 [[-95765211,75335967],[-66065947,106900626],[-45708621,-75335967],[111216108,100920969],[-60348970,-106900626],[-72672364,-100920969]] 1 [10,10,10,11,8,10,9,10,8,8,9,8,11,5,2,9,10,7,7,10,9,10,7,10,8,7,4,6,7,8,9,9,8,8,4,10,9,7,10,9,7,5,10,2,10,2,8,10,8,8,5,9,5,7,9,9,10,4,9,7,6,11,9,10,10,10,11,8,8,9,11,6,9,7,11,10,8,7,9,9,6,7,8,9,10,8,11,9,10,11,11,10,7,4,8,8,9,10,9,6,9,8,10,9,11,11,11,9,8,10,10,9,6,11,8,7,9,3,7,4,10,9,10,4,4,11,9,10,8,11,11,8,5,8,11,9,8,10,10,10,8,11,4,11,11,10,9,6,11,11,7,4,9,11,6,8,10,5,10,8,4,5,9,10,10,8,4,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<3184733,6,2,[[1,2,3,4,6,5],[1,3,4,2,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,3,4,2,5,6],[1,4,2,3,5,6],[1,3,4,2,6,5],[1,4,2,3,6,5]],[1,3,4,2,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[1,1,0,1]>,[[4767877123167670212801496161531239187912659550101148555437099535255407953458387095853406583242294156935103479599454618910567168020,0,0],[1524472983590097196442743397287227440842725268083705032988503123607950440036336051032299689372612794925559720015812197086976583009,0,0],[1,0,0]]>,[[[-1211374174731317005382240831084319343566398268650473326050929931957531062561023476780813591022281810000806298916457159100714829870,0,0],[0,0,0]],[[3243557865237662465797235351966121438081355386775458877353347012295624834079910101100348999073867239472025377353664194073544804003,2344581815029087920217806869335940096302499489339231947391581038373667266171372997451266831408848584957301837549730898364299265526,3497413218695786597783360913763408764917471311796099136510303990660696499821185387743966858413353556744855056564361613016473346612],[0,0,0]],[[1880943179204132964984240228551991094910953694599019914885693471638887798284488813112660645414119173548211233626628870629402171187,3883045430544788567538971013302640625536762605326845983605453685428105067166458294816926142051253742383862992752482343457526485134,1453491189645492346563868228642213250161868773531440692808823679675590946128053455762434327923731457859133840973808627850259397388],[0,0,0]],[[-2388653886120381228956491352146565748583185544640300433199607428369031129767039386399896364093091808093870592048023708515259256405,5292587130762335425420328183763098723467945793983643498199464030589138304013116464551842631366471178971761388546467447853436940941,-4950904408341278944347229142405622015079340085327539829319127670336287445949238843506401186337085014603988897538170240866732744000],[0,0,0]],[[-1524472983590097196442743397287227440842725268083705032988503123607950440036336051032299689372612794925559720015812197086974735961,0,0],[-1,0,0]],[[1847048,0,0],[1,0,0]]]>*] [x,x^2-x-796183,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3184733],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,3184733,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3184733],[12],1,[1.000000000,0.2934493409,0.6676349663],<"notfaithful",0>,[6,16]>,<5,3184733,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[-1],[0],[-1],[1]]],[3184733],[12],1,[0,0,0],<"5.3184733.6t16.1",1>,[6,16]>,<5,3184733^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]]],[3184733],[12],1,[0,0,0],<"5.3184733e2.12t183.1",1>,[6,16]>,<5,3184733^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1]]],[3184733],[12],1,[0,0,0],<"5.3184733e4.12t183.1",1>,[6,16]>,<5,3184733^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]]],[3184733],[12],1,[0,0,0],<"5.3184733e3.6t16.1",1>,[6,16]>,<9,3184733^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-2],[0],[0],[1]]],[3184733],[12],1,[0,0,0],<"9.3184733e3.10t32.1",1>,[6,16]>,<9,3184733^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[-1]]],[3184733],[12],1,[0,0,0],<"9.3184733e6.20t145.1",1>,[6,16]>,<10,3184733^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[-1],[0],[-1],[1]]],[3184733],[12],1,[0,0,0],<"10.3184733e6.30t176.1",1>,[6,16]>,<10,3184733^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[0],[0],[-2],[0],[0],[1]]],[3184733],[12],1,[0,0,0],<"10.3184733e4.30t176.1",1>,[6,16]>,<16,3184733^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]]],[3184733],[12],1,[0,0,0],<"16.3184733e8.36t1252.1",1>,[6,16]>]
x^3-x^2+23*x-46 -13*17^2*23 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 83 x-1 5 [[-1714320742],[-397951861],[-1826768039]] 2 [2,3,3,3,3,1,2,3,1,3,2,3,2,2,2,2,2,2,3,2,2,2,1,3,3,3,2,2,1,2,1,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,2,3,3,3,2,1,2,3,2,3,2,1,3,2,1,2,1,2,2,2,2,3,2,2,3,2,2,3,3,2,2,1,2,2,1,3,2,3,3,2,3,2,2,2,1,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,3,3,1,1,3,3,2,3,3,3,2,3,3,2,2,2,2,1,1,2,3,2,3,2,2,2,3,1,1,2,1,2,2,3,1,1,3,2,3,1,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,1,1,1,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<13,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[7663411811617008258071,-2690486648868171855325,1]>,[[-2690486648868171855346,0],[2690486648868171855336,-1],[11,1]]>,<17,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[3,16,1]>,[[272,0],[119,0],[17,0],[1,0]]>,[[[25322331459949820830295,-758878097313926120346513],[38676885230516673837260,109428801266068288850287],[91093558062480519904787,-78265468624121681829584]],[[6,0],[1,0],[0,0]],[[-25322331459949820830300,758878097313926120346513],[-38676885230516673837261,-109428801266068288850287],[-91093558062480519904787,78265468624121681829584]]]>,<23,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-152385139774908938490506658,-329323205270997354767648460,1]>,[[-329323205270997354767648459,0],[329323205270997354767648460,-1],[0,1]]>*] [x,x^2-x+75,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[13,17,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,13*23,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[13,17,23],[4,2,4],1,[1.000000000,1.453463953,0.9628129467],<"notfaithful",0>,[3,2]>,<2,13*17^2*23,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[13,17,23],[4,5,4],1,[1.000000000,0.5806846039,0.8880991880],<"2.13_17e2_23.3t2.1",1>,[3,2]>]
