x^5-2*x^4-x^3+x^2-4*x+1 -2^2*67*397 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 277 x-1 5 [[574605461711],[580026083034],[-276351001325],[-186002811229],[-692277732189]] 2 [3,7,6,6,5,3,5,6,3,6,5,3,4,5,6,6,7,6,2,7,4,7,6,2,5,6,5,6,6,6,4,4,7,6,5,6,5,4,6,4,2,5,5,7,4,5,7,5,7,5,3,3,5,4,4,5,5,7,1,5,7,3,6,6,6,7,4,4,4,4,7,5,7,4,4,5,7,2,7,5,2,7,4,2,3,4,5,5,3,4,7,6,5,2,7,7,5,7,4,2,4,6,6,3,5,3,7,5,5,7,7,2,5,5,7,4,1,7,7,7,6,2,4,5,5,5,6,4,5,4,3,7,6,5,6,5,2,3,6,6,6,6,4,6,4,2,5,3,6,3,6,4,3,3,7,2,6,4,6,7,7,2,4,5,5,3,3,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,6,3,[[1,2,5,3,4],[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4],[1,2,5,3,4]],[2,1,3,5,4],[1,3,4],[1],[[[1,2,5,3,4]]],20,<<[],[1,1,1]>,[[1534,0],[118924,0],[155628,0],[1,0]]>,[[[-61486,-438607],[0,0],[0,0]],[[377121,438607],[0,0],[0,0]],[[-232475,0],[-135318,0],[118509,0]],[[-193603,220240],[-53034,-241386],[9820,138149]],[[110445,-220240],[188352,241386],[133815,123995]]]>,<67,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,63,1]>,[[-783649964824366338421892273238142580,0],[-232132733630274500690085473178738472,0],[1,0]]>,[[[504869729678314701252783510510912997,912887685413385209583309790750516578],[0,0]],[[-216488260896092129541239383161873351,0],[0,0]],[[-520514202412497072401629600527778200,-912887685413385209583309790750516578],[0,0]],[[232132733630274500690085473178738514,0],[-1,0]],[[42,0],[1,0]]]>,<397,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[5,392,1]>,[[2610770483556903393263544684137430994157169165462774,0],[3061513268622546571259974863597126040415916752510872,0],[1,0]]>,[[[-1809799823741105542732796532132493113758242129068868,800134939785191693722313841666450525596226624518502],[0,0]],[[-1246006557229107408398269697846290741738586720144476,0],[0,0]],[[-3340916111263976036558101952275766840657602178924419,-800134939785191693722313841666450525596226624518502],[0,0]],[[-3061513268622546571259974863597126040415916752510754,0],[-1,0]],[[118,0],[1,0]]]>*] [x,x^2-x+6650,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,67,397],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,67*397,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,67,397],[1,8,8],1,[1.000000000,2.388575114,1.276837425],<"notfaithful",0>,[5,5]>,<4,2^2*67^3*397^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1],[1]]],[2,67,397],[8,9,9],1,[0,0,0],<"4.2e2_67e3_397e3.10t12.1",1>,[5,5]>,<4,2^2*67*397,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[-1],[-1],[1]]],[2,67,397],[8,9,9],1,[1.000000000,0.6238966676,0.8997406323],<"4.2e2_67_397.5t5.1",1>,[5,5]>,<5,2^4*67^2*397^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1]],[[1],[-1],[-1],[1]]],[2,67,397],[8,9,9],1,[0,0,0],<"5.2e4_67e2_397e2.10t13.1",1>,[5,5]>,<5,2^4*67^3*397^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[0],[-1]]],[2,67,397],[8,9,9],1,[0,0,0],<"5.2e4_67e3_397e3.6t14.1",1>,[5,5]>,<6,2^4*67^3*397^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[2],[1]],[[1],[1],[-1],[-1]]],[2,67,397],[8,9,9],1,[0,0,0],<"6.2e4_67e3_397e3.20t35.1",1>,[5,5]>]
x^2-x+14133 -56531 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[75],[-74]] 2 [2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<56531,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[798952623,56531,1]>,[[-28265,-1],[28266,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[56531],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,56531,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[56531],[3],1,[1.000000000,1.308102372,0.9525482646],<"1.56531.2t1.1",1>,[2,1]>]
x^3-x^2+5*x+44 -56531 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 7 x-1 5 [[7596],[507],[-8102]] 2 [2,3,3,1,1,2,2,2,3,2,2,2,3,3,2,2,2,3,1,2,2,2,3,3,2,2,3,2,2,3,2,1,3,3,2,1,1,2,2,1,2,3,1,3,2,1,2,2,3,2,2,2,2,1,3,2,3,2,1,1,2,2,1,2,2,3,3,3,1,2,2,1,2,1,3,1,2,2,3,3,3,2,3,3,3,2,2,2,3,1,1,2,2,3,2,3,2,1,3,2,2,2,2,3,3,2,2,3,2,3,1,2,2,3,3,3,3,2,3,1,2,3,3,3,2,2,3,1,3,3,2,3,1,3,3,3,3,3,3,2,1,3,3,2,2,2,2,1,3,2,2,2,3,2,2,2,2,2,3,3,3,2,2,1,3,1,1,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<56531,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[48707126722051841647080092407064062992794882274743151751602919105686756804215397630948475049160,-53469828195393225085532093529449559814773663620066245800163289608748049321055613641039601021106,1]>,[[-53469828195393225085532093529449559814773663620066245800163289608748049321055613641039601097797,0],[53469828195393225085532093529449559814773663620066245800163289608748049321055613641039601059452,-1],[38346,1]]>*] [x,x^2-x+14133,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[56531],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,56531,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[56531],[4],1,[1.000000000,1.308102372,0.9525482646],<"notfaithful",0>,[3,2]>,<2,56531,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[56531],[4],1,[1.000000000,1.143589185,0.9629899072],<"2.56531.3t2.1",1>,[3,2]>]
x^2-x+4160 -7*2377 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-1365],[1366]] 2 [1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4172,7,1]>,[[-3,-1],[4,1]]>,<2377,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1416692,2377,1]>,[[-1188,-1],[1189,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,2377],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*2377,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,2377],[3,3],1,[1.000000000,2.532909082,1.278943830],<"1.7_2377.2t1.1",1>,[2,1]>]
x^2+6653 -2^2*6653 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[112],[-112]] 2 [1,1,2,1,2,1,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[6654,2,1]>,[[1,1],[-1,-1]]>,<6653,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[6653,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,6653],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*6653,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,6653],[3,3],1,[1.000000000,1.348059792,1.097004937],<"1.2e2_6653.2t1.1",1>,[2,1]>]
