x^2-x-7833 31333 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-102],[103]] 1 [2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<31333,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[245431389,31333,1]>,[[-15666,-1],[15667,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[31333],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,31333,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[31333],[3],1,[1.000000000,1.111199702,0.8944667316],<"1.31333.2t1.1",1>,[2,1]>]
x^6-2*x^5+4*x^3-3*x^2-4*x+5 -23^2*167 0 3 48 "C2*S4" [[5,2,6,4,1,3],[1,2,3,4,6,5],[2,5,4,6,1,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,4,1,2,6,5]>,<2,3,[3,2,1,4,6,5]>,<2,3,[3,2,1,4,5,6]>,<2,6,[5,2,6,4,1,3]>,<2,6,[3,5,1,6,2,4]>,<3,8,[2,5,4,6,1,3]>,<4,6,[6,2,5,4,1,3]>,<4,6,[6,4,5,2,1,3]>,<6,8,[6,1,5,3,2,4]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 19 x^2+18*x+2 8 [[-954911769,-5984902665],[2480666943,-641022142],[-2964497542,641022142],[4871957955,5984902665],[445402686,0],[-3878618271,0]] 6 [7,7,8,9,9,10,8,5,6,7,7,6,10,6,7,6,4,9,8,10,10,8,6,9,5,2,8,9,8,6,7,10,5,10,8,10,9,10,4,3,7,9,9,10,10,5,1,3,8,5,7,7,6,5,10,5,10,4,10,5,5,5,4,7,6,1,10,9,2,10,7,9,5,8,8,5,8,7,8,7,5,5,9,9,10,10,3,6,7,4,9,6,10,7,10,5,7,8,9,10,10,5,9,8,6,7,10,2,3,7,2,9,5,6,5,8,8,10,7,8,6,10,5,10,2,5,6,4,6,5,10,9,8,5,7,6,8,6,6,3,10,4,10,6,4,5,3,7,7,7,3,6,3,10,9,5,9,7,8,8,7,6,7,6,8,6,4,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,4*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-2*x^2-17*x+209,3>,<x^6-x^5+27*x^4+739*x^3+1065*x^2-3287*x+11309,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-3,2>,<x^6-15*x^5+139*x^4-873*x^3+3984*x^2-12220*x+16216,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,3,1,[[3,4,6,5,2,1]],[[1,2,3,4,5,6],[3,4,6,5,2,1],[6,5,1,2,4,3]],[3,4,6,5,2,1],[1,7,7],[1],[[]],20,<[],[1,1,0,1]>,[[-255180,78125,215572],[-126442,241755,-1574],[259626,95176,201349],[24504,-188726,224845],[250048,-53029,-223271],[-152554,-173301,107367]]>,<23,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,6,5,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[5,21,1]>,[[163251592459890676932747879,421175811339436695239307490],[-37045109302584605321024385,811357134334624763229684924],[1,0]]>,[[[-728370889387552883630429964,-153422184943965061950394065],[0,0]],[[777339163101127074403950200,153422184943965061950394065],[0,0]],[[37045109302584605321024401,-811357134334624763229684913],[-1,0]],[[16,11],[1,0]],[[-851128765234326189248711318,608815134225137867197147175],[35779655103331317048693482,-7776206457266742347818481]],[[765115382218167393154166667,202542000109486896032537727],[-35779655103331317048693482,7776206457266742347818481]]]>,<167,4,2,[[1,2,3,4,6,5],[1,3,2,4,5,6]],[[1,2,3,4,5,6],[1,3,2,4,5,6],[1,2,3,4,6,5],[1,3,2,4,6,5]],[1,3,2,4,5,6],[1,4,4,3],[1],[[[1,2,3,4,6,5]]],20,<<[],[5,166,1]>,[[-113597386121053650903521426042665599815215204,0],[8809144571658212115765022410128060396102521,0],[1,0]]>,[[[-4104593166466698674746014722788985527315864,0],[0,0]],[[121285764194429057452477355138750437893810211,-40754119564741757705003581305315417055915452],[0,0]],[[54582766245507967539688018064180731189720819,40754119564741757705003581305315417055915452],[0,0]],[[121707159202190088670986657003191249255972694,0],[0,0]],[[-8809144571658212115765022410128060396102389,0],[-1,0]],[[132,0],[1,0]]]>*] [x,x^2-x+42,x^2-x+6,x^2-x-960,x^6-2*x^5+85*x^4-460*x^3+2140*x^2-15792*x-1658537,x^3-x^2+1,x^4-x^3-16*x^2+29*x+6,0,0,x^4-x^3-16*x^2+29*x+6] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,23,167],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,167,1,[[1],[-1],[1],[-1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,23,167],[1,2,11],1,[1.000000000,2.674141121,1.471486590],<"notfaithful",0>,[6,11]>,<1,23,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,23,167],[1,11,1],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[6,11]>,<1,23*167,1,[[1],[-1],[1],[-1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,23,167],[1,11,11],1,[1.000000000,2.940725084,1.515128149],<"notfaithful",0>,[6,11]>,<2,23*167^2,1,[[2],[-2],[2],[-2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1],[1]],[[1]]],[2,23,167],[7,11,12],1,[1.000000000,0.4204499666,0.6808263236],<"notfaithful",0>,[6,11]>,<2,23,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,23,167],[7,11,1],1,[1.000000000,0.3684093207,0.6747996946],<"notfaithful",0>,[6,11]>,<3,23*167^2,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-2],[1]],[[1],[1]]],[2,23,167],[7,11,12],1,[1.000000000,0.8410474343,0.9525850769],<"notfaithful",0>,[6,11]>,<3,23^2*167,1,[[3],[-3],[-1],[1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[-1]]],[2,23,167],[7,11,12],1,[1.000000000,1.051408043,0.9981796419],<"3.23e2_167.6t11.1",1>,[6,11]>,<3,23*167,1,[[3],[-3],[-1],[1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[2],[1]],[[1],[0],[-1]]],[2,23,167],[7,11,12],1,[1.000000000,1.075663235,1.028753652],<"3.23_167.6t11.1",1>,[6,11]>,<3,23^2*167^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]]],[2,23,167],[7,11,12],1,[0,0,0],<"notfaithful",0>,[6,11]>]
x^3-21*x-65 -3^3*317 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 5 x-1 5 [[-15],[-1194],[1209]] 2 [3,1,1,3,2,2,1,2,2,1,1,3,3,3,3,2,2,3,1,3,3,3,2,2,2,2,1,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,3,3,3,2,2,3,2,2,1,1,2,2,2,2,1,2,1,2,3,2,3,2,3,1,2,2,3,2,2,2,2,2,2,2,3,2,3,1,3,3,3,2,2,3,3,2,2,2,2,3,2,3,1,2,3,2,2,2,1,2,3,2,3,3,1,1,1,2,2,2,3,3,2,2,3,1,3,2,2,3,2,2,1,2,2,2,2,3,1,3,2,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,3,2,2,2,3,3,1,2,3,3,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,6,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,2,3],[1,2,3],[1,2],[[[2,3,1],[1,3,2]],[[2,3,1]]],20,<[],[-445203372,534918348,-1516995957,1260268938,390371310,-417745173,1]>,[[95998706,-569398470,381985983,32376543,328594028,67664460],[459465809,-392609439,61166130,209093679,12518738,113632757],[-555464515,-200253558,331688865,145950267,46307723,206123272]]>,<317,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-34908046675404063094113474514963551992597831598948,41757486410701617534192597859518805597716477300951,1]>,[[41757486410701617534192597859518805597716477300915,0],[-41757486410701617534192597859518805597716477300933,-1],[18,1]]>*] [x,x^2-x+238,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,317],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*317,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,317],[4,4],1,[1.000000000,2.648701163,1.402093824],<"notfaithful",0>,[3,2]>,<2,3^3*317,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,317],[4,5],1,[1.000000000,0.8681187115,0.8169736706],<"2.3e3_317.3t2.1",1>,[3,2]>]
x^2-x+12113 -13*3727 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-503],[504]] 2 [2,2,1,2,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<13,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[12155,13,1]>,[[-6,-1],[7,1]]>,<3727,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[3484745,3727,1]>,[[-1863,-1],[1864,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[13,3727],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,13*3727,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[13,3727],[3,3],1,[1.000000000,0.5138081644,0.7390211201],<"1.13_3727.2t1.1",1>,[2,1]>]
x^3-x^2-14*x+92 -13*3727 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 17 x-1 5 [[173895],[-358119],[184225]] 2 [2,2,3,2,3,1,1,2,2,2,1,2,2,3,1,3,2,2,2,2,2,3,3,2,1,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,3,2,2,1,3,3,3,3,3,1,2,2,2,3,3,2,2,3,3,2,2,2,3,1,2,2,2,3,1,2,2,2,3,2,2,3,2,2,3,2,1,3,2,2,1,2,2,2,1,3,3,3,2,2,2,2,2,3,3,1,3,2,3,3,2,2,2,2,3,2,2,2,3,2,2,2,1,3,2,2,2,1,2,3,2,1,2,1,2,3,3,3,3,1,3,2,3,2,1,3,2,3,2,2,2,3,2,3,1,3,3,2,2,2,3,2,2,2,1,1,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[1,1,1]>,[[122919,0],[-187308,-251698],[64390,251698]]>,<13,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-8400267508038108599078,-329936704290632578789,1]>,[[-329936704290632578790,0],[329936704290632578790,-1],[1,1]]>,<3727,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-12864026830247685941545826865513829208127509653493454293619940562639069,105316390355273146507999991714520882022860451907558238178809173405212629,1]>,[[105316390355273146507999991714520882022860451907558238178809173405208104,0],[-105316390355273146507999991714520882022860451907558238178809173405210366,-1],[2263,1]]>*] [x,x^2-x+12113,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,3727],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,13*3727,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,13,3727],[2,4,4],1,[1.000000000,0.5138081644,0.7390211201],<"notfaithful",0>,[3,2]>,<2,13*3727,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,13,3727],[2,4,4],1,[1.000000000,1.392664188,1.043856700],<"2.13_3727.3t2.1",1>,[3,2]>]
x^2+4633 -2^2*41*113 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[-2414],[2414]] 2 [1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[4634,2,1]>,[[1,1],[-1,-1]]>,<41,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4633,0,1]>,[[0,-1],[0,1]]>,<113,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4633,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,41,113],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*41*113,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,41,113],[3,3,3],1,[1.000000000,0.7384799444,0.8867526102],<"1.2e2_41_113.2t1.1",1>,[2,1]>]
