x^2-367 2^2*367 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-104],[104]] 1 [1,1,2,2,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-366,2,1]>,[[1,1],[-1,-1]]>,<367,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-367,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,367],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*367,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,367],[3,3],1,[1.000000000,1.271681029,1.072491867],<"1.2e2t367.2.1.2t1.1",1>,[2,1]>]
x^6-x^5-3*x^3-2*x^2+x-1 2^4*22531 2 2 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 71 x^2+69*x+7 5 [[741468665,-290072867],[557788445,0],[457792650,0],[69244991,-299267655],[-894255724,290072867],[872190325,299267655]] 4 [2,7,9,10,7,10,11,5,11,10,7,10,10,8,9,9,10,9,6,4,11,7,9,8,9,11,8,6,8,7,9,10,7,5,10,9,11,11,8,9,7,7,9,9,11,8,8,7,11,11,11,8,7,5,11,9,4,10,10,10,6,8,10,7,10,9,8,9,9,8,6,9,9,8,5,9,8,8,10,9,7,10,9,10,7,10,4,10,7,10,3,4,9,11,11,2,10,4,9,11,10,11,6,7,10,10,9,11,8,9,9,11,10,4,5,10,9,7,7,4,11,9,10,4,7,10,9,9,9,7,6,9,7,8,10,11,8,8,10,4,9,11,10,8,8,8,11,11,11,6,6,8,2,10,10,10,8,9,8,7,9,9,9,9,9,9,6,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<2,8,4,[[1,2,3,4,6,5],[4,5,6,1,2,3]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[4,5,6,1,2,3],[1,3,2,4,5,6],[4,6,5,1,2,3]],[4,5,6,1,2,3],[1,4,2,3,7],[2],[[[1,2,3,4,6,5],[1,3,2,4,6,5]]],20,<<[],[1,1,1]>,[[27662,282558],[515316,-62820],[-347232,448860],[281362,509022],[1,0]]>,[[[-260798,-224975],[0,0],[0,0],[0,0]],[[-42584,-28115],[-6526,128148],[154534,57733],[59128,131699]],[[-206982,-243351],[6526,-128148],[107610,204411],[203016,130445]],[[-35823,224975],[0,0],[0,0],[0,0]],[[-142269,-261905],[-77272,-130958],[260599,98958],[19701,77457]],[[164169,9083],[77272,130958],[1545,163186],[242443,184687]]]>,<22531,6,2,[[1,2,3,4,6,5],[1,3,4,2,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,3,4,2,5,6],[1,4,2,3,5,6],[1,3,4,2,6,5],[1,4,2,3,6,5]],[1,3,4,2,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[22529,4,0,1]>,[[-231016482751021029955287428067087163928186884161718784402135741187587370708593586989634,0,0],[488167866074610066283323894277341694571947378518142619607618016807447924074241369423862,0,0],[1,0,0]]>,[[[-203242467781838414633634699839473594563966999023477735789482265566313813267263805764495,0,0],[0,0,0]],[[127682676825704126846933739305032300884162899786990156877043184286225379422466983407761,-252116770241237484428838897973670125771247017345855365311986559116724843681285302896109,387681380216748775120301649966736479710292875430427766304284798030101641525805918901985],[0,0,0]],[[235359411007357823460501135072831608451793417310833520050631546560637915658265569377821,144756083472348604857269031392458972012035296901660230605227144928274208115764588853930,-140242068650685472206039005942940483979473794102142975038994418409643445932528207385043],[0,0,0]],[[328368246023386530609523719738951379799958060443796678469425551526898442260772622376624,107360686768888879571569866581211153759211720444195134706759414188450635565520714042179,-247439311566063302914262644023795995730819081328284791265290379620458195593277711516942],[0,0,0]],[[-488167866074610066283323894277341694571947378518142619607618016807447924074241369410786,0,0],[-1,0,0]],[[13076,0,0],[1,0,0]]]>*] [x,x^2-22531,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,22531],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,2^2*22531,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,22531],[12,12],1,[1.000000000,1.615008580,1.147363769],<"notfaithful",0>,[6,16]>,<5,2^4*22531,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[0],[-1],[1]]],[2,22531],[12,13],1,[1.000000000,0.4314083618,0.7378585473],<"5.2e4t22531.720.1.6t16.1",1>,[6,16]>,<5,2^6*22531^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[2],[1]],[[1],[0],[0],[-1]]],[2,22531],[12,13],1,[0,0,0],<"5.2e6t22531e2.720.1.12t183.1",1>,[6,16]>,<5,2^10*22531^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1]],[[1],[-1]]],[2,22531],[12,13],1,[0,0,0],<"5.2e10t22531e4.720.1.12t183.1",1>,[6,16]>,<5,2^8*22531^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[1],[1]]],[2,22531],[12,13],1,[0,0,0],<"5.2e8t22531e3.720.1.6t16.1",1>,[6,16]>,<9,2^10*22531^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[0],[-2],[0],[0],[1]]],[2,22531],[12,13],1,[0,0,0],<"9.2e10t22531e3.720.1.10t32.1",1>,[6,16]>,<9,2^16*22531^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[1]],[[1],[0],[0],[-1]]],[2,22531],[12,13],1,[0,0,0],<"9.2e16t22531e6.720.1.20t145.1",1>,[6,16]>,<10,2^18*22531^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[-1]],[[1],[-1],[0],[-1],[1]]],[2,22531],[12,13],1,[0,0,0],<"10.2e18t22531e6.720.1.30t176.1",1>,[6,16]>,<10,2^14*22531^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-2],[0],[0],[1]]],[2,22531],[12,13],1,[0,0,0],<"10.2e14t22531e4.720.1.30t176.1",1>,[6,16]>,<16,2^24*22531^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]]],[2,22531],[12,13],1,[0,0,0],<"16.2e24t22531e8.720.1.36t1252.1",1>,[6,16]>]
x^6-x^5+35*x^4-333*x^3+3500*x^2-14422*x+411874 -2^4*7^3*11^3*19^3 0 3 12 "D12" [[2,1,6,4,5,3],[3,6,1,5,4,2],[1,4,3,2,6,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,6,1,5,4,2]>,<2,3,[2,1,6,4,5,3]>,<2,3,[6,3,2,5,4,1]>,<3,2,[4,1,5,2,6,3]>,<6,2,[5,3,4,6,2,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 17 x^2+16*x+3 11 [[-6376238349450,-12614899749076],[-10169220210032,12614899749076],[15323430107709,-4708073502854],[-7947948856381,0],[-12938836229952,0],[-12163082769526,4708073502854]] 4 [3,5,6,3,1,4,3,3,5,3,5,6,4,4,2,2,5,3,6,6,3,3,3,5,5,3,1,3,3,6,3,3,5,3,4,3,6,1,4,4,6,5,5,3,4,2,3,5,4,6,4,4,4,6,1,4,1,3,4,3,3,4,4,2,6,6,6,3,4,3,6,4,6,3,6,5,5,2,2,4,2,2,3,5,4,5,6,4,3,5,6,3,6,4,1,3,5,5,4,4,3,4,4,3,4,6,2,3,2,4,4,4,1,6,5,6,6,6,5,3,5,3,4,2,6,4,5,6,6,3,4,3,6,1,3,3,1,4,5,4,4,4,5,3,5,5,3,4,6,2,3,6,1,4,2,2,4,2,3,4,5,3,4,5,6,5,2,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,3*],[*[2,2,2],"RES",<[1],x^2>,[<x+302,2>,<x^3+766*x^2+171644*x+7147096,4>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[2,3,1,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[2,3,1,5,6,4]],[1,3,2,4,6,5],[1,3,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[-21034,0],[444044,0],[-444210,0],[1,0]]>,[[[0,0],[1,0],[0,0]],[[93222,-257766],[425152,326017],[283632,42976]],[[350988,257766],[99135,198271],[240656,481312]],[[-406905,0],[61487,0],[110281,0]],[[167681,372666],[386668,310535],[18311,146903]],[[-204985,-372666],[76133,213753],[395696,377385]]]>,<7,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,3,4],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,6,1]>,[[25063442470696749,0],[10045219739788324,0],[1,0]]>,[[[-10045219739788319,0],[-1,0]],[[5,0],[1,0]],[[-4479638403348845,28221806055490043],[1301599085342878,-3140152792412617]],[[7660240774309856,-15537097505532425],[-1301599085342878,3140152792412617]],[[-14225942141065101,-28221806055490043],[-2655274530927706,3140152792412617]],[[21090559509892405,15537097505532425],[2655274530927706,-3140152792412617]]]>,<11,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[2,1,4,3,6,5]]],20,<[],[266018893944904704681,94437357163512632148,1]>,[[-94437357163512632138,-1],[10,1],[-323178773461580433008,25249324936965742314],[-269166365103737955575,-25249324936965742314],[205335205144289713276,784955184880419989],[-191302704348018701765,-784955184880419989]]>,<19,4,2,[[2,1,4,3,6,5],[3,4,1,2,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[3,4,1,2,5,6],[4,3,2,1,6,5]],[3,4,1,2,5,6],[1,2,3,4],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,18,1]>,[[16789690835242171876222931,0],[10616832460495159184275503,0],[1,0]]>,[[[4094943494858402014246686,-15615015798285087603687268],[875832975395152275793064,-932158062908117166065849]],[[-7267825609150289465665672,-6210669271967052175238814],[-875832975395152275793064,932158062908117166065849]],[[-15554559796377686666227298,15615015798285087603687268],[-151098793201561037137465,932158062908117166065849]],[[-8245699086381224891433823,6210669271967052175238814],[151098793201561037137465,-932158062908117166065849]],[[-10616832460495159184275498,0],[-1,0]],[[5,0],[1,0]]]>,<148171,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[6127956718284385894010449341939885184861308709865999804190567084467551566918621350078574840389095076749,-9600340917238680663149176149235484676895639510072133362786297029012533914839967654789899647314478791392,5247601889423350162937130886980062260620376027335798438822543091362691606419944017818513846821961701418,3743879003015345212559626212422113325959343813767778762726385718958679622125333457381160899862103873228,-22144288904331310977918281054619119191966845941456148926103192420775099757824476630493066535078887,86187917759648053513893902548254831472221072514164265294213805367429780325766845627736033469224477]>,<574859,2,1,[[4,3,2,1,6,5]],[[1,2,3,4,5,6],[4,3,2,1,6,5]],[4,3,2,1,6,5],[1,4],[1],[[]],20,<[],[1,0,1]>,[[644028909917832917564279175670748921312925270047906997176107908300676490546306435987098605648649297010665654052684,2720877701672946292906748872862774390646588886696148868628471900220257358367461777483983161678043332412833846639064],[-2823052428218136675226723314038799005472691278615963298461259951768270333104884920414911333517324602216806261018111,-7663123015745361145423192863157351060071764535712586713984133921405791593490803474958067480626266765009356082235919],[-2823052428218136675226723314038799005472691278615963298461259951768270333104884920414911333517324602216806261018111,7663123015745361145423192863157351060071764535712586713984133921405791593490803474958067480626266765009356082235919],[644028909917832917564279175670748921312925270047906997176107908300676490546306435987098605648649297010665654052684,-2720877701672946292906748872862774390646588886696148868628471900220257358367461777483983161678043332412833846639064],[1289674492039592022644317033530692112237063177918198036209445457773620704045478426199610763742681925356177186,9397765805050019512936126259576582929223325665777492257409591511037506936361573770237808653711872002104377950],[1289674492039592022644317033530692112237063177918198036209445457773620704045478426199610763742681925356177186,-9397765805050019512936126259576582929223325665777492257409591511037506936361573770237808653711872002104377950]]>*] [x,x^2-x+3,x^2-x-33,x^2-x+366,x^3-x^2+x+1,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,11,19,148171,574859],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,11,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,7,11,19,148171,574859],[3,3,7,3,1,3],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[6,3]>,<1,7*19,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,11,19,148171,574859],[2,7,1,7,1,1],1,[1.000000000,0.8936883088,0.8751070696],<"notfaithful",0>,[6,3]>,<1,7*11*19,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,11,19,148171,574859],[1,7,7,7,1,2],1,[1.000000000,2.628316660,1.442577862],<"notfaithful",0>,[6,3]>,<2,2^2*11,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,7,11,19,148171,574859],[7,3,8,3,1,3],1,[1.000000000,0.5772184495,0.8595438191],<"notfaithful",0>,[6,3]>,<2,2^2*7^2*11*19^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[2,7,11,19,148171,574859],[7,7,8,7,1,3],1,[1.000000000,0.8351777918,0.9300418225],<"2.2e2t7e2t11t19e2.12.1.6t3.1",1>,[6,3]>]
