x^2-x-7633 19*1607 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 13 x-1 5 [[138816],[-138815]] 1 [2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-7543,19,1]>,[[-9,-1],[10,1]]>,<1607,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[637979,1607,1]>,[[-803,-1],[804,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[19,1607],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,19*1607,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[19,1607],[3,3],1,[1.000000000,0.3213483305,0.6780210959],<"1.19_1607.2t1.1",1>,[2,1]>]
x^5-x^4+x^3-x^2+x-2 19*1607 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 73 x^2+70*x+5 5 [[-390670464,-506260723],[-155675233,798790516],[-194636935,506260723],[839060975,0],[-98078342,-798790516]] 3 [5,7,5,5,7,6,4,2,6,6,7,7,5,5,5,5,7,7,7,6,3,5,7,5,4,3,5,2,2,7,7,7,4,7,7,4,6,5,7,3,2,3,5,5,7,3,5,5,2,4,7,4,5,7,4,6,4,5,3,5,3,4,5,2,5,6,4,5,5,5,7,4,6,7,3,3,2,6,4,4,6,7,4,4,4,6,4,7,6,2,5,3,3,5,5,7,2,5,7,3,2,6,7,7,4,6,6,5,5,7,2,5,7,5,6,7,5,4,5,6,6,5,7,4,7,1,6,5,7,4,6,4,6,5,6,7,5,5,2,7,6,6,5,4,5,6,7,7,6,6,7,7,4,5,7,7,3,2,6,4,5,4,3,4,4,7,4,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<19,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,18,1]>,[[-18054920291903174248628547,0],[-4215458943371954609275190,0],[1,0]]>,[[[-13200742989956658495256119,10384084600959427702850555],[0,0]],[[-16440290891464688127586585,0],[0,0]],[[-12164398519496566179788104,-10384084600959427702850555],[0,0]],[[4215458943371954609275199,0],[-1,0]],[[9,0],[1,0]]]>,<1607,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[1602,3,0,1]>,[[-6498724389710597927217998316707157255925239557483925946229054724,0,0],[-4746958332974704759160612534389404984391892747894043645704473237,0,0],[1,0,0]]>,[[[-382908857770445992823353254826972571482904416049739768642686296,223351021009331024949528532499601342546780826875339522890847893,-3797697830107137317192210760759024794054843494399105212274526836],[0,0,0]],[[-995857352154975200059088882091029888578302381821965169475259893,4086750381983153087500016706391992145777964686123162002643676407,2491932607777145750150875759224605555965517639249645990665080366],[0,0,0]],[[-3368192123049283566278170397471402524330685950022338707586527685,-4310101402992484112449545238891593488324745512998501525534524300,1305765222329991567041335001534419238089325855149459221609446470],[0,0,0]],[[4746958332974704759160612534389404984391892747894043645704473556,0,0],[-1,0,0]],[[319,0,0],[1,0,0]]]>*] [x,x^2-x-7633,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[19,1607],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,19*1607,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[19,1607],[8,8],1,[1.000000000,0.3213483305,0.6780210959],<"notfaithful",0>,[5,5]>,<4,19^3*1607^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[1]],[[1],[-1]]],[19,1607],[8,9],1,[0,0,0],<"4.19e3_1607e3.10t12.1",1>,[5,5]>,<4,19*1607,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[19,1607],[8,9],1,[1.000000000,0.6591267425,0.8925467475],<"4.19_1607.5t5.1",1>,[5,5]>,<5,19^2*1607^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[19,1607],[8,9],1,[0,0,0],<"5.19e2_1607e2.10t13.1",1>,[5,5]>,<5,19^3*1607^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[1],[1]]],[19,1607],[8,9],1,[0,0,0],<"5.19e3_1607e3.6t14.1",1>,[5,5]>,<6,19^3*1607^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[19,1607],[8,9],1,[0,0,0],<"6.19e3_1607e3.20t35.1",1>,[5,5]>]
x^5-2*x^4+4*x^3-6*x^2+4*x-2 2^4*5*257 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 31 x^2+29*x+3 5 [[1727453,0],[8208891,-7192989],[-11457133,10977388],[13748427,-10977388],[-12227636,7192989]] 3 [5,6,4,4,6,5,7,5,7,4,3,3,5,6,4,6,3,6,7,5,7,4,3,3,3,7,3,4,5,7,4,2,5,6,2,5,5,6,4,7,7,7,5,2,2,6,4,5,2,5,3,3,4,5,2,4,7,7,6,5,5,5,2,7,6,7,5,6,4,6,4,7,6,5,4,6,5,7,6,7,6,2,2,7,5,3,5,7,7,6,6,3,4,3,4,7,5,5,2,5,6,4,5,7,6,6,7,5,5,5,6,5,6,7,4,5,5,5,5,5,5,5,6,5,2,6,3,4,5,4,6,3,7,3,2,6,2,7,5,7,7,6,7,4,4,6,6,6,6,5,6,7,3,5,5,6,7,4,4,5,5,4,7,6,4,3,5,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,20,5,[[2,3,4,5,1],[1,3,5,2,4]],[[1,2,3,4,5],[3,2,1,5,4],[4,2,5,3,1],[5,2,4,1,3],[2,3,4,5,1]],[1,3,5,2,4],[1,3,5,5,6],[1],[[[2,3,4,5,1]]],20,<<[],[1,1,0,0,1]>,[[-2,0,0,0],[4,0,0,0],[-6,0,0,0],[4,0,0,0],[-2,0,0,0],[1,0,0,0]]>,[[[0,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-404442,380122,500016,159794],[361150,92794,149968,306771],[477344,215924,459020,461696],[80692,163053,249376,282352],[190494,427500,301798,253992]],[[310438,-227028,-471588,-285134],[295184,75620,257343,393579],[145308,179180,45676,193744],[197194,388854,293907,437688],[467592,188754,352028,99168]],[[107472,440222,172266,-206230],[61446,441657,192172,256691],[523228,448516,153380,348112],[408091,345012,510931,194596],[235138,334978,355376,488280]],[[-13466,455260,-200694,331570],[330795,438505,449093,91535],[426984,204956,390500,45024],[362599,151657,518650,133940],[155352,97344,39374,207136]]]>,<5,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[3,3,0,1]>,[[-24572789643290,0,0],[-24338827660405,0,0],[1,0,0]]>,[[[1446339335974,3782359255680,20674212884826],[0,0,0]],[[-40199619560948,-38344990230293,-148766563635],[0,0,0]],[[14414452564565,34562630974613,-20525446321191],[0,0,0]],[[24338827660408,0,0],[-1,0,0]],[[3,0,0],[1,0,0]]]>,<257,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[3,251,1]>,[[-380891987085545743230686346326676443023209609751,0],[-355455708587809038272590365115438861521691740725,0],[1,0]]>,[[[542792798182087899733938244613803774025310320488,-103164211938543504420137256834461011240814468927],[0,0]],[[-474925780581014366525678955731117317578106898557,0],[0,0]],[[-423322726188882571480849653998125317968895162852,103164211938543504420137256834461011240814468927],[0,0]],[[355455708587809038272590365115438861521691740824,0],[-1,0]],[[99,0],[1,0]]]>*] [x,x^2-x-321,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,257],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,5*257,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,257],[2,8,8],1,[1.000000000,1.134316172,0.9170411477],<"notfaithful",0>,[5,5]>,<4,2^4*5^3*257^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[-1]],[[1],[1]]],[2,5,257],[8,9,10],1,[0,0,0],<"4.2e4_5e3_257e3.10t12.1",1>,[5,5]>,<4,2^4*5*257,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,5,257],[8,9,10],1,[1.000000000,0.6433802132,0.8955021391],<"4.2e4_5_257.5t5.1",1>,[5,5]>,<5,2^4*5^2*257^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,5,257],[8,9,10],1,[0,0,0],<"5.2e4_5e2_257e2.10t13.1",1>,[5,5]>,<5,2^4*5^3*257^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[1],[1]],[[1],[0],[-1]]],[2,5,257],[8,9,10],1,[0,0,0],<"5.2e4_5e3_257e3.6t14.1",1>,[5,5]>,<6,2^4*5^3*257^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[1]],[[1],[0],[0],[-1]],[[1],[1],[-1],[-1]]],[2,5,257],[8,9,10],1,[0,0,0],<"6.2e4_5e3_257e3.20t35.1",1>,[5,5]>]
x^6-6*x^4-2*x^3+14*x^2-x-7 23^2*661 2 2 48 "C2*S4" [[3,6,4,1,2,5],[1,2,4,3,6,5],[1,2,6,4,5,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[2,1,6,5,4,3]>,<2,3,[2,1,3,4,5,6]>,<2,3,[2,1,6,4,5,3]>,<2,6,[1,2,4,3,6,5]>,<2,6,[2,1,4,3,6,5]>,<3,8,[3,6,4,1,2,5]>,<4,6,[6,3,1,4,5,2]>,<4,6,[5,4,6,1,2,3]>,<6,8,[6,3,4,1,2,5]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 59 x^2+58*x+2 8 [[-23053535041127,-34787943390811],[-60978944834583,34787943390811],[-21971400012505,0],[-36079989354444,-66272127356652],[-9887980380974,66272127356652],[5141412019312,0]] 5 [10,7,5,8,9,10,9,6,3,7,7,6,7,9,7,9,4,8,6,10,7,6,8,6,5,3,8,9,9,6,7,10,6,10,8,10,5,7,2,1,7,6,8,10,7,5,3,3,9,5,7,7,8,8,10,8,10,4,10,8,9,6,3,7,5,2,10,9,2,7,10,9,6,8,6,5,9,10,6,10,8,9,9,6,7,10,1,5,10,3,8,8,10,10,10,5,7,8,9,10,7,5,8,8,8,10,7,4,3,7,3,5,5,9,8,5,6,7,10,6,5,7,9,10,2,8,5,3,6,6,7,6,6,8,7,5,6,5,8,2,10,3,10,9,4,5,1,7,10,7,3,5,4,7,6,6,6,10,6,9,7,9,10,8,6,8,3,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-4*x^2+27*x-629,4>,<x^6-7*x^5+53*x^4-837*x^3+3374*x^2-21256*x-93560,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x+1,2>,<x^6+7*x^5-75*x^4-15*x^3+1021*x^2+1485*x+1,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<23,4,2,[[1,2,4,3,6,5],[2,1,3,4,5,6]],[[1,2,3,4,5,6],[2,1,3,4,5,6],[1,2,4,3,6,5],[2,1,4,3,6,5]],[2,1,3,4,5,6],[1,3,5,6],[1],[[[1,2,4,3,6,5]]],20,<<[],[5,21,1]>,[[264306169450514546323032810,0],[-515982780573917230575543350,0],[1,0]]>,[[[303132643539695392887989987,-436177244568303233999612049],[0,0]],[[-834080208533454750663528190,436177244568303233999612049],[0,0]],[[515982780573917230575543356,0],[-1,0]],[[6,0],[1,0]],[[25480541180201983232122605,0],[808932258456188946047824,0]],[[-10515756760359856032127764,0],[-808932258456188946047824,0]]]>,<661,4,2,[[1,2,3,4,6,5],[3,4,1,2,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5]],[3,4,1,2,5,6],[1,5,3,6],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,660,1]>,[[12699108674435375147759701998685276947419934858541068695,0],[-52990414943063345454143454764328596905408430893557798916,0],[1,0]]>,[[[-48625029514460343175117325172859738732112023893427577996,8968805051641350066325148475949638777300974345298822639],[0,0]],[[-59923086273784761285530196901751045253524936191135913066,-49935889143253933964665435366575875443945694056255213254],[0,0]],[[116681300665843747262534739212474493665014610840817093088,-8968805051641350066325148475949638777300974345298822639],[0,0]],[[-61123599820661988256030671902192306584786081649811401556,49935889143253933964665435366575875443945694056255213254],[0,0]],[[52990414943063345454143454764328596905408430893557799223,0],[-1,0]],[[307,0],[1,0]]]>*] [x,x^2-x+3801,x^2-x+6,x^2-x-165,x^6-2*x^5-329*x^4+1817*x^3+25738*x^2-245355*x+104028211,x^3-x^2+1,x^4-x^3-29*x^2-68*x-3,0,0,x^4-x^3-29*x^2-68*x-3] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[23,661],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,23*661,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[23,661],[11,11],1,[1.000000000,0.9682083451,0.8740077780],<"notfaithful",0>,[6,11]>,<1,23,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[23,661],[11,5],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[6,11]>,<1,661,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[23,661],[2,11],1,[1.000000000,1.119993252,0.9222487053],<"notfaithful",0>,[6,11]>,<2,23*661^2,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1],[1]],[[1]]],[23,661],[11,12],1,[0,0,0],<"notfaithful",0>,[6,11]>,<2,23,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[23,661],[11,5],1,[1.000000000,0.3684093207,0.6747996946],<"notfaithful",0>,[6,11]>,<3,23*661^2,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[0],[-1]],[[1],[-1]]],[23,661],[11,12],1,[0,0,0],<"notfaithful",0>,[6,11]>,<3,23*661,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[0],[-1]]],[23,661],[11,11],1,[1.000000000,1.032811605,1.032612763],<"3.23_661.6t11.1",1>,[6,11]>,<3,23^2*661,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[0],[-1]]],[23,661],[11,12],1,[1.000000000,0.9249326070,0.9469352599],<"3.23e2_661.6t11.1",1>,[6,11]>,<3,23^2*661^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]]],[23,661],[11,11],1,[0,0,0],<"notfaithful",0>,[6,11]>]
