x^2-x-165 661 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-48],[49]] 1 [2,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<661,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[109065,661,1]>,[[-330,-1],[331,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[661],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,661,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[661],[3],1,[1.000000000,1.119993252,0.9222487053],<"1.661.2t1.1",1>,[2,1]>]
x^5-x^4-x^3+4*x^2-x-1 -3^3*1453 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 173 x-1 5 [[15927299847],[-41514679549],[54130821749],[-77427997183],[48884555137]] 2 [6,2,6,4,7,6,5,6,5,3,7,4,7,5,6,6,3,2,7,4,5,6,6,6,6,6,7,7,4,2,7,7,6,4,2,4,6,5,4,1,6,4,4,5,3,7,5,3,4,7,7,4,7,5,5,5,4,6,7,4,3,3,6,2,5,4,2,5,4,4,5,5,7,3,4,2,6,5,5,7,5,4,5,5,5,4,7,7,7,6,7,7,5,6,4,3,6,2,5,3,7,4,3,5,5,5,5,5,7,5,3,3,7,7,6,3,4,5,3,5,5,7,6,5,3,6,4,7,5,7,2,6,5,3,6,4,7,5,5,7,5,6,4,7,6,3,7,5,7,6,6,2,4,3,5,6,6,5,5,3,6,4,7,5,5,6,7,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<3,12,6,[[1,2,5,3,4],[1,2,3,5,4],[2,1,3,4,5]],[[1,2,3,4,5],[2,1,3,4,5],[1,2,3,5,4],[2,1,3,5,4],[1,2,5,3,4],[2,1,5,3,4]],[2,1,3,4,5],[1,2,2,3,4,7],[1,2],[[[1,2,5,3,4],[1,2,3,5,4]],[[1,2,5,3,4]]],20,<<[],[2,2,1]>,[[1003743006,0],[-475555383,0],[-1286133627,0],[-617413482,0],[-99162465,0],[711415779,0],[1,0]]>,[[[-1516841433,-775413842],[0,0],[0,0],[0,0],[0,0],[0,0]],[[33986251,775413842],[0,0],[0,0],[0,0],[0,0],[0,0]],[[-147044806,0],[-7415370,0],[343620971,0],[-178987602,0],[-394449681,0],[126850871,0]],[[418120415,0],[378774018,0],[191787233,0],[536754929,0],[111051888,0],[-67718542,0]],[[49518107,0],[-371358648,0],[-535408204,0],[-357767327,0],[283397793,0],[-59132329,0]]]>,<1453,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,1449,1]>,[[108546499929681651070626859038325455770909546269486547737658167,0],[-820489109523304428108046316670356650375151977590621549058462540,0],[1,0]]>,[[[-871285373441925870899264714099036807094009878003454565187882786,0],[0,0]],[[-22007177189957611246397355574062967773190821518035345550156354,-868125827108788157149114990590279018287030186760751472721909384],[0,0]],[[72803441108579054037615753002743124492048721930868361679574347,868125827108788157149114990590279018287030186760751472721909384],[0,0]],[[820489109523304428108046316670356650375151977590621549058463667,0],[-1,0]],[[1127,0],[1,0]]]>*] [x,x^2-x+1090,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,1453],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,3*1453,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,1453],[8,8],1,[1.000000000,2.855010360,1.412149851],<"notfaithful",0>,[5,5]>,<4,3^5*1453^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[1]]],[3,1453],[8,9],1,[0,0,0],<"4.3e5_1453e3.10t12.1",1>,[5,5]>,<4,3^3*1453,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[-1],[-1],[1]]],[3,1453],[8,9],1,[1.000000000,0.4084173376,0.7312140628],<"4.3e3_1453.5t5.1",1>,[5,5]>,<5,3^6*1453^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1]],[[1],[-1],[-1],[1]]],[3,1453],[8,9],1,[0,0,0],<"5.3e6_1453e2.10t13.1",1>,[5,5]>,<5,3^7*1453^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1]],[[1],[0],[-1]]],[3,1453],[8,9],1,[0,0,0],<"5.3e7_1453e3.6t14.1",1>,[5,5]>,<6,3^7*1453^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[1]],[[1],[1],[-1],[-1]]],[3,1453],[8,9],1,[0,0,0],<"6.3e7_1453e3.20t35.1",1>,[5,5]>]
x^6-3*x^5+15*x^4-3*x^3+27*x^2-279*x+306 -3^7*5^3*11^4 0 3 12 "D12" [[1,3,2,4,6,5],[4,6,5,1,3,2],[2,1,6,5,4,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,6,5,1,3,2]>,<2,3,[1,3,2,4,6,5]>,<3,2,[5,3,4,2,6,1]>,<6,2,[3,1,5,6,4,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 17 x^2+16*x+3 8 [[-2941188462,0],[-2188173072,-1514688635],[1119572765,1514688635],[2990748879,0],[-1144352972,-1514688635],[2163392865,1514688635]] 3 [4,4,4,6,3,6,4,1,4,3,5,2,3,2,4,4,3,1,6,3,6,5,4,3,6,3,6,4,5,4,6,3,4,5,3,5,6,6,4,4,3,5,3,2,4,1,1,6,4,1,4,3,5,3,4,4,3,5,6,3,6,4,6,3,6,4,5,2,4,1,4,3,6,6,5,4,3,6,3,1,3,5,3,6,5,4,3,2,3,6,4,3,6,3,5,4,3,3,2,5,6,4,4,3,5,2,4,4,3,5,6,6,4,5,5,3,6,4,4,3,5,6,4,4,5,3,5,3,2,2,5,4,5,6,3,5,4,6,4,3,5,3,2,4,1,3,6,4,1,4,2,3,6,4,2,3,5,3,6,3,4,4,2,3,4,4,5,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+54,2>,<x^3-36*x^2+432*x-27864,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,1,[[1,2,6,5,4,3]],[[1,2,3,4,5,6],[1,2,6,5,4,3]],[1,2,6,5,4,3],[1,4],[1],[[]],20,<[],[1,1,1]>,[[210586,0],[324033,0],[56724,-256979],[200256,256979],[-56723,-256979],[-210585,256979]]>,<3,12,6,[[2,1,5,6,3,4],[1,4,6,2,5,3]],[[1,2,3,4,5,6],[5,3,2,6,1,4],[2,1,5,6,3,4],[6,2,3,5,4,1],[3,4,6,5,2,1],[4,1,5,3,6,2]],[1,4,6,2,5,3],[1,2,3,4,5,6],[1,2],[[[6,5,1,2,4,3],[2,1,5,6,3,4]],[[6,5,1,2,4,3]]],20,<<[],[2,2,1]>,[[3201,0],[-26559,0],[123582,0],[-496398,0],[20946,0],[-237,0],[1,0]]>,[[[-117563478,0],[-86065914,0],[-128113585,0],[74626917,0],[5989279,0],[45141822,0]],[[148000941,-20774421],[-87655959,143609883],[-58330033,3782289],[79635579,41687792],[107976943,75472359],[70649299,59257226]],[[95446941,-20774421],[-152722230,143609883],[58925936,3782289],[36870923,41687792],[95120212,75472359],[63937526,59257226]],[[189549783,20774421],[12544764,-143609883],[-65894611,-3782289],[125400158,87452371],[86172388,53667804],[81275010,69882937]],[[-65009478,0],[-20999643,0],[142050935,0],[117391573,0],[18846010,0],[51853595,0]],[[136995783,20774421],[-52521507,-143609883],[51361358,-3782289],[82635502,87452371],[73315657,53667804],[74563237,69882937]]]>,<5,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,4,1]>,[[-8232669697615,0],[46192138824920,0],[1,0]]>,[[[-46192138824918,0],[-1,0]],[[2,0],[1,0]],[[-21033763629275,31019922403712],[-1,0]],[[25158375195645,31019922403712],[1,0]],[[45621410037127,-31019922403712],[-1,0]],[[-3553882778578,-31019922403712],[1,0]]]>,<11,6,3,[[2,3,1,5,6,4],[6,5,4,3,2,1]],[[1,2,3,4,5,6],[6,5,4,3,2,1],[2,3,1,5,6,4]],[6,5,4,3,2,1],[1,3,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,7,1]>,[[-283545142256702106055,-60964199397137397801],[237233455758387791901,195190963288390216928],[274268781874519481016,-17744633026217292448],[1,0]]>,[[[61980201978666226264,81764059868824435876],[-15806109638520956631,-13253044246493779936],[0,0]],[[9,4],[1,0],[0,0]],[[-336248983853185707262,-64019426842607143420],[15806109638520956630,13253044246493779936],[0,0]],[[244826056561679213591,-154315693792840428831],[-15806109638520956631,-13253044246493779936],[0,0]],[[182845854583012987336,-236079753661664864703],[1,0],[0,0]],[[-153403129270172719935,-300099180504272008127],[15806109638520956630,13253044246493779936],[0,0]]]>*] [x,x^2-x+1,x^2-x+4,x^2-x-1,x^3-11,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,11],[3,7,3,3],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,3*5,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11],[1,7,7,2],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[6,3]>,<1,5,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11],[2,2,7,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[6,3]>,<2,3^3*11^2,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]]],[2,3,5,11],[3,7,3,7],1,[1.000000000,1.228372343,1.047224232],<"notfaithful",0>,[6,3]>,<2,3^3*5^2*11^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]]],[2,3,5,11],[3,7,7,7],1,[1.000000000,1.704313765,1.098130543],<"2.3e3_5e2_11e2.6t3.1",1>,[6,3]>]
x^3-x^2-45*x-45 2^2*5*11*139 3 0 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 61 x-1 5 [[-385564988],[-402149598],[-56881714]] 1 [2,1,1,3,1,3,2,3,3,2,3,2,2,2,2,3,2,1,2,3,2,2,1,3,3,3,3,3,3,2,3,2,2,1,3,3,1,2,1,1,2,3,3,3,2,2,3,3,2,2,2,2,1,3,2,3,2,3,2,3,1,2,1,2,2,3,2,2,3,2,3,2,2,2,2,3,2,1,2,2,2,3,3,2,3,3,2,2,2,2,3,1,1,3,2,1,2,2,3,2,2,3,3,2,3,3,2,3,2,2,3,3,1,3,2,2,3,2,1,1,2,1,3,2,2,2,2,1,1,3,2,2,2,3,2,3,2,2,1,1,2,1,3,2,2,3,2,2,1,2,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,1,2,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[2,3,1]]],20,<<[],[1,1,1]>,[[-90,0],[-44,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[-168741,-337482],[143696,287393],[487324,450360]],[[168741,337482],[380591,236895],[36964,73928]]]>,<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[1642299553,395869209,286354173]>,<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-8421372477755,13307865393690,1]>,[[13307865393691,0],[-13307865393690,-1],[0,1]]>,<11,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-32148078138132543510,-55518316572319843055,1]>,[[-55518316572319843068,0],[55518316572319843062,-1],[7,1]]>,<139,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[626846716552058673882062016790536316552844,-546961373745614079949638978714238257565768,1]>,[[-546961373745614079949638978714238257565917,0],[546961373745614079949638978714238257565843,-1],[75,1]]>*] [x,x^2-x-1911,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11,139],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,5*11*139,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,11,139],[2,1,4,4,4],1,[1.000000000,1.248725215,0.9236985265],<"notfaithful",0>,[3,2]>,<2,2^2*5*11*139,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,5,11,139],[4,1,5,5,5],1,[1.000000000,2.087526767,1.286749357],<"2.2e2_5_11_139.3t2.1",1>,[3,2]>]
x^4-x^2+50 2^5*199^2 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 31 x-1 5 [[-11468231],[-5498986],[5498986],[11468231]] 3 [1,5,4,2,5,4,3,5,2,4,1,5,3,4,1,4,5,4,5,3,3,2,5,1,3,5,1,5,5,3,3,4,3,4,5,1,4,5,3,5,5,5,3,2,5,1,5,3,4,5,3,2,3,4,2,1,4,1,5,3,5,4,5,1,2,5,4,3,5,5,3,1,3,5,4,2,5,5,3,3,5,4,1,1,3,4,2,3,4,1,5,2,1,5,5,3,4,1,4,5,5,5,4,3,5,3,5,3,2,1,1,4,1,5,3,3,4,1,4,4,4,3,4,4,4,4,4,2,2,5,5,3,3,4,3,2,5,5,4,2,5,4,3,4,4,2,4,1,4,3,4,3,5,1,4,2,1,3,3,4,4,2,3,4,3,2,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-6,2>,<x^2-7200,3>]*],[*[4],"CYC",0,5*]] [*<2,4,4,[[2,1,3,4],[2,1,4,3]],[[1,2,3,4],[2,1,4,3],[2,1,3,4],[1,2,4,3]],[1,2,3,4],[1,2,4,4],[2,4],[[[2,1,3,4],[2,1,4,3]],[[2,1,3,4]]],20,<[],[78526,157052,78530,4,1]>,[[-67052,-134102,161569,228619],[67052,134102,100575,33525],[-67051,-67050,228619,0],[67051,67050,-228619,0]]>,<5,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[2,4,1]>,[[5401059931274,0],[-5401059931274,0],[-2293972009115,8389757159505],[2293972009115,-8389757159505]]>,<199,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[3795108786455740565402817066347170227654313893,-1701881887258018020647042675357539697219497850,1]>,[[1701881887258018020647042675357539697219498039,-1],[189,1],[-189,-1],[-1701881887258018020647042675357539697219498039,1]]>*] [x,x^2-x+50,x^2-2,x^2+398,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,199],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,199,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,199],[1,1,6],1,[1.000000000,2.004314387,1.269170315],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,199],[6,4,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<1,2^3*199,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,199],[6,3,6],1,[1.000000000,1.574738105,1.108241804],<"notfaithful",0>,[4,3]>,<2,2^5*199,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]]],[2,5,199],[6,3,7],1,[1.000000000,0.7575406425,0.9496239141],<"2.2e5_199.4t3.2",1>,[4,3]>]
x^4+1963*x^2+296413 2^4*13^3*151^2 0 2 4 "C4" [[4,3,2,1],[2,4,1,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[2,4,1,3]>,<4,1,[3,1,4,2]>] [[1,1,1,1],[2,2],[4]] 29 x-1 8 [[203471330334],[61708254838],[-61708254838],[-203471330334]] 2 [3,1,4,3,4,1,2,3,2,1,3,3,3,1,4,2,4,2,4,4,4,1,4,4,4,1,1,1,3,2,1,1,3,2,3,3,2,3,4,2,2,1,2,3,3,2,1,3,3,3,1,3,3,1,1,1,1,3,1,4,2,4,4,1,1,3,3,1,2,3,3,3,1,2,4,3,1,3,3,3,1,3,4,1,1,1,4,4,4,4,2,3,3,1,4,2,3,1,1,3,2,4,1,2,1,4,4,4,1,1,1,4,3,3,3,2,3,1,1,2,4,2,2,3,4,2,3,2,1,3,3,3,2,1,4,3,4,4,2,2,4,3,1,4,2,4,3,1,1,4,3,1,1,1,1,2,1,3,1,3,3,2,4,1,3,3,2,1] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x-1778478,3>,<x+1778478,4>]*]] [*<2,4,2,[[4,3,1,2]],[[1,2,3,4],[2,1,4,3],[4,3,1,2],[3,4,2,1]],[4,3,1,2],[1,2,3,4],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[-314466,417682],[0,2],[1,0]]>,[[[0,1],[1,0]],[[0,-1],[-1,0]],[[76151,-224067],[224070,-76151]],[[-76151,224067],[-224070,76151]]]>,<3,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-359682895,-482988145,359682895,482988145]>,<13,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[296413,0,1963,0,1]>,[[0,-1,0,0],[0,487306763458482036896,0,-264630162937718722021],[0,-487306763458482036896,0,264630162937718722021],[0,1,0,0]]>,<151,4,2,[[2,3,4,1]],[[1,2,3,4],[3,4,1,2],[2,3,4,1],[4,1,2,3]],[2,3,4,1],[1,2,3,4],[1],[[[3,4,1,2]]],20,<<[],[6,149,1]>,[[-8900827678354301355161806297454060569570077,-14393310258069971624260634242650244648246377],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[215984624163797988598649839050578028001,125866940825434088205927280479475590290]],[[0,0],[1,0]],[[0,0],[-215984624163797988598649839050578028001,-125866940825434088205927280479475590290]]]>*] [x,0,x^2-x-3,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,13,151],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,2^2*13*151,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,13,151],[5,1,5,5],0,[0.9570920265+0.2897841487*i,1.433262053-0.08464502148*i,1.119267087-0.02694451407*i],<"1.2e2_13_151.4t1.1",1>,[4,1]>,<1,13,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,13,151],[3,1,5,3],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[4,1]>,<1,2^2*13*151,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,13,151],[5,1,5,5],0,[0.9570920265-0.2897841487*i,1.433262053+0.08464502148*i,1.119267087+0.02694451407*i],<"1.2e2_13_151.4t1.1",2>,[4,1]>]
