x^4-x^3+5*x^2-2*x+4 3^2*73 0 2 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 61 x-1 5 [[416281526],[-307859660],[-48648386],[-59773479]] 3 [3,3,5,4,5,4,5,2,3,5,4,2,3,4,5,5,5,1,1,3,4,2,5,3,1,5,4,5,2,5,1,5,3,4,3,4,4,4,5,3,5,2,5,4,5,4,1,1,3,4,5,5,4,3,3,5,3,4,4,5,1,3,4,3,4,3,4,4,3,2,3,3,2,2,4,3,3,1,3,4,3,4,5,4,2,5,5,2,3,2,5,3,2,5,1,3,3,5,1,4,2,3,5,5,4,4,3,3,5,4,1,4,5,1,4,3,4,5,3,3,2,2,5,5,4,5,4,5,2,1,2,5,4,1,5,4,5,2,3,3,1,3,4,3,4,3,2,3,4,5,1,5,4,5,4,3,4,5,2,3,3,3,2,5,5,5,4,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-2,2>,<x^2+3*x-16,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[-207758,433213],[407605,-433213],[116684,-91074],[207758,91074]]>,<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[205781685,1693347792],[-1029211938,714180267],[1,0]]>,[[[1029211938,-714180265],[-1,0]],[[0,2],[1,0]],[[-299059789,1138461919],[-152935246,-182538037]],[[-730152148,-424281656],[152935246,182538037]]]>,<73,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[5,70,1]>,[[8227714968291465336850686863062840975,0],[-7907923534881512094957174889544694804,0],[1,0]]>,[[[3623518809387911031471314259575702471,8923590823344552567805814883644107678],[0,0]],[[6938145427865769164132336258346009845,-8923590823344552567805814883644107678],[0,0]],[[7907923534881512094957174889544694845,0],[-1,0]],[[41,0],[1,0]]]>*] [x,x^2-x+1,x^2-x-18,x^2-x+55,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,73],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,73],[3,6,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,73,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,73],[1,1,6],1,[1.000000000,1.794636484,1.392509374],<"notfaithful",0>,[4,3]>,<1,3*73,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,73],[3,6,6],1,[1.000000000,0.8491566335,0.8234243552],<"notfaithful",0>,[4,3]>,<2,3*73,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[2,3,73],[3,6,6],1,[1.000000000,0.8633993911,0.9527433909],<"2.3_73.4t3.1",1>,[4,3]>]
x^4+8*x^2-120*x+116 -2^6*5^2*7*97 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 197 x-1 5 [[-72392348571],[-61710922268],[62944451168],[71158819671]] 3 [4,5,1,1,4,4,4,4,3,3,3,3,4,4,5,4,4,5,3,3,5,2,4,5,3,3,3,5,2,4,5,4,5,2,5,4,4,4,5,4,3,4,2,4,1,4,5,4,5,5,3,3,5,2,4,3,5,2,5,3,5,5,3,4,3,3,5,3,3,2,5,5,2,5,2,4,4,5,3,4,5,4,4,4,4,3,2,3,5,4,5,5,4,4,5,3,3,5,2,5,2,4,2,5,4,1,4,5,5,2,3,4,4,4,4,3,5,5,5,5,5,4,5,2,3,4,5,2,5,3,3,2,4,5,2,4,3,3,1,4,3,3,2,5,3,4,4,3,4,3,4,3,5,4,3,5,5,4,5,4,5,3,4,3,5,4,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,12,4,[[3,4,1,2],[1,4,2,3]],[[1,2,3,4],[2,1,4,3],[2,3,1,4],[3,1,2,4]],[1,4,2,3],[1,2,4,4],[2],[[[4,3,2,1],[3,4,1,2]]],20,<<[],[1,1,0,1]>,[[2,0,0],[5568,0,0],[2466,0,0],[262062,0,0],[1,0,0]]>,[[[-55978,0,0],[59840,0,0],[-25075,0,0],[-41914,0,0]],[[-17018,-28102,12020],[54984,43420,46860],[-17779,42786,-39206],[-23302,11512,9626]],[[52450,33090,50686],[34776,18656,16548],[-12635,14528,-31490],[766,50594,-19808]],[[20546,-4988,-62706],[-18528,-62076,-63408],[55489,-57314,-60376],[64450,-62106,10182]]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[2171422208705,-26729909748720,1]>,[[26729909748724,-1],[4,1],[-9135275467594,-3675577454882],[-17594634281134,3675577454882]]>,<7,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[-17771889509887989,1586081321994162,1]>,[[39635872267847446,0],[-3853105389733867,0],[-1586081321994156,-1],[6,1]]>,<97,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[5,96,1]>,[[2526860348846134579676179855410790819922,0],[-356175617406897802621276325786152367728,0],[1,0]]>,[[[975946150217359046977690472040675689682,1156947255241573618610118835943739195366],[0,0]],[[-1332121767624256849598966797826828057434,-1156947255241573618610118835943739195366],[0,0]],[[356175617406897802621276325786152367740,0],[-1,0]],[[12,0],[1,0]]]>*] [x,x^2-x+170,x^3+x-5,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,7,97],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,7*97,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,7,97],[1,1,6,6],1,[1.000000000,2.170138694,1.270337299],<"notfaithful",0>,[4,5]>,<2,7*97,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,5,7,97],[4,1,6,6],1,[1.000000000,0.8302603205,0.8359537077],<"notfaithful",0>,[4,5]>,<3,2^6*5^2*7^2*97^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1]],[[1],[-1]],[[1],[1]]],[2,5,7,97],[6,7,7,8],1,[0,0,0],<"3.2e6_5e2_7e2_97e2.6t8.1",1>,[4,5]>,<3,2^6*5^2*7*97,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1]],[[1],[-1]],[[1],[-2],[1]],[[1],[0],[-1]]],[2,5,7,97],[6,7,8,9],1,[1.000000000,1.194364075,0.9687328916],<"3.2e6_5e2_7_97.4t5.1",1>,[4,5]>]
x^4-4*x^2-40*x-136 -2^6*5^2*7*97 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 349 x-1 5 [[-319236549531],[-2518812796615],[-1930635169012],[-408899261591]] 3 [4,3,2,3,4,4,4,4,5,3,3,5,4,4,3,4,4,5,3,3,3,2,4,5,3,5,3,5,2,4,3,4,3,2,5,4,4,4,5,4,3,4,2,4,2,4,3,4,5,5,3,5,3,2,4,3,3,2,3,5,5,5,3,4,5,5,5,3,5,1,3,5,2,3,1,4,4,3,5,4,5,4,4,4,4,3,2,3,3,4,3,5,4,4,5,3,3,3,2,5,2,4,2,3,4,2,4,5,3,2,5,4,4,4,4,5,5,5,3,3,3,4,3,1,5,4,3,2,3,5,5,2,4,3,2,4,3,5,1,4,5,5,2,5,5,4,4,3,4,5,4,3,5,4,3,3,3,4,5,4,3,5,4,5,5,4,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,12,4,[[3,4,1,2],[1,3,4,2]],[[1,2,3,4],[2,1,4,3],[2,3,1,4],[3,1,2,4]],[1,3,4,2],[1,2,4,4],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,0,1]>,[[2462,0,0],[20,0,0],[194,0,0],[262114,0,0],[1,0,0]]>,[[[-9432,0,0],[-56932,0,0],[-7824,0,0],[23171,0,0]],[[-60992,65074,34868],[-29252,19948,-6808],[8900,-35728,9438],[-37057,37234,21536]],[[9356,-10524,-56218],[836,-19672,38324],[-55348,38274,44138],[411,45368,-53334]],[[61068,-54550,21350],[-45724,-276,-31516],[54272,-2546,-53576],[13475,48470,31798]]]>,<3,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,3],[1],[[]],20,<[],[2,2,1]>,[[-508506762,-1211127556],[-1573036051,1211127556],[-219045526,0],[-23934595,0]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,2,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[-21652323607215,-34663018435730],[17245152652105,-39061139494260],[1,0]]>,[[[-17245152652103,39061139494261],[-1,0]],[[2,1],[1,0]],[[-6213932735687,25831264604659],[-9459669832257,2791384714788]],[[23459085387788,30475027541704],[9459669832257,-2791384714788]]]>,<7,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[3,6,1]>,[[-1530486017102840,0],[-8995104596226931,0],[1,0]]>,[[[39006269298834309,27799984915251260],[0,0]],[[31790892402550751,-27799984915251260],[0,0]],[[8995104596226936,0],[-1,0]],[[5,0],[1,0]]]>,<97,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[5,96,1]>,[[1065784925213921814464088563269735873193,0],[-599037560550431323582053683447828246649,0],[1,0]]>,[[[777112696943101806192439177998056079746,1325270435704046918223550996534219981931],[0,0]],[[-1376150257493533129774492861445884326407,-1325270435704046918223550996534219981931],[0,0]],[[599037560550431323582053683447828246655,0],[-1,0]],[[6,0],[1,0]]]>*] [x,x^2-x+170,x^3+x-5,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7,97],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,7*97,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,97],[1,3,1,6,6],1,[1.000000000,2.170138694,1.270337299],<"notfaithful",0>,[4,5]>,<2,7*97,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,3,5,7,97],[4,3,1,6,6],1,[1.000000000,0.8302603205,0.8359537077],<"notfaithful",0>,[4,5]>,<3,2^6*5^2*7^2*97^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1]],[[1],[1]]],[2,3,5,7,97],[6,2,7,7,7],1,[0,0,0],<"3.2e6_5e2_7e2_97e2.6t8.2",1>,[4,5]>,<3,2^6*5^2*7*97,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1]],[[1],[1]],[[1],[0],[-1]]],[2,3,5,7,97],[6,3,7,8,8],1,[1.000000000,1.415160534,1.095596352],<"3.2e6_5e2_7_97.4t5.2",1>,[4,5]>]
x^4-2*x^2-40*x+1 -2^6*5^2*7*97 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 79 x-1 5 [[1479876437],[380508256],[-1397168462],[-463216231]] 3 [4,5,1,3,4,4,4,4,3,5,5,5,4,4,3,4,4,3,5,3,5,1,4,3,1,3,5,5,2,4,3,4,5,2,3,4,4,4,5,4,5,4,2,4,1,4,5,4,5,3,5,3,5,2,4,5,5,2,5,3,5,3,5,4,5,3,3,5,5,1,3,3,2,5,2,4,4,3,5,4,5,4,4,4,4,3,2,3,3,4,3,3,4,4,5,3,3,3,2,3,1,4,2,3,4,1,4,5,3,2,3,4,4,4,4,3,3,3,3,3,3,4,5,1,5,4,5,2,3,5,3,2,4,3,2,4,3,3,2,4,5,5,2,3,5,4,4,5,4,3,4,3,3,4,5,3,5,4,5,4,3,5,4,3,5,4,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,12,4,[[3,4,1,2],[1,3,4,2]],[[1,2,3,4],[2,1,4,3],[2,3,1,4],[3,1,2,4]],[1,3,4,2],[1,2,4,4],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,0,1]>,[[3846,0,0],[15384,0,0],[334,0,0],[262118,0,0],[1,0,0]]>,[[[30329,0,0],[8724,0,0],[39480,0,0],[16227,0,0]],[[-45843,-59938,11936],[-14596,-6800,-17532],[24940,-15806,57150],[41507,-44470,-60698]],[[41713,51144,-53338],[-19124,-18564,-24324],[61200,4346,46004],[50327,-206,18068]],[[-26199,8794,41402],[24996,25364,41856],[5452,11460,27918],[23011,44676,42630]]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[-3851769292440,13756212674410,1]>,[[-13756212674406,-1],[4,1],[19215180719291,-3793952352577],[-5458968044889,3793952352577]]>,<7,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[3,6,1]>,[[-12822002619119267,0],[14375737191428816,0],[1,0]]>,[[[-22748883329301309,16618504790865429],[0,0]],[[37124620520730119,-16618504790865429],[0,0]],[[-14375737191428813,0],[-1,0]],[[3,0],[1,0]]]>,<97,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[-1599606216140475970577270149198339043636,1446819977696368054100072375521185886441,1]>,[[-316940044788097235508762508792665748023,0],[1763760022484465289608834884313851634382,0],[-1446819977696368054100072375521185886400,-1],[41,1]]>*] [x,x^2-x+170,x^3+x-5,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,7,97],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,7*97,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,7,97],[1,1,6,6],1,[1.000000000,2.170138694,1.270337299],<"notfaithful",0>,[4,5]>,<2,7*97,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,5,7,97],[4,1,6,6],1,[1.000000000,0.8302603205,0.8359537077],<"notfaithful",0>,[4,5]>,<3,2^6*5^2*7^2*97^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1]],[[1],[-1]],[[1],[1]]],[2,5,7,97],[6,7,8,7],1,[0,0,0],<"3.2e6_5e2_7e2_97e2.6t8.4",1>,[4,5]>,<3,2^6*5^2*7*97,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1]],[[1],[-1]],[[1],[0],[-1]],[[1],[-2],[1]]],[2,5,7,97],[6,7,8,9],1,[1.000000000,0.8773768329,0.9264809393],<"3.2e6_5e2_7_97.4t5.4",1>,[4,5]>]
