x^2-x-1283 3*29*59 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[135],[-134]] 1 [2,1,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1281,3,1]>,[[-1,-1],[2,1]]>,<29,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1073,29,1]>,[[-14,-1],[15,1]]>,<59,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-413,59,1]>,[[-29,-1],[30,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,29,59],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*29*59,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,29,59],[3,3,3],1,[1.000000000,0.6214136003,0.7776448174],<"1.3_29_59.2t1.1",1>,[2,1]>]
x^5-5*x^3-2*x^2+5*x+4 -2^4*3*41*43 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 17 x^2+16*x+3 5 [[-294886,-501812],[634821,501812],[-321156,0],[-555987,-512030],[537208,512030]] 2 [3,4,6,7,7,7,3,7,6,5,5,5,4,2,5,6,6,5,3,6,5,3,6,5,5,4,7,4,5,3,7,5,2,5,5,2,4,3,5,5,6,5,3,7,2,5,7,4,6,5,7,5,5,4,5,6,7,5,7,4,5,6,2,5,6,4,5,4,6,5,7,6,7,7,7,6,6,5,7,5,5,4,3,5,6,3,4,3,7,7,7,5,7,5,5,4,4,7,3,6,6,4,7,5,5,4,4,2,4,6,4,4,5,5,6,5,4,5,5,5,6,6,4,2,7,7,5,7,5,7,1,5,7,6,6,6,5,5,2,4,3,7,4,2,7,6,4,5,6,7,6,2,3,3,5,5,6,5,6,7,4,3,6,5,6,5,7,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,8,4,[[1,2,3,5,4],[1,5,4,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,5,4,3,2],[1,3,2,4,5],[1,4,5,3,2]],[1,5,4,3,2],[1,3,3,2,5],[2],[[[1,3,2,5,4],[1,2,3,5,4]]],20,<<[],[1,1,1]>,[[-206982,-122736],[-470044,198020],[281844,-323356],[-168890,-205624],[1,0]]>,[[[358956,0],[0,0],[0,0],[0,0]],[[232558,-184555],[-185114,172298],[-117597,243414],[-30260,-50677]],[[93396,146843],[185114,-172298],[117597,-243414],[30260,50677]],[[-39459,139369],[63730,82912],[205595,153216],[-183615,-82711]],[[-121163,-101657],[-63730,-82912],[-205595,-153216],[183615,82711]]]>,<3,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[1,2,0,1]>,[[442338774,0,0],[318265923,0,0],[1,0,0]]>,[[[501530721,553351791,-1446810640],[0,0,0]],[[1510289849,-1276986817,-690241294],[0,0,0]],[[-1693554649,723635026,-1349732467],[0,0,0]],[[-318265922,0,0],[-1,0,0]],[[1,0,0],[1,0,0]]]>,<41,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[35,1,0,1]>,[[42479632627256333804570570526194,0,0],[40498300534403898090653525095874,0,0],[1,0,0]]>,[[[20447085465025697980970007588979,18469421520632329667704722877830,-79662413547873866825386674196850],[0,0,0]],[[-73257788755627518904787020139288,1289090528085808304463174720986,50031949555777702100522553307951],[0,0,0]],[[-86858779131415210488559308418656,-19758512048718137972167897598816,29630463992096164724864120888899],[0,0,0]],[[-40498300534403898090653525095855,0,0],[-1,0,0]],[[19,0,0],[1,0,0]]]>,<43,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[3,42,1]>,[[154576091713912077331534392441829,0],[-41104901255460280244250354931990,0],[1,0]]>,[[[122162088333954365973230182854143,151272835533532942376321116142167],[0,0]],[[-3700166621158320118960572091301,0],[0,0]],[[-159566822968256326098519965694858,-151272835533532942376321116142167],[0,0]],[[41104901255460280244250354932003,0],[-1,0]],[[13,0],[1,0]]]>*] [x,x^2+5289,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,41,43],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2^2*3*41*43,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,41,43],[8,8,8,8],1,[1.000000000,0.8639589040,1.006012274],<"notfaithful",0>,[5,5]>,<4,2^8*3^3*41^3*43^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,41,43],[8,9,9,10],1,[0,0,0],<"4.2e8_3e3_41e3_43e3.10t12.1",1>,[5,5]>,<4,2^4*3*41*43,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,3,41,43],[8,9,9,10],1,[1.000000000,0.7320526833,0.9859386328],<"4.2e4_3_41_43.5t5.1",1>,[5,5]>,<5,2^6*3^2*41^2*43^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,3,41,43],[8,9,9,10],1,[0,0,0],<"5.2e6_3e2_41e2_43e2.10t13.1",1>,[5,5]>,<5,2^8*3^3*41^3*43^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[1],[1]],[[1],[0],[-1]]],[2,3,41,43],[8,9,9,10],1,[0,0,0],<"5.2e8_3e3_41e3_43e3.6t14.1",1>,[5,5]>,<6,2^10*3^3*41^3*43^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[1]],[[1],[0],[0],[-1]],[[1],[1],[-1],[-1]]],[2,3,41,43],[8,9,9,10],1,[0,0,0],<"6.2e10_3e3_41e3_43e3.20t35.1",1>,[5,5]>]
x^4-x^3+23*x^2-22*x+124 5^2*1801 0 2 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 101 x-1 5 [[546243970],[-3176943965],[4182495309],[-1551795313]] 2 [3,3,1,3,4,5,3,4,5,4,4,3,4,3,5,3,4,4,3,4,3,4,5,2,5,1,3,3,4,3,5,4,5,4,4,4,5,5,5,5,4,2,4,3,3,1,1,3,3,4,3,2,4,4,3,3,4,2,5,4,3,3,5,4,5,3,1,5,5,2,3,2,3,3,4,5,2,5,1,4,2,4,4,5,2,5,2,3,1,3,3,4,3,4,4,3,4,2,5,2,3,5,3,4,4,3,3,5,1,1,3,5,3,1,4,4,3,3,5,4,4,5,5,5,2,4,4,1,5,3,4,3,1,5,4,2,3,3,5,4,4,2,5,3,1,4,5,5,4,3,5,4,3,3,5,1,2,4,3,1,5,3,5,4,3,5,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-2,2>,<x^2+45*x+56,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[256892,-249871],[506763,249871],[211196,137470],[73726,-137470]]>,<3,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,2,1]>,[[-1187973031,1499306663],[-699801956,-1499306663],[-2878408,215495565],[-433869538,-215495565]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-808225103070,-625539769645,1]>,[[625539769647,-1],[2,1],[-4854822152749,1098211607355],[4229282383101,-1098211607355]]>,<1801,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[11,1796,1]>,[[43993711091893568027688314372623743599478075047814007125434860194,0],[-2266666334453400075682091543670805306440598672802952234075560474,0],[1,0]]>,[[[-7248705450584523722365232879640848702103002892129940456993792643,-2806000978250426286201318686859103474770543886432299781783208144],[0,0]],[[4982039116131123646683141335970043395662404219326988222918229942,2806000978250426286201318686859103474770543886432299781783208144],[0,0]],[[2266666334453400075682091543670805306440598672802952234075561588,0],[-1,0]],[[1114,0],[1,0]]]>*] [x,x^2-x-1,x^2-x-450,x^2-x-2251,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,1801],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,1801],[3,3,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,1801,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,1801],[1,1,1,6],1,[1.000000000,3.266713486,1.567128988],<"notfaithful",0>,[4,3]>,<1,5*1801,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,1801],[3,3,6,6],1,[1.000000000,0.3160222275,0.6972378540],<"notfaithful",0>,[4,3]>,<2,5*1801,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,3,5,1801],[3,3,6,7],1,[1.000000000,1.872105814,1.125382937],<"2.5_1801.4t3.2",1>,[4,3]>]
x^6+2*x^4-2*x^3+x^2-2*x-1 2^9*7*199 2 2 72 "S3wrC2" [[2,1,4,3,6,5],[3,2,1,4,5,6],[3,2,6,4,5,1]] [<1,1,[1,2,3,4,5,6]>,<2,6,[2,1,4,3,6,5]>,<2,6,[3,2,1,4,5,6]>,<2,9,[3,4,1,2,5,6]>,<3,4,[3,4,6,5,2,1]>,<3,4,[1,4,3,5,2,6]>,<4,18,[4,1,2,3,6,5]>,<6,12,[2,3,4,6,1,5]>,<6,12,[3,4,1,5,2,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,2,3],[2,2,2],[2,4],[3,3],[6]] 41 x^2+38*x+6 5 [[39918063,39097845],[-23434506,45973332],[-55525635,-39097845],[-32578107,-45973332],[56012613,0],[15607572,0]] 4 [8,8,7,3,7,7,6,8,5,8,3,7,4,8,9,8,8,7,7,9,5,4,2,3,5,8,9,7,7,9,9,7,3,7,7,4,7,7,6,8,7,2,9,6,7,1,7,5,7,2,9,5,4,7,3,5,7,9,7,9,2,7,2,9,9,7,8,3,7,8,4,4,5,7,8,9,7,2,9,5,8,2,4,3,5,8,4,9,7,6,8,9,4,7,7,4,7,9,7,7,7,7,7,3,7,4,8,4,4,9,3,8,4,8,3,3,7,9,8,2,7,9,7,2,7,8,2,9,9,2,7,3,3,2,4,9,8,8,7,6,8,8,9,2,7,3,7,9,7,3,8,4,7,3,2,1,6,5,4,7,8,4,3,7,9,9,9,7] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,2,3],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,8*]] [*<2,6,2,[[3,4,5,6,2,1]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,2,1,4,3],[4,3,6,5,1,2],[3,4,5,6,2,1],[6,5,1,2,3,4]],[3,4,5,6,2,1],[1,2,5,5,8,8],[3],[[[2,1,4,3,6,5]]],20,<<[],[1,1,0,1]>,[[-134496,109356,383722],[129656,-194528,194484],[1,0,0]]>,[[[0,1,0],[1,0,0]],[[-129656,194529,-194484],[262143,0,0]],[[-45284,87440,-208929],[29726,65399,177226]],[[-139528,90108,-68289],[232418,196745,84918]],[[139528,-90109,68289],[29725,65399,177226]],[[174940,242319,-120875],[232419,196745,84918]]]>,<7,4,2,[[1,2,3,4,6,5],[1,2,4,3,5,6]],[[1,2,3,4,5,6],[1,2,4,3,5,6],[1,2,3,4,6,5],[1,2,4,3,6,5]],[1,2,4,3,5,6],[1,3,3,4],[1],[[[1,2,3,4,6,5]]],20,<<[],[3,6,1]>,[[35754569204145008,0],[263904365527726,0],[1,0]]>,[[[263904365527718,0],[0,0]],[[-12207758391915795,0],[0,0]],[[25294245022896080,-6901922440622606],[0,0]],[[-13086486630980285,6901922440622606],[0,0]],[[-263904365527722,0],[-1,0]],[[4,0],[1,0]]]>,<199,2,2,[[1,2,3,4,6,5]],[[1,2,3,4,5,6],[1,2,3,4,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[1,2,3,4,6,5]]],20,<[],[1000446834876752622962905019980106118688944422,-918735564414925241371312013387395041133937429,1]>,[[1420878282626076881975291017062492818387143885,0],[2283926560997790171623106769231693457175235817,0],[-918735564414925241371312013387395041133937571,0],[-3704804843623867053598397786294186275562379702,0],[918735564414925241371312013387395041133937500,-1],[71,1]]>*] [x,x^2-2786,x^2-2,x^2-x-348,x^4+39*x^2+32,0,0,0,0] [1,2,2,2,5,6,7,8,9] <[1],[2],[3],[4],[5],[6],[7],[8],[9]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,199],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,13]>,<1,2^3*7*199,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,199],[10,10,10],1,[1.000000000,1.128895212,0.9515750562],<"notfaithful",0>,[6,13]>,<1,2^3,1,[[1],[-1],[1],[1],[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,199],[10,1,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[6,13]>,<1,7*199,1,[[1],[1],[-1],[1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,199],[1,10,10],1,[1.000000000,2.378459139,1.433623304],<"notfaithful",0>,[6,13]>,<2,2^3*7*199,1,[[2],[0],[0],[-2],[2],[2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1]],[[1],[1]]],[2,7,199],[10,11,10],1,[1.000000000,2.243832506,1.333863705],<"notfaithful",0>,[6,13]>,<4,2^6*7^3*199^3,1,[[4],[0],[-2],[0],[-2],[1],[0],[0],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[2],[3],[2],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1],[0],[1]],[[1],[-1],[0],[1],[-1]],[[1],[1],[1]],[[1],[1]],[[1],[-1]]],[2,7,199],[10,11,12],1,[0,0,0],<"4.2e6_7e3_199e3.12t36.1",1>,[6,13]>,<4,2^6*7*199,1,[[4],[0],[2],[0],[-2],[1],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[2],[3],[2],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1],[0],[1]],[[1],[1],[0],[-1],[-1]],[[1],[1],[1]],[[1],[-1],[-1],[1]],[[1],[-3],[3],[-1]]],[2,7,199],[10,11,12],1,[1.000000000,0.5799415320,0.7689706271],<"4.2e6_7_199.6t13.1",1>,[6,13]>,<4,2^3*7^2*199^2,1,[[4],[2],[0],[0],[1],[-2],[0],[-1],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[2],[3],[2],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[1],[0],[1]],[[1],[0],[0],[-1]],[[1],[0],[-1]],[[1],[-2],[1]]],[2,7,199],[10,11,12],1,[0,0,0],<"4.2e3_7e2_199e2.6t13.1",1>,[6,13]>,<4,2^9*7^2*199^2,1,[[4],[-2],[0],[0],[1],[-2],[0],[1],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[2],[3],[2],[1]],[[1],[0],[0],[0],[-1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[1],[0],[1]],[[1],[-1]],[[1],[0],[-1]],[[1],[-2],[1]]],[2,7,199],[10,11,12],1,[0,0,0],<"4.2e9_7e2_199e2.12t34.1",1>,[6,13]>]
