x^2-x-3777 29*521 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[12],[-11]] 1 [2,1,1,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<29,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-3567,29,1]>,[[-14,-1],[15,1]]>,<521,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[64083,521,1]>,[[-260,-1],[261,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[29,521],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,29*521,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[29,521],[3,3],1,[1.000000000,1.179291124,0.9205219928],<"1.29_521.2t1.1",1>,[2,1]>]
x^4+532*x^2+35378 2^11*7^2*19^2 0 2 4 "C4" [[4,3,2,1],[2,4,1,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[2,4,1,3]>,<4,1,[3,1,4,2]>] [[1,1,1,1],[2,2],[4]] 23 x-1 7 [[1022513677],[-1352957533],[1352957533],[-1022513677]] 2 [1,3,4,1,4,4,2,4,1,3,2,4,2,4,1,4,4,3,4,2,1,1,4,2,1,4,1,3,3,2,1,4,2,3,3,2,3,3,1,4,4,3,2,2,3,2,4,2,3,4,2,2,1,3,1,1,4,1,3,1,3,3,3,2,1,3,3,2,4,3,2,1,1,4,3,2,3,3,2,2,4,4,1,1,1,4,2,2,3,2,4,1,2,4,3,2,4,2,4,4,4,4,3,1,4,2,3,2,2,2,2,3,2,3,1,2,4,2,4,4,3,2,3,3,4,4,3,1,2,3,3,2,1,3,1,2,3,3,4,2,4,3,1,3,4,1,4,2,3,1,3,2,3,1,3,1,1,2,1,4,3,1,1,4,2,1,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x+141512,3>,<x-141512,4>]*]] [*<2,4,4,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[1,2,3,4],[1,2,4,3],[3,5],[[[3,4,2,1]],[[2,1,4,3]]],20,<[],[35378,0,532,0,1]>,[[0,1,0,0],[0,131071,0,0],[0,131069,0,1971],[0,3,0,129101]]>,<7,2,2,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[1,2,3,4],[1,2],[1],[[[4,3,2,1]]],20,<[],[-25239308324911443,0,1]>,[[0,-1],[0,275475214363045],[0,-275475214363045],[0,1]]>,<19,4,2,[[2,3,4,1]],[[1,2,3,4],[3,4,1,2],[2,3,4,1],[4,1,2,3]],[2,3,4,1],[1,2,4,3],[1],[[[3,4,1,2]]],20,<<[],[2,18,1]>,[[7943736169095569764790459,882637352121729973865577],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[-29976668103570996891294,8238964688260027182394]],[[0,0],[1,0]],[[0,0],[29976668103570996891294,-8238964688260027182394]]]>*] [x,0,x^2-2,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,19],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,2^4*7*19,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,7,19],[5,5,5],0,[-0.9238795325+0.3826834324*i,0.8592708546-0.06106649943*i,0.9888131845+0.05532465174*i],<"1.2e4_7_19.4t1.1",1>,[4,1]>,<1,2^3,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,19],[5,1,3],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,1]>,<1,2^4*7*19,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,7,19],[5,5,5],0,[-0.9238795325-0.3826834324*i,0.8592708546+0.06106649943*i,0.9888131845-0.05532465174*i],<"1.2e4_7_19.4t1.1",2>,[4,1]>]
x^5-x^4-32*x^2-42*x-14 2^11*7^2*19^2 1 2 20 "F5" [[5,1,4,2,3],[4,2,5,1,3],[3,2,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,5,[4,2,5,1,3]>,<4,5,[3,2,4,5,1]>,<4,5,[5,2,1,3,4]>,<5,4,[5,1,4,2,3]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 17 x^2+16*x+3 12 [[-96711251896706,0],[-262273578301868,-280995900644820],[132600326890450,-68982717466892],[71079331901200,68982717466892],[155305171406925,280995900644820]] 2 [1,4,3,1,3,3,2,3,5,4,2,3,2,3,5,3,3,4,3,2,5,5,3,2,5,3,1,4,4,2,5,3,2,4,4,2,4,4,5,3,3,4,2,2,4,2,3,2,4,3,2,2,5,4,5,5,3,1,4,5,4,4,4,2,1,4,4,2,3,4,2,5,5,3,4,2,4,4,2,2,3,3,5,5,5,3,2,2,4,2,3,5,2,3,4,2,3,2,3,3,3,3,4,5,3,2,4,2,2,2,2,4,2,4,5,2,3,2,3,3,4,2,4,4,3,3,4,5,2,4,4,2,5,4,5,2,4,4,3,2,3,4,5,4,3,5,3,2,4,5,4,2,4,5,4,5,5,2,5,3,4,5,5,3,2,5,1,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5-x^4+1172*x^3-212516*x^2-10267022*x-108288786,3>,<x^5-x^4+1172*x^3-97604*x^2-2453006*x-1116679890,4>]*],[*[5],"CYC",0,5*]] [*<2,4,4,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,2,3,4,5],[1,2,4,3],[3,5],[[[1,4,5,3,2]],[[1,3,2,5,4]]],20,<[],[-81442,319688,421032,-89496,1]>,[[-89495,0,0,0],[0,1,0,0],[82588,49079,100542,16348],[-22890,91657,128240,128689],[29798,121407,33362,117107]]>,<3,4,1,[[1,5,4,2,3]],[[1,2,3,4,5],[1,3,2,5,4],[1,5,4,2,3],[1,4,5,3,2]],[1,5,4,2,3],[1,2,4,3],[1],[[]],20,<[],[2,0,0,2,1]>,[[693128786,0,0,0],[142683649,561764943,552178343,148348175],[-211917482,-561764943,306282950,-452148349],[569414883,-166084503,-65289287,-346188395],[-31048368,166084503,369089461,-512272898]]>,<7,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-38020722669294386,16526312233222407,1]>,[[-86540158523761,0],[-16526312233222407,-1],[0,1],[34293670281049483,4240965234082666],[-17680817889303314,-4240965234082666]]>,<19,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,2,3,4],[1],[[[1,3,2,5,4]]],20,<<[],[2,18,1]>,[[-18456184745614072110208432,-6957137342686040540967910],[-16181712171927461307873866,10766661486216668698294167],[1,0]]>,[[[-623490350479210024909091,0],[0,0]],[[16181712171927461307873874,-10766661486216668698294165],[-1,0]],[[8,2],[1,0]],[[5125428199102809233636908,3412005071206751987487521],[-626107196944952638845224,912880110633724912307554]],[[16906323436994897676753903,7354656415009916710806642],[626107196944952638845224,-912880110633724912307554]]]>*] [x,x^2-2,x^4+532*x^2+35378,x^4+532*x^2+35378,0] [1,2,4,4,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,19],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,2^3,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,19],[6,3,1,3],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[5,3]>,<1,2^4*7*19,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,3,7,19],[6,4,6,6],0,[-0.9238795325+0.3826834324*i,0.8592708546-0.06106649943*i,0.9888131845+0.05532465174*i],<"notfaithful",0>,[5,3]>,<1,2^4*7*19,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,3,7,19],[6,4,6,6],0,[-0.9238795325-0.3826834324*i,0.8592708546+0.06106649943*i,0.9888131845-0.05532465174*i],<"notfaithful",0>,[5,3]>,<4,2^11*7^2*19^2,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[-2],[1]],[[1],[0],[-1]]],[2,3,7,19],[6,3,7,8],1,[0,0,0],<"4.2e11_7e2_19e2.5t3.1",1>,[5,3]>]
x^6-2*x^5-28*x^4-2*x^3+296*x^2+340*x-362 2^8*3^3*73^3 2 2 48 "C2*S4" [[1,3,2,4,6,5],[3,1,2,6,4,5],[1,2,6,4,5,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,2,3,1,5,6]>,<2,3,[4,2,6,1,5,3]>,<2,6,[1,3,2,4,6,5]>,<2,6,[4,3,2,1,6,5]>,<3,8,[3,1,2,6,4,5]>,<4,6,[6,2,1,3,5,4]>,<4,6,[6,5,1,3,2,4]>,<6,8,[6,1,2,3,4,5]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 29 x^2+24*x+2 13 [[3650932950818891398,1941690993828013914],[3575458400101254851,-192713394662137496],[3016948977115995424,0],[-1907136049219033782,-1941690993828013914],[-2060048840966047434,192713394662137496],[3984473275107541734,0]] 5 [5,3,7,9,3,8,7,10,9,4,5,7,8,5,10,7,10,7,10,9,4,10,10,6,7,7,5,10,7,4,10,10,8,5,6,9,8,5,3,8,10,4,2,8,1,5,10,3,5,6,7,10,8,9,6,10,8,9,8,7,3,8,9,9,6,6,9,6,5,7,8,5,2,4,9,9,8,7,8,8,9,8,10,8,3,2,7,7,8,10,10,9,10,10,10,5,6,4,10,6,10,8,10,4,5,6,9,8,10,8,10,8,7,3,9,6,9,3,8,5,1,7,4,10,9,7,8,3,10,7,10,3,9,7,4,8,7,10,6,6,10,6,5,9,6,5,7,8,5,10,1,7,9,10,5,9,9,1,7,6,5,6,2,10,1,10,9,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-42*x^2-3828*x+659272,4>,<x^6-372*x^5+47424*x^4-1256896*x^3-259292928*x^2+25378328064*x-719362049024,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x+70,2>,<x^6+132*x^5-8544*x^4-2874688*x^3-243298560*x^2-9417672192*x-143410070528,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,48,24,[[2,1,3,4,5,6],[3,4,5,6,1,2],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[2,1,3,4,5,6],[2,1,4,3,5,6],[1,2,5,6,3,4],[2,1,5,6,3,4],[3,4,5,6,1,2],[4,3,1,2,5,6],[2,1,6,5,3,4],[4,3,5,6,1,2]],[1,2,5,6,3,4],[1,2,3,4,5,6,7,8,9,10],[1,2,10],[[[2,1,3,4,5,6],[3,4,5,6,1,2]],[[1,2,4,3,6,5],[2,1,3,4,5,6],[2,1,3,4,6,5]],[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[260214,0],[195216,-195216],[0,212888],[111584,223168],[-104088,-104088],[-395624,326476],[-336406,0],[367324,-367324],[0,-204924],[-173928,-347856],[-284716,-284716],[-266048,-133024],[39624,0],[288364,-288364],[0,167740],[-360546,327484],[-329852,194436],[54408,27204],[-518758,524288],[-391700,391700],[524288,130514],[199356,-125576],[193808,193808],[409684,466986],[1,0]]>,[[[-260628,-186222],[83800,-229048],[200528,-220976],[260232,23102],[-196857,-92052],[168312,161050],[196446,-119868],[100369,59976],[-40488,17206],[-233694,-174454],[101281,-260398],[61064,206684],[99432,254452],[-5296,211718],[-147294,-174613],[80901,237873],[251042,190542],[5566,145582],[13550,52702],[118272,136448],[251583,32528],[3283,233129],[231442,231175],[29465,68634]],[[-227510,-139558],[94312,-92112],[71428,-39264],[-32104,-29930],[-170653,57328],[-50464,-245594],[44650,-162688],[71315,-97396],[-253530,39126],[7286,206614],[-123099,209122],[-196324,-30808],[105168,-22236],[253276,-60662],[134460,-82643],[120943,-237117],[180827,69878],[58954,111638],[53318,53742],[162454,235768],[203553,56548],[148433,133987],[158840,58617],[94409,67674]],[[-74406,186222],[229048,-83800],[-200528,102784],[-237130,23102],[-92052,-196857],[168312,7262],[-207974,119868],[-59976,-100369],[-221656,57694],[59240,-174454],[-260398,-160863],[61064,-145620],[107124,7692],[-211718,-256848],[147294,-27319],[-105172,-24271],[190542,251042],[5566,122128],[222992,209442],[125696,143872],[10561,43089],[229846,233129],[231175,231442],[29465,222975]],[[-87952,139558],[92112,-94312],[-71428,-110692],[2174,-29930],[57328,-170653],[-50464,195130],[207338,162688],[97396,-71315],[-8614,-231632],[199328,206614],[209122,139045],[-196324,-165516],[-134740,-239908],[60662,8868],[-134460,-217103],[-95916,25027],[69878,180827],[58954,209460],[261720,208402],[26376,99690],[58591,115139],[247698,133987],[58617,158840],[94409,26735]],[[135998,0],[-200596,200596],[0,-129580],[74894,149788],[-39029,-39029],[236496,118248],[181960,0],[-118819,118819],[262144,118776],[88256,176512],[-137123,125021],[158788,79394],[-123456,262144],[19510,242634],[0,42248],[-158452,-54760],[161726,161726],[121584,60792],[220840,0],[47480,214664],[0,219245],[38510,77020],[82446,82446],[49336,24668]],[[-9788,0],[225612,-225612],[0,-126560],[-68066,-136132],[-83025,-83025],[52096,-236096],[101868,0],[-90285,90285],[262144,-1170],[-120416,-240832],[210217,-51927],[111732,55866],[-53528,262144],[-116434,-145710],[0,-64858],[157696,53248],[194561,194561],[11520,136832],[14012,0],[44010,218134],[0,57739],[118662,237324],[23912,23912],[227204,113602]]]>,<3,4,2,[[2,1,4,3,6,5],[1,2,3,4,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,3,4,6,5],[2,1,4,3,5,6]],[1,2,3,4,6,5],[1,6,3,5],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[214928643,0],[316206525,0],[1,0]]>,[[[-316206523,0],[-1,0]],[[2,0],[1,0]],[[26173009,0],[23877039,0]],[[39517156,0],[19169682,0]],[[-36415184,-32533200],[29670555,29670555]],[[28651216,32533200],[13376166,13376166]]]>,<11,2,1,[[1,4,3,2,5,6]],[[1,2,3,4,5,6],[1,4,3,2,5,6]],[1,4,3,2,5,6],[1,3],[1],[[]],20,<[],[2,7,1]>,[[-266442824410636583645,0],[19339504001212696058,-236999821851235204764],[117882829956284839548,0],[332838267094739111004,236999821851235204764],[-6978436082218313631,0],[-13162069214138110459,0]]>,<73,4,2,[[2,1,4,3,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[4,3,2,1,5,6],[3,4,1,2,6,5]],[4,3,2,1,5,6],[1,6,4,6],[1],[[[2,1,4,3,6,5]]],20,<<[],[5,70,1]>,[[-1101608855702537974438283603383976255,0],[-4733833803865062189187427429524850816,0],[1,0]]>,[[[723656353040572825407748033843675654,-1854940737833676882414604686686452612],[20039076734438341875891758051518700,-47311784433703147028837615756879980]],[[8950422886791281059350921543225160009,-5188865909827131891542514525104931380],[-20039076734438341875891758051518700,47311784433703147028837615756879980]],[[2779281131986667656110430151242212589,5188865909827131891542514525104931380],[-42759315343555897219309377511702319,-47311784433703147028837615756879980]],[[1282393596451608560504298249630508087,1854940737833676882414604686686452612],[42759315343555897219309377511702319,47311784433703147028837615756879980]],[[4733833803865062189187427429524850840,0],[-1,0]],[[24,0],[1,0]]]>*] [x,x^2+1,x^2-x+55,x^2-219,x^6-2*x^5+2*x^4-6*x^3+18,x^3-x^2-x-11,x^4-2*x^3+4*x^2-1,0,0,x^4-2*x^3+4*x^2-1] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,11,73],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,2^2,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,11,73],[11,2,2,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,11]>,<1,3*73,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,11,73],[5,11,1,11],1,[1.000000000,0.8491566335,0.8234243552],<"notfaithful",0>,[6,11]>,<1,2^2*3*73,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,73],[11,11,2,11],1,[1.000000000,1.350708908,1.053682269],<"notfaithful",0>,[6,11]>,<2,2^4*3*73,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,11,73],[11,12,2,13],1,[1.000000000,0.5787819443,0.8519023648],<"notfaithful",0>,[6,11]>,<2,2^2*3*73,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,11,73],[11,12,1,12],1,[1.000000000,1.262687425,1.091588302],<"notfaithful",0>,[6,11]>,<3,2^4*3*73,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1]],[[1],[0],[-1]]],[2,3,11,73],[11,12,3,12],1,[1.000000000,0.7812580668,0.9758840327],<"notfaithful",0>,[6,11]>,<3,2^6*3^2*73^2,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,11,73],[11,12,3,13],1,[0,0,0],<"3.2e6_3e2_73e2.6t11.1",1>,[6,11]>,<3,2^6*3*73,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1]],[[1],[0],[-1]]],[2,3,11,73],[11,12,3,12],1,[1.000000000,1.218640159,1.034214227],<"3.2e6_3_73.6t11.1",1>,[6,11]>,<3,2^4*3^2*73^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[1]]],[2,3,11,73],[11,12,3,12],1,[1.000000000,0.8644493385,0.9160129621],<"notfaithful",0>,[6,11]>]
