x^2-x+30201 -107*1129 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[78],[-77]] 2 [2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,1,2,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<107,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[33063,107,1]>,[[-53,-1],[54,1]]>,<1129,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[348861,1129,1]>,[[-564,-1],[565,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[107,1129],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,107*1129,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[107,1129],[3,3],1,[1.000000000,0.6327163437,0.8373567651],<"1.107_1129.2t1.1",1>,[2,1]>]
x^5-x^3-4*x^2-x+1 -107*1129 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 17 x^2+16*x+3 5 [[125980,-617837],[-424770,181380],[72373,617837],[-487136,-181380],[-706304,0]] 2 [5,6,7,5,7,5,3,2,4,7,3,5,7,5,4,6,6,7,6,5,6,6,5,5,7,5,6,4,3,7,5,2,5,6,6,3,5,4,7,3,4,2,6,7,6,5,3,3,3,5,3,5,5,6,4,2,7,4,2,5,6,4,6,2,5,6,7,5,6,6,5,6,7,6,5,6,6,7,6,5,5,7,5,4,4,7,4,4,3,5,5,4,6,5,5,7,5,6,4,7,6,5,5,3,2,6,3,3,6,6,6,7,5,4,3,6,6,3,5,5,7,6,6,4,2,6,5,6,2,3,4,5,7,6,6,5,6,6,2,2,4,3,6,2,7,5,5,7,4,4,2,5,7,7,4,4,5,5,3,3,4,6,3,7,5,3,5,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<107,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[105,5,0,1]>,[[-7634785431352737655562392142670706238402,0,0],[16847391892095908381486720399888692528561,0,0],[1,0,0]]>,[[[19062391157523935876827643351616004259353,7276381152267783751641086202383771418582,-11444759691897126408046540289899018774249],[0,0,0]],[[9974221006000910127601793996881510058356,8113641156514993438782577132912251435458,-10301526274867855049577754782470629334748],[0,0,0]],[[-12189220271428937622942716948608821789164,-15390022308782777190423663335296022854040,-16950558658096809374741108066117728889004],[0,0,0]],[[-16847391892095908381486720399888692528553,0,0],[-1,0,0]],[[8,0,0],[1,0,0]]]>,<1129,2,2,[[1,2,3,5,4]],[[1,2,3,4,5],[1,2,3,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,2,3,5,4]]],20,<[],[4844916780793237453548716682525731865440005128340610204910042,-331600196299948020483246847221020239264312728284739373847711,1]>,[[-1510461983379494134843707485478416095788760463834501889826803,0],[194928831776385715110407206768879981184249838804705180059326,0],[983932955303160399250053431488515875340197896745057335919596,0],[331600196299948020483246847221020239264312728284739373847796,-1],[85,1]]>*] [x,x^2-x+30201,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[107,1129],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,107*1129,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[107,1129],[8,8],1,[1.000000000,0.6327163437,0.8373567651],<"notfaithful",0>,[5,5]>,<4,107^3*1129^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]]],[107,1129],[8,8],1,[0,0,0],<"4.107e3_1129e3.10t12.1",1>,[5,5]>,<4,107*1129,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[107,1129],[8,9],1,[1.000000000,0.5492580581,0.8548390126],<"4.107_1129.5t5.1",1>,[5,5]>,<5,107^2*1129^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[107,1129],[8,9],1,[0,0,0],<"5.107e2_1129e2.10t13.1",1>,[5,5]>,<5,107^3*1129^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[-2],[1]]],[107,1129],[8,9],1,[0,0,0],<"5.107e3_1129e3.6t14.1",1>,[5,5]>,<6,107^3*1129^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[107,1129],[8,9],1,[0,0,0],<"6.107e3_1129e3.20t35.1",1>,[5,5]>]
x^5+5*x^3+5*x-16 5^7*13^2 1 2 20 "F5" [[3,4,1,2,5],[2,3,4,1,5],[5,4,2,1,3]] [<1,1,[1,2,3,4,5]>,<2,5,[3,4,1,2,5]>,<4,5,[2,3,4,1,5]>,<4,5,[4,1,2,3,5]>,<5,4,[5,4,2,1,3]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 11 x^2+7*x+2 10 [[-10531095276,0],[-9665935235,7276089399],[-8723711826,-7276089399],[293235882,-4047752939],[2690081854,4047752939]] 2 [4,4,1,4,2,3,3,5,4,2,2,4,2,4,4,4,5,5,4,2,3,2,3,5,4,5,4,3,5,4,3,5,4,2,1,2,3,3,4,4,2,1,5,3,4,2,1,3,4,5,4,5,2,5,3,4,2,2,3,2,4,3,4,5,4,4,2,3,3,1,3,5,3,4,5,3,2,4,2,1,2,2,2,4,2,4,1,4,2,3,3,5,4,1,5,4,1,5,4,2,3,4,4,2,5,4,4,3,2,5,3,3,4,5,2,5,3,3,4,2,2,4,3,3,2,5,5,2,3,3,5,3,1,3,2,5,3,4,3,2,2,2,4,4,2,5,3,3,2,3,4,5,4,3,3,1,2,5,3,2,4,4,4,5,4,3,5,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5+125*x^3+3125*x-12950000,3>,<x^5+125*x^3+3125*x+50000,4>]*],[*[5],"CYC",0,5*]] [*<2,4,1,[[1,5,4,2,3]],[[1,2,3,4,5],[1,3,2,5,4],[1,5,4,2,3],[1,4,5,3,2]],[1,5,4,2,3],[1,2,4,3],[1],[[]],20,<[],[1,1,0,0,1]>,[[-33584,0,0,0],[226466,-182795,-67915,-233528],[-178178,131867,-181573,100760],[-20039,37927,-109083,-212676],[5335,13001,-165717,-178844]]>,<5,20,20,[[2,3,4,5,1],[1,4,2,5,3]],[[1,2,3,4,5],[1,5,4,3,2],[1,4,2,5,3],[1,3,5,2,4],[2,3,4,5,1]],[1,2,3,4,5],[1,2,3,4,5],[1,4],[[[2,3,4,5,1],[1,4,2,5,3]],[[2,3,4,5,1]]],20,<[],[98853048320,855459072000,-27249242759025,24910447820750,16998519142375,41660215581875,44092665889900,43376240925925,18830712481225,8089666377375,39921635317525,-18242114997175,-29614700311385,7925040986000,-34509203736275,-27716448871875,-32538637914005,14168229037275,28277731125,-199050,1]>,[[-6516691015009,-1620390324625,7274313469920,-5324182273715,-3310632267259,6809804197750,-2942232586435,7065391998975,7128933332412,-3875480708010,-4347623932180,2231550409390,-1069597446492,56705484750,-7757154849,-1298448276550,1265008781761,1127438784950,-108132106521,-1509578356652],[-700817598429,-2519883105100,8080011780565,7578168332260,-663533118859,-2397567664625,-7865436871345,3112042845074,7448969899602,-4571754179120,-9363753701566,9425219625520,790009004148,-1532665321910,681812958545,-839561598935,-1042108461544,864107708414,-494214885233,-275970619357],[96655241071,9017806715300,5394004364490,-2340484140890,5934333076651,-6738073025100,478841540500,-3871938286477,-3849673717558,574849958030,1284355254171,686420788375,-883328615772,-1726780404470,709818985117,689861753755,74709921756,197608005460,1075431023086,-1224960661212],[-5156326938829,6218235564625,6922776933095,-2456089745190,3192199643451,-5293311925750,2126798194275,2543639202827,-3762274766683,6605471943105,811294203326,-2802915814270,614255314103,-1835166685785,1801785434042,-1473672533505,-197467950209,844626774475,-573582061679,1584873705168],[-6796306016929,7977717477925,-8597620219945,2542587827535,-5152367333984,7619148417725,8202029723005,-8849135760399,-6965954747773,1266912985995,-7457758151876,9533211319110,548661744013,1223209661790,629037042770,-892876610390,-100142291764,780915992326,100498030347,1425635932053]]>,<13,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,2,3,4],[1],[[[1,3,2,5,4]]],20,<<[],[2,12,1]>,[[-2314993351974847789986,-8036173174684447320164],[5096190472156350091356,-6562551567609467149564],[1,0]]>,[[[-6081819118777691216405,0],[0,0]],[[-5096190472156350091344,6562551567609467149571],[-1,0]],[[12,7],[1,0]],[[-1466957608274090935698,6853585789404838957102],[-201180925580610902880,-155356845128055659703]],[[-6359996575672667195366,5588826417866493332121],[201180925580610902880,155356845128055659703]]]>*] [x,x^2-x-1,x^4-x^3+16*x^2-16*x+61,x^4-x^3+16*x^2-16*x+61,0] [1,2,4,2,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,13],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,13],[3,6,3],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[5,3]>,<1,5*13,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,5,13],[4,6,6],0,[-0.5257311121-0.8506508084*i,0.4097197215+0.6629404352*i,0.8895246921+0.3518241755*i],<"notfaithful",0>,[5,3]>,<1,5*13,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,5,13],[4,6,6],0,[-0.5257311121+0.8506508084*i,0.4097197215-0.6629404352*i,0.8895246921-0.3518241755*i],<"notfaithful",0>,[5,3]>,<4,5^7*13^2,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1]],[[1],[0],[-1]]],[2,5,13],[3,6,7],1,[0,0,0],<"4.5e7_13e2.5t3.1",1>,[5,3]>]
x^5-15*x^2+15*x-4 5^7*13^2 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 7 x^2+6*x+3 5 [[-2452,-2300],[-5459,2300],[-2612,0],[-4203,0],[-2081,0]] 3 [5,5,1,2,6,2,7,3,5,4,4,7,3,7,7,5,6,3,7,4,2,6,5,6,7,4,5,7,6,5,7,3,5,4,3,4,5,2,2,7,6,6,4,5,7,4,3,5,5,4,2,6,6,3,2,5,6,4,5,6,2,7,7,6,2,7,6,7,2,4,5,4,7,5,4,5,4,5,3,6,6,3,3,7,6,5,4,5,4,5,5,3,2,6,6,5,4,6,5,3,5,2,2,4,4,5,7,7,4,6,2,5,5,4,3,6,7,5,2,3,4,5,2,5,4,4,6,6,7,5,6,7,4,5,6,6,7,7,7,6,4,6,7,7,6,6,5,5,4,5,7,4,5,7,7,4,6,4,5,6,2,5,7,6,5,5,4,7] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<5,20,20,[[3,4,5,1,2],[1,4,2,5,3]],[[1,2,3,4,5],[1,5,4,3,2],[1,4,2,5,3],[1,3,5,2,4],[3,4,5,1,2]],[1,2,3,4,5],[1,3,5,5,6],[1,4],[[[3,4,5,1,2],[1,4,2,5,3]],[[3,4,5,1,2]]],20,<[],[-10045731758455,-47094790193000,43016923955950,-32806120115500,39419363445675,-13483654140000,43427382508500,-20090949797675,28844118103325,-28711729697750,47599076186950,14080876351600,-2931248324610,19413370695250,8427386550125,-44586434707875,44771365403615,32539516435200,-35345857211375,28737333068675,1]>,[[9494563178059,-5730472987125,7534250470470,2469105790385,-1903708149103,3048068398100,8284857987340,-5457578845175,-312719048187,7676467068215,3400692733390,6564462905145,247523103316,657994396715,-1448918654871,-1447669054080,758753799176,-875237006010,-1815886070725,301027595039],[-6634922896771,9117235132850,-9316960977205,-2168961767440,4175882580497,1922151975325,9426418721600,1661724538719,6925750399033,938816459880,-7216681169233,2723767817705,-806277353984,-1332176460975,-377914337017,-1553192958655,399693954451,199800948245,642722041670,1403563311249],[-3268814106771,9344094990860,-6785252334345,-3774208181565,-6412461628058,1439508334780,-7440437174020,-3048467927087,8630253716298,-6051502526855,-861847642427,-1045650259495,-24005509294,1125194646225,-1687040721830,-544006874940,-1494914375189,-674379714359,1575354157305,1386925046899],[-8684360816146,-6749991246735,-5503794571050,-6638596373315,8506189344017,-3269181611855,1828578637505,-871925959588,-5534066049152,8928383598030,3506288950818,3682241252660,138252731871,1539806827205,1040632183005,-180947279445,-1494127883859,1617970945749,708848391605,1247503817859],[9093534641629,-5980865889850,-5001728915995,-8960825796190,-4365902147353,-3140547096350,6974068155700,7716248193131,9364267310133,7581321728855,1171547127452,7148664612110,444507028091,1823877856455,-1341455734912,-88881098505,1830594505421,-268155173625,-1111038519855,-524322505421]]>,<13,6,3,[[1,2,4,5,3],[2,1,3,4,5]],[[1,2,3,4,5],[2,1,3,4,5],[1,2,4,5,3],[1,2,5,3,4],[2,1,4,5,3],[2,1,5,3,4]],[2,1,3,4,5],[1,2,4,4,7,7],[1],[[[1,2,4,5,3]]],20,<<[],[2,12,1]>,[[5681488369631078948151,0],[-1355354649800900193263,0],[-7570554225590774792049,0],[1,0]]>,[[[-5454983381574958988753,-3445778340610061838587],[0,0],[0,0]],[[-2115570844015815803311,3445778340610061838587],[0,0],[0,0]],[[-4150697722978923088110,0],[-484637044426791512208,0],[-415185348231717314856,0]],[[5,0],[1,0],[0,0]],[[-7283711826311101558632,0],[484637044426791512207,0],[415185348231717314856,0]]]>*] [x,x^2-x-1,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,13],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,5,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,13],[8,2],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[5,5]>,<4,5^7*13^2,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[0],[-1]]],[5,13],[8,9],1,[0,0,0],<"4.5e7_13e2.10t12.1",1>,[5,5]>,<4,5^7*13^2,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1]],[[1],[0],[-1]]],[5,13],[8,9],1,[0,0,0],<"4.5e7_13e2.5t5.1",1>,[5,5]>,<5,5^8*13^4,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1]],[[1],[-1]]],[5,13],[8,9],1,[0,0,0],<"5.5e8_13e4.10t13.1",1>,[5,5]>,<5,5^7*13^4,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[1]]],[5,13],[8,9],1,[0,0,0],<"5.5e7_13e4.6t14.1",1>,[5,5]>,<6,5^9*13^4,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1]],[[1],[0],[-1]]],[5,13],[8,9],1,[0,0,0],<"6.5e9_13e4.20t35.1",1>,[5,5]>]
