x^2-x+290 -19*61 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-110],[111]] 2 [1,2,1,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[380,19,1]>,[[-9,-1],[10,1]]>,<61,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1220,61,1]>,[[-30,-1],[31,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[19,61],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,19*61,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[19,61],[3,3],1,[1.000000000,1.476481934,1.205704048],<"1.19_61.2t1.1",1>,[2,1]>]
x^6-x^5-1272*x^4+853*x^3+532159*x^2-171370*x-73207685 5^3*13^4*337^3 6 0 6 "C6" [[4,3,5,6,2,1],[5,4,6,2,1,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,4,6,2,1,3]>,<3,1,[4,3,5,6,2,1]>,<3,1,[6,5,2,1,3,4]>,<6,1,[2,6,1,3,4,5]>,<6,1,[3,1,4,5,6,2]>] [[1,1,1,1,1,1],[2,2,2],[3,3],[6]] 31 x^2+29*x+3 5 [[5848213,-9615091],[-8642640,9615091],[-932508,9615091],[-1188769,-9615091],[-1605658,9615091],[6521363,-9615091]] 1 [5,5,1,6,5,2,4,6,3,5,2,5,3,6,2,1,6,6,3,6,1,1,1,5,4,5,2,5,2,6,3,1,6,6,4,2,1,4,5,6,3,1,6,5,3,6,3,3,6,1,2,1,4,4,3,5,6,5,4,1,5,4,1,1,2,1,4,1,4,3,5,2,3,6,3,4,1,4,3,4,3,1,3,6,5,1,4,3,6,2,1,5,6,5,1,4,3,2,3,2,1,5,6,5,1,1,3,2,1,5,4,3,4,1,4,6,4,5,5,6,3,5,2,6,5,1,6,6,1,1,5,3,5,3,6,3,4,6,6,5,1,3,6,1,3,4,2,1,2,2,4,5,2,3,5,1,6,4,2,2,5,4,1,6,3,2,5,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^2>,[<x-1258,3>,<x-1284,4>]*],[*[6],"RES",<[1],x^2>,[<x+427,5>,<x+401,6>]*]] [*<5,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,2],[1],[[[2,1,4,3,6,5]]],20,<[],[23569531454110,-16393923666950,1]>,[[16393923666950,-1],[0,1],[-23569531454528,-1],[-39963455121478,1],[-15917222532309,-1],[-32311146199259,1]]>,<13,6,3,[[2,3,1,5,6,4],[4,5,6,1,2,3]],[[1,2,3,4,5,6],[4,5,6,1,2,3],[2,3,1,5,6,4],[3,1,2,6,4,5],[5,6,4,2,3,1],[6,4,5,3,1,2]],[4,5,6,1,2,3],[1,2,3,4,5,6],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,12,1]>,[[-408048748572724337286,1671834091818465285165],[4632914082923729113784,4280841971727812048090],[-8833875483548640089175,6446422325608893084652],[1,0]]>,[[[-715937148210347928649,-8452241537284171975576],[-528875924322457653634,399160776071405761296],[1,0]],[[8,6],[1,0],[0,0]],[[-9455151143121811420961,2005819211675278890936],[528875924322457653633,-399160776071405761296],[-1,0]],[[6064788379344424971086,2180361271415356560447],[-528875924322457653634,399160776071405761296],[1,0]],[[6780725527554772899743,-8372360966181270902772],[1,0],[0,0]],[[-2674425615567038521226,-6366541754505992011842],[528875924322457653633,-399160776071405761296],[-1,0]]]>,<337,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,2],[1],[[[2,1,4,3,6,5]]],20,<[],[-7831856481871591182896240014651550079041849109442,-160285741887773231665372200302111425657245411793155,1]>,[[160285741887773231665372200302111425657245411793421,-1],[266,1],[-124757611947990504201722533011334500834320717138580,-1],[71898945902216973731576247299132222578527046993066,1],[-152041816846103589564262347450187935407149752889909,-1],[44614741004103888369036432860278788005698011241737,1]]>,<39541,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[-26400872040013191532280178662523680396443974716418953681229543355247608418396000346782221460,20507273677026288511985918612047737334567286312539933380127847403977641177976306383729775615,33330696226676197303590249708469355398660701233403940947686626752981225892206387841922348494,-518112911838051375507905497734865970170019056552983482677693723231825116695346766043840594,1027127602115085021158057374798994737406245410557904484024951016057349854286005579457430,736149466821894099387855249165431013702545359062646028775579639070723536954864750430411]>,<119131,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[-69053416787796565373630065467247743449696741882862085048440579720082677239306504559926225912422691145,800325486356467880881099430371997960262817448276095674063791532800389888964445525404452724650983764,20314868257561453169598374165156568457751738867107909979140240151785435989830277885491371999689697099,96676771574113756527182283173810352023627188583232254464536887603794092609988007823465255100815004329,301686392962194004334540692770195219445276249897893323096717314808300996654882375381265324559351,653274568038818360770207350371124602326512115725770662743285135719296950902655102027909427634668]>*] [x,x^2-x-421,x^3-x^2-4*x-1,0,x^3-x^2-4*x-1,0] [1,2,2,4,3,6] <[1],[2],[3,5],[4,6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,13,337,39541,119131],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,1]>,<1,5*337,1,[[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,13,337,39541,119131],[2,7,2,7,1,1],1,[1.000000000,0.3619273459,0.6951958440],<"notfaithful",0>,[6,1]>,<1,13,3,[[1,0],[1,0],[0,1],[-1,-1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,5,13,337,39541,119131],[3,1,7,1,1,1],0,[0.2526204075+0.9675654653*i,0.5663299165+0.3150964448*i,0.8121434926+0.2232040771*i],<"notfaithful",0>,[6,1]>,<1,5*13*337,3,[[1,0],[-1,0],[0,1],[-1,-1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[2,5,13,337,39541,119131],[5,7,7,7,1,1],0,[-0.2526204075-0.9675654653*i,1.131590229-1.038089387*i,1.119752683-0.3865181837*i],<"1.5_13_337.6t1.1",1>,[6,1]>,<1,13,3,[[1,0],[1,0],[-1,-1],[0,1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,5,13,337,39541,119131],[3,1,7,1,1,1],0,[0.2526204075-0.9675654653*i,0.5663299165-0.3150964448*i,0.8121434926-0.2232040771*i],<"notfaithful",0>,[6,1]>,<1,5*13*337,3,[[1,0],[-1,0],[-1,-1],[0,1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[2,5,13,337,39541,119131],[5,7,7,7,1,1],0,[-0.2526204075+0.9675654653*i,1.131590229+1.038089387*i,1.119752683+0.3865181837*i],<"1.5_13_337.6t1.1",2>,[6,1]>]
x^4-7*x^2-567 -7^3*331^2 2 1 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 53 x-1 6 [[5873351621],[-5740894051],[5740894051],[-5873351621]] 4 [3,4,5,4,3,4,5,5,3,3,5,3,4,2,4,1,4,4,1,1,4,1,5,5,4,4,5,3,1,2,2,5,3,5,2,3,5,2,5,5,2,4,1,1,2,4,3,5,4,4,1,2,5,4,4,3,5,5,3,2,5,5,4,4,5,3,1,1,2,4,5,3,5,3,3,4,1,4,2,4,5,3,2,5,4,3,2,1,5,2,4,4,1,3,3,5,4,4,4,3,1,3,5,1,3,4,5,4,2,5,5,3,3,4,3,3,4,5,3,2,4,3,4,1,4,2,3,4,4,5,2,2,2,1,4,4,5,5,4,3,5,3,2,2,5,5,5,5,5,3,2,5,3,5,2,3,3,4,4,5,3,2,3,4,3,5,1,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-42,2>,<x^2+81648,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[4,3,2,1],[1,3],[1],[[]],20,<[],[1,1,1]>,[[-148316,-86615],[148316,86615],[61701,-86615],[-61701,86615]]>,<3,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[2,2,1]>,[[722134184,0],[-722134184,0],[1792602,1792602],[-1792602,-1792602]]>,<7,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[3,6,1]>,[[-567,0],[0,0],[-7,0],[0,0],[1,0]]>,[[[0,0],[-1,0],[0,0],[0,0]],[[0,0],[-1811245336334151,-603748445444717],[0,0],[415411931648361,138470643882787]],[[0,0],[1,0],[0,0],[0,0]],[[0,0],[1811245336334151,603748445444717],[0,0],[-415411931648361,-138470643882787]]]>,<331,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[89393623318063427779363331178502944141894988759706,-82045838591142555007114835664904519003786761665547,1]>,[[82045838591142555007114835664904519003786761665865,-1],[318,1],[-318,-1],[-82045838591142555007114835664904519003786761665865,1]]>*] [x,x^2-x-579,x^2-x+2,x^2-x+83,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,331],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,7*331,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,331],[3,1,6,6],1,[1.000000000,0.7725170536,0.8566157437],<"notfaithful",0>,[4,3]>,<1,7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,331],[1,4,6,1],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[4,3]>,<1,331,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,331],[3,3,3,6],1,[1.000000000,0.5180326472,0.7273844767],<"notfaithful",0>,[4,3]>,<2,7^2*331,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]]],[2,3,7,331],[3,3,6,7],1,[1.000000000,1.476954594,1.078876002],<"2.7e2_331.4t3.2",1>,[4,3]>]
x^4-29*x^2+68 17*569^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 151 x-1 5 [[-27222742783],[-34873413715],[34873413715],[27222742783]] 1 [1,5,4,4,5,2,4,3,5,5,5,5,4,2,3,3,3,4,2,4,5,4,3,3,5,2,3,4,5,4,2,4,3,4,3,1,3,5,5,5,3,5,3,5,4,5,5,3,5,2,5,1,4,1,3,1,5,3,5,2,5,1,1,5,4,4,1,5,4,3,3,3,4,1,5,2,1,4,5,2,5,3,4,2,4,1,5,1,3,3,3,4,4,3,4,4,3,5,3,4,5,3,3,3,4,1,2,3,3,4,5,3,5,4,3,4,5,3,5,2,3,4,5,4,4,2,4,5,2,2,2,4,4,3,3,2,3,5,2,5,4,4,4,5,2,5,4,4,3,3,5,5,3,4,4,5,1,4,3,4,5,3,3,3,3,5,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-174,2>,<x^2-9792,3>]*],[*[4],"CYC",0,5*]] [*<2,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[126730,-126730,148757,-148757]>,<17,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,16,1]>,[[758911534191082267571311,0],[0,0],[1,0]]>,[[[1778024061427398437979214,1238310859340317935347802],[0,0]],[[-1778024061427398437979214,-1238310859340317935347802],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<569,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[3,568,1]>,[[-2454918784830220648194987653298124083433254081199245780,2189588048989946472336692885841705555149459053027768667],[-671540953420926149636841508009120362984290267937645573,933356217316659923552322533277950596665377055640376083],[1,0]]>,[[[671540953420926149636841508009120362984290267937646043,-933356217316659923552322533277950596665377055640375885],[-1,0]],[[470,198],[1,0]],[[-470,-198],[-1,0]],[[-671540953420926149636841508009120362984290267937646043,933356217316659923552322533277950596665377055640375885],[1,0]]]>*] [x,x^2-x-142,x^2-x-4,x^2-x-2418,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,17,569],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,569,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,17,569],[1,1,6],1,[1.000000000,1.884766842,1.268171025],<"notfaithful",0>,[4,3]>,<1,17,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,17,569],[1,6,1],1,[1.000000000,1.016084834,1.126461493],<"notfaithful",0>,[4,3]>,<1,17*569,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,17,569],[1,6,6],1,[1.000000000,2.587753014,1.434472439],<"notfaithful",0>,[4,3]>,<2,17*569,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[2,17,569],[1,6,6],1,[1.000000000,2.839497999,1.729982102],<"2.17_569.4t3.2",1>,[4,3]>]
x^4+41*x^2+333 37*349^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 73 x-1 6 [[-68827949608],[50457457451],[-50457457451],[68827949608]] 2 [5,1,4,3,3,5,4,4,4,4,4,1,2,5,3,3,5,5,2,3,1,5,1,5,5,3,5,3,4,5,3,5,3,1,3,2,2,5,5,3,5,1,4,5,3,5,3,1,4,3,2,4,4,5,4,1,1,2,5,4,4,1,2,5,4,3,5,1,5,3,4,3,3,3,3,5,5,1,5,4,2,5,5,3,5,1,4,4,5,5,4,4,5,2,5,5,3,3,5,4,4,5,4,5,3,4,4,3,3,3,4,2,2,3,4,2,5,4,4,3,4,1,3,4,3,4,5,3,4,3,1,1,3,5,3,5,2,3,5,4,3,1,2,5,5,3,4,5,5,3,3,3,4,3,5,5,5,2,2,2,4,2,4,2,4,1,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+246,2>,<x^2-47952,3>]*],[*[4],"CYC",0,5*]] [*<2,4,1,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[]],20,<[],[1,1,0,0,1]>,[[103560,-73295,222253,138080],[-103560,73295,-222253,-138080],[-149603,-124775,-146121,-24708],[149603,124775,146121,24708]]>,<3,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[721141517,-721141517,142959318,-142959318]>,<37,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-5844084179785385887742288687701,0,1]>,[[3738761583080959288644598428715,0],[-3738761583080959288644598428715,0],[0,-1],[0,1]]>,<349,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,348,1]>,[[181819463080478367244505906065265367295263711675058,-111173314397058022539275527152352692635944225321159],[-240348555710508607170611384796468021330869383187397,-96373334391274156536193989111642474609268231060334],[1,0]]>,[[[240348555710508607170611384796468021330869383187423,96373334391274156536193989111642474609268231060631],[-1,0]],[[26,297],[1,0]],[[-26,-297],[-1,0]],[[-240348555710508607170611384796468021330869383187423,-96373334391274156536193989111642474609268231060631],[1,0]]]>*] [x,x^2-x-87,x^2-x-9,x^2-x-3228,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,37,349],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,349,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,37,349],[3,1,1,6],1,[1.000000000,1.051432743,0.9143206818],<"notfaithful",0>,[4,3]>,<1,37,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,37,349],[4,1,6,1],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[4,3]>,<1,37*349,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,37,349],[1,1,6,6],1,[1.000000000,1.959652305,1.398046396],<"notfaithful",0>,[4,3]>,<2,37*349,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,3,37,349],[5,1,6,7],1,[1.000000000,1.910771921,1.193386091],<"2.37_349.4t3.2",1>,[4,3]>]
x^4+5*x^2+69 3*23*251^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 5 x-1 9 [[-695049],[616312],[-616312],[695049]] 3 [5,1,1,4,3,1,2,5,1,5,2,5,4,5,5,3,5,5,4,5,2,4,2,1,5,4,4,3,5,2,3,4,3,3,2,3,5,3,5,4,4,4,3,3,4,5,2,3,2,5,4,5,4,1,5,2,5,1,3,3,5,3,3,4,5,4,2,4,5,3,5,1,5,4,5,3,3,3,3,3,3,5,2,5,3,4,4,5,5,3,3,3,3,4,3,1,4,3,4,2,1,3,3,1,4,1,4,4,5,3,1,5,2,4,5,3,5,5,5,3,5,3,2,4,2,3,4,4,4,5,1,1,4,4,5,4,2,5,3,5,2,4,3,2,3,2,1,5,2,4,1,3,3,5,4,3,5,5,5,3,4,3,1,1,3,3,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+30,2>,<x^2-9936,3>]*],[*[4],"CYC",0,5*]] [*<2,4,1,[[4,3,1,2]],[[1,2,3,4],[2,1,4,3],[4,3,1,2],[3,4,2,1]],[4,3,1,2],[1,2,5,5],[1],[[]],20,<[],[1,1,0,0,1]>,[[109490,-126675,-81283,-28776],[-109490,126675,81283,28776],[-14831,252079,-48931,154988],[14831,-252079,48931,-154988]]>,<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-364239402,0,1]>,[[1297448276,0],[-1297448276,0],[0,-1],[0,1]]>,<23,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[136595322384731408500123711,0,1]>,[[-610818406229894011062817225,0],[610818406229894011062817225,0],[0,-1],[0,1]]>,<251,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-406608510140263616550357223144992030268284152182,221407352654297772332376951198551836292573048585,1]>,[[-221407352654297772332376951198551836292573048359,-1],[226,1],[-226,-1],[221407352654297772332376951198551836292573048359,1]]>*] [x,x^2-x+63,x^2-x-17,x^2-x+4330,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,23,251],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,251,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,23,251],[3,1,1,6],1,[1.000000000,1.388068990,0.9555866966],<"notfaithful",0>,[4,3]>,<1,3*23,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,23,251],[4,6,6,1],1,[1.000000000,0.7746280617,0.8265466055],<"notfaithful",0>,[4,3]>,<1,3*23*251,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,23,251],[1,6,6,6],1,[1.000000000,2.673661912,1.371274538],<"notfaithful",0>,[4,3]>,<2,3*23*251,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,3,23,251],[5,6,6,6],1,[1.000000000,1.833000272,1.154098453],<"2.3_23_251.4t3.3",1>,[4,3]>]
