x^2-x-413198 3*73*7547 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[5434],[-5433]] 1 [1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-413196,3,1]>,[[-1,-1],[2,1]]>,<73,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-411866,73,1]>,[[-36,-1],[37,1]]>,<7547,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[13826104,7547,1]>,[[-3773,-1],[3774,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,73,7547],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*73*7547,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,73,7547],[3,3,3],1,[1.000000000,2.160362547,1.311714217],<"1.3t73t7547.2.1.2t1.1",1>,[2,1]>]
x^5-x^4-10*x^3+3*x^2+11*x-1 3*73*7547 5 0 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 13 x^2+12*x+2 5 [[-134505,-177173],[-181286,-49474],[135106,177173],[139577,0],[41109,49474]] 1 [6,4,7,3,7,3,6,7,3,6,4,6,3,5,5,2,4,2,6,5,2,5,5,5,5,5,6,5,3,5,4,7,6,6,6,4,5,6,5,3,5,3,7,6,4,4,6,5,7,3,3,6,6,6,6,2,4,5,6,3,3,7,3,6,5,5,4,3,5,7,3,4,5,6,7,5,6,6,7,6,4,7,5,6,4,5,7,7,7,6,5,6,5,2,4,6,4,7,5,5,4,4,7,5,3,5,7,7,6,7,4,5,5,4,2,6,5,3,5,7,2,3,6,5,5,4,7,6,4,5,5,6,6,2,5,5,5,5,4,5,7,4,4,4,5,7,7,5,5,3,4,3,5,4,6,3,5,1,3,6,4,3,4,4,6,5,3,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<3,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[1,2,0,1]>,[[-747106413,0,0],[1630207008,0,0],[1,0,0]]>,[[[1340771604,1180180094,-273669149],[0,0,0]],[[-5163996,-1528715027,-1283120849],[0,0,0]],[[294599399,348534933,1556789998],[0,0,0]],[[-1630207007,0,0],[-1,0,0]],[[1,0,0],[1,0,0]]]>,<7,2,1,[[3,2,1,5,4]],[[1,2,3,4,5],[3,2,1,5,4]],[3,2,1,5,4],[1,3],[1],[[]],20,<[],[3,6,1]>,[[-21477216642309737,-34653912589527155],[-32211999385056689,0],[26861726299629191,34653912589527155],[1181550389125816,3521865298667828],[2848148967865134,-3521865298667828]]>,<73,4,2,[[1,2,3,5,4],[2,1,3,4,5]],[[1,2,3,4,5],[2,1,3,4,5],[1,2,3,5,4],[2,1,3,5,4]],[2,1,3,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[5,70,1]>,[[5815434654330656733700306496406309792,0],[289162240269233692094590263715251786,0],[1,0]]>,[[[1938680933717623805734184081250745841,-2278988381194706355255359527528349410],[0,0]],[[-4758422331869661941438077658962460268,2278988381194706355255359527528349410],[0,0]],[[3108903638421271827798483841426966120,0],[0,0]],[[-289162240269233692094590263715251739,0],[-1,0]],[[47,0],[1,0]]]>,<7547,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,7543,1]>,[[148043397602552829988693698615576479561249357292799220918178498016789122015983,0],[-12542641168078875043797757366187548314778573587058572551024178899005724197699,0],[1,0]]>,[[[-53958876097809885767230954365613008056730823237993384459293625757415958506998,0],[0,0]],[[146019688874608894321230171281301261770500495065649567456456287750980231145326,-6540657199497393256980788981876609207446361130080753602249276111450633405854],[0,0]],[[-104603453944877883597796974281875802028548245414714755548186840892569996849290,6540657199497393256980788981876609207446361130080753602249276111450633405854],[0,0]],[[12542641168078875043797757366187548314778573587058572551024178899005724204331,0],[-1,0]],[[6632,0],[1,0]]]>*] [x,x^2-x-413198,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,73,7547],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,3*73*7547,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,7,73,7547],[8,1,8,8],1,[1.000000000,2.160362547,1.311714217],<"notfaithful",0>,[5,5]>,<4,3^3*73^3*7547^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]],[[1],[1]]],[3,7,73,7547],[8,3,9,9],1,[0,0,0],<"4.3e3t73e3t7547e3.120.1.10t12.1",1>,[5,5]>,<4,3*73*7547,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[3,7,73,7547],[8,3,9,9],1,[1.000000000,0.3838297790,0.7133387876],<"4.3t73t7547.120.1.5t5.1",1>,[5,5]>,<5,3^2*73^2*7547^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[3,7,73,7547],[8,2,9,9],1,[0,0,0],<"5.3e2t73e2t7547e2.120.1.10t13.1",1>,[5,5]>,<5,3^3*73^3*7547^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[0],[-1]]],[3,7,73,7547],[8,3,9,9],1,[0,0,0],<"5.3e3t73e3t7547e3.120.1.6t14.1",1>,[5,5]>,<6,3^3*73^3*7547^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[1],[-1],[-1]]],[3,7,73,7547],[8,3,9,9],1,[0,0,0],<"6.3e3t73e3t7547e3.120.1.20t35.1",1>,[5,5]>]
x^6-x^5+38*x^4-23*x^3+493*x^2-246*x+2211 -3^3*17^3*31^2 0 3 12 "D12" [[3,5,1,4,2,6],[1,2,4,3,6,5],[2,1,6,5,4,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[2,1,5,6,3,4]>,<2,3,[2,1,6,5,4,3]>,<2,3,[3,5,1,4,2,6]>,<3,2,[4,6,1,3,2,5]>,<6,2,[5,3,6,2,4,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 11 x^2+7*x+2 10 [[6526688916,0],[-9122628931,0],[4290397997,-1195213123],[12656889858,1195213123],[-11358919850,-1195213123],[-2992427989,1195213123]] 3 [6,4,5,6,4,4,4,5,4,4,2,3,5,4,2,3,6,3,1,5,3,3,3,3,6,6,5,5,6,5,4,1,3,3,2,4,5,6,4,1,3,3,6,6,4,3,6,4,1,4,5,3,3,3,6,3,4,4,3,6,2,2,5,5,3,5,4,3,4,1,3,6,3,5,2,3,3,6,4,4,5,5,1,4,6,6,4,4,3,4,6,5,3,3,3,5,3,1,4,6,6,3,6,3,3,1,3,6,6,3,2,4,1,3,4,4,3,3,1,6,5,3,4,5,6,6,3,4,5,5,4,4,6,4,3,5,3,3,3,4,2,4,3,4,4,1,2,1,4,3,6,4,4,5,6,4,1,4,1,4,4,3,4,2,6,4,3,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x-7,2>,<x^3-39*x^2+511*x-2257,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<3,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[-904752390,0],[1600645689,0],[1,0]]>,[[[-1600645689,0],[-1,0]],[[0,0],[1,0]],[[-561679458,-161518036],[-1,0]],[[1038966231,-161518036],[1,0]],[[-238643386,161518036],[-1,0]],[[1362002303,161518036],[1,0]]]>,<17,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,16,1]>,[[-132183322165700530869136,0],[1726408305388702610390827,0],[1,0]]>,[[[-1726408305388702610390821,0],[-1,0]],[[6,0],[1,0]],[[-797393341020037212756135,716319480662312152930497],[-1,0]],[[929014964368665397634692,716319480662312152930497],[1,0]],[[-65810811674314092439284,-716319480662312152930497],[-1,0]],[[1660597493714388517951543,-716319480662312152930497],[1,0]]]>,<31,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[1],[[[1,2,4,3,6,5]]],20,<<[],[3,29,1]>,[[150321386004159311360443311717,-234979102902021256452405728036],[228354369446129979522366246743,260915357843849980852587139164],[1,0]]>,[[[-72230433104948847732263217019,-130457678921924990426293569575],[0,0]],[[-319700917283617817586605308950,130457678921924990426293569575],[0,0]],[[-228354369446129979522366246714,-260915357843849980852587139157],[-1,0]],[[29,7],[1,0]],[[195965675194283332659434262956,-7],[-1,0]],[[-247470484178668969854342091902,260915357843849980852587139157],[1,0]]]>,<137873,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[981503470642069271651291228423609580359531876889386945184362472944785765404885946092932269193417304226,-1552523898804440659380704871630200053371533784524870586525136165721856404062889285901800013077999055455,-1003627121783965807535392535039320534834052711687910169833457183989097856304468324595992725946911921460,-1516441220239659151054085634802792442841977479736747679561553388557532493785775354055142565249641025528,-21897976579414707275377672838554613709964096845625774736627268144530062788426601988799277287928940,-19055034744980562131542702269285425110022395774836705575451211798224374412997255041828967145708187]>*] [x,x^2-x+8,x^2-x+13,x^2-x-395,x^3+x-1,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,17,31,137873],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,31,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[3,17,31,137873],[3,3,7,1],1,[1.000000000,1.692740092,1.252979949],<"notfaithful",0>,[6,3]>,<1,3*17,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[3,17,31,137873],[7,7,2,1],1,[1.000000000,0.8798219250,0.8313330724],<"notfaithful",0>,[6,3]>,<1,3*17*31,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,17,31,137873],[7,7,7,1],1,[1.000000000,0.6767733718,0.8063562483],<"notfaithful",0>,[6,3]>,<2,31,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[3,17,31,137873],[3,3,7,1],1,[1.000000000,0.4313610546,0.7242255250],<"notfaithful",0>,[6,3]>,<2,3^2*17^2*31,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[3,17,31,137873],[7,7,8,1],1,[1.000000000,1.162205525,1.200361301],<"2.3e2t17e2t31.12.1.6t3.2",1>,[6,3]>]
