x^2+4894 -2^3*2447 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-809],[809]] 2 [1,2,1,2,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,1,2,1,2,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[4894,0,1]>,[[0,1],[0,262143]]>,<2447,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4894,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,2447],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*2447,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,2447],[3,3],1,[1.000000000,0.8981479559,0.9220826845],<"1.2e3_2447.2t1.1",1>,[2,1]>]
x^4-2*x^3-12*x^2+13*x-1 37*173^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 41 x-1 5 [[-10029164],[38081594],[-38081593],[10029165]] 1 [5,3,5,3,3,4,5,5,4,4,4,4,1,4,1,3,5,5,2,3,2,5,1,4,5,3,5,3,4,4,3,5,1,1,2,2,1,4,4,3,4,3,5,5,2,5,2,3,4,2,2,5,5,4,4,2,1,3,5,5,5,3,3,4,4,1,4,2,4,3,5,2,2,3,2,4,4,2,4,5,2,5,4,3,5,3,5,5,5,4,4,4,5,3,5,4,1,3,4,4,5,4,5,5,1,5,5,3,3,3,4,3,3,1,5,2,4,5,5,2,4,3,1,4,1,4,5,3,4,1,2,1,3,5,3,4,2,2,5,4,2,3,3,4,4,3,5,5,4,3,3,1,5,1,5,5,4,2,3,3,5,1,5,2,5,2,4,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+13,2>,<x^2-28*x+159,3>]*],[*[4],"CYC",0,5*]] [*<37,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,33,1]>,[[491103123139393857525896520171,0],[37,0],[1,0]]>,[[[-3700154137081986910613480557125,4680517496741337492896267133132],[0,0]],[[3700154137081986910613480557126,-4680517496741337492896267133132],[0,0]],[[-18,0],[-1,0]],[[19,0],[1,0]]]>,<173,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,169,1]>,[[-99280504058095511287145162561398644158236177,-87986437602005029256622519447229532801515160],[-245483378561585710027332189839573158291724209,-251996233080579141463220949236301561556365797],[1,0]]>,[[[245483378561585710027332189839573158291724306,251996233080579141463220949236301561556365965],[-1,0]],[[97,168],[1,0]],[[-96,-168],[-1,0]],[[-245483378561585710027332189839573158291724305,-251996233080579141463220949236301561556365965],[1,0]]]>*] [x,x^2-x-43,x^2-x-9,x^2-x-1600,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[37,173],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,173,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[37,173],[1,6],1,[1.000000000,0.3909108412,0.6766361381],<"notfaithful",0>,[4,3]>,<1,37,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[37,173],[6,1],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[4,3]>,<1,37*173,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[37,173],[6,6],1,[1.000000000,1.522444926,1.211826758],<"notfaithful",0>,[4,3]>,<2,37*173,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[37,173],[6,6],1,[1.000000000,0.8846191278,0.9525594069],<"2.37_173.4t3.2",1>,[4,3]>]
x^6-3*x^5+8*x^4-11*x^3-8*x^2+13*x-41 2^4*3^3*17*47^3 2 2 48 "C2*S4" [[3,2,1,6,5,4],[2,3,1,6,4,5],[1,2,4,3,5,6]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,5,4,3,2,1]>,<2,3,[1,5,3,4,2,6]>,<2,3,[1,5,4,3,2,6]>,<2,6,[3,2,1,6,5,4]>,<2,6,[3,5,1,6,2,4]>,<3,8,[2,3,1,6,4,5]>,<4,6,[1,4,2,5,3,6]>,<4,6,[6,4,2,5,3,1]>,<6,8,[2,4,1,6,3,5]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 109 x^2+108*x+6 8 [[-8524531881436002,0],[-7507970232057479,1628301781754933],[4033924909472955,1628301781754933],[-4033924909472954,-1628301781754933],[7507970232057480,-1628301781754933],[8524531881436003,0]] 4 [6,5,10,10,10,8,8,6,10,10,9,10,3,6,4,8,8,3,8,9,9,10,6,8,10,6,7,10,5,2,8,9,4,5,8,8,7,9,10,9,7,5,8,9,5,5,5,6,10,8,10,6,10,8,7,6,5,7,3,7,10,7,7,10,9,10,4,10,9,8,8,7,5,8,10,8,4,3,9,8,10,8,5,6,10,1,10,7,7,6,7,9,3,6,9,10,1,9,7,2,9,7,1,7,3,6,4,4,7,10,5,7,9,10,8,10,2,8,5,8,4,5,3,9,5,7,10,5,8,7,7,3,5,6,6,4,6,9,7,10,10,3,10,5,6,10,3,10,6,6,5,10,4,3,10,5,8,9,8,9,5,7,7,7,6,3,10,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3+2*x^2-340*x-872,4>,<x^6+38*x^5+676*x^4+1000*x^3-171232*x^2-3430016*x-20012544,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-5,2>,<x^6+4*x^5+81*x^4+6168*x^3-87813*x^2+1457892*x-3633741,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,6,3,[[2,3,1,5,6,4],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[2,3,1,5,6,4]],[4,6,5,1,3,2],[1,6,7],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[36478,72956],[208980,0],[106008,212016],[1,0]]>,[[[2,3],[2,0],[0,0]],[[-7182,50131],[116064,101058],[46236,0]],[[57314,50131],[15006,30014],[84836,0]],[[-1,-3],[131070,0],[0,0]],[[7183,-50131],[15008,30014],[84836,0]],[[-57313,-50131],[116066,101058],[46236,0]]]>,<3,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,6,5,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[-1199996256,0],[3,0],[1,0]]>,[[[-1,0],[-1,0]],[[2,0],[1,0]],[[-447249888,-1386877139],[-535843300,0]],[[1160280012,-1386877139],[535843300,0]],[[-1160280011,1386877139],[-535843300,0]],[[447249889,1386877139],[535843300,0]]]>,<17,8,2,[[1,2,3,4,6,5],[3,4,2,1,5,6]],[[1,2,3,4,5,6],[2,1,4,3,5,6],[1,2,3,4,6,5],[2,1,4,3,6,5],[3,4,2,1,5,6],[4,3,1,2,5,6],[3,4,2,1,6,5],[4,3,1,2,6,5]],[3,4,2,1,5,6],[1,4,3,2,8,8,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[3,10,7,0,1]>,[[-565361474001529475697466,0,0,0],[17,0,0,0],[1,0,0,0]]>,[[[-271720534880353234271775,1211296841769343012466431,-1777734014851057112627114,-1103261520822420955797664],[0,0,0,0]],[[271720534880353234271776,-1211296841769343012466431,1777734014851057112627114,1103261520822420955797664],[0,0,0,0]],[[-1688219328641706031478058,1310339959439492376061272,650106525375524598683539,826264846555051890551141],[0,0,0,0]],[[1688219328641706031478059,-1310339959439492376061272,-650106525375524598683539,-826264846555051890551141],[0,0,0,0]],[[-8,0,0,0],[-1,0,0,0]],[[9,0,0,0],[1,0,0,0]]]>,<47,4,2,[[2,1,4,3,6,5],[6,5,3,4,2,1]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[6,5,3,4,2,1],[5,6,4,3,1,2]],[6,5,3,4,2,1],[1,6,4,6],[1],[[[2,1,4,3,6,5]]],20,<<[],[5,45,1]>,[[-1022998775375601683624826530962810,0],[47,0],[1,0]]>,[[[1131255533691771730103754357645408,-257129610942847457489916252031582],[1167576860155685737494559110201,-11721166043880088806492786546441]],[[1076379421264454500441510079465961,293765193119516716415244715651145],[-1167576860155685737494559110201,11721166043880088806492786546441]],[[-23,0],[-1,0]],[[24,0],[1,0]],[[-1076379421264454500441510079465960,-293765193119516716415244715651145],[1167576860155685737494559110201,-11721166043880088806492786546441]],[[-1131255533691771730103754357645407,257129610942847457489916252031582],[-1167576860155685737494559110201,11721166043880088806492786546441]]]>*] [x,x^2-x-4,x^2-x-35,x^2-x-599,x^6-x^5-23*x^4+13*x^3+80*x^2-46*x+2,x^3-x^2-5*x+3,x^4-x^3-12*x^2+4*x+50,0,0,x^4-x^3-12*x^2+4*x+50] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,17,47],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,17,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,17,47],[1,2,11,1],1,[1.000000000,1.016084834,1.126461493],<"notfaithful",0>,[6,11]>,<1,3*47,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,17,47],[5,11,5,11],1,[1.000000000,0.8837536146,0.8488551122],<"notfaithful",0>,[6,11]>,<1,3*17*47,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,17,47],[2,11,11,11],1,[1.000000000,0.3179305376,0.7373916840],<"notfaithful",0>,[6,11]>,<2,2^2*3*17^2*47,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,17,47],[11,12,11,13],1,[1.000000000,1.179864000,0.9655944587],<"notfaithful",0>,[6,11]>,<2,2^2*3*47,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,17,47],[11,12,5,12],1,[1.000000000,0.9099869063,1.047233019],<"notfaithful",0>,[6,11]>,<3,2^2*3*17^2*47,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[-2],[1]],[[1],[1]],[[1],[0],[-1]]],[2,3,17,47],[11,12,13,14],1,[1.000000000,3.730565413,1.672437788],<"notfaithful",0>,[6,11]>,<3,2^2*3^2*17*47^2,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[1]]],[2,3,17,47],[11,11,12,11],1,[1.000000000,0.5107622990,0.7216311347],<"3.2e2_3e2_17_47e2.6t11.2",1>,[6,11]>,<3,2^2*3*17*47,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[-1]]],[2,3,17,47],[11,12,13,14],1,[1.000000000,1.108475219,1.078182636],<"3.2e2_3_17_47.6t11.2",1>,[6,11]>,<3,2^2*3^2*17^2*47^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]],[[1],[-1]]],[2,3,17,47],[11,12,12,11],1,[0,0,0],<"notfaithful",0>,[6,11]>]
x^6-3*x^5+52*x^4-95*x^3+910*x^2-1069*x+5597 -2^6*13^2*67^3 0 3 12 "D12" [[2,1,6,4,5,3],[6,5,4,3,2,1],[1,4,5,2,3,6]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,3,2,5,4,1]>,<2,3,[6,5,4,3,2,1]>,<2,3,[2,1,6,4,5,3]>,<3,2,[4,1,6,2,3,5]>,<6,2,[3,5,4,6,1,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 19 x^2+18*x+2 9 [[-112398482924,0],[158659080442,-45213233028],[124862561025,-45213233028],[4434181609,45213233028],[-29362337808,45213233028],[-146195002341,0]] 3 [2,6,6,6,3,2,5,4,4,4,2,5,3,6,5,3,4,3,4,5,4,3,4,4,3,3,4,1,6,2,4,5,3,6,1,5,4,4,1,4,6,4,3,4,6,4,5,5,4,6,6,6,4,2,5,4,4,6,4,3,1,5,4,3,6,1,3,6,6,5,3,1,3,3,3,6,4,1,3,3,5,5,5,6,4,6,4,4,5,2,1,5,2,5,3,3,1,6,1,6,6,5,6,5,5,3,3,3,3,5,4,1,4,4,6,2,4,3,3,1,2,6,3,3,4,3,1,4,3,6,3,5,4,3,4,3,5,3,4,6,3,5,4,4,4,1,5,2,1,5,5,5,6,4,5,4,3,3,2,6,4,5,5,5,4,6,3,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x-45,2>,<x^3-159*x^2+8483*x-152549,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[1,3,2,4,6,5],[4,5,6,1,2,3]],[[1,2,3,4,5,6],[4,5,6,1,2,3],[1,3,2,4,6,5],[4,6,5,1,3,2]],[4,5,6,1,2,3],[1,2,4,3],[3],[[[1,3,2,4,6,5]]],20,<<[],[1,1,1]>,[[287994,205056],[121096,-476864],[1,0]]>,[[[240314,-238433],[0,0]],[[0,1],[1,0]],[[-121096,-47423],[-1,0]],[[-45541,238433],[0,0]],[[23711,47423],[1,0]],[[-97385,-1],[-1,0]]]>,<11,2,1,[[3,4,1,2,6,5]],[[1,2,3,4,5,6],[3,4,1,2,6,5]],[3,4,1,2,6,5],[1,3],[1],[[]],20,<[],[2,7,1]>,[[170979895826623484336,-193562043387572919838],[276739903978462693697,248328836158047727966],[180414209674513904800,193562043387572919838],[-116061959262751383663,-248328836158047727966],[-3178092213812711545,-23862018449048104732],[-19621234415719617294,23862018449048104732]]>,<13,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,12,1]>,[[7800594381459655523696,4497029673468191435745],[-7632698552878919493064,-2183298318105407100494],[1,0]]>,[[[2514504422629344692001,1091649159052703550249],[0,0]],[[8419678288877701527814,-1091649159052703550249],[0,0]],[[7632698552878919493073,2183298318105407100496],[-1,0]],[[9,2],[1,0]],[[-5467091355753523109915,-2],[-1,0]],[[5905173866248356835822,-2183298318105407100496],[1,0]]]>,<67,4,2,[[2,1,4,3,6,5],[5,6,3,4,1,2]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,3,4,1,2],[6,5,4,3,2,1]],[5,6,3,4,1,2],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,63,1]>,[[-1101195874530160536951177160411308025,0],[-1035659326054962394390172185417594764,0],[1,0]]>,[[[1179749270423924451254289817182468179,-1262942917998495734404272783001699384],[-1,0]],[[144089944368962056864117631764873415,-1262942917998495734404272783001699384],[1,0]],[[1035659326054962394390172185417594822,0],[-1,0]],[[58,0],[1,0]],[[999449223455099582120034619827618947,1262942917998495734404272783001699384],[-1,0]],[[-36210102599862812270137565589975817,1262942917998495734404272783001699384],[1,0]]]>,<7459,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[32152380111071263413345179278072867760903425260994464046211955235731358582727,-7121302929279788555942075639644034223033933210808922862770363441074829653237,117135691497275328738464524845199671852838992627369313880723153258866620946866,12444866320266912673879702436460104768380663417778014249759889025206604295791,16068377577252138193335624753148210840739784925062784689222472850218049132,-15567909571829612669511807920595539189423045552389635896823346022325021214]>*] [x,x^2+26,x^2-x+17,x^2-1742,x^3-x-2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,13,67,7459],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^3*13,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,11,13,67,7459],[7,3,7,3,1],1,[1.000000000,1.848351028,1.184397141],<"notfaithful",0>,[6,3]>,<1,67,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,11,13,67,7459],[2,2,2,7,1],1,[1.000000000,0.3838066289,0.6747182041],<"notfaithful",0>,[6,3]>,<1,2^3*13*67,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,11,13,67,7459],[7,1,7,7,1],1,[1.000000000,0.5833156198,0.8534360417],<"notfaithful",0>,[6,3]>,<2,2^3*13,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,11,13,67,7459],[7,3,7,3,1],1,[1.000000000,0.9710515157,1.119319646],<"notfaithful",0>,[6,3]>,<2,2^3*13*67^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1]]],[2,11,13,67,7459],[7,3,7,8,1],1,[1.000000000,0.9958281551,0.9308319779],<"2.2e3_13_67e2.6t3.1",1>,[6,3]>]
