x^4-2*x^3+2 2^6*5 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 29 x-1 5 [[-9601056],[6546581],[6219000],[-3164523]] 3 [4,5,4,5,3,4,4,3,5,1,3,4,2,5,5,4,3,2,5,3,4,3,5,1,4,1,5,5,2,4,5,3,4,3,2,3,4,5,5,4,3,1,3,4,4,3,3,5,5,1,4,3,2,3,4,5,2,3,4,2,5,4,5,3,4,4,3,4,5,1,4,3,5,4,3,5,2,4,1,2,3,2,3,4,3,5,2,4,1,5,5,3,5,3,3,5,1,1,5,1,5,4,5,2,3,4,5,4,3,2,5,4,4,3,3,2,5,5,4,3,2,4,4,5,3,2,1,3,5,4,3,5,3,4,1,1,4,5,4,1,3,2,5,5,2,3,4,4,3,5,4,2,5,5,5,3,3,2,4,1,5,4,5,3,4,5,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+4,2>,<x^2-4*x-16,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[3,4,1,2],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[2,1,3,4],[4,3,1,2]],[1,2,4,3],[1,2,3,4,5],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,1]>,[[2,0],[0,0],[0,0],[-2,0],[1,0]]>,[[[0,0],[1,0],[0,0],[0,0]],[[0,0],[-1,0],[262143,0],[1,0]],[[132248,-259794],[-132247,259794],[63774,127547],[66123,132247]],[[-132246,259794],[132247,-259794],[198371,134597],[196020,129897]]]>,<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[46841671034465,0],[15613890344825,0],[1,0]]>,[[[16475169345775,28175969996839],[0,0]],[[-861279000956,-28175969996839],[0,0]],[[-15613890344821,0],[-1,0]],[[4,0],[1,0]]]>*] [x,x^2+1,x^2-x-1,x^2+5,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5],[6,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5],[4,6],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,2^2*5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5],[6,6],1,[1.000000000,1.404962946,1.128043325],<"notfaithful",0>,[4,3]>,<2,2^4*5,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]]],[2,5],[6,7],1,[1.000000000,0.7455260688,0.9503415352],<"2.2e4_5.4t3.2",1>,[4,3]>]
x^2-x-2573 3*47*73 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 13 x-1 5 [[-119596],[119597]] 1 [2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-2571,3,1]>,[[-1,-1],[2,1]]>,<47,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-2021,47,1]>,[[-23,-1],[24,1]]>,<73,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1241,73,1]>,[[-36,-1],[37,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,47,73],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*47*73,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,47,73],[3,3,3],1,[1.000000000,0.5646946754,0.7557932705],<"1.3_47_73.2t1.1",1>,[2,1]>]
x^3-x^2+41*x-52 -61^2*83 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[-64316],[2458],[61859]] 2 [2,3,2,3,1,2,1,2,1,3,3,1,3,2,2,2,3,1,2,2,2,2,1,2,2,2,2,2,3,3,3,3,2,2,2,1,2,2,3,3,2,2,3,1,3,1,2,2,1,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,1,3,2,2,2,3,1,1,2,3,2,3,2,3,1,3,3,2,3,2,2,1,2,2,2,3,2,1,2,2,3,2,1,3,1,2,3,3,3,2,2,2,2,1,2,2,3,2,3,3,2,2,2,2,2,3,2,1,2,2,3,3,2,2,1,1,3,2,3,3,2,2,1,3,2,2,3,2,2,2,2,1,3,1,3,3,2,3,2,2,1,1,2,3,2,1,2,1,2,2,1,3,1,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<61,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[1],[[[3,1,2]]],20,<[],[68869,5002,122,1]>,[[48497021187851947811099642602918987,1430287129384936031957840857788882,-411153375462563558869022090572257],[-48497021187851947811099642602919027,-1430287129384936031957840857788883,411153375462563558869022090572257],[41,1,0]]>,<83,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-91139037232883177945619475464637112003,26186476143671495885580972741462485615,1]>,[[26186476143671495885580972741462485488,0],[-26186476143671495885580972741462485551,-1],[64,1]]>*] [x,x^2-x+21,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[61,83],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,83,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[61,83],[1,4],1,[1.000000000,1.034503778,0.8892453794],<"notfaithful",0>,[3,2]>,<2,61^2*83,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[61,83],[4,5],1,[1.000000000,1.160557989,0.9557631236],<"2.61e2_83.3t2.1",1>,[3,2]>]
x^3-x^2+102*x-540 -61^2*83 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 7 x-1 5 [[-1277],[-4286],[5564]] 2 [2,1,2,1,3,2,3,2,1,3,3,3,3,2,2,2,3,1,2,2,2,2,1,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,3,1,2,2,3,1,3,1,2,2,1,3,2,2,1,2,2,2,2,2,3,2,2,3,2,2,3,1,2,2,2,3,3,3,2,1,2,1,2,3,1,1,1,2,3,2,2,3,2,2,2,3,2,3,2,2,1,2,3,3,3,2,3,3,1,2,2,2,2,3,2,2,3,2,1,3,2,2,2,2,2,3,2,3,2,2,1,3,2,2,3,3,3,2,3,3,2,2,1,3,2,2,3,2,2,2,2,3,1,3,1,3,2,3,2,2,3,3,2,3,2,3,2,3,2,2,3,3,3,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-9461,0],[229928,-73894],[-220466,73894]]>,<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[1629232405,-432736407,-34234530]>,<61,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[1],[[[3,1,2]]],20,<[],[70882,5063,122,1]>,[[-92515868517986984790678291740293618,-2699770557204709138729316579652398,-2256797962261091906099509332991959],[92515868517986984790678291740293578,2699770557204709138729316579652397,2256797962261091906099509332991959],[41,1,0]]>,<83,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[3478233209546333452456488120065616785,-118540144315359916001234975865106807785,1]>,[[-118540144315359916001234975865106807866,0],[118540144315359916001234975865106807826,-1],[41,1]]>*] [x,x^2-x+21,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,61,83],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,83,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,61,83],[2,1,1,4],1,[1.000000000,1.034503778,0.8892453794],<"notfaithful",0>,[3,2]>,<2,61^2*83,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,61,83],[2,1,4,5],1,[1.000000000,3.426609533,1.392476152],<"2.61e2_83.3t2.2",1>,[3,2]>]
x^3-x^2-20*x+436 -61^2*83 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 23 x-1 5 [[2798789],[-3059628],[260840]] 2 [2,3,2,3,3,2,3,2,1,1,1,3,3,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,3,2,2,2,3,2,2,1,3,2,2,1,1,1,1,2,2,1,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,3,3,2,2,2,1,3,3,2,3,2,3,2,3,1,3,3,2,1,2,2,3,2,2,2,1,2,3,2,2,3,2,3,3,3,2,1,3,3,2,2,2,2,3,2,2,3,2,3,1,2,2,2,2,2,3,2,3,2,2,3,3,2,2,3,3,3,2,3,1,2,2,1,3,2,2,3,2,2,2,2,3,3,3,3,1,2,1,2,2,3,3,2,1,2,3,2,3,2,2,3,3,3,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[1,1,1]>,[[377825,0],[84066,21668],[62398,-21668]]>,<61,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[1],[[[3,1,2]]],20,<[],[66856,4941,122,1]>,[[-150482135419298262546062085149446082,3577136822773896635543438549307703,-3179620255660356079714752954201810],[150482135419298262546062085149446042,-3577136822773896635543438549307704,3179620255660356079714752954201810],[41,1,0]]>,<83,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-18244203378156814399915721594780618051,118577246932678225415173587857649715663,1]>,[[118577246932678225415173587857649715600,0],[-118577246932678225415173587857649715631,-1],[32,1]]>*] [x,x^2-x+21,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,61,83],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,83,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,61,83],[2,1,4],1,[1.000000000,1.034503778,0.8892453794],<"notfaithful",0>,[3,2]>,<2,61^2*83,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,61,83],[2,4,5],1,[1.000000000,0.9255947765,0.9282501006],<"2.61e2_83.3t2.3",1>,[3,2]>]
