x^2-x-99 397 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-18],[19]] 1 [2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<397,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[39303,397,1]>,[[-198,-1],[199,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[397],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,397,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[397],[3],1,[1.000000000,0.8175977269,0.8534342873],<"1.397.2t1.1",1>,[2,1]>]
x^4-x^3-1098*x^2-8604*x+7128 29^3*101^3 4 0 4 "C4" [[4,1,2,3],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<4,1,[4,1,2,3]>,<4,1,[2,3,4,1]>] [[1,1,1,1],[2,2],[4]] 11 x-1 7 [[-5282442],[-308901],[-4061296],[9652640]] 1 [1,1,2,4,1,1,4,3,2,1,3,4,2,4,3,3,4,1,3,2,2,3,4,1,4,1,4,2,4,1,2,3,3,4,3,3,4,2,4,3,2,1,2,3,2,3,3,2,1,1,1,1,4,4,4,1,2,1,4,1,2,2,4,2,4,3,1,1,4,3,3,3,4,2,4,2,1,3,3,3,3,3,3,1,3,1,4,4,2,3,2,2,4,4,2,1,2,2,3,3,3,2,4,3,3,2,2,2,2,4,4,3,2,3,2,1,2,3,3,2,4,3,4,2,2,2,3,3,4,1,1,4,1,1,1,2,2,2,2,4,3,1,1,4,4,4,3,2,1,3,3,1,3,3,1,2,4,2,4,3,1,3,4,1,1,2,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x+44118,3>,<x-26178,4>]*]] [*<2,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-174493,30186,-6298,-13234]>,<3,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[321008977,-97207623,-127436043,-96365310]>,<29,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[-489984,-15776,1740,87,1]>,[[-58998192050369917732595546933,-339070069254999527198824981,2754944312696871158490452976,2839711830010621040290159221],[-58998192050369917732595546759,-2627793036726246335790893607,-2648984916054683806240820169,1631774708289685224644345224],[-58998192050369917732595546730,2966863105981245862989718587,-105959396642187352249632807,1631774708289685224644345224],[22,1,0,0]]>,<101,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,4,3],[1],[[[2,4,1,3]]],20,<[],[25934376,1563076,33330,303,1]>,[[5084125166449861768678121214802350794689,-6711716391352952829938113814920595000,39431333799198597875886418662658496247,-4194822744595595518711321134325371941],[-5592537683094847945545933336282585873059,58727518424338337261958495880555207115,-54952177954202301295118306859662372428,-58308036149878777710087363767122669980],[508412516644986176867812121480235078295,-52015802032985384432020382065634612116,15520844155003703419231888197003876181,-58308036149878777710087363767122669980],[76,1,0,0]]>*] [x,0,x^2-x-732,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,29,101],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,29*101,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,29,101],[1,1,5,5],0,[0.8549662037-0.5186837096*i,2.660575255-0.3548108886*i,1.458540789-0.03019829076*i],<"1.29_101.4t1.1",1>,[4,1]>,<1,29*101,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,29,101],[1,1,5,5],1,[1.000000000,3.209327635,1.542096768],<"notfaithful",0>,[4,1]>,<1,29*101,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,29,101],[1,1,5,5],0,[0.8549662037+0.5186837096*i,2.660575255+0.3548108886*i,1.458540789+0.03019829076*i],<"1.29_101.4t1.1",2>,[4,1]>]
x^4-x^3-1098*x^2+6041*x+21773 29^3*101^3 4 0 4 "C4" [[4,3,1,2],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<4,1,[4,3,1,2]>,<4,1,[3,4,2,1]>] [[1,1,1,1],[2,2],[4]] 41 x-1 5 [[34411434],[-16611627],[21041220],[-38841026]] 1 [2,2,2,3,2,1,4,3,2,1,3,4,1,4,3,4,3,2,4,2,1,3,3,2,4,1,3,2,3,2,1,3,3,3,4,4,4,1,3,4,2,1,1,3,2,4,3,2,1,2,1,1,3,4,3,2,1,2,3,1,2,1,4,1,3,3,2,2,3,4,4,3,4,2,4,2,2,4,4,3,4,3,4,2,4,2,4,3,1,4,1,1,3,4,2,2,2,2,4,3,4,2,4,3,4,1,2,2,1,4,4,4,1,3,2,2,2,4,3,1,3,4,4,2,2,2,4,4,4,2,2,4,2,2,1,1,1,2,1,4,4,1,2,4,4,4,3,2,2,4,4,2,4,3,2,1,3,2,3,4,2,4,4,2,1,1,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x-43752,3>,<x+32402,4>]*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-291434,20191],[-311625,-20191],[157329,235886],[-78557,-235886]]>,<13,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[2434442795633907377776,-11108620294964457846,-19513679373440206951,-42256949974397457269]>,<29,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[-153149,-1131,1740,87,1]>,[[8378441474608745713504692981,1986268453032245751046371197,1047305184326093214188086630,2491864059258635578585447498],[2618262960815233035470216588,2997459665485025406124523798,1589014762425796600837096955,-1245932029629317789292723749],[-10996704435423978748974909590,1119533128072720332407954673,-2636319946751889815025183585,-1245932029629317789292723749],[22,1,0,0]]>,<101,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[27062041,1577721,33330,303,1]>,[[216601782239284051683328241104005479776,-54329159901602600422220944963380911762,17871434178158750138888468737954247324,52899445167349900411109867464344572075],[-2924124060230334697724931254904073948301,-37887440457696550294443553724463004380,-50754873065970850394443251215790062397,33955724938501625263888090602113069913],[2707522277991050646041603013800068468450,-28594294685054000222221549980726795760,32883438887812100255554782477835815073,33955724938501625263888090602113069913],[76,1,0,0]]>*] [x,0,x^2-x-732,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,29,101],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,29*101,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,13,29,101],[2,1,5,5],0,[-0.6011818979-0.7991122109*i,0.3731147195+0.05266140895*i,0.6891830382+0.01382444990*i],<"1.29_101.4t1.2",1>,[4,1]>,<1,29*101,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,13,29,101],[1,1,5,5],1,[1.000000000,3.209327635,1.542096768],<"notfaithful",0>,[4,1]>,<1,29*101,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,13,29,101],[2,1,5,5],0,[-0.6011818979+0.7991122109*i,0.3731147195-0.05266140895*i,0.6891830382-0.01382444990*i],<"1.29_101.4t1.2",2>,[4,1]>]
x^4-23*x^2+184 2^5*23^3 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 73 x-1 5 [[108274413],[203277352],[-203277352],[-108274413]] 3 [1,1,3,3,5,4,5,5,4,4,4,3,2,5,4,3,2,3,5,4,1,3,5,5,5,4,3,5,3,5,4,2,5,2,3,4,3,1,4,4,1,3,3,2,4,3,2,4,5,3,1,4,5,5,2,3,4,4,4,5,5,3,1,4,5,4,2,5,1,4,2,3,3,3,5,3,3,4,5,2,5,3,3,5,4,1,2,5,4,4,5,3,4,1,1,3,4,5,5,4,2,3,5,5,5,1,2,2,4,1,4,3,5,5,3,5,5,4,4,5,3,2,3,2,2,3,3,4,3,3,1,3,3,3,2,5,3,5,3,2,2,4,4,5,4,3,4,1,1,4,4,5,2,4,5,3,3,2,5,3,1,5,4,5,5,3,4,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-138,2>,<x^2-26496,3>]*],[*[4],"CYC",0,5*]] [*<2,4,4,[[2,1,3,4],[2,1,4,3]],[[1,2,3,4],[2,1,4,3],[2,1,3,4],[1,2,4,3]],[1,2,3,4],[1,2,4,4],[2,4],[[[2,1,3,4],[2,1,4,3]],[[2,1,3,4]]],20,<[],[-344206,-63900,492342,4,1]>,[[-45344,-25476,95338,75470],[45344,25476,35734,55602],[-251247,-100494,-50247,0],[251247,100494,50247,0]]>,<3,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[149793698,-101144971,101144971,-149793698]>,<23,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[5,21,1]>,[[184,0],[0,0],[-23,0],[0,0],[1,0]]>,[[[0,0],[-1,0],[0,0],[0,0]],[[0,0],[7525435810225062154591853,-27708233133346455246956390],[0,0],[-33053121227571027691473902,14617672008705309401266411]],[[0,0],[1,0],[0,0],[0,0]],[[0,0],[-7525435810225062154591853,27708233133346455246956390],[0,0],[33053121227571027691473902,-14617672008705309401266411]]]>*] [x,x^2-x+6,x^2-46,x^2+2,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,23,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,23],[1,1,6],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[4,3]>,<1,2^3*23,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,23],[6,1,6],1,[1.000000000,1.591314213,1.170481953],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,23],[6,1,3],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[4,3]>,<2,2^5*23^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]]],[2,3,23],[6,1,6],1,[1.000000000,2.183151782,1.266120769],<"2.2e5_23e2.4t3.1",1>,[4,3]>]
x^4-2*x^3+19*x^2-18*x+73 2^6*1097 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 6 [[-2843415],[-970320],[970321],[2843416]] 2 [3,5,5,4,5,5,1,5,2,3,4,5,2,5,1,3,3,3,3,2,1,4,5,4,4,3,4,3,3,4,2,3,1,3,3,1,5,3,4,5,5,3,4,4,3,1,5,4,3,3,4,4,1,3,4,4,3,4,5,4,3,5,3,4,2,5,3,1,3,5,1,2,4,3,3,1,5,5,4,4,3,3,4,4,4,5,1,4,5,4,3,1,4,5,5,2,5,1,5,3,5,3,3,1,5,2,3,4,1,4,4,3,1,5,4,1,3,1,3,5,3,2,5,3,5,5,5,1,1,3,5,4,4,5,2,2,3,3,5,1,3,5,1,3,3,1,3,1,5,4,3,4,3,4,3,1,4,2,4,3,5,2,1,5,2,2,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-18,2>,<x^2+34*x-808,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[4,3,2,1]],[[1,2,3,4],[2,1,4,3],[4,3,2,1],[3,4,1,2]],[4,3,2,1],[1,3,3,2],[3],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[68818,104156],[341136,157988],[1,0]]>,[[[0,3],[2,0]],[[104160,-53829],[131070,0]],[[1,-3],[131070,0]],[[-104159,53829],[2,0]]]>,<1097,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[116527503515611028266541171023423801813997488038601210901858,1097,1]>,[[1225742161590940862040658603323306649900500298624470793230350,0],[-1225742161590940862040658603323306649900500298624470793230349,0],[-548,-1],[549,1]]>*] [x,x^2-2,x^2-x-274,x^2-2194,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,1097],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,1097],[6,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<1,1097,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,1097],[1,6],1,[1.000000000,1.059998357,1.119146704],<"notfaithful",0>,[4,3]>,<1,2^3*1097,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,1097],[6,6],1,[1.000000000,2.050696546,1.172628579],<"notfaithful",0>,[4,3]>,<2,2^3*1097,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,1097],[6,7],1,[1.000000000,0.6321245952,0.7916407770],<"2.2e3_1097.4t3.3",1>,[4,3]>]
x^4-2*x^3+19*x^2-16*x+64 2^6*1097 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 6 [[11395177],[312660],[-1067840],[-10639995]] 3 [1,4,5,5,4,5,1,4,3,3,5,5,2,4,3,3,2,3,2,3,1,5,4,4,4,3,5,1,3,4,3,2,1,1,3,3,5,2,5,5,4,3,5,4,3,3,4,5,2,3,4,5,2,1,4,5,3,5,5,4,2,5,1,5,2,5,2,2,1,5,2,3,5,3,1,3,5,5,4,4,2,3,5,4,5,4,2,4,5,5,2,3,5,4,4,3,5,1,4,3,4,3,2,1,4,1,2,4,3,4,5,3,2,4,5,1,1,3,3,4,3,1,5,2,4,5,5,3,3,3,4,5,5,5,1,1,3,1,5,2,2,5,3,2,3,3,3,2,4,5,3,4,2,5,1,3,5,2,4,3,4,2,3,4,2,3,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-16,2>,<x^2+26*x-928,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[3],[[[2,1,4,3]]],20,<[],[7894,115100,1]>,[[29480,32760],[-32760,8],[22751,60429],[-150541,201715]]>,<1097,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[1686291521340269324875596649915925106736780279093361677930502,-2177363670949458031910174111489415904953742892162753551859358,1]>,[[956281506560054995337987991769739100514555334320874238131186,0],[-3133645177509513027248162103259155005468298226483627789991108,0],[2177363670949458031910174111489415904953742892162753551859641,-1],[283,1]]>*] [x,x^2+2,x^2-x-274,x^2+2194,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,1097],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,1097],[6,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[4,3]>,<1,1097,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,1097],[1,6],1,[1.000000000,1.059998357,1.119146704],<"notfaithful",0>,[4,3]>,<1,2^3*1097,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,1097],[6,6],1,[1.000000000,1.073128042,0.9536522176],<"notfaithful",0>,[4,3]>,<2,2^3*1097,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,1097],[6,6],1,[1.000000000,2.202927782,1.354350349],<"2.2e3_1097.4t3.4",1>,[4,3]>]
