x^2-x+1053 -4211 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[81],[-80]] 2 [2,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<4211,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4434183,4211,1]>,[[-2105,-1],[2106,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[4211],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,4211,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[4211],[3],1,[1.000000000,1.113486839,0.9159113308],<"1.4211.2.1.2t1.1",1>,[2,1]>]
x^4-2*x^3-17*x^2+8*x+56 2^6*5^2*41 4 0 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 23 x-1 5 [[-3216204],[-827698],[-2271268],[-121171]] 1 [1,5,3,4,5,5,4,5,1,5,2,3,4,3,4,5,3,3,5,4,2,4,3,4,4,5,2,3,5,2,1,3,4,3,5,4,5,3,4,3,5,5,4,4,3,4,5,2,5,5,4,4,2,3,4,4,3,2,3,4,3,5,3,4,4,5,5,1,5,3,1,1,1,3,3,4,3,5,1,2,3,5,2,1,4,3,1,4,3,4,3,4,2,3,5,4,5,4,3,3,5,5,5,1,5,4,5,4,2,4,1,3,2,3,1,4,5,2,5,5,3,4,3,5,5,3,5,4,4,3,3,2,4,5,1,1,5,3,3,4,3,3,4,5,3,4,3,1,3,1,3,2,5,4,3,2,4,4,4,3,3,1,4,5,4,1,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+24,2>,<x^2-14*x-976,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[3],[[[2,1,4,3]]],20,<[],[69602,453940,1]>,[[9624,131070],[131072,2],[-29777,232369],[-110917,29775]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,3,3],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[-20,-15],[5,5],[1,0]]>,[[[-1,-2],[-1,0]],[[4,3],[1,0]],[[1893256144542,-24813651140053],[3049341957368,-8390723414287]],[[-1893256144543,24813651140052],[-3049341957368,8390723414287]]]>,<41,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[6,38,1]>,[[-34627216351572757564386302948128,0],[-19526818118908517006128740819346,0],[1,0]]>,[[[-24186309776498843191156113083818,-76619219177284843195385816378555],[0,0]],[[4659491657590326185027372264456,76619219177284843195385816378555],[0,0]],[[19526818118908517006128740819355,0],[-1,0]],[[9,0],[1,0]]]>*] [x,x^2-2,x^2-x-10,x^2-82,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,41],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,41],[6,3,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<1,41,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,41],[1,1,6],1,[1.000000000,1.299093062,1.203023023],<"notfaithful",0>,[4,3]>,<1,2^3*41,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,41],[6,3,6],1,[1.000000000,1.278109740,1.076623824],<"notfaithful",0>,[4,3]>,<2,2^3*5^2*41,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]],[[1],[1]]],[2,5,41],[6,7,8],1,[1.000000000,1.731106338,1.318130286],<"2.2e3t5e2t41.8.1.4t3.1",1>,[4,3]>]
x^4-26*x^2+164 2^6*5^2*41 4 0 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 31 x-1 6 [[-137722048],[56475593],[-56475593],[137722048]] 1 [3,5,3,5,4,5,5,4,3,4,1,3,4,3,5,5,1,1,5,4,3,4,3,4,5,4,3,3,4,3,3,1,5,1,4,4,5,3,5,3,4,4,4,5,3,4,4,3,5,4,5,4,1,2,5,5,2,2,3,4,3,5,3,4,5,5,4,3,5,1,3,2,3,3,2,5,1,5,2,1,2,4,1,3,4,3,2,5,1,5,3,4,3,2,4,5,4,4,3,2,5,5,5,1,4,5,5,5,2,4,3,3,3,2,1,4,5,3,5,4,2,5,3,5,4,2,4,4,5,3,2,3,4,5,1,2,5,3,3,4,2,1,5,5,1,4,3,3,1,3,3,1,5,5,3,2,4,4,5,2,3,3,5,4,5,3,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-156,2>,<x^2-23616,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,3,3],[3],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[387328,-273894],[0,0],[1,0]]>,[[[0,0],[1,0]],[[0,0],[131071,0]],[[0,0],[83137,68417]],[[0,0],[47935,62655]]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[-11379478821215,0],[-24414772698970,-12207386349485],[1,0]]>,[[[24414772698974,12207386349487],[-1,0]],[[4,2],[1,0]],[[-4,-2],[-1,0]],[[-24414772698974,-12207386349487],[1,0]]]>,<41,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[6,38,1]>,[[10779320768910494531831842120625,0],[0,0],[1,0]]>,[[[-46080379716454167970376125409355,-11907798035414478814389787972324],[0,0]],[[46080379716454167970376125409355,11907798035414478814389787972324],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>*] [x,x^2-x-1,x^2-x-10,x^2-x-51,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,41],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,41],[3,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,41,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,41],[1,1,6],1,[1.000000000,1.299093062,1.203023023],<"notfaithful",0>,[4,3]>,<1,5*41,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,41],[3,6,6],1,[1.000000000,1.050623227,0.9146140274],<"notfaithful",0>,[4,3]>,<2,2^6*5*41,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]]],[2,5,41],[6,7,7],1,[1.000000000,0.8189682838,0.9520536055],<"2.2e6t5t41.8.1.4t3.1",1>,[4,3]>]
