x^2+385 -2^2*5*7*11 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 23 x-1 5 [[548032],[-548032]] 2 [1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[386,2,1]>,[[1,1],[-1,-1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[385,0,1]>,[[0,-1],[0,1]]>,<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[385,0,1]>,[[0,-1],[0,1]]>,<11,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[385,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,5,7,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*5*7*11,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,5,7,11],[3,3,3,3],1,[1.000000000,0.6404415490,0.8897493641],<"1.2e2t5t7t11.2.1.2t1.1",1>,[2,1]>]
x^4-x^3+16*x^2-9*x+57 3^2*937 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 5 [[-1131488],[352776],[-219635],[998348]] 3 [3,1,5,4,5,2,3,1,5,3,2,1,5,4,5,3,5,2,4,5,2,4,5,3,2,5,4,3,4,5,4,3,3,4,5,2,4,4,5,5,3,4,5,2,5,4,1,4,3,4,5,3,1,5,5,3,5,1,2,5,4,3,2,3,1,5,4,1,3,1,3,3,4,4,2,3,3,4,5,4,5,4,3,4,4,3,3,4,5,4,3,5,2,5,2,5,3,3,4,4,4,5,5,5,2,4,5,5,3,4,1,1,5,2,1,3,2,5,5,5,4,4,5,5,4,5,1,5,1,1,4,3,1,4,5,4,5,2,3,3,4,3,1,3,2,3,4,5,1,3,4,5,2,3,4,3,2,3,1,3,5,3,4,3,5,5,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-6,2>,<x^2+17*x-162,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[150768,-299559],[450327,299559],[-19695,37416],[-57111,-37416]]>,<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-1175604450,437929437,1]>,[[-437929437,-1],[0,1],[-338277604,338277605],[776207042,-338277605]]>,<937,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-98718654800144075910091809260398106928431790427554598530957,-91425841263206587471572067498260652685508604222541811940824,1]>,[[-16705838087559799911653599419748565356994743129170792671086,0],[-74720003175646787559918468078512087328513861093371019271289,0],[91425841263206587471572067498260652685508604222541811941600,-1],[776,1]]>*] [x,x^2-x+1,x^2-x-234,x^2-x+703,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,937],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,937],[3,6,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,937,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,937],[1,1,6],1,[1.000000000,2.255375518,1.417710563],<"notfaithful",0>,[4,3]>,<1,3*937,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,937],[3,6,6],1,[1.000000000,0.9480678786,0.8303608097],<"notfaithful",0>,[4,3]>,<2,3*937,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,3,937],[3,6,6],1,[1.000000000,1.710739081,1.188913549],<"2.3t937.8.1.4t3.1",1>,[4,3]>]
x^5-x^4+3*x-2 5^2*1933 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 13 x^2+12*x+2 5 [[-63879,0],[37985,-65031],[75771,65031],[58084,13837],[-107960,-13837]] 3 [5,6,5,4,7,3,5,7,4,5,5,6,7,6,3,3,6,6,2,4,6,5,7,6,5,4,6,7,6,5,7,6,4,5,4,3,3,3,3,5,5,5,6,3,3,7,6,7,7,5,5,7,4,5,6,3,5,3,5,6,4,2,5,3,7,3,5,5,5,2,3,4,3,4,5,6,2,5,6,5,4,7,6,5,6,4,4,5,3,4,5,5,5,2,6,2,4,4,6,7,6,5,4,6,4,5,6,3,3,3,3,5,6,7,6,4,4,2,5,7,7,5,2,2,2,7,3,5,4,4,6,7,7,5,7,5,5,2,4,3,7,3,3,6,4,7,4,2,3,5,6,4,7,2,6,5,2,5,7,4,7,7,5,5,7,4,2,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<5,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,3,5,5],[1],[[[1,3,2,5,4]]],20,<<[],[2,4,1]>,[[-19633273979090,43770239090790],[-30180690255940,47228963781290],[1,0]]>,[[[36825059284832,0],[0,0]],[[30180690255943,-47228963781289],[-1,0]],[[3,1],[1,0]],[[17210677929439,45015643524489],[8145990550726,2471776458091]],[[11151004170409,2213320256799],[-8145990550726,-2471776458091]]]>,<1933,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[5,1932,1]>,[[-166136417885214723253523030497965972013902869570153512012144812580,0],[-112362918830307304174458525563607753534165702171644674244319553141,0],[1,0]]>,[[[76961322323971058925549285792117192204493286998815971604793857396,0],[0,0]],[[183725890558190644386262503031048511749314806298154040101801398916,138114987178114021976889951040622660155350443734230089925222036714],[0,0]],[[157390862721486432369265248547619286438121361289882853908599646771,-138114987178114021976889951040622660155350443734230089925222036714],[0,0]],[[112362918830307304174458525563607753534165702171644674244319554830,0],[-1,0]],[[1689,0],[1,0]]]>*] [x,x^2-x-483,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,1933],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,1933,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,1933],[2,8],1,[1.000000000,0.9332492933,0.8774935111],<"notfaithful",0>,[5,5]>,<4,5^2*1933^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1],[1]]],[5,1933],[8,9],1,[0,0,0],<"4.5e2t1933e3.120.1.10t12.1",1>,[5,5]>,<4,5^2*1933,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[-1],[-1],[1]]],[5,1933],[8,9],1,[1.000000000,0.7032382344,0.9019869010],<"4.5e2t1933.120.1.5t5.1",1>,[5,5]>,<5,5^2*1933^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]]],[5,1933],[8,9],1,[0,0,0],<"5.5e2t1933e2.120.1.10t13.1",1>,[5,5]>,<5,5^2*1933^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[-1]]],[5,1933],[8,9],1,[0,0,0],<"5.5e2t1933e3.120.1.6t14.1",1>,[5,5]>,<6,5^4*1933^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[-1]],[[1],[1],[-1],[-1]]],[5,1933],[8,9],1,[0,0,0],<"6.5e4t1933e3.120.1.20t35.1",1>,[5,5]>]
