x^4-x^3-3*x^2+12*x+61 7^2*83^2 0 2 12 "A4" [[2,3,1,4],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<3,4,[2,3,1,4]>,<3,4,[3,1,2,4]>] [[1,1,1,1],[1,3],[2,2]] 197 x-1 5 [[-1176350782],[-20107872486],[-109756474097],[131040697366]] 2 [4,3,4,1,3,1,3,4,4,2,3,4,2,2,4,3,3,4,3,2,3,4,1,4,2,3,4,4,3,2,2,4,3,2,4,3,3,4,2,4,3,2,4,3,1,3,2,2,3,4,4,1,3,2,4,3,3,4,3,2,3,2,2,3,4,4,4,1,3,2,3,4,3,4,1,4,3,4,4,3,2,1,3,2,4,4,2,4,2,2,4,3,3,2,4,2,4,3,4,4,2,3,3,4,3,3,2,4,3,2,4,3,2,3,1,3,2,3,4,2,3,2,4,3,4,2,4,4,2,4,3,2,4,2,4,2,3,3,2,3,2,4,3,2,3,2,1,3,4,4,4,2,2,4,3,2,4,4,1,3,4,2,2,4,3,3,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,3],"ALT",[1,3,4,2],[<x-7553,4>,<x+7553,3>]*],[*[2,2],"CYC",0,2*]] [*<7,3,3,[[1,4,2,3]],[[1,2,3,4],[1,4,2,3],[1,3,4,2]],[1,2,3,4],[1,3,4],[1],[[[1,4,2,3]]],20,<[],[6551784230173420,7482508786748891,26434550852149398,1]>,[[26434550852149396,0,0],[-26224495434714520,-5220875215568813,3273811852842678],[-210055417434876,5220875215568812,-3273811852842678],[1,1,0]]>,<13,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[2860233524278770721659,-7756056156540331976240,408790077544538868134,101271683590684054417]>,<83,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[-105489489037952766436099226129622699028,-92842563039706769276179848189093682409,1]>,[[92842563039706769276179848189093682441,-1],[32,1],[89836722821143514654979735628062556622,368044098326199007389580177096504772],[58068248262218146224222799751308956507,-368044098326199007389580177096504772]]>*] [x,x^3-x^2-2*x+1,x^3-x^2-2*x+1,0] [1,2,3,4] <[1],[2,3],[4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,13,83],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,4]>,<1,7,3,[[1,0],[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,7,13,83],[4,5,1,1],0,[0.8959532197-0.4441484303*i,0.5377473805-0.1052975456*i,0.7992187436-0.1018472971*i],<"notfaithful",0>,[4,4]>,<1,7,3,[[1,0],[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,7,13,83],[4,5,1,1],0,[0.8959532197+0.4441484303*i,0.5377473805+0.1052975456*i,0.7992187436+0.1018472971*i],<"notfaithful",0>,[4,4]>,<3,7^2*83^2,1,[[3],[-1],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1]]],[2,7,13,83],[3,5,1,5],1,[1.000000000,1.555431447,1.054326665],<"3.7e2_83e2.4t4.1",1>,[4,4]>]
x^3-x^2+49*x+392 -19*73^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[-68635],[51477],[17159]] 2 [2,2,3,1,1,2,3,1,3,2,2,2,2,3,1,2,2,3,2,2,1,2,3,2,2,3,2,2,2,2,2,3,3,3,3,2,3,3,2,2,2,2,1,2,3,3,2,2,2,3,1,3,2,3,2,3,2,1,1,2,1,2,2,1,3,2,2,2,1,1,3,3,3,2,2,2,1,1,2,2,3,2,2,2,2,3,2,3,3,1,3,3,2,3,1,3,2,2,2,3,2,1,2,2,3,1,3,1,2,2,2,3,3,1,3,2,3,3,3,2,2,2,2,2,3,3,1,3,3,3,3,2,2,3,1,3,2,2,2,3,2,3,1,2,2,2,3,2,1,2,2,3,3,2,2,2,3,3,3,2,3,2,3,2,2,2,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<7,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-34618336339963298,4592221551258943,-4170570767415073]>,<19,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-2585139761540228902211099,16991083732434216678111515,1]>,[[16991083732434216678111512,0],[-16991083732434216678111513,-1],[2,1]]>,<73,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[1],[[[3,1,2]]],20,<[],[118041,7154,146,1]>,[[-6608080622173484832715503726348769423,89616488892406854771726726353442367,99573831198869688606593654094668886],[6608080622173484832715503726348769375,-89616488892406854771726726353442368,-99573831198869688606593654094668886],[49,1,0]]>*] [x,x^2-x+5,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[7,19,73],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,19,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[7,19,73],[1,4,1],1,[1.000000000,0.7207307842,0.7688512744],<"notfaithful",0>,[3,2]>,<2,19*73^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[7,19,73],[1,4,5],1,[1.000000000,1.802950713,1.095394363],<"2.19_73e2.3t2.1",1>,[3,2]>]
x^3-x^2+119*x-300 -43*89^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[19509],[-58006],[38498]] 2 [2,2,2,2,1,3,3,2,3,2,3,2,3,1,3,3,3,2,3,2,2,1,3,2,3,1,1,1,3,2,3,2,2,3,2,2,2,2,3,3,2,1,2,3,1,2,2,2,2,1,2,3,2,3,2,2,1,1,2,1,3,3,1,3,2,1,2,3,2,2,1,3,1,2,1,2,2,1,3,2,2,2,3,2,1,1,2,2,3,2,2,3,3,2,2,2,3,2,2,1,3,3,1,3,2,2,2,2,3,2,2,3,3,3,2,2,1,2,2,3,3,2,2,1,2,3,1,3,2,2,2,2,2,2,2,1,2,3,3,3,2,3,3,1,2,2,3,1,2,2,3,3,1,2,3,2,1,2,2,1,3,2,3,3,1,2,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<5,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[2,4,1]>,[[-27927545324425,0],[-1834489233907,-7899130948060],[-8384938097917,7899130948060]]>,<43,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[123526012095706671249500923435733,68134744863254190856072246663896,1]>,[[68134744863254190856072246663879,0],[-68134744863254190856072246663887,-1],[9,1]]>,<89,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[3,82,1]>,[[29370,0],[2759,0],[89,0],[1,0]]>,[[[452268314280156494068638537694937571682,188890627992964237282408783738079207944],[-1835149537027004217309063227396542526,-3641922085221124252523629898398917567],[4222830895486612866279555685635868051,-5226133517708604388488565944684909369]],[[30,0],[1,0],[0,0]],[[-452268314280156494068638537694937571711,-188890627992964237282408783738079207944],[1835149537027004217309063227396542525,3641922085221124252523629898398917567],[-4222830895486612866279555685635868051,5226133517708604388488565944684909369]]]>*] [x,x^2-x+11,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,43,89],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,43,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[5,43,89],[2,4,2],1,[1.000000000,0.4790883882,0.6905410722],<"notfaithful",0>,[3,2]>,<2,43*89^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[5,43,89],[2,4,5],1,[1.000000000,1.554169823,1.085943997],<"2.43_89e2.3t2.1",1>,[3,2]>]
