x^2-4618 2^3*2309 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[1],[-1]] 1 [1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-4618,0,1]>,[[0,1],[0,262143]]>,<2309,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-4618,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,2309],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*2309,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,2309],[3,3],1,[1.000000000,1.437324849,1.078651911],<"1.2e3t2309.2.1.2t1.1",1>,[2,1]>]
x^5-x^4-x^3+2*x^2+1 2^3*2309 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 13 x^2+12*x+2 5 [[-159487,142046],[-7574,-142046],[151712,64063],[125542,-64063],[-110192,0]] 3 [4,6,7,5,4,3,5,6,6,6,5,3,5,3,6,3,6,7,3,3,4,6,7,3,5,5,5,5,5,6,5,4,5,4,4,3,2,3,5,7,2,2,4,6,7,5,5,7,6,7,7,5,7,6,6,3,4,4,6,2,6,2,7,5,2,7,5,6,4,6,6,5,6,5,3,5,7,2,7,7,3,7,5,3,5,6,4,4,7,3,2,4,6,3,3,3,4,3,5,6,7,5,5,6,5,6,7,5,4,5,4,7,4,4,5,4,5,5,6,4,3,7,4,2,2,6,5,2,4,4,3,5,7,6,5,6,2,2,4,7,5,5,4,5,7,6,5,7,2,7,3,5,7,7,5,5,4,7,5,5,6,2,3,4,5,4,6,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[3],[[[1,2,3,5,4]]],20,<<[],[1,1,0,1]>,[[-386858,0,0],[80296,0,0],[1,0,0]]>,[[[-176167,-382841,-304398],[0,0,0]],[[-365813,297271,-64579],[0,0,0]],[[-426301,85570,368977],[0,0,0]],[[1,0,0],[1,0,0]],[[-80295,0,0],[262143,0,0]]]>,<2309,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,2305,1]>,[[159972503476286819067317074176124618208830663142626645588349257046,0],[6047043550707450779242178289144384422958943544995473210326140011082,0],[1,0]]>,[[[-2399957644067192082824148240052673300419999611519605558448450032232,0],[0,0]],[[9103013394259947236179810397942296996531945423075011415483158000685,-4431437159985475201996191724378635042700071911227681110352908360826],[0,0]],[[-656012199485304374113483868745239273153002266559932646708567958736,4431437159985475201996191724378635042700071911227681110352908360826],[0,0]],[[-6047043550707450779242178289144384422958943544995473210326140010399,0],[-1,0]],[[683,0],[1,0]]]>*] [x,x^2-4618,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,2309],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2^3*2309,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,2309],[8,8],1,[1.000000000,1.437324849,1.078651911],<"notfaithful",0>,[5,5]>,<4,2^9*2309^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]],[[1],[1]]],[2,2309],[8,9],1,[0,0,0],<"4.2e9t2309e3.120.1.10t12.1",1>,[5,5]>,<4,2^3*2309,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,2309],[8,9],1,[1.000000000,0.5931780234,0.8696504175],<"4.2e3t2309.120.1.5t5.1",1>,[5,5]>,<5,2^6*2309^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,2309],[8,9],1,[0,0,0],<"5.2e6t2309e2.120.1.10t13.1",1>,[5,5]>,<5,2^9*2309^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[0],[-1]]],[2,2309],[8,9],1,[0,0,0],<"5.2e9t2309e3.120.1.6t14.1",1>,[5,5]>,<6,2^9*2309^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[1],[-1],[-1]]],[2,2309],[8,9],1,[0,0,0],<"6.2e9t2309e3.120.1.20t35.1",1>,[5,5]>]
x^5-x^4-7*x^3+7*x^2+7*x-3 2^4*3^2*7331 5 0 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 47 x^2+45*x+5 5 [[31340925,-99471052],[41445835,0],[74728377,0],[-68153261,0],[-79361875,99471052]] 1 [3,5,6,6,6,6,6,4,5,6,5,5,6,4,2,6,6,7,7,6,5,5,6,5,7,7,4,5,3,6,2,2,5,5,6,5,6,5,4,2,6,5,7,6,6,7,2,5,2,4,5,3,7,4,3,7,2,3,7,4,3,3,2,3,6,6,3,7,4,5,6,3,2,5,6,6,7,2,6,5,6,3,3,5,3,4,5,4,3,7,7,6,7,6,4,6,5,6,3,3,2,6,6,3,7,5,5,6,7,3,3,4,5,4,3,4,5,6,5,4,1,3,5,4,2,4,5,5,3,4,5,5,5,6,7,4,5,5,6,3,5,5,6,6,5,6,3,2,5,5,7,5,6,2,7,4,5,4,4,7,4,2,3,7,6,6,4,6] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,8,4,[[1,3,2,4,5],[1,5,4,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,3,2,4,5],[1,5,4,3,2],[1,4,5,3,2]],[1,5,4,3,2],[1,3,2,3,5],[2],[[[1,3,2,5,4],[1,3,2,4,5]]],20,<<[],[1,1,1]>,[[413662,67752],[195484,-154288],[247420,-323976],[-314914,-73008],[1,0]]>,[[[-439203,0],[0,0],[0,0],[0,0]],[[223144,-223187],[-244872,-62556],[-167567,-152324],[119669,-22751]],[[-3260,223751],[244872,62556],[167567,152324],[-119669,22751]],[[-215587,211549],[92124,101772],[-61365,-253764],[-159040,-256063]],[[-89381,-212113],[-92124,-101772],[61365,253764],[159040,256063]]]>,<3,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,3,5,5],[1],[[[1,3,2,5,4]]],20,<<[],[2,2,1]>,[[1425901455,-459030396],[131853573,-12322509],[1,0]]>,[[[-873909294,1162261467],[-1162261467,1162261467]],[[-131853573,12322511],[-1,0]],[[0,2],[1,0]],[[1739014598,-1273145879],[-355272738,-472874077]],[[1591271204,1260823366],[355272738,472874077]]]>,<7331,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[7329,2,0,1]>,[[-16558252492144251506069386618177986301102548127447966270375795656526581798531,0,0],[-68963687633684342296274487905862482463238827963956942554176502235272159179436,0,0],[1,0,0]]>,[[[-94628217433259558942248116096468576438044204910887333287914104086384831068434,-18318587299645329367190621918425447978799772091814803376128201031267880033102,-3472334116058599320267914999122172398529820893675619592351186627658712886372],[0,0,0]],[[-95876407545127290577714836097824703568530367042326184366019422402941708533423,-18220047021146836910470966346911844223881400764993777652008478967391737823790,-54666383750424382359217505096902907060588068290755402635970441243388241602014],[0,0,0]],[[-79490690857157430025709736098623759713438759204746003840404039259193102057957,36538634320792166277661588265337292202681172856808581028136679998659617856892,58138717866482981679485420096025079459117889184431022228321627871046954488386],[0,0,0]],[[68963687633684342296274487905862482463238827963956942554176502235272159185825,0,0],[-1,0,0]],[[6389,0,0],[1,0,0]]]>*] [x,x^2-7331,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7331],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2^2*7331,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7331],[8,2,8],1,[1.000000000,1.363302986,0.9748933605],<"notfaithful",0>,[5,5]>,<4,2^8*3^2*7331^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[0],[-1]],[[1],[-1]]],[2,3,7331],[8,9,10],1,[0,0,0],<"4.2e8t3e2t7331e3.120.1.10t12.1",1>,[5,5]>,<4,2^4*3^2*7331,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]]],[2,3,7331],[8,8,9],1,[1.000000000,0.7971677765,0.9988154193],<"4.2e4t3e2t7331.120.1.5t5.1",1>,[5,5]>,<5,2^6*3^2*7331^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[2,3,7331],[8,9,10],1,[0,0,0],<"5.2e6t3e2t7331e2.120.1.10t13.1",1>,[5,5]>,<5,2^8*3^2*7331^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[1]]],[2,3,7331],[8,9,10],1,[0,0,0],<"5.2e8t3e2t7331e3.120.1.6t14.1",1>,[5,5]>,<6,2^10*3^4*7331^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[1]],[[1],[0],[-1]],[[1],[0],[0],[-1]]],[2,3,7331],[8,9,10],1,[0,0,0],<"6.2e10t3e4t7331e3.120.1.20t35.1",1>,[5,5]>]
