x^2-1551 2^2*3*11*47 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-1099],[1099]] 1 [1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,2,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-1550,2,1]>,[[1,1],[-1,-1]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1551,0,1]>,[[0,-1],[0,1]]>,<11,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1551,0,1]>,[[0,-1],[0,1]]>,<47,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1551,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,11,47],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*3*11*47,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,47],[3,3,3,3],1,[1.000000000,1.536099626,1.068353294],<"1.2e2_3_11_47.2t1.1",1>,[2,1]>]
x^3-x^2+65*x-406 -11*97^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 31 x-1 5 [[-3964279],[12028662],[-8064382]] 2 [2,3,3,2,1,2,2,2,3,2,1,3,2,2,3,3,3,2,3,3,2,2,2,1,1,2,3,2,2,3,2,2,1,2,2,2,3,1,2,2,1,1,3,2,2,3,2,1,2,3,2,2,2,3,1,2,3,2,2,2,2,2,2,3,3,3,1,2,2,2,1,2,3,2,1,1,3,3,3,2,3,3,2,3,2,3,3,2,2,3,3,2,3,2,1,2,3,3,2,2,2,2,2,2,2,1,1,2,3,2,2,2,3,3,3,1,3,3,3,2,3,2,2,1,1,2,1,1,3,2,2,2,1,3,2,2,1,2,3,2,2,2,1,2,3,3,2,2,3,1,2,1,3,2,1,3,2,3,2,2,1,2,2,1,3,3,1,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<7,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[3,6,1]>,[[22227588621354004,0],[1470624512611545,-1504641318257056],[-900422763219262,1504641318257056]]>,<11,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-142740717896668043020,193894922969671676280,1]>,[[193894922969671676279,0],[-193894922969671676279,-1],[1,1]]>,<97,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[1],[[[3,1,2]]],20,<[],[274219,12610,194,1]>,[[-787384669551480426878516938076337377236,12720983359182828061472838012775020785,-13188323254426203276814640998020811477],[787384669551480426878516938076337377172,-12720983359182828061472838012775020786,13188323254426203276814640998020811477],[65,1,0]]>*] [x,x^2-x+3,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[7,11,97],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,11,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[7,11,97],[2,4,1],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[3,2]>,<2,11*97^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[7,11,97],[2,4,5],1,[1.000000000,0.8113455522,0.9179522974],<"2.11_97e2.3t2.1",1>,[3,2]>]
x^4-260859*x^2+14424459264 2^5*3^2*89^3*977^3 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 71 x-1 12 [[3234068594098031899026],[2237852266033639969292],[-2237852266033639969292],[-3234068594098031899026]] 1 [1,4,3,5,4,4,2,4,1,3,5,4,2,3,2,3,4,3,4,1,5,5,3,1,5,3,5,4,4,2,5,4,5,4,4,2,4,4,5,3,4,4,1,5,4,5,4,5,4,3,5,1,2,3,5,5,4,2,4,1,3,4,3,5,5,4,3,2,3,3,5,1,5,3,3,2,4,4,2,1,3,3,5,5,5,3,5,5,3,5,4,5,5,4,4,5,3,5,4,3,4,3,4,2,3,5,3,2,1,1,1,3,1,4,5,5,3,5,3,4,4,5,4,4,3,4,3,1,2,4,3,1,5,3,5,5,4,3,3,5,4,4,2,4,4,5,3,5,4,5,3,5,3,1,3,5,5,5,5,3,4,1,1,3,1,5,5,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-1565154,2>,<x^2-2077122134016,3>]*],[*[4],"CYC",0,5*]] [*<2,4,4,[[2,1,3,4],[2,1,4,3]],[[1,2,3,4],[2,1,4,3],[2,1,3,4],[1,2,4,3]],[1,2,3,4],[1,2,4,4],[2,4],[[[2,1,3,4],[2,1,4,3]],[[2,1,3,4]]],20,<[],[-255234,405148,-321710,4,1]>,[[4224,-3136,1248,4512],[-4224,3136,6944,3680],[-103267,-970,-485,0],[103267,970,485,0]]>,<3,4,2,[[2,1,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,4,3],[2,1,3,4],[1,2,4,3]],[2,1,3,4],[1,2,4,4],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-61458765,0],[0,0],[1,0]]>,[[[0,0],[206015939,206015939]],[[0,0],[181404550,181404550]],[[0,0],[43046724,0]],[[0,0],[86093439,0]]]>,<5,2,1,[[3,4,1,2]],[[1,2,3,4],[3,4,1,2]],[3,4,1,2],[1,3],[1],[[]],20,<[],[2,4,1]>,[[8316492907387,-7554178024389],[-386232348693,-7554178024389],[386232348693,7554178024389],[-8316492907387,7554178024389]]>,<23,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[27379109487626049594386168,22910863471720742779510013,-22910863471720742779510013,-27379109487626049594386168]>,<89,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[14424459264,0,-260859,0,1]>,[[0,-1,0,0],[0,-2731074279985091399535909383045051693,0,-2795083895072472263884312835947311363],[0,2731074279985091399535909383045051693,0,2795083895072472263884312835947311363],[0,1,0,0]]>,<977,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[14424459264,0,-260859,0,1]>,[[0,-1,0,0],[0,90085532896580220654853128428894727656646711388991526230,0,92667846015787330747708698282794228181248738125086180423],[0,-90085532896580220654853128428894727656646711388991526230,0,-92667846015787330747708698282794228181248738125086180423],[0,1,0,0]]>*] [x,x^2-x-21738,x^2-173906,x^2-2,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,23,89,977],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,89*977,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,23,89,977],[1,1,3,1,6,6],1,[1.000000000,2.891361293,1.443464178],<"notfaithful",0>,[4,3]>,<1,2^3*89*977,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,23,89,977],[6,4,1,1,6,6],1,[1.000000000,0.7048844939,0.9086236467],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,23,89,977],[6,3,3,1,1,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<2,2^5*3^2*89^2*977^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]]],[2,3,5,23,89,977],[6,6,3,1,6,6],1,[0,0,0],<"2.2e5_3e2_89e2_977e2.4t3.2",1>,[4,3]>]
x^4-2*x^3+10*x^2-9*x-4 -11*97^2 2 1 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 31 x-1 5 [[6622100],[6526501],[-6526500],[-6622099]] 4 [4,2,3,5,4,5,5,5,3,5,1,3,5,4,1,1,3,4,3,3,4,4,5,2,3,4,2,5,4,2,5,5,3,5,5,4,3,1,4,5,3,3,2,4,4,3,5,3,4,2,5,5,4,3,3,5,1,5,5,5,4,4,4,3,1,3,3,5,5,5,2,5,3,5,2,3,2,1,3,5,1,2,4,3,5,3,1,5,4,2,1,4,2,4,3,4,2,1,5,5,4,4,5,5,4,3,3,4,3,5,4,4,2,3,2,3,2,1,3,5,1,4,4,2,2,4,3,3,1,4,5,4,1,3,5,5,1,4,3,4,4,5,1,5,2,3,5,4,3,3,4,1,3,5,3,3,5,3,4,5,3,5,4,1,3,3,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-9,2>,<x^2+16*x+163,3>]*],[*[4],"CYC",0,5*]] [*<3,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,2,1]>,[[1358586192,-384806009],[-1358586191,384806009],[-37781989,543348744],[37781990,-543348744]]>,<11,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,7,1]>,[[273245010215165990903,0],[11,0],[1,0]]>,[[[35226810649987738165,-182149481223592077439],[0,0]],[[-35226810649987738164,182149481223592077439],[0,0]],[[-5,0],[-1,0]],[[6,0],[1,0]]]>,<97,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[5,96,1]>,[[-461268269428966263593061374381451150105,678127682525439042414030153386487237216],[753447798128022356392156234695118878674,582149269676362192268559249580791325722],[1,0]]>,[[[-753447798128022356392156234695118878598,-582149269676362192268559249580791325679],[-1,0]],[[76,43],[1,0]],[[-75,-43],[-1,0]],[[753447798128022356392156234695118878599,582149269676362192268559249580791325679],[1,0]]]>*] [x,x^2-x-24,x^2-x+3,x^2-x+267,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,11,97],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,97,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,11,97],[1,1,6],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[4,3]>,<1,11,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,11,97],[1,6,1],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[4,3]>,<1,11*97,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,11,97],[1,6,6],1,[1.000000000,1.154114531,0.8938278081],<"notfaithful",0>,[4,3]>,<2,11*97,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[3,11,97],[2,6,6],1,[1.000000000,0.7450406260,0.8604588654],<"2.11_97.4t3.2",1>,[4,3]>]
x^6-2*x^5-19*x^4+26*x^3+53*x^2-40*x-50 2^9*11^4*13^2 6 0 12 "D12" [[1,2,5,6,3,4],[2,1,6,5,4,3],[3,6,1,4,5,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[2,1,6,5,4,3]>,<2,3,[3,6,1,4,5,2]>,<2,3,[6,3,2,5,4,1]>,<3,2,[5,4,1,6,3,2]>,<6,2,[4,5,2,3,6,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 7 x^2+6*x+3 11 [[-517731242,-893836320],[-486748268,-893836320],[890633192,893836320],[-388393436,0],[-419376410,0],[921616166,893836320]] 1 [3,6,4,3,4,2,5,4,5,6,3,4,3,6,3,6,4,6,4,3,3,5,4,3,3,6,5,6,4,1,5,6,3,6,4,3,6,4,3,6,6,6,1,3,4,5,2,3,4,4,1,3,3,6,1,5,2,3,2,3,2,4,4,5,5,4,4,1,2,4,3,3,1,2,4,3,6,4,3,3,2,4,3,5,5,6,3,3,4,3,6,3,3,6,4,5,4,5,6,4,6,4,6,1,6,3,4,3,1,5,5,4,3,4,3,5,4,5,6,6,4,1,2,4,4,2,4,5,1,4,4,3,1,6,3,3,4,4,2,5,4,4,5,4,6,3,4,5,6,3,4,1,2,1,6,5,5,3,5,4,4,5,3,6,3,3,5,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,3*],[*[2,2,2],"RES",<[1],x^2>,[<x-28,2>,<x^3-18*x^2-1828*x-19576,4>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,3,4],[3],[[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[139106,0],[409196,0],[1,0]]>,[[[0,0],[1,0]],[[115092,0],[262143,0]],[[-187592,59597],[1,0]],[[-72500,59597],[262143,0]],[[-247189,-59597],[1,0]],[[-132097,-59597],[262143,0]]]>,<5,2,1,[[3,4,1,2,6,5]],[[1,2,3,4,5,6],[3,4,1,2,6,5]],[3,4,1,2,6,5],[1,4],[1],[[]],20,<[],[2,4,1]>,[[-37761473448251,-17121094572733],[7038568605573,1],[30722904842681,17121094572733],[7038568605569,-1],[385499207995,1952391755390],[-7424067813565,-1952391755390]]>,<11,6,3,[[2,3,1,5,6,4],[6,5,4,3,2,1]],[[1,2,3,4,5,6],[6,5,4,3,2,1],[2,3,1,5,6,4]],[6,5,4,3,2,1],[1,4,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,7,1]>,[[-225936903223795136560,239405189606051738995],[232699846912678953005,-82576634254664745261],[247651587147111024966,-25349545805476851299],[1,0]]>,[[[192603373280450873725,-23996734989833720324],[25904321113007108137,-17755414401721125854],[11207575868562821563,-14271861308529064208]],[[6,10],[1,0],[0,0]],[[232495034504998110522,49346280795310571643],[-25904321113007108138,17755414401721125854],[-11207575868562821563,14271861308529064208]],[[-90795565243181782443,183353566117368381857],[25904321113007108137,-17755414401721125854],[11207575868562821563,-14271861308529064208]],[[-283398938523632656162,207350301107202102191],[1,0],[0,0]],[[-50903904018634545646,256696581902512673824],[-25904321113007108138,17755414401721125854],[-11207575868562821563,14271861308529064208]]]>,<13,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,3,4],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,12,1]>,[[6292781958100412769878,-8841259561483303540352],[-8456424495007135566270,5214625486318760961553],[1,0]]>,[[[-5095337179082619012085,-6895169144281019238631],[0,0]],[[1626837452766414096283,6895169144281019238631],[0,0]],[[8456424495007135566270,-5214625486318760961546],[-1,0]],[[0,7],[1,0]],[[1734249863158102457902,-7],[-1,0]],[[-6722174631849033108368,5214625486318760961546],[1,0]]]>*] [x,x^2-x-3,x^2-26,x^2-2,x^3-x^2-7*x+2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,13],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,13,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,11,13],[3,3,3,7],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[6,3]>,<1,2^3*13,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,13],[7,1,1,7],1,[1.000000000,0.9070129404,0.9305714762],<"notfaithful",0>,[6,3]>,<1,2^3,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,13],[7,2,2,2],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[6,3]>,<2,11^2*13,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,5,11,13],[3,3,7,8],1,[1.000000000,0.8517110177,0.9493142195],<"notfaithful",0>,[6,3]>,<2,2^6*11^2*13,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,5,11,13],[7,3,7,8],1,[1.000000000,1.283257851,1.102231097],<"2.2e6_11e2_13.6t3.3",1>,[6,3]>]
