x^2-x-950 3*7*181 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1550],[-1549]] 1 [1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-948,3,1]>,[[-1,-1],[2,1]]>,<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-938,7,1]>,[[-3,-1],[4,1]]>,<181,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[7240,181,1]>,[[-90,-1],[91,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,7,181],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*7*181,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,7,181],[3,3,3],1,[1.000000000,2.288797242,1.372663080],<"1.3_7_181.2t1.1",1>,[2,1]>]
x^5-x^4-3*x^3+15*x^2+28*x-8 2^4*977^2 1 2 10 "D10" [[3,5,1,4,2],[2,1,3,5,4]] [<1,1,[1,2,3,4,5]>,<2,5,[3,5,1,4,2]>,<5,2,[3,4,2,5,1]>,<5,2,[2,5,4,1,3]>] [[1,1,1,1,1],[1,2,2],[5]] 7 x^2+6*x+3 8 [[-541913,-1027339],[2537129,2825938],[2875904,-2825938],[-142680,1027339],[1036362,0]] 2 [1,3,2,2,2,2,3,4,1,3,2,2,2,2,2,2,4,4,2,2,2,4,2,4,2,4,2,2,4,2,2,2,4,2,2,4,4,3,3,2,2,2,3,3,2,1,3,3,2,3,2,4,2,3,2,4,4,2,3,2,1,2,1,4,3,3,3,2,3,3,3,3,3,2,2,1,2,2,4,4,2,3,2,3,2,3,2,4,2,4,2,4,3,1,1,2,2,3,2,4,4,3,3,2,2,4,3,2,4,1,2,2,2,2,3,2,4,2,4,2,2,2,2,4,4,4,1,1,1,3,2,3,4,2,2,2,2,2,2,2,2,4,2,4,2,2,1,3,3,2,3,2,2,4,4,3,2,2,2,3,2,2,4,3,1,4,2,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-78160,4>,<x+78160,3>]*]] [*<2,2,2,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[1,2,3,4,5],[1,2],[2],[[[2,1,3,5,4]]],20,<[],[69530,274798,1]>,[[-25308,131070],[0,-131070],[104561,0],[-110303,182893],[31051,79251]]>,<5,2,1,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,3,2,5,4],[1,2],[1],[[]],20,<[],[2,4,1]>,[[-14473269657736,0],[-43207814132585,-31120521804282],[-14093158556082,31120521804282],[-1394038145588,432906668730],[-3125664820508,-432906668730]]>,<977,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[230253012746533225397317913658061420710038385378380735053038,-205426652656497175283911677899045521665648065731998272760968,1]>,[[176724038339713842777241379040156748494177137686420101358847,0],[205426652656497175283911677899045521665648065731998272761552,-1],[584,1],[-19312863218631188200878529463400259298128042855214868926932,-4663663632576959234213644573923281251404614017677754831],[265063316304346858064394603837961804603298246306551358961151,4663663632576959234213644573923281251404614017677754831]]>*] [x,x^2+977,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,977],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,2^2*977,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,977],[5,2,5],1,[1.000000000,1.005084535,1.051085573],<"notfaithful",0>,[5,2]>,<2,2^2*977,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,5,977],[5,2,5],1,[1.000000000,1.254147600,1.118994631],<"2.2e2_977.5t2.1",1>,[5,2]>,<2,2^2*977,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,5,977],[5,2,5],1,[1.000000000,2.242660762,1.416569250],<"2.2e2_977.5t2.1",2>,[5,2]>]
x^6-3*x^5+4*x^4-3*x^3+20*x^2-19*x+7 -2^4*3*1627^2 0 3 48 "C2*S4" [[3,2,1,6,5,4],[1,2,6,4,5,3],[2,3,1,5,6,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[1,5,3,4,2,6]>,<2,3,[1,5,6,4,2,3]>,<2,6,[3,2,1,6,5,4]>,<2,6,[3,5,1,6,2,4]>,<3,8,[2,3,1,5,6,4]>,<4,6,[1,6,2,4,3,5]>,<4,6,[4,6,2,1,3,5]>,<6,8,[2,6,1,5,3,4]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 19 x^2+18*x+2 11 [[-899547752942,0],[8193640085163,7382085503808],[-23550471942145,-22031762254386],[899547752943,0],[-8193640085162,-7382085503808],[23550471942146,22031762254386]] 6 [6,8,6,4,10,9,6,4,10,8,7,7,8,5,3,10,10,7,5,10,9,7,10,3,7,8,9,10,9,6,9,8,10,4,6,7,7,9,8,8,6,5,10,7,3,5,5,9,10,9,3,6,7,6,8,8,3,5,9,10,7,6,4,6,5,3,9,5,3,7,8,6,7,5,7,10,8,5,8,7,10,9,3,7,7,10,10,4,3,7,10,10,5,8,5,8,3,10,7,7,7,8,10,3,5,5,6,3,10,5,7,5,10,9,7,10,7,10,8,10,5,7,2,8,5,10,7,6,5,7,5,8,5,9,10,7,10,7,6,10,5,6,5,10,9,6,9,6,7,8,7,6,9,10,7,10,4,10,4,3,3,6,5,2,6,8,4,9] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-2*x^2+300*x-152,4>,<x^6-2*x^5-148*x^4+552*x^3-39296*x^2-57344*x-1666048,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-1,2>,<x^6-4*x^5-143*x^4+40*x^3-38533*x^2+134876*x-1762285,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,6,3,[[3,1,2,6,4,5],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[3,1,2,6,4,5]],[4,6,5,1,3,2],[1,6,7],[1],[[[3,1,2,6,4,5]]],20,<<[],[1,1,1]>,[[73790,79984],[111108,261328],[41268,137874],[1,0]]>,[[[-183110,-183709],[119054,43560],[246875,30546]],[[-33138,-20277],[230106,34462],[17070,128557]],[[-114830,66115],[175128,-78022],[260343,103041]],[[183111,183709],[-119054,-43560],[15269,231598]],[[33139,20277],[-230106,-34462],[245074,133587]],[[114831,-66115],[-175128,78022],[1801,159103]]]>,<3,8,2,[[1,2,3,4,6,5],[2,3,4,1,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[2,3,4,1,5,6],[4,1,2,3,5,6],[2,3,4,1,6,5],[4,1,2,3,6,5]],[2,3,4,1,5,6],[1,4,3,2,8,8,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,0,0,2,1]>,[[-1500323700,0,0,0],[3,0,0,0],[1,0,0,0]]>,[[[1334709759,-1220808849,-724305334,-1132987776],[0,0,0,0]],[[-1721481907,1149481271,1146741272,1168651565],[0,0,0,0]],[[-1334709758,1220808849,724305334,1132987776],[0,0,0,0]],[[1721481908,-1149481271,-1146741272,-1168651565],[0,0,0,0]],[[-1,0,0,0],[-1,0,0,0]],[[2,0,0,0],[1,0,0,0]]]>,<7,2,1,[[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5]],[1,3,2,4,6,5],[1,4],[1],[[]],20,<[],[3,6,1]>,[[5897756267142887,0],[-27005168930174131,30894410172081290],[27005168930174132,-30894410172081290],[-5897756267142886,0],[2040103059036858,2579850217241143],[-2040103059036857,-2579850217241143]]>,<1627,4,2,[[1,2,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[1,2,5,6,3,4],[1,2,6,5,4,3]],[1,2,5,6,3,4],[1,5,5,4],[1],[[[1,2,4,3,6,5]]],20,<<[],[3,1622,1]>,[[-5913546677666306069571195832739621793112854399513602792826646949,3870160326988207355490520371610525203691007897115611313210252558],[-2887407051450435400695361918060816727984373278294455205945195333,-7378075359364391223050178143003668820545657048994708201020700588],[1,0]]>,[[[-3962148431306237279665326537286225730082448885658892346544032699,0],[0,0]],[[3962148431306237279665326537286225730082448885658892346544032700,0],[0,0]],[[2887407051450435400695361918060816727984373278294455205945196457,7378075359364391223050178143003668820545657048994708201020702091],[-1,0]],[[1124,1503],[1,0]],[[-1123,-1503],[-1,0]],[[-2887407051450435400695361918060816727984373278294455205945196456,-7378075359364391223050178143003668820545657048994708201020702091],[1,0]]]>*] [x,x^2-x-1220,x^2-x+407,x^2-x+1,x^6-2*x^5-73*x^4+104*x^3+1339*x^2-1110*x-19299,x^3-x^2+19*x-7,x^4-2*x^3-4*x^2-10*x+31,0,0,x^4-2*x^3-4*x^2-10*x+31] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,1627],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,3*1627,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,1627],[1,11,1,11],1,[1.000000000,2.642523759,1.406144013],<"notfaithful",0>,[6,11]>,<1,1627,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,1627],[5,5,1,11],1,[1.000000000,0.5451978522,0.7098244540],<"notfaithful",0>,[6,11]>,<1,3,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,1627],[2,11,1,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,11]>,<2,2^2*3^2*1627,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[2,3,7,1627],[11,11,1,12],1,[1.000000000,1.599910219,1.057670847],<"notfaithful",0>,[6,11]>,<2,2^2*1627,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,7,1627],[11,5,1,12],1,[1.000000000,1.386641376,1.049590695],<"notfaithful",0>,[6,11]>,<3,2^2*3^2*1627,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]],[[1],[0],[-1]]],[2,3,7,1627],[11,12,3,13],1,[1.000000000,1.453936350,1.218400787],<"notfaithful",0>,[6,11]>,<3,2^2*3*1627,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[1]],[[1],[0],[-1]]],[2,3,7,1627],[11,12,4,13],1,[1.000000000,0.4370613973,0.7392399487],<"3.2e2_3_1627.6t11.1",1>,[6,11]>,<3,2^2*3*1627^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[0],[1]],[[1],[1]]],[2,3,7,1627],[11,12,4,13],1,[0,0,0],<"3.2e2_3_1627e2.6t11.1",1>,[6,11]>,<3,2^2*3^2*1627^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]],[[1],[-1]]],[2,3,7,1627],[11,12,3,11],1,[0,0,0],<"notfaithful",0>,[6,11]>]
x^8-6*x^6-x^5+4*x^4+13*x^3+9*x^2+10*x-5 -5^4*11^2*19^3 2 3 32 "D8:C2^2" [[1,8,7,6,5,4,3,2],[2,5,6,7,8,4,3,1],[3,7,5,1,4,2,8,6],[5,8,4,3,1,7,6,2],[1,2,4,3,5,7,6,8]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[5,8,4,3,1,7,6,2]>,<2,2,[1,2,4,3,5,7,6,8]>,<2,4,[1,8,7,6,5,4,3,2]>,<2,4,[3,7,1,5,4,8,2,6]>,<2,4,[1,8,6,7,5,3,4,2]>,<4,2,[2,5,6,7,8,4,3,1]>,<4,2,[2,5,7,6,8,3,4,1]>,<4,4,[3,7,5,1,4,2,8,6]>,<8,4,[7,3,5,1,6,8,2,4]>,<8,4,[7,3,1,5,6,2,8,4]>] [[1,1,1,1,1,1,1,1],[1,1,1,1,2,2],[1,1,2,2,2],[2,2,2,2],[4,4],[8]] 191 x-1 5 [[-43950405855],[43286305979],[20736155765],[-99230837456],[106487894569],[-30584231629],[-93045723164],[96300841791]] 4 [11,10,1,9,8,11,9,3,5,4,6,10,4,9,5,10,6,8,10,6,9,4,9,6,10,8,10,11,4,10,11,3,5,8,8,4,5,5,11,11,6,6,1,11,9,2,4,10,11,7,9,3,4,2,10,9,6,8,9,4,9,11,11,7,5,10,6,11,9,3,5,8,5,11,6,10,1,5,6,4,2,6,4,10,4,5,6,9,3,5,5,8,10,3,7,9,6,6,11,8,11,9,11,4,8,5,5,9,6,4,11,9,5,7,7,6,5,5,5,4,6,11,11,10,7,8,1,7,5,9,3,11,6,5,8,8,10,11,10,3,4,3,5,11,6,6,9,11,2,10,11,7,5,11,10,6,3,2,9,4,5,11,9,6,10,10,6,9] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2,2],"CYC",0,3*],[*[1,1,2,2,2],"RES",<[1],x^2>,[<x^4-10*x^3+200*x^2+400*x-400,4>,<x^4-10*x^3-295*x^2+3700*x-11125,6>]*],[*[2,2,2,2],"RES",<[1],x^2>,[<x+6,2>,<x^4+10*x^3+4*x^2-523*x+2357,5>]*],[*[4,4],"RES",<[1],x^2>,[<x^2-13*x+66,7>,<x^2-13*x+275,8>,<x^4+10*x^3-128*x^2-1183*x+13115,9>]*],[*[8],"RES",<[1],x^2>,[<x^4+10*x^3-300*x^2-6850*x+103475,10>,<x^4+10*x^3+195*x^2+850*x+2000,11>]*]] [*<5,2,2,[[2,1,4,3,8,7,6,5]],[[1,2,3,4,5,6,7,8],[2,1,4,3,8,7,6,5]],[1,2,3,4,5,6,7,8],[1,5],[1],[[[2,1,4,3,8,7,6,5]]],20,<[],[3722434249505,-11405243655645,1]>,[[11405243655645,-1],[0,1],[-3727509927,1534009514370],[-7560907063152,-1534009514370],[-9294334940039,-16653941666],[5365360721661,1832029731938],[1915906836671,-1832029731938],[-1827541700859,16653941666]]>,<11,8,2,[[1,2,3,4,6,5,8,7],[4,1,2,3,7,8,6,5]],[[1,2,3,4,5,6,7,8],[3,4,1,2,6,5,8,7],[1,2,3,4,6,5,8,7],[3,4,1,2,5,6,7,8],[4,1,2,3,7,8,6,5],[2,3,4,1,8,7,5,6],[4,1,2,3,8,7,5,6],[2,3,4,1,7,8,6,5]],[4,1,2,3,7,8,6,5],[1,2,3,3,8,8,7,7],[1],[[[1,2,3,4,6,5,8,7]]],20,<<[],[2,10,8,0,1]>,[[-104979469343718527118,-9546166363786347856,-29713486004323047322,19022380143151717442],[-171444099537860941220,166773794088621096630,-71121961228353350876,-127801326623795896577],[1,0,0,0]]>,[[[-29773804664155228322,91046559130132594572,269916964717439574266,-107237468986029914300],[0,0,0,0]],[[331309498341842621025,-299762714897650188476,-295406807730708214813,197562983724944619175],[0,0,0,0]],[[329402076427218539499,84700590154268917650,177693434450479918123,-279261466671158932328],[0,0,0,0]],[[166669630138017422857,124015565613248676254,-152203591437211277576,188935951932244227453],[0,0,0,0]],[[171444099537860941223,-166773794088621096623,71121961228353350886,127801326623795896580],[-1,0,0,0]],[[3,7,10,3],[1,0,0,0]],[[220087985680435671523,-241425084728155987886,-18453691728392039789,304358788257051816032],[-17261751282445332507,27718275115076790689,8413941678033034972,18745763153596705951]],[[156360504403900050594,-264551116115782924699,-52668269499961311107,240589880051712296586],[17261751282445332507,-27718275115076790689,-8413941678033034972,-18745763153596705951]]]>,<19,4,2,[[1,2,4,3,6,5,8,7],[2,1,3,4,5,6,8,7]],[[1,2,3,4,5,6,7,8],[2,1,3,4,5,6,8,7],[1,2,4,3,6,5,8,7],[2,1,4,3,6,5,7,8]],[2,1,3,4,5,6,8,7],[1,3,6,4],[1],[[[1,2,4,3,6,5,8,7]]],20,<<[],[2,18,1]>,[[16071251486585471538944316,0],[-16460394662102376828019353,0],[1,0]]>,[[[-5525689593534143344231729,13948019538585228915187305],[0,0]],[[6539772914753443535885988,-13948019538585228915187305],[0,0]],[[16460394662102376828019371,0],[-1,0]],[[18,0],[1,0]],[[18439738185895746898664886,0],[-777351547333486501606987,0]],[[-17396782855574404579071510,0],[777351547333486501606987,0]],[[16725569552752456478882130,-1289520805330221338315551],[-782506149541802034877251,-86945127726866892764139]],[[2346970591150482375206447,1289520805330221338315551],[782506149541802034877251,86945127726866892764139]]]>,<47,2,1,[[4,5,6,1,2,3,8,7]],[[1,2,3,4,5,6,7,8],[4,5,6,1,2,3,8,7]],[4,5,6,1,2,3,8,7],[1,5],[1],[[]],20,<[],[5,45,1]>,[[1255038286231564674179026674123928,935835380671275809120228988697675],[703667403141740930250658772997614,975626785854047766559602328495720],[955995235429502314710456033933776,-1309944308498950423401104592217172],[642476835459190405529942352864568,-935835380671275809120228988697675],[1067161431106964386280522172168630,-975626785854047766559602328495720],[-963222545289116440156293565826306,1309944308498950423401104592217172],[14650151885518057511719860174082,-20023906803815943736985339638780],[-26118709844836239243343434410146,20023906803815943736985339638780]]>*] [x,x^2-x+5,x^2-x-261,x^2-x+14,x^2-x-52,x^2-x+3,x^2-x-1,x^2-x+24,x^4-2*x^3+2*x^2-x-1,x^4-2*x^3-4*x^2+5*x-145,0] [1,2,2,2,2,2,2,2,5,5,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,11,19,47],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,15]>,<1,19,1,[[1],[1],[1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,11,19,47],[1,1,12,1],1,[1.000000000,0.7207307842,0.7688512744],<"notfaithful",0>,[8,15]>,<1,5*11*19,1,[[1],[1],[-1],[1],[-1],[-1],[1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[5,11,19,47],[12,12,12,3],1,[1.000000000,1.132101620,0.9162233672],<"notfaithful",0>,[8,15]>,<1,5*11,1,[[1],[1],[-1],[-1],[-1],[1],[1],[-1],[1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[5,11,19,47],[12,12,3,3],1,[1.000000000,1.694449068,1.228569278],<"notfaithful",0>,[8,15]>,<1,11*19,1,[[1],[1],[-1],[1],[1],[-1],[1],[-1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,11,19,47],[1,12,12,1],1,[1.000000000,1.582843421,1.228197365],<"notfaithful",0>,[8,15]>,<1,11,1,[[1],[1],[-1],[-1],[1],[1],[1],[-1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,11,19,47],[1,12,3,1],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[8,15]>,<1,5,1,[[1],[1],[1],[1],[-1],[1],[1],[1],[-1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1]]],[5,11,19,47],[12,1,1,5],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[8,15]>,<1,5*19,1,[[1],[1],[1],[-1],[-1],[-1],[1],[1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[5,11,19,47],[12,1,12,4],1,[1.000000000,2.578564843,1.478883863],<"notfaithful",0>,[8,15]>,<2,5*19,1,[[2],[2],[2],[0],[0],[0],[-2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[-1]]],[5,11,19,47],[12,7,12,4],1,[1.000000000,0.7728692163,0.9549619765],<"notfaithful",0>,[8,15]>,<2,5*11^2*19,1,[[2],[2],[-2],[0],[0],[0],[-2],[2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[-1]],[[1]],[[1],[1]]],[5,11,19,47],[12,13,14,4],1,[1.000000000,0.9315611429,0.9669949574],<"notfaithful",0>,[8,15]>,<4,5^2*11^2*19^2,1,[[4],[-4],[0],[0],[0],[0],[0],[0],[0],[0],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[4],[6],[4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[2],[0],[1]],[[1],[0],[2],[0],[1]],[[1],[0],[2],[0],[1]],[[1],[0],[0],[0],[1]],[[1],[0],[0],[0],[1]],[[1],[-2],[1]],[[1],[0],[1]],[[1],[0],[-1]]],[5,11,19,47],[12,13,14,3],1,[0,0,0],<"4.5e2_11e2_19e2.8t15.1",1>,[8,15]>]
