x^4-2*x^3-274*x^2+275*x+359 5*74189^2 4 0 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 11 x-1 10 [[-3212216819],[3756683650],[-3756683649],[3212216820]] 1 [5,5,4,5,1,5,4,3,5,2,3,4,2,4,5,4,2,2,5,3,5,2,4,3,4,3,4,5,3,4,4,1,4,3,3,3,5,4,5,5,1,3,2,5,5,2,3,4,5,3,5,1,3,1,4,4,1,2,4,2,5,4,5,3,4,4,1,4,4,1,5,1,4,4,3,5,3,5,1,1,3,2,1,5,3,4,3,4,3,4,5,3,5,1,2,5,1,3,5,3,4,5,5,1,1,5,5,4,2,2,4,4,5,2,3,3,5,5,4,1,2,4,5,5,1,1,1,3,5,5,2,5,3,4,1,3,5,5,4,3,2,3,4,4,3,3,4,4,1,5,5,1,4,4,5,3,3,1,5,1,4,5,5,1,4,5,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+275,2>,<x^2-552*x+69331,3>]*],[*[4],"CYC",0,5*]] [*<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[4852552429435,0],[5,0],[1,0]]>,[[[27344077600249,-10169819110032],[0,0]],[[-27344077600248,10169819110032],[0,0]],[[-2,0],[-1,0]],[[3,0],[1,0]]]>,<37,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[2,33,1]>,[[-5909936401119393422724967435097,-3160903256632830962187725758103],[5909936401119393422724967435098,3160903256632830962187725758103],[-154494509513020341208719669239,0],[154494509513020341208719669240,0]]>,<74189,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,74188,1]>,[[12113470502284535625796981641950062824597336667499471478613889980314105369192191637785075395558318,8009264124248285347507017726575336994047763377351684576587031100448433068124607147918206386212493],[6231099270340753660983253984676769301216248397952007424593691347052805507835279807284793342175216,6623367890352428618238097428380110940724130144547467007092327161872565513516170911209532895372445],[1,0]]>,[[[-6231099270340753660983253984676769301216248397952007424593691347052805507835279807284793342122110,-6623367890352428618238097428380110940724130144547467007092327161872565513516170911209532895330278],[-1,0]],[[53106,42167],[1,0]],[[-53105,-42167],[-1,0]],[[6231099270340753660983253984676769301216248397952007424593691347052805507835279807284793342122111,6623367890352428618238097428380110940724130144547467007092327161872565513516170911209532895330278],[1,0]]]>*] [x,x^2-x-18547,x^2-x-1,x^2-x-92736,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,37,74189],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,74189,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,37,74189],[1,1,6],1,[1.000000000,0.5935193279,0.7374212418],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,37,74189],[6,4,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,5*74189,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,37,74189],[6,3,6],1,[1.000000000,3.851906885,1.546247635],<"notfaithful",0>,[4,3]>,<2,5*74189,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[5,37,74189],[6,3,6],1,[1.000000000,0.6120178345,0.9041667872],<"2.5_74189.4t3.1",1>,[4,3]>]
x^2-3459 2^2*3*1153 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-1203],[1203]] 1 [1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-3458,2,1]>,[[1,1],[-1,-1]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-3459,0,1]>,[[0,-1],[0,1]]>,<1153,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-3459,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,1153],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*3*1153,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,1153],[3,3,3],1,[1.000000000,1.787764385,1.084498983],<"1.2e2_3_1153.2t1.1",1>,[2,1]>]
x^2+6514 -2^3*3257 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1231],[-1231]] 2 [1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[6514,0,1]>,[[0,1],[0,262143]]>,<3257,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[6514,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3257],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*3257,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3257],[3,3],1,[1.000000000,0.7784952933,0.9242211220],<"1.2e3_3257.2t1.1",1>,[2,1]>]
