x^2-x+3334 -3*5*7*127 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 13 x-1 5 [[-140187],[140188]] 2 [1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[3336,3,1]>,[[-1,-1],[2,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[3340,5,1]>,[[-2,-1],[3,1]]>,<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[3346,7,1]>,[[-3,-1],[4,1]]>,<127,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[7366,127,1]>,[[-63,-1],[64,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,5,7,127],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*5*7*127,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,5,7,127],[3,3,3,3],1,[1.000000000,1.741138572,1.319110144],<"1.3_5_7_127.2t1.1",1>,[2,1]>]
x^5-2*x^4-48*x^3-102*x^2-18*x+54 2^4*3^2*5^3*41^3 5 0 20 "F5" [[1,5,4,3,2],[4,5,1,2,3],[1,4,2,5,3]] [<1,1,[1,2,3,4,5]>,<2,5,[1,5,4,3,2]>,<4,5,[1,4,2,5,3]>,<4,5,[1,3,5,2,4]>,<5,4,[4,5,1,2,3]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 13 x^2+12*x+2 16 [[-87296617839189653,-178315119089423254],[110779617008488450,27393619577920494],[-217943817926557478,-27393619577920494],[56234983684349872,178315119089423254],[138225835072908811,0]] 1 [4,1,1,5,4,2,5,3,4,3,5,4,1,4,5,5,5,2,2,4,4,4,4,3,2,3,4,3,3,4,4,5,5,2,4,3,1,3,2,3,4,4,3,2,4,3,4,3,5,3,5,3,2,5,2,2,1,5,4,3,3,2,3,3,1,2,3,3,5,5,4,5,3,3,2,2,2,5,1,2,2,3,5,3,4,3,2,2,2,2,3,3,3,2,4,1,4,4,3,2,2,5,5,2,3,5,2,2,5,4,3,4,4,2,5,3,2,4,5,3,2,5,4,2,4,2,4,4,1,4,2,3,3,2,2,2,2,3,3,3,2,2,2,2,5,4,4,3,5,3,4,5,5,5,3,5,3,4,2,1,3,4,2,4,2,4,3,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5-200*x^4-249360*x^3-25065480*x^2+1954389240*x-29356496712,3>,<x^5-200*x^4-249360*x^3-22630080*x^2+24445440*x+628812288,4>]*],[*[5],"CYC",0,5*]] [*<2,20,5,[[2,3,4,5,1],[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3],[2,3,4,5,1]],[1,3,5,2,4],[1,2,4,3,5],[1],[[[2,3,4,5,1]]],20,<<[],[1,1,0,0,1]>,[[54,0,0,0],[-18,0,0,0],[-102,0,0,0],[-48,0,0,0],[-2,0,0,0],[1,0,0,0]]>,[[[0,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-485154,381312,-189436,52178],[80814,185802,356256,282515],[139562,173182,295731,11320],[19300,121946,133252,200496],[48216,497122,83739,64288]],[[-162450,-198644,43030,482450],[111184,298868,7727,497771],[240151,69305,435826,494964],[510460,350600,483958,331088],[159557,301129,489286,37980]],[[-31654,-171486,-441108,-42206],[473318,38249,362364,106803],[504492,458733,34008,148368],[22194,319764,387918,29592],[352374,481613,312980,469832]],[[-369316,-11182,-461062,-492422],[383259,1369,322229,161487],[164371,347356,283011,393924],[496622,256266,43448,487400],[488429,293000,162571,476476]]]>,<3,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[45886650,86481216,1]>,[[-418102162,0],[341824935,327664586],[335720883,59755903],[-1163325,129140160],[-129140166,3]]>,<5,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,2,4,3],[1],[[[1,3,5,2,4]]],20,<[],[-35230226398795,-19387664686525,40858880706465,-46568944070645,1]>,[[-46568944070659,0,0,0],[-5856169370736,-8640788859001,7880192962775,-4748169606875],[15273630556469,3718626990333,3756287695955,4298877177858],[37151482884924,4922161868667,7437005669395,449292429017],[4,1,0,0]]>,<41,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,2,3,4],[1],[[[1,3,5,2,4]]],20,<[],[10437300090280221520621298128173,63744148371788766520030471529365,-62448792946519682255896773699751,26378054104103215602164365835603,1]>,[[26378054104103215602164365835473,0,0,0],[-89572259193163914757197183238556,-243305994089532901567696347924,-397761423979775568264959899290,-858077171704436503036434147134],[9388315556904720262816017977828,-1916537289408852027189551201603,-400485264169848001098056424288,-2196266228020019778123696880099],[53805889532155978892216799425224,2159843283498384928757247549526,798246688149623569363016323578,-1339992769944346877450353023128],[33,1,0,0]]>*] [x,x^2-x-51,x^4-x^3-179*x^2+1089*x-1029,x^4-x^3-179*x^2+1089*x-1029,0] [1,2,2,2,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,41],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5*41,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,41],[3,1,6,6],1,[1.000000000,1.050623227,0.9146140274],<"notfaithful",0>,[5,3]>,<1,3*5*41,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,3,5,41],[4,6,6,6],0,[-0.2145234434+0.9767188399*i,0.9025223426+0.5720238693*i,0.9580098705+0.2475169660*i],<"notfaithful",0>,[5,3]>,<1,3*5*41,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,3,5,41],[4,6,6,6],0,[-0.2145234434-0.9767188399*i,0.9025223426-0.5720238693*i,0.9580098705-0.2475169660*i],<"notfaithful",0>,[5,3]>,<4,2^4*3^2*5^3*41^3,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1]],[[1],[-2],[1]],[[1],[-1]]],[2,3,5,41],[6,7,8,8],1,[0,0,0],<"4.2e4_3e2_5e3_41e3.5t3.1",1>,[5,3]>]
x^4+615*x^2+16605 2^4*3^2*5^3*41^3 0 2 4 "C4" [[4,3,2,1],[2,4,1,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[2,4,1,3]>,<4,1,[3,1,4,2]>] [[1,1,1,1],[2,2],[4]] 17 x-1 8 [[-2446483276],[271173111],[-271173111],[2446483276]] 2 [4,1,1,2,3,2,1,4,3,3,2,4,1,3,2,1,2,2,1,3,4,3,3,3,2,3,3,4,3,4,3,2,1,1,4,4,1,4,1,3,3,4,4,2,4,4,3,4,2,3,1,4,2,2,2,1,1,2,4,3,4,2,4,4,1,2,4,3,2,1,4,2,4,3,1,1,2,1,1,2,1,3,2,3,3,4,2,2,2,1,4,4,4,1,3,2,4,4,4,2,1,1,2,2,4,1,1,2,2,4,4,4,4,1,2,3,1,3,1,4,2,1,4,1,3,2,4,3,2,4,1,4,4,2,2,2,2,4,3,3,1,2,1,1,1,3,4,3,2,4,4,1,2,2,4,2,4,4,2,1,4,4,1,3,2,3,4,1] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x+143910,3>,<x-143910,4>]*]] [*<2,4,2,[[4,3,1,2]],[[1,2,3,4],[2,1,4,3],[4,3,1,2],[3,4,2,1]],[4,3,1,2],[1,2,4,3],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[-88398,-177410],[0,2],[1,0]]>,[[[0,1],[1,0]],[[0,-1],[-1,0]],[[61219,-144151],[-205370,-61219]],[[-61219,144151],[205370,61219]]]>,<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[177024882,0,1]>,[[0,249462914],[0,137957575],[0,43046724],[0,86093439]]>,<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,4,3],[1],[[[2,4,1,3]]],20,<[],[16605,0,615,0,1]>,[[0,-1,0,0],[0,489063752008,0,5542722522703],[0,-489063752008,0,-5542722522703],[0,1,0,0]]>,<13,2,1,[[3,4,1,2]],[[1,2,3,4],[3,4,1,2]],[3,4,1,2],[1,2],[1],[[]],20,<[],[2,12,1]>,[[260204247749961638801,287020756354234624913],[363117796612202867432,-426787130689781558987],[-260204247749961638801,-287020756354234624913],[-363117796612202867432,426787130689781558987]]>,<41,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[16605,0,615,0,1]>,[[0,-1,0,0],[0,1915479868829991120419954586050,0,-262909001604116428292934943184],[0,-1915479868829991120419954586050,0,262909001604116428292934943184],[0,1,0,0]]>*] [x,0,x^2-x-51,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,13,41],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,2^2*3*5*41,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,5,13,41],[5,5,5,2,5],0,[-0.2145234434-0.9767188399*i,0.7967439309+0.08440733443*i,0.9760467116+0.008551324800*i],<"1.2e2_3_5_41.4t1.2",1>,[4,1]>,<1,5*41,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,13,41],[3,1,5,1,5],1,[1.000000000,1.050623227,0.9146140274],<"notfaithful",0>,[4,1]>,<1,2^2*3*5*41,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,5,13,41],[5,5,5,2,5],0,[-0.2145234434+0.9767188399*i,0.7967439309-0.08440733443*i,0.9760467116-0.008551324800*i],<"1.2e2_3_5_41.4t1.2",2>,[4,1]>]
x^5-x^4+23*x^3-59*x^2+57*x-33 2^4*3^2*5^3*41^3 1 2 20 "F5" [[2,1,4,3,5],[2,4,1,5,3],[3,4,2,1,5]] [<1,1,[1,2,3,4,5]>,<2,5,[2,1,4,3,5]>,<4,5,[3,4,2,1,5]>,<4,5,[4,3,1,2,5]>,<5,4,[2,4,1,5,3]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 7 x^2+6*x+3 18 [[-340160849851536,550647912772644],[694427927200907,565768475202597],[-387221130666502,-550647912772644],[-523690218489091,0],[556644271806223,-565768475202597]] 2 [3,1,1,2,4,2,5,3,4,4,2,3,1,4,2,5,2,2,5,4,3,4,4,4,2,4,4,3,4,3,4,2,1,5,3,3,5,3,5,4,4,3,3,2,3,3,4,3,2,4,5,3,2,2,2,5,5,2,3,4,3,2,3,3,5,2,3,4,2,5,3,2,3,4,5,5,2,5,5,2,1,4,2,4,4,3,2,2,2,5,3,3,3,5,4,2,3,3,3,2,5,5,2,2,3,5,5,2,2,3,3,3,3,5,2,4,5,4,5,3,2,5,3,5,4,2,3,4,2,3,1,3,3,2,2,2,2,3,4,4,1,2,1,5,5,4,3,4,2,3,3,5,2,2,3,2,3,3,2,5,3,3,5,4,2,4,3,1] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5+45*x^4+31365*x^3+621715*x^2+217439115*x+9490810071,3>,<x^5+45*x^4+31365*x^3+808675*x^2+382288635*x-96311769,4>]*],[*[5],"CYC",0,5*]] [*<2,4,2,[[1,5,4,2,3]],[[1,2,3,4,5],[1,3,2,5,4],[1,5,4,2,3],[1,4,5,3,2]],[1,5,4,2,3],[1,2,3,4],[2],[[[1,3,2,5,4]]],20,<<[],[1,1,1]>,[[4634,-508202],[111152,-106410],[1,0]]>,[[[328717,0],[0,0]],[[0,1],[1,0]],[[-111152,106411],[-1,0]],[[-157901,-153227],[-237690,-120627]],[[-59663,46815],[237690,120627]]]>,<3,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-847495671,45844323,1]>,[[1730502992,0],[-45844323,-1],[0,1],[-1623524018,-459770815],[-61134650,459770815]]>,<5,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,2,3,4],[1],[[[1,3,5,2,4]]],20,<[],[-8321570979720,15580752040410,20103798693150,42676251150395,1]>,[[42676251150388,0,0,0],[-23816017276953,3405094099294,-788345073134,-7722616736646],[28745213127217,1150910915788,-6497914064992,8754297892604],[-47605447000653,-4556005015083,7286259138126,-1031681155958],[2,1,0,0]]>,<13,2,1,[[3,2,1,5,4]],[[1,2,3,4,5],[3,2,1,5,4]],[3,2,1,5,4],[1,2],[1],[[]],20,<[],[2,12,1]>,[[4311554797649258546449,9323308512083876698250],[-4139807069926427588608,0],[6461635301927534800255,-9323308512083876698250],[251030886088376207430,229140327558398320077],[425187536138488587860,-229140327558398320077]]>,<41,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,2,4,3],[1],[[[1,3,5,2,4]]],20,<[],[-44107602990802705457259937742598,3463950397245247905491415070817,81288118468873250411637489314823,-63809143705653249926857257111962,1]>,[[-63809143705653249926857257112005,0,0,0],[-18715586850838901937573953636621,-1287044197675518877505434211174,695709744358396170439096427409,1527531829632796098195976057887],[11444483811280668932068150419582,-1073183571875353094835538991898,-1464795232171281180455390088702,590385137738797244434457029291],[71080246745211482932363060329034,-2034108400117931186269510847290,769085487812885010016293661293,-2117916967371593342630433087178],[11,1,0,0]]>*] [x,x^2-x-51,x^4+615*x^2+16605,x^4+615*x^2+16605,0] [1,2,2,4,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,13,41],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5*41,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,13,41],[3,1,6,1,6],1,[1.000000000,1.050623227,0.9146140274],<"notfaithful",0>,[5,3]>,<1,2^2*3*5*41,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,3,5,13,41],[6,6,6,2,6],0,[-0.2145234434-0.9767188399*i,0.7967439309+0.08440733443*i,0.9760467116+0.008551324800*i],<"notfaithful",0>,[5,3]>,<1,2^2*3*5*41,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,3,5,13,41],[6,6,6,2,6],0,[-0.2145234434+0.9767188399*i,0.7967439309-0.08440733443*i,0.9760467116-0.008551324800*i],<"notfaithful",0>,[5,3]>,<4,2^4*3^2*5^3*41^3,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[-1]]],[2,3,5,13,41],[6,7,8,2,8],1,[0,0,0],<"4.2e4_3e2_5e3_41e3.5t3.2",1>,[5,3]>]
x^6+12*x^4-56*x^3+36*x^2-336*x-36 2^4*3^2*5^3*41^3 2 2 12 "D12" [[3,6,1,5,4,2],[1,2,5,6,3,4],[2,1,6,5,4,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[2,1,6,5,4,3]>,<2,3,[3,6,1,5,4,2]>,<2,3,[6,3,2,4,5,1]>,<3,2,[6,3,5,1,2,4]>,<6,2,[5,4,1,3,6,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 13 x^2+12*x+2 9 [[4258832274,-2311517467],[2512975463,-1724841421],[-4515049232,0],[183543759,2311517467],[2002073769,1724841421],[-4442376033,0]] 4 [3,1,4,4,6,4,5,3,3,6,5,6,4,6,5,1,4,5,4,6,6,3,3,2,4,6,6,3,3,3,2,4,5,1,2,3,4,6,1,3,6,3,2,4,3,3,3,2,5,3,1,2,5,4,5,5,4,5,6,6,6,5,6,2,4,5,3,6,5,5,3,4,6,6,1,5,4,4,4,5,4,3,4,6,3,3,4,4,4,4,3,6,6,4,3,5,6,6,2,1,4,5,5,4,3,4,5,5,4,3,2,2,3,5,5,6,4,3,5,2,1,4,3,1,3,4,3,6,4,6,5,3,3,4,4,5,5,6,3,2,5,4,4,5,5,2,2,3,5,3,6,4,4,5,2,4,3,6,4,4,3,3,4,6,5,3,3,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+42,2>,<x^3-3456*x-193536,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[3,4,6,5,2,1],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[3,4,6,5,2,1]],[2,1,5,6,3,4],[1,3,5],[1],[[[3,4,6,5,2,1]]],20,<<[],[1,1,1]>,[[307986,46684],[235014,184320],[95232,190464],[1,0]]>,[[[61440,-86016],[119553,105472],[72960,93696]],[[130400,71296],[19083,59688],[115288,37792]],[[-87828,117712],[42146,45269],[48955,58868]],[[-57340,-76176],[75070,84015],[77569,52892]],[[-73060,4880],[36919,118441],[69287,40388]],[[26388,-31696],[100445,111403],[9157,109580]]]>,<3,2,2,[[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,3,2,4,6,5]]],20,<[],[1364676,170439,1]>,[[373851519,0],[-152235006,-543775762],[553224465,543775762],[4601735,0],[-4601794,14348880],[59,27]]>,<5,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,4,1]>,[[23580061822680,0],[-8063231915300,0],[1,0]]>,[[[8063231915304,0],[-1,0]],[[4,0],[1,0]],[[40208732549525,-27579349545549],[-2670440554941,3433151304561]],[[-23049765400900,-9509074721624],[2670440554941,-3433151304561]],[[-40208732549529,27579349545549],[2670440554940,-3433151304561]],[[14986533485596,9509074721624],[-2670440554940,3433151304561]]]>,<41,4,2,[[2,1,4,3,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[4,3,2,1,5,6],[3,4,1,2,6,5]],[4,3,2,1,5,6],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[6,38,1]>,[[-74931152222324909827204877657454,0],[-38263311978172223506265812486240,0],[1,0]]>,[[[-44785322785342366537926064538330,35572937317912702709168069458994],[-929220081856224010406942312052,-858389298720896582397033499385]],[[13386926440961810650499376176091,30159049015753195311195885295454],[929220081856224010406942312052,858389298720896582397033499385]],[[-51650238419134034156765188662355,-30159049015753195311195885295454],[-929220081856224010406942312051,-858389298720896582397033499385]],[[44785322785342366537926064538306,-35572937317912702709168069458994],[929220081856224010406942312051,858389298720896582397033499385]],[[38263311978172223506265812486264,0],[-1,0]],[[24,0],[1,0]]]>*] [x,x^2-x+31,x^2-x-51,x^2-x+4,x^3-x^2+3*x+3,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,41],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3*41,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,41],[3,7,3,7],1,[1.000000000,0.5665357400,0.7580050230],<"notfaithful",0>,[6,3]>,<1,5*41,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,41],[2,1,7,7],1,[1.000000000,1.050623227,0.9146140274],<"notfaithful",0>,[6,3]>,<1,3*5,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,41],[1,7,7,2],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[6,3]>,<2,2^2*3*41,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,5,41],[7,8,3,8],1,[1.000000000,1.252249097,1.110813624],<"notfaithful",0>,[6,3]>,<2,2^2*3*5^2*41,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,5,41],[7,8,7,9],1,[1.000000000,1.601150935,1.131958541],<"2.2e2_3_5e2_41.6t3.1",1>,[6,3]>]
