x^2-x+47 -11*17 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[7989],[-7988]] 2 [2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<11,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[77,11,1]>,[[-5,-1],[6,1]]>,<17,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[119,17,1]>,[[-8,-1],[9,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[11,17],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,11*17,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[11,17],[3,3],1,[1.000000000,0.4594720151,0.7002711307],<"1.11_17.2t1.1",1>,[2,1]>]
x^4+4*x^2-2*x-1 -2^4*5*127 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 97 x-1 5 [[3578397716],[-673844334],[1651921670],[4030865205]] 3 [3,4,3,4,4,5,3,2,4,3,2,5,2,4,5,2,5,4,2,4,5,4,4,5,1,5,5,3,3,3,3,2,4,5,4,3,3,3,2,4,4,5,2,4,3,4,4,2,5,3,4,3,5,4,4,5,4,4,4,5,4,4,1,3,4,4,3,2,4,5,5,5,3,4,3,3,4,3,5,3,4,3,4,5,3,3,4,3,5,3,4,1,2,3,5,3,4,4,5,3,4,5,1,2,5,3,3,2,5,5,5,2,2,3,5,5,3,4,5,5,4,3,3,2,5,5,4,4,4,5,2,4,3,5,5,3,5,5,3,4,4,3,5,4,5,3,4,4,3,4,3,5,5,4,3,4,4,3,4,4,4,3,4,4,5,5,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,24,12,[[3,4,1,2],[1,3,4,2],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[2,1,3,4],[2,3,1,4],[2,3,4,1]],[1,2,4,3],[1,2,3,4,5],[1,2],[[[3,4,1,2],[1,3,4,2]],[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,1]>,[[-1270,0],[-7620,0],[-20036,0],[-30330,0],[-29396,0],[-19424,0],[-8992,0],[-2558,0],[-60,0],[232,0],[50,0],[-4,0],[1,0]]>,[[[162189,0],[-73166,0],[17268,0],[-48107,0],[84684,0],[-258990,0],[-205369,0],[104059,0],[-42158,0],[-217756,0],[130959,0],[24662,0]],[[25649,0],[-205930,0],[192638,0],[-191355,0],[-89575,0],[185438,0],[46809,0],[69526,0],[-31243,0],[-214330,0],[252967,0],[254269,0]],[[38393,-259664],[93882,-91332],[246176,177970],[7325,-224812],[138148,-252883],[-211374,27988],[26963,-104634],[224119,97535],[169121,-259447],[104604,-222878],[237071,-190508],[-135216,8499]],[[-226231,259664],[185214,91332],[68206,-177970],[232137,224812],[-133257,252883],[-239362,-27988],[131597,104634],[126584,-97535],[-95720,259447],[-196806,222878],[-96709,190508],[-143715,-8499]]]>,<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[15566835958870,0],[40630261658555,0],[1,0]]>,[[[-40431431080897,41152292775383],[0,0]],[[-14305738901179,-41152292775383],[0,0]],[[-40630261658552,0],[-1,0]],[[3,0],[1,0]]]>,<127,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[3,126,1]>,[[-100902069057106800549439384438791020835637,0],[454031697171786445792435406056461108739684,0],[1,0]]>,[[[-292267716374910660484141945897960747189384,29581091108725292574204051213295781393003],[0,0]],[[-445146738858551551501030085727490908730159,-29581091108725292574204051213295781393003],[0,0]],[[-454031697171786445792435406056461108739671,0],[-1,0]],[[13,0],[1,0]]]>*] [x,x^2-x+159,x^3-x^2-x-19,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,127],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,5*127,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,127],[3,6,6],1,[1.000000000,1.246703016,0.9223624310],<"notfaithful",0>,[4,5]>,<2,2^2*5*127,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1]],[[1],[-1]]],[2,5,127],[6,7,7],1,[1.000000000,0.8021984615,0.9071180299],<"notfaithful",0>,[4,5]>,<3,2^4*5^2*127^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1]],[[1],[1]]],[2,5,127],[6,7,7],1,[0,0,0],<"3.2e4_5e2_127e2.6t8.1",1>,[4,5]>,<3,2^4*5*127,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1]],[[1],[0],[-1]]],[2,5,127],[6,7,7],1,[1.000000000,0.9053812055,0.9952923991],<"3.2e4_5_127.4t5.1",1>,[4,5]>]
x^8-1140*x^6+292410*x^4-12346200*x^2+117288900 2^22*3^6*5^6*19^4 8 0 8 "Q8" [[8,7,6,5,4,3,2,1],[6,4,1,7,2,8,5,3],[5,6,2,1,8,7,3,4]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<4,2,[6,4,1,7,2,8,5,3]>,<4,2,[5,6,2,1,8,7,3,4]>,<4,2,[7,1,5,3,6,4,8,2]>] [[1,1,1,1,1,1,1,1],[2,2,2,2],[4,4]] 29 x-1 20 [[15042885172832703067676045824],[25717572609338877165995908622],[-43429492062953574572657290785],[-56846860819072249839875136339],[56846860819072249839875136339],[43429492062953574572657290785],[-25717572609338877165995908622],[-15042885172832703067676045824]] 1 [5,5,1,5,4,5,5,1,3,1,4,5,4,3,3,3,4,4,3,2,3,4,5,4,3,2,5,5,4,5,5,4,5,1,1,4,5,3,3,3,4,4,2,3,3,4,1,5,5,4,5,1,1,4,5,3,1,4,5,4,3,3,3,2,3,3,2,3,5,4,5,1,5,5,1,3,2,5,4,2,4,4,1,3,4,5,4,3,2,5,5,2,5,4,2,3,2,4,3,4,3,3,5,4,1,3,5,5,2,2,5,5,5,1,4,4,3,3,3,4,4,3,3,5,2,2,4,1,5,5,2,3,4,5,4,1,3,3,3,4,2,1,5,5,4,2,5,5,2,3,5,4,3,3,3,2,4,4,3,2,5,5,5,4,5,3,4,5] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2,2],"CYC",0,2*],[*[4,4],"RES",<[1],x^7+2*x^6+3*x^5+4*x^4+5*x^3+6*x^2+7*x+8>,[<x^2-9382887326262378240000,3>,<x^2-28751710539762520200000,4>,<x^2-205952415342137578800000,5>]*]] [*<2,8,4,[[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4],[8,7,6,5,3,4,1,2]],[5,6,8,7,2,1,3,4],[1,2,4,5,3],[3,5],[[[3,4,2,1,7,8,6,5]],[[2,1,4,3,6,5,8,7]]],20,<<[],[1,1,1]>,[[315760,-449546],[0,0],[-117252,-233364],[0,0],[1,0]]>,[[[0,0],[1,0],[0,0],[0,0]],[[0,0],[65535,0],[0,0],[0,0]],[[0,0],[12925,25850],[0,0],[33082,24083]],[[0,0],[52611,39686],[0,0],[32454,41453]],[[0,0],[2938,5875],[0,0],[0,0]],[[0,0],[62598,59661],[0,0],[0,0]],[[0,0],[6468,12925],[0,0],[9627,24083]],[[0,0],[59068,52611],[0,0],[55909,41453]]]>,<3,8,4,[[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7],[8,3,6,1,4,7,2,5]],[2,5,8,3,6,1,4,7],[1,2,4,5,3],[1],[[[3,4,5,6,7,8,1,2]]],20,<<[],[2,2,1]>,[[1073343192,-1547208624],[-1354643109,-358191234],[556276581,1376822055],[-820544904,-820544904],[1,0]]>,[[[-180689940,395392104],[169883972,75287475],[39680928,326836215],[344550915,176261265]],[[52612659,549509994],[127476534,137131046],[136048896,125774370],[157129389,386357607]],[[-113728374,268909146],[296565587,1970126],[315498807,36492282],[191649948,103978033]],[[358191234,569704752],[228707537,220647343],[265543353,354648294],[228287677,349503775]],[[180689940,-395392104],[217536517,312133014],[347739561,60584274],[42869574,211159224]],[[-52612659,-549509994],[259943955,250289443],[251371593,261646119],[230291100,1062882]],[[113728374,-268909146],[90854902,385450363],[71921682,350928207],[195770541,283442456]],[[-358191234,-569704752],[158712952,166773146],[121877136,32772195],[159132812,37916714]]]>,<5,4,4,[[3,4,7,8,1,2,5,6]],[[1,2,3,4,5,6,7,8],[7,8,5,6,3,4,1,2],[3,4,7,8,1,2,5,6],[5,6,1,2,7,8,3,4]],[1,2,3,4,5,6,7,8],[1,2,3,3],[1],[[[3,4,7,8,1,2,5,6]]],20,<[],[10830,0,-6506607114050,0,1]>,[[0,-1,0,0],[0,-1370499095566,0,-5840724383],[0,-674168713557,0,-269620616435],[0,-1622975779712,0,378549364371],[0,674168713557,0,269620616435],[0,1622975779712,0,-378549364371],[0,1,0,0],[0,1370499095566,0,5840724383]]>,<19,2,2,[[4,3,2,1,8,7,6,5]],[[1,2,3,4,5,6,7,8],[4,3,2,1,8,7,6,5]],[1,2,3,4,5,6,7,8],[1,2],[1],[[[4,3,2,1,8,7,6,5]]],20,<[],[6401097434780070516857698,0,1]>,[[0,-1],[0,12468669724478571977],[0,-12468669724478571977],[0,1],[0,7345857881933001779],[0,1838478483648794334],[0,-1838478483648794334],[0,-7345857881933001779]]>*] [x,x^2-x-1,x^2-6,x^2-30,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,19],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,5]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,19],[3,3,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[8,5]>,<1,2^3*3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,19],[6,6,1,1],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[8,5]>,<1,2^3*3*5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,19],[6,6,6,1],1,[1.000000000,1.127932331,1.021096493],<"notfaithful",0>,[8,5]>,<2,2^8*3^2*5^2*19^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[2,3,5,19],[6,6,6,6],-1,[0,0,0],<"2.2e8_3e2_5e2_19e2.8t5.3",1>,[8,5]>]
x^8+1140*x^6+292410*x^4+12346200*x^2+117288900 2^22*3^6*5^6*19^4 0 4 8 "Q8" [[8,7,6,5,4,3,2,1],[4,6,2,8,1,7,3,5],[6,5,1,2,7,8,4,3]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<4,2,[6,5,1,2,7,8,4,3]>,<4,2,[4,6,2,8,1,7,3,5]>,<4,2,[7,1,4,6,3,5,8,2]>] [[1,1,1,1,1,1,1,1],[2,2,2,2],[4,4]] 29 x-1 20 [[-61491215545045985868373986804],[-5389032272088211371666062345],[-6227926040787175897709621235],[-58605516797083708018363048823],[58605516797083708018363048823],[6227926040787175897709621235],[5389032272088211371666062345],[61491215545045985868373986804]] 2 [4,4,1,4,5,4,4,1,3,1,5,4,5,3,3,3,5,5,3,1,3,5,4,5,3,2,4,4,5,4,4,5,4,2,1,5,4,3,3,3,5,5,1,3,3,5,2,4,4,5,4,2,1,5,4,3,1,5,4,5,3,3,3,1,3,3,1,3,4,5,4,2,4,4,2,3,2,4,5,2,5,5,2,3,5,4,5,3,2,4,4,1,4,5,1,3,2,5,3,5,3,3,4,5,2,3,4,4,1,2,4,4,4,2,5,5,3,3,3,5,5,3,3,4,1,2,5,2,4,4,1,3,5,4,5,1,3,3,3,5,1,1,4,4,5,1,4,4,1,3,4,5,3,3,3,1,5,5,3,2,4,4,4,5,4,3,5,4] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2,2],"CYC",0,2*],[*[4,4],"RES",<[1],x^7+2*x^6+3*x^5+4*x^4+5*x^3+6*x^2+7*x+8>,[<x^2-9254436822324296640000,3>,<x^2-203138738339756353200000,4>,<x^2-28304078605158673800000,5>]*]] [*<2,8,4,[[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4],[8,7,6,5,3,4,1,2]],[5,6,8,7,2,1,3,4],[1,2,5,4,3],[3,5],[[[3,4,2,1,7,8,6,5]],[[2,1,4,3,6,5,8,7]]],20,<<[],[1,1,1]>,[[315760,-449546],[0,0],[117252,233364],[0,0],[1,0]]>,[[[0,0],[1,0],[0,0],[0,0]],[[0,0],[65535,0],[0,0],[0,0]],[[0,0],[12925,25850],[0,0],[32454,41453]],[[0,0],[52611,39686],[0,0],[33082,24083]],[[0,0],[2938,5875],[0,0],[0,0]],[[0,0],[62598,59661],[0,0],[0,0]],[[0,0],[6468,12925],[0,0],[55909,41453]],[[0,0],[59068,52611],[0,0],[9627,24083]]]>,<3,8,4,[[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7],[8,3,6,1,4,7,2,5]],[2,5,8,3,6,1,4,7],[1,2,5,4,3],[1],[[[3,4,5,6,7,8,1,2]]],20,<<[],[2,2,1]>,[[1166345367,1611145239],[-414523980,-1626209460],[-1139267358,99521043],[-1238788971,-1238788971],[1,0]]>,[[[-17537553,-455976378],[145614833,342779445],[180689940,276349320],[272629233,193444524]],[[-168998238,411335334],[283897335,65209364],[287509581,343842327],[177501294,27634932]],[[277412202,46235367],[88063568,91252214],[15411789,363505644],[235097175,93540872]],[[180158499,74933181],[77778293,272019973],[102036672,230645394],[165864398,154656587]],[[17537553,455976378],[241805656,44641044],[206730549,111071169],[114791256,193975965]],[[168998238,-411335334],[103523154,322211125],[99910908,43578162],[209919195,359785557]],[[-277412202,-46235367],[299356921,296168275],[372008700,23914845],[152323314,293879617]],[[-180158499,-74933181],[309642196,115400516],[285383817,156775095],[221556091,232763902]]]>,<5,4,4,[[3,4,7,8,1,2,5,6]],[[1,2,3,4,5,6,7,8],[7,8,5,6,3,4,1,2],[3,4,7,8,1,2,5,6],[5,6,1,2,7,8,3,4]],[1,2,3,4,5,6,7,8],[1,2,3,3],[1],[[[3,4,7,8,1,2,5,6]]],20,<[],[10830,0,6506607114050,0,1]>,[[0,-1,0,0],[0,-1370499095566,0,5840724383],[0,-674168713557,0,269620616435],[0,-1622975779712,0,-378549364371],[0,674168713557,0,-269620616435],[0,1622975779712,0,378549364371],[0,1,0,0],[0,1370499095566,0,-5840724383]]>,<19,2,2,[[4,3,2,1,8,7,6,5]],[[1,2,3,4,5,6,7,8],[4,3,2,1,8,7,6,5]],[1,2,3,4,5,6,7,8],[1,2],[1],[[[4,3,2,1,8,7,6,5]]],20,<[],[13004735261170512272825041,0,1]>,[[0,-1],[0,-130248785048841545252],[0,130248785048841545252],[0,1],[0,-8056052662175555],[0,1838478483648794333],[0,-1838478483648794333],[0,8056052662175555]]>*] [x,x^2-30,x^2-6,x^2-x-1,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,19],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,5]>,<1,2^3*3*5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,19],[6,6,6,1],1,[1.000000000,1.127932331,1.021096493],<"notfaithful",0>,[8,5]>,<1,2^3*3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,19],[6,6,1,1],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[8,5]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,19],[3,3,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[8,5]>,<2,2^8*3^2*5^2*19^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[2,3,5,19],[6,6,6,6],-1,[0,0,0],<"2.2e8_3e2_5e2_19e2.8t5.4",1>,[8,5]>]
x^8-1140*x^6+422370*x^4-61731000*x^2+2932222500 2^22*3^6*5^6*19^4 8 0 8 "Q8" [[8,7,6,5,4,3,2,1],[4,6,2,8,1,7,3,5],[2,8,5,3,6,4,1,7]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<4,2,[2,8,5,3,6,4,1,7]>,<4,2,[4,6,2,8,1,7,3,5]>,<4,2,[6,5,1,2,7,8,4,3]>] [[1,1,1,1,1,1,1,1],[2,2,2,2],[4,4]] 101 x-1 15 [[-111978920963590249692829974989],[-206457312655892028614808419517],[-509071250769826397502274652695],[498701585731895111162322924817],[-498701585731895111162322924817],[509071250769826397502274652695],[206457312655892028614808419517],[111978920963590249692829974989]] 1 [5,3,1,3,4,3,3,1,5,2,4,3,4,5,5,5,4,4,5,2,5,4,3,4,5,1,3,3,4,3,3,4,3,2,2,4,3,5,5,5,4,4,2,5,5,4,2,3,3,4,3,1,1,4,3,5,2,4,3,4,5,5,5,2,5,5,1,5,3,4,3,1,3,3,2,5,1,3,4,2,4,4,1,5,4,3,4,5,1,3,3,2,3,4,1,5,1,4,5,4,5,5,3,4,2,5,3,3,2,2,3,3,3,2,4,4,5,5,5,4,4,5,5,3,1,1,4,1,3,3,1,5,4,3,4,1,5,5,5,4,1,2,3,3,4,2,3,3,1,5,3,4,5,5,5,2,4,4,5,1,3,3,3,4,3,5,4,3] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2,2],"CYC",0,2*],[*[4,4],"RES",<[1],x^7+2*x^6+3*x^5+4*x^4+5*x^3+6*x^2+7*x+8>,[<x^2-8645783365847116800000,3>,<x^2-19653097824730657800000,4>,<x^2-16714647939504115440000,5>]*]] [*<2,8,4,[[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[3,4,2,1,7,8,6,5],[5,6,8,7,2,1,3,4],[8,7,6,5,3,4,1,2]],[5,6,8,7,2,1,3,4],[1,2,4,5,3],[3,5],[[[3,4,2,1,7,8,6,5]],[[2,1,4,3,6,5,8,7]]],20,<<[],[1,1,1]>,[[-518352,-150578],[0,0],[407036,-233364],[0,0],[1,0]]>,[[[0,0],[1,0],[0,0],[0,0]],[[0,0],[65535,0],[0,0],[0,0]],[[0,0],[8225,16450],[0,0],[33082,24083]],[[0,0],[57311,49086],[0,0],[32454,41453]],[[0,0],[2938,5875],[0,0],[0,0]],[[0,0],[62598,59661],[0,0],[0,0]],[[0,0],[4116,8225],[0,0],[9627,24083]],[[0,0],[61420,57311],[0,0],[55909,41453]]]>,<3,8,4,[[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7],[8,3,6,1,4,7,2,5]],[2,5,8,3,6,1,4,7],[1,2,4,3,5],[1],[[[3,4,5,6,7,8,1,2]]],20,<<[],[2,2,1]>,[[1191428430,-1649736381],[827453637,-90876411],[-735904779,1000313538],[-1736217747,-1736217747],[1,0]]>,[[[-47829690,550041435],[253497356,229582512],[125951517,57395628],[200884698,0]],[[-9565938,545258466],[384399726,315046679],[176969853,159432300],[107391376,202471765]],[[229582512,148272039],[359981225,73003085],[283789494,384231843],[307518598,328437794]],[[-167403915,248714388],[81202631,97943023],[274223556,247120065],[28697814,315675954]],[[47829690,-550041435],[133923133,157837977],[261468972,330024861],[186535791,0]],[[9565938,-545258466],[3020763,72373810],[210450636,227988189],[280029113,184948724]],[[-229582512,-148272039],[27439264,314417404],[103630995,3188646],[79901891,58982695]],[[167403915,-248714388],[306217858,289477466],[113196933,140300424],[358722675,71744535]]]>,<5,4,4,[[2,4,1,3,7,5,8,6]],[[1,2,3,4,5,6,7,8],[4,3,2,1,8,7,6,5],[2,4,1,3,7,5,8,6],[3,1,4,2,6,8,5,7]],[1,2,3,4,5,6,7,8],[1,2,5,5],[1],[[[2,4,1,3,7,5,8,6]]],20,<[],[46282295,0,-3753579530,0,1]>,[[0,782546673969,0,-753364337193],[0,-1498287059747,0,214213787807],[0,1498287059747,0,-214213787807],[0,-782546673969,0,753364337193],[0,244552237195,0,68699059129],[0,-121291489075,0,-41790536762],[0,121291489075,0,41790536762],[0,-244552237195,0,-68699059129]]>,<19,2,2,[[8,7,6,5,4,3,2,1]],[[1,2,3,4,5,6,7,8],[8,7,6,5,4,3,2,1]],[1,2,3,4,5,6,7,8],[1,2],[1],[[[8,7,6,5,4,3,2,1]]],20,<[],[-15443598359916376611056971,0,1]>,[[0,-1],[0,42214762287534968710],[0,-74067156665725197162],[0,86231773668188256982],[0,-86231773668188256982],[0,74067156665725197162],[0,-42214762287534968710],[0,1]]>*] [x,x^2-x-1,x^2-30,x^2-6,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,19],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,5]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,19],[3,3,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[8,5]>,<1,2^3*3*5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,19],[6,6,6,1],1,[1.000000000,1.127932331,1.021096493],<"notfaithful",0>,[8,5]>,<1,2^3*3,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,19],[6,6,1,1],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[8,5]>,<2,2^8*3^2*5^2*19^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[2,3,5,19],[6,6,6,6],-1,[0,0,0],<"2.2e8_3e2_5e2_19e2.8t5.5",1>,[8,5]>]
