x^2-x+2548 -3*43*79 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1027],[-1026]] 2 [1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2550,3,1]>,[[-1,-1],[2,1]]>,<43,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[3010,43,1]>,[[-21,-1],[22,1]]>,<79,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4108,79,1]>,[[-39,-1],[40,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,43,79],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*43*79,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,43,79],[3,3,3],1,[1.000000000,2.987532957,1.415767487],<"1.3_43_79.2t1.1",1>,[2,1]>]
x^3-x^2+24*x+92 -2^2*71^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 13 x-1 5 [[103626],[-154136],[50511]] 2 [1,2,3,2,2,1,3,2,2,1,2,3,3,2,2,3,2,1,2,2,3,2,2,1,3,3,2,2,3,3,2,2,3,2,3,2,3,2,2,3,2,3,2,3,1,2,2,2,2,1,3,2,1,2,3,2,3,2,1,1,2,3,2,2,3,3,2,1,2,3,1,2,2,1,2,2,1,3,3,3,2,3,2,3,2,2,1,1,3,2,2,2,2,2,2,2,3,3,2,1,2,3,2,3,2,3,2,3,2,3,2,3,3,2,2,3,2,2,3,2,3,3,1,2,2,3,3,2,2,3,2,2,2,1,3,3,3,2,3,1,2,3,2,2,3,2,3,3,2,2,3,3,2,2,2,2,2,1,1,3,2,3,2,2,3,2,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[2],[[[1,3,2]]],20,<[],[48234,193190,1]>,[[-275827,0],[-51858,-4],[-65530,4]]>,<71,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[7,69,1]>,[[13916,0],[1704,0],[71,0],[1,0]]>,[[[-1578377317002348268975159102400877529,-1427916664080108490317624963275370676],[-39973526768391747373236199689757201,61568782591189953423193224475998642],[33606897999025312863894698609856634,-53101262480898944966298965360426703]],[[24,0],[1,0],[0,0]],[[1578377317002348268975159102400877506,1427916664080108490317624963275370676],[39973526768391747373236199689757200,-61568782591189953423193224475998642],[-33606897999025312863894698609856634,53101262480898944966298965360426703]]]>*] [x,x^2+1,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,71],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^2,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,71],[4,2],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[3,2]>,<2,2^2*71^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,71],[4,5],1,[1.000000000,2.014167001,1.308705654],<"2.2e2_71e2.3t2.1",1>,[3,2]>]
x^5-2*x^4+6*x^3+8*x+64 2^4*401^2 1 2 10 "D10" [[3,5,1,4,2],[4,2,5,1,3]] [<1,1,[1,2,3,4,5]>,<2,5,[3,5,1,4,2]>,<5,2,[5,3,4,1,2]>,<5,2,[2,4,1,5,3]>] [[1,1,1,1,1],[1,2,2],[5]] 7 x^2+6*x+3 8 [[-1925174,0],[-59052,2150737],[-1433872,-2150737],[-597039,1152904],[-1749662,-1152904]] 2 [1,3,3,2,2,2,2,4,4,4,1,2,3,2,2,2,1,2,3,3,4,4,2,4,2,2,2,1,3,3,3,4,2,3,3,2,2,1,3,4,2,4,4,2,4,3,4,2,3,4,2,2,1,4,4,2,2,3,2,2,4,2,2,2,1,2,2,3,3,2,2,3,4,3,2,2,2,3,1,3,2,1,4,3,1,4,2,3,2,4,3,2,2,2,2,2,2,2,4,3,2,4,2,2,3,4,2,2,2,3,2,2,2,2,3,2,2,3,4,1,2,2,4,4,2,2,3,2,4,3,2,3,2,4,3,2,3,4,3,4,2,2,1,2,2,3,4,3,2,1,2,2,2,4,3,2,4,2,2,2,2,3,3,2,1,2,3,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-205312,4>,<x+205312,3>]*]] [*<2,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[2],[[[1,3,2,5,4]]],20,<[],[40858,103886,1]>,[[64888,0],[-5950,-4],[16378,4],[-103632,79695],[-4450,51377]]>,<401,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-5599977589126440364999948046753832779651776970013905,3711279822682344451876936659267655387920488868057526,1]>,[[-18934152418331633026258148348859567999431398646105,0],[-3711279822682344451876936659267655387920488868057132,-1],[394,1],[1895781171788087052889681614019525803469859823737053,-1150296901808906465214767297055363628657381533982],[1834432803312589032013513193596989152450060442965792,1150296901808906465214767297055363628657381533982]]>*] [x,x^2+401,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,401],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,2^2*401,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,401],[5,5],1,[1.000000000,1.568836505,1.135613827],<"notfaithful",0>,[5,2]>,<2,2^2*401,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,401],[5,5],1,[1.000000000,0.9843734580,1.054315060],<"2.2e2_401.5t2.1",1>,[5,2]>,<2,2^2*401,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,401],[5,5],1,[1.000000000,2.185176833,1.437329579],<"2.2e2_401.5t2.1",2>,[5,2]>]
x^4-x^3-5*x^2-x+10 -2^2*71^2 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 337 x-1 5 [[-173133782569],[-169076893176],[-1848280636051],[-2156106973660]] 3 [1,5,4,5,5,2,4,3,3,2,5,4,4,5,5,4,3,2,5,3,4,5,5,2,4,4,5,5,4,4,3,3,4,3,4,3,4,3,3,4,3,4,3,4,2,3,3,3,3,2,4,3,2,5,4,3,4,3,2,2,3,4,5,5,4,4,5,1,3,4,2,5,5,2,5,5,2,4,4,4,5,4,5,4,5,5,2,2,4,3,3,3,5,3,3,5,4,4,5,2,5,4,3,4,5,4,3,4,5,4,3,4,4,3,5,4,5,5,4,5,4,4,2,5,3,4,4,5,5,4,3,5,3,1,4,4,4,3,4,2,5,4,5,5,4,3,4,4,3,3,4,4,5,5,5,3,5,2,2,4,5,4,3,5,4,5,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[2],[[[1,2,4,3]]],20,<[],[-363502,-79798,1]>,[[123790,0],[-203589,0],[1,1],[79799,262143]]>,<71,6,3,[[1,3,4,2],[1,4,3,2]],[[1,2,3,4],[1,4,3,2],[1,3,4,2]],[1,4,3,2],[1,3,4],[1],[[[1,3,4,2]]],20,<<[],[7,69,1]>,[[2031142004743276500859672771215421975,0],[2745070474287894479656107050643221954,0],[3204526261808292531507685218136470497,0],[1,0]]>,[[[3204526261808292531507685218136470474,0],[0,0],[0,0]],[[4044681201790299286913507713790758718,-1525635183694445510926910694141264326],[20973763277256091286522012729365,19467743103063514933441210530109490],[37471658356232441570600070250900933,-33522105273663549667193440348337070]],[[8,0],[1,0],[0,0]],[[3347403112792829214241674208205973202,1525635183694445510926910694141264326],[-20973763277256091286522012729366,-19467743103063514933441210530109490],[-37471658356232441570600070250900933,33522105273663549667193440348337070]]]>*] [x,x^2+1,x^3-x^2+24*x+92,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,71],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,2^2,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,71],[6,3],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[4,5]>,<2,2^2*71^2,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]],[[1]]],[2,71],[6,7],1,[1.000000000,2.014167001,1.308705654],<"notfaithful",0>,[4,5]>,<3,2^4*71^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1]],[[1],[1]]],[2,71],[6,7],1,[1.000000000,2.812696238,1.508878887],<"3.2e4_71e2.6t8.1",1>,[4,5]>,<3,2^2*71^2,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-2],[1]],[[1],[-1]]],[2,71],[6,7],1,[1.000000000,1.917980197,1.528308546],<"3.2e2_71e2.4t5.1",1>,[4,5]>]
x^3+21*x-45 -3*43*79 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 5 x-1 5 [[-230],[-1058],[1288]] 2 [3,1,1,3,2,3,3,2,2,2,3,1,1,1,3,3,3,3,1,2,2,1,2,1,1,2,2,1,2,2,2,3,2,2,2,2,3,2,2,3,3,1,2,2,3,3,3,2,2,2,2,2,2,1,3,3,2,2,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,2,2,2,1,3,2,2,1,3,3,2,3,2,2,2,3,2,2,3,3,2,2,2,2,3,2,3,2,3,1,2,2,2,1,3,3,2,3,3,2,3,3,2,1,1,2,2,2,2,3,1,2,2,1,2,3,3,1,2,2,2,2,1,1,3,2,2,3,3,3,3,2,3,3,1,3,2,1,2,3,3,1,2,1,2,1,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-1148478018,-27661647,1]>,[[359758842,387420489],[27661647,-1],[0,1]]>,<43,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[218699901483264007042551195092695,211726989078443152993617561820071,1]>,[[211726989078443152993617561819997,0],[-211726989078443152993617561820034,-1],[37,1]]>,<79,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[22991779922091169371266510364807324026,-40780839834949590244191817469852647045,1]>,[[-40780839834949590244191817469852647153,0],[40780839834949590244191817469852647099,-1],[54,1]]>*] [x,x^2-x+2548,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,43,79],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*43*79,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,43,79],[4,4,4],1,[1.000000000,2.987532957,1.415767487],<"notfaithful",0>,[3,2]>,<2,3*43*79,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[3,43,79],[4,4,4],1,[1.000000000,1.070906385,0.9042034997],<"2.3_43_79.3t2.1",1>,[3,2]>]
x^4-2*x^3-15*x^2+16*x+73 2^4*3^2*137 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 6 [[-10548580],[1900589],[-1900588],[10548581]] 3 [3,5,4,3,3,4,1,3,5,4,5,2,4,5,5,4,3,2,5,5,1,5,5,4,4,1,3,3,1,4,5,5,4,3,4,3,4,5,3,2,5,1,5,2,1,5,3,5,5,4,4,5,4,5,1,3,4,5,4,2,3,1,5,3,2,4,5,2,3,4,4,5,3,2,3,3,1,2,4,2,3,4,5,1,3,3,1,4,2,5,3,3,3,5,3,5,1,4,3,2,3,2,3,4,5,4,3,4,5,4,3,1,2,5,5,2,5,3,1,5,4,4,2,3,5,2,4,3,5,4,5,5,5,2,2,4,2,5,2,4,3,1,3,5,1,3,4,4,3,5,4,2,3,3,5,5,5,2,2,1,5,4,3,5,1,5,3,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+16,2>,<x^2-34*x-944,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[4,3,2,1]],[[1,2,3,4],[2,1,4,3],[4,3,2,1],[3,4,1,2]],[4,3,2,1],[1,3,3,2],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[247742,-224120],[-412230,224120],[1,0]]>,[[[0,1],[1,0]],[[-112058,-224119],[-1,0]],[[1,-1],[-1,0]],[[112059,224119],[1,0]]]>,<3,4,2,[[2,3,4,1]],[[1,2,3,4],[3,4,1,2],[2,3,4,1],[4,1,2,3]],[2,3,4,1],[1,2,5,5],[1],[[[3,4,1,2]]],20,<<[],[2,2,1]>,[[-9,-3],[3,0],[1,0]]>,[[[-1,0],[387420488,0]],[[-71719753,373568052],[339607320,249045368]],[[2,0],[1,0]],[[71719754,-373568052],[47813169,138375121]]]>,<137,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,131,1]>,[[1453856867179418348311141189275462846838162,0],[137,0],[1,0]]>,[[[-2084076778580074022713640941690204461509234,713621792706298546784791289469472419193679],[0,0]],[[2084076778580074022713640941690204461509235,-713621792706298546784791289469472419193679],[0,0]],[[-68,0],[-1,0]],[[69,0],[1,0]]]>*] [x,x^2+1,x^2-x-34,x^2+137,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,137],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,137],[6,3,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[4,3]>,<1,137,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,137],[1,4,6],1,[1.000000000,1.393813413,1.181735068],<"notfaithful",0>,[4,3]>,<1,2^2*137,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,137],[6,1,6],1,[1.000000000,1.073617496,1.049349740],<"notfaithful",0>,[4,3]>,<2,2^2*3^2*137,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]]],[2,3,137],[6,7,6],1,[1.000000000,0.7654995166,0.8061707091],<"2.2e2_3e2_137.4t3.1",1>,[4,3]>]
x^4-x^3-7*x^2+38*x-236 -5^2*59*61 2 1 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 41 x-1 5 [[235013],[-36247848],[20768600],[15244236]] 4 [3,3,1,5,2,5,5,2,3,4,1,3,1,3,5,5,1,1,3,4,5,4,5,1,5,2,5,3,4,5,3,4,3,4,4,1,3,3,3,3,4,4,2,5,3,1,1,5,3,4,3,2,2,4,3,3,4,2,5,4,5,3,5,4,3,3,4,3,5,1,5,4,5,5,2,5,4,3,2,2,2,2,4,5,1,5,2,3,2,5,3,2,3,2,4,5,2,4,5,1,5,5,5,4,4,5,3,5,4,4,3,5,5,1,4,4,5,5,5,4,4,3,5,5,4,1,4,4,3,3,2,5,4,3,4,2,5,5,5,4,2,1,3,3,2,4,3,5,4,5,5,4,5,3,5,1,4,4,5,2,5,5,5,2,5,3,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-32,2>,<x^2-75*x+2306,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[310366,-155387],[465753,155387],[20252,-231954],[252206,231954]]>,<3,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,2,1]>,[[478427015,-1169074561],[-670208264,1169074561],[-507016987,559353855],[-463463230,-559353855]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-37467528985255,33063434107715,1]>,[[-33063434107713,-1],[2,1],[24022537768211,-6770249729381],[9040896339501,6770249729381]]>,<31,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[260507221483303884618799081514,23090380317173669903334986231,-1515902123055843003031337081,-363090817806560987817123540]>,<59,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[35253450943143770277691238208760739,98831262149244164253686132068001121,1]>,[[24843486400227450705787734195162570,66417034450319166733059446947943085],[65132171155640824650157138279779440,0],[-98831262149244164253686132068001104,-1],[17,1]]>,<61,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-34563680071878594122630843749353323,-195142251116364497991552492234366131,1]>,[[-29858373829269858010573900926472135,0],[-165283877287094639980978591307894039,0],[195142251116364497991552492234366153,-1],[22,1]]>*] [x,x^2-x-1,x^2-x+900,x^2-x+4499,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,31,59,61],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,31,59,61],[3,3,6,1,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,59*61,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,31,59,61],[1,1,1,1,6,6],1,[1.000000000,3.456231985,1.537586048],<"notfaithful",0>,[4,3]>,<1,5*59*61,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,31,59,61],[3,3,6,1,6,6],1,[1.000000000,0.7494176643,0.7485821122],<"notfaithful",0>,[4,3]>,<2,5*59*61,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,3,5,31,59,61],[3,3,6,1,6,6],1,[1.000000000,1.559875789,1.104262329],<"2.5_59_61.4t3.1",1>,[4,3]>]
