x^2-16019 2^2*83*193 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-238],[238]] 1 [1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-16018,2,1]>,[[1,1],[-1,-1]]>,<83,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-16019,0,1]>,[[0,-1],[0,1]]>,<193,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-16019,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,83,193],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*83*193,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,83,193],[3,3,3],1,[1.000000000,0.7350010737,0.9209296503],<"1.2e2t83t193.2.1.2t1.1",1>,[2,1]>]
x^5-3*x^3-x^2-2 2^2*83*193 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 11 x^2+7*x+2 5 [[24878,67230],[-13240,0],[17657,-10954],[-66716,10954],[37421,-67230]] 3 [4,7,3,5,3,6,5,7,7,7,5,5,5,6,5,6,5,5,3,5,6,5,2,6,7,7,5,4,6,5,4,7,7,4,4,5,5,7,3,5,6,5,7,4,3,5,6,7,6,6,4,4,6,5,5,7,3,5,6,3,5,6,5,4,5,6,4,7,5,2,7,5,2,7,3,7,2,2,7,3,3,4,3,6,5,4,7,4,5,6,3,5,3,2,4,7,2,2,2,4,2,7,5,6,6,5,3,4,7,3,5,4,7,6,2,5,3,5,3,6,4,5,5,5,5,7,2,7,4,5,4,5,5,7,6,2,4,4,5,4,4,7,5,4,6,5,6,6,4,6,6,4,2,5,6,2,4,3,5,6,3,4,6,3,6,7,6,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[2],[[[1,2,3,5,4]]],20,<<[],[1,1,0,1]>,[[420286,0,0],[-90042,0,0],[1,0,0]]>,[[[162398,-344297,-235670],[0,0,0]],[[5576,148746,53385],[0,0,0]],[[-258016,195551,182285],[0,0,0]],[[0,0,0],[1,0,0]],[[90042,0,0],[-1,0,0]]]>,<83,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,82,1]>,[[25663834834866457282300954859125107040,0],[-108314202235524978633171794443142609786,0],[1,0]]>,[[[23829225859166743567639341810157539355,72122828137422843828513664903219385889],[0,0]],[[-19841565638827595559507161642632740136,0],[0,0]],[[-112301862455864126641303974610667409119,-72122828137422843828513664903219385889],[0,0]],[[108314202235524978633171794443142609843,0],[-1,0]],[[57,0],[1,0]]]>,<193,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[188,1,0,1]>,[[-1083173682172869775268000180517359399828839973,0,0],[-1104302995048390153675218112070927645196362296,0,0],[1,0,0]]>,[[[-620986411826346980161499623223119067090335269,2204126740479716530520464289272346392679656644,2191755398847158450850557239709231336151398303],[0,0,0]],[[1720663496207128118055000786218275802977694667,2165824127388369457769723886669256126083528759,562063222772403409664912616854431412876003206],[0,0,0]],[[-2203980079429171291568719275066084381083721810,772216170256881700220207061075289709614254598,2388348416505405827994925380453229479350038492],[0,0,0]],[[1104302995048390153675218112070927645196362354,0,0],[-1,0,0]],[[58,0,0],[1,0,0]]]>*] [x,x^2-16019,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,83,193],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2^2*83*193,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,83,193],[8,8,8],1,[1.000000000,0.7350010737,0.9209296503],<"notfaithful",0>,[5,5]>,<4,2^6*83^3*193^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]],[[1],[1]]],[2,83,193],[8,9,8],1,[0,0,0],<"4.2e6t83e3t193e3.120.1.10t12.1",1>,[5,5]>,<4,2^2*83*193,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,83,193],[8,9,8],1,[1.000000000,0.7318227331,0.9066205195],<"4.2e2t83t193.120.1.5t5.1",1>,[5,5]>,<5,2^4*83^2*193^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,83,193],[8,9,8],1,[0,0,0],<"5.2e4t83e2t193e2.120.1.10t13.1",1>,[5,5]>,<5,2^6*83^3*193^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[0],[-1]]],[2,83,193],[8,9,8],1,[0,0,0],<"5.2e6t83e3t193e3.120.1.6t14.1",1>,[5,5]>,<6,2^6*83^3*193^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[1],[-1],[-1]]],[2,83,193],[8,9,8],1,[0,0,0],<"6.2e6t83e3t193e3.120.1.20t35.1",1>,[5,5]>]
x^5-2*x^4+2*x^2-4*x+2 -2^4*5^2*139 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 67 x^2+63*x+2 5 [[389571149,-261473167],[660879386,261473167],[-52053126,-263991425],[377905365,263991425],[-26177665,0]] 2 [5,7,3,6,6,4,7,7,5,6,6,6,6,5,4,5,7,5,3,3,5,3,3,4,7,5,2,6,7,6,6,6,6,1,5,5,5,4,4,3,5,3,3,6,2,5,5,5,2,2,2,6,7,3,6,4,5,5,5,5,4,7,3,5,4,7,5,7,6,6,7,6,4,2,2,7,7,5,5,4,5,3,5,4,7,5,2,7,6,6,7,5,2,7,7,4,7,5,6,4,7,6,4,4,2,5,6,3,7,6,6,3,5,3,5,5,5,6,2,2,5,6,6,3,7,4,7,4,7,6,4,2,5,5,4,5,4,5,7,5,6,7,5,7,5,6,7,2,6,6,7,6,3,5,5,6,7,5,7,6,6,7,5,4,4,7,5,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,20,5,[[2,3,4,5,1],[1,3,5,2,4]],[[1,2,3,4,5],[3,2,1,5,4],[4,2,5,3,1],[5,2,4,1,3],[2,3,4,5,1]],[1,3,5,2,4],[1,3,5,5,6],[1],[[[2,3,4,5,1]]],20,<<[],[1,1,0,0,1]>,[[2,0,0,0],[-4,0,0,0],[2,0,0,0],[0,0,0,0],[-2,0,0,0],[1,0,0,0]]>,[[[0,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-40218,442974,202464,-403150],[201230,60190,11984,268307],[185800,301136,476684,422496],[66084,417703,230376,88112],[456992,54230,442624,434560]],[[-233170,170420,-478824,-310894],[138584,267740,206747,184779],[391692,216948,522352,522256],[191230,32602,405817,429736],[458004,313716,466762,86384]],[[385180,-370370,467270,-185478],[403906,248905,300040,363779],[308696,366036,144776,236832],[490489,280372,81513,304460],[477090,220216,490986,111832]],[[-111790,-243024,-190910,-149054],[304855,471741,5517,231711],[162388,164456,429052,391280],[300773,317899,330870,226268],[180778,460414,172492,415800]]]>,<5,6,3,[[1,2,4,5,3],[2,1,5,4,3]],[[1,2,3,4,5],[2,1,5,4,3],[1,2,4,5,3]],[2,1,5,4,3],[1,3,4],[1],[[[1,2,4,5,3]]],20,<<[],[2,4,1]>,[[45606684034435,0],[19112457282375,0],[-20354805585220,0],[1,0]]>,[[[37267362325449,23722382559032],[0,0],[0,0]],[[37745263729946,-23722382559032],[0,0],[0,0]],[[-14899471281576,-12538437037095],[-1380410501332,-5458576832697],[2686079494820,1343039747410]],[[4,0],[1,0],[0,0]],[[35254276866804,12538437037095],[1380410501331,5458576832697],[-2686079494820,-1343039747410]]]>,<139,2,2,[[1,2,3,5,4]],[[1,2,3,4,5],[1,2,3,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,2,3,5,4]]],20,<[],[-3472988870055093556357492165306179802280167,2154020550996930470316509228634621682835506,1]>,[[1680715439300472168700287457033533065678188,0],[3577494898041869000290077375216675423262624,0],[-3104189786345410698673855603615586806105384,0],[-2154020550996930470316509228634621682835466,-1],[40,1]]>*] [x,x^2-x+35,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,139],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,139,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,139],[2,1,8],1,[1.000000000,0.7993992331,0.7726355302],<"notfaithful",0>,[5,5]>,<4,2^4*5^2*139^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[0],[-1]],[[1],[-1]]],[2,5,139],[8,9,10],1,[0,0,0],<"4.2e4t5e2t139e3.120.1.10t12.1",1>,[5,5]>,<4,2^4*5^2*139,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1]],[[1],[0],[-1]],[[1],[-3],[3],[-1]]],[2,5,139],[8,9,10],1,[1.000000000,0.5533096202,0.8738048632],<"4.2e4t5e2t139.120.1.5t5.2",1>,[5,5]>,<5,2^4*5^4*139^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-3],[3],[-1]]],[2,5,139],[8,9,10],1,[0,0,0],<"5.2e4t5e4t139e2.120.1.10t13.1",1>,[5,5]>,<5,2^4*5^4*139^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[-2],[1]]],[2,5,139],[8,8,9],1,[0,0,0],<"5.2e4t5e4t139e3.120.1.6t14.1",1>,[5,5]>,<6,2^4*5^4*139^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[1]],[[1],[2],[1]],[[1],[-3],[3],[-1]]],[2,5,139],[8,9,10],1,[0,0,0],<"6.2e4t5e4t139e3.120.1.20t35.1",1>,[5,5]>]
