x^2-x-106239 13*97*337 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-66],[67]] 1 [2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<13,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-106197,13,1]>,[[-6,-1],[7,1]]>,<97,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-103887,97,1]>,[[-48,-1],[49,1]]>,<337,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-77847,337,1]>,[[-168,-1],[169,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[13,97,337],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,13*97*337,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[13,97,337],[3,3,3],1,[1.000000000,1.217267113,0.8955601117],<"1.13_97_337.2t1.1",1>,[2,1]>]
x^4-2*x^3+64*x^2-63*x+41 5^3*761^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 7 [[71815062],[-4331348],[4331349],[-71815061]] 2 [5,4,1,4,3,4,5,1,5,1,3,5,1,4,5,4,1,3,5,3,4,1,4,2,4,2,4,5,3,5,4,3,5,2,1,3,4,4,5,4,2,1,3,4,4,3,3,4,4,3,5,2,3,3,4,5,3,2,5,3,5,4,4,2,4,4,3,4,5,3,4,3,4,4,3,5,2,5,2,3,1,2,2,5,3,5,1,5,3,5,4,3,5,3,3,5,3,3,4,3,5,4,4,3,1,5,4,5,2,1,5,5,5,3,3,3,5,4,4,3,1,4,5,5,3,3,3,1,5,4,3,5,1,5,1,2,4,4,5,3,2,3,4,5,2,2,5,4,2,4,5,3,4,4,4,3,1,1,4,1,5,4,4,2,4,4,2,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-63,2>,<x^2+124*x+3439,3>]*],[*[4],"CYC",0,5*]] [*<3,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[2,2,1]>,[[-697079688,1046312512],[697079689,-1046312512],[95126783,0],[-95126782,0]]>,<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[455,375,100,10,1]>,[[-2,-1,0,0],[16006037716733,634857489193,7983557238375,-6564920232800],[-16006037716732,-634857489193,-7983557238375,6564920232800],[3,1,0,0]]>,<761,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-1819051689398519709856432540877108930852264815019858131431,643656076923013052854174887124779741631083344024733186996,1]>,[[-643656076923013052854174887124779741631083344024733186574,-1],[422,1],[-421,-1],[643656076923013052854174887124779741631083344024733186575,1]]>*] [x,x^2-x-951,x^2-x-1,x^2-x-190,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,761],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5*761,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,761],[1,6,6],1,[1.000000000,1.145382038,0.9150116947],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,761],[4,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,761,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,761],[3,1,6],1,[1.000000000,1.604661394,1.218590414],<"notfaithful",0>,[4,3]>,<2,5^2*761,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]]],[3,5,761],[3,6,7],1,[1.000000000,1.144873216,0.9624718575],<"2.5e2_761.4t3.1",1>,[4,3]>]
x^4-17*x^2-396 -11*1873^2 2 1 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 71 x-1 6 [[-20341296360],[45015492796],[-45015492796],[20341296360]] 4 [4,2,3,4,4,4,5,4,3,5,3,3,5,4,3,3,3,5,2,1,4,5,5,2,3,5,1,5,4,3,5,4,3,4,4,5,1,3,4,5,1,3,2,5,4,3,4,2,4,3,4,4,5,3,3,4,3,4,4,5,4,4,5,1,3,3,3,4,4,5,3,5,3,5,3,3,3,3,3,5,2,1,4,3,4,3,2,5,5,1,3,4,1,4,3,4,3,2,4,5,5,5,5,5,5,1,1,5,1,5,4,5,2,1,3,1,2,3,1,4,3,4,5,1,2,4,3,1,2,5,4,4,3,3,4,5,1,5,3,4,5,4,1,4,3,3,4,5,1,2,5,3,3,4,3,3,5,3,4,4,1,4,5,3,2,3,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-102,2>,<x^2+57024,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[1,1,1]>,[[210,0],[-210,0],[-14103,-28206],[14103,28206]]>,<3,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,2,1]>,[[778530014,778530014],[-778530014,-778530014],[180554370,180554370],[-180554370,-180554370]]>,<11,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,7,1]>,[[-294969756395430192549,0],[0,0],[1,0]]>,[[[-206939458514103958576,229195866824210301493],[0,0]],[[206939458514103958576,-229195866824210301493],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<1873,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[10,1870,1]>,[[105402740479413960007919754445169397508955782153980183245860136382,-31522097197137699133207155825923376196285981093943728759619690289],[118135297978226979911288294276130998097752205329696052011889876641,37266959257160237798828555071522680601576951554208753265773051624],[1,0]]>,[[[-118135297978226979911288294276130998097752205329696052011889875654,-37266959257160237798828555071522680601576951554208753265773050409],[-1,0]],[[987,1215],[1,0]],[[-987,-1215],[-1,0]],[[118135297978226979911288294276130998097752205329696052011889875654,37266959257160237798828555071522680601576951554208753265773050409],[1,0]]]>*] [x,x^2-x-468,x^2-x+3,x^2-x+5151,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,11,1873],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,1873,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,1873],[1,1,1,6],1,[1.000000000,2.826468449,1.483484352],<"notfaithful",0>,[4,3]>,<1,11,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,11,1873],[4,1,6,1],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[4,3]>,<1,11*1873,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,11,1873],[3,1,6,6],1,[1.000000000,0.6128337472,0.8412763350],<"notfaithful",0>,[4,3]>,<2,11*1873,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[2,3,11,1873],[3,2,6,6],1,[1.000000000,0.7463371287,0.8586647810],<"2.11_1873.4t3.2",1>,[4,3]>]
x^4-x^3+951*x^2-951*x+181451 5^3*761^2 0 2 4 "C4" [[2,3,4,1],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<4,1,[2,3,4,1]>,<4,1,[4,1,2,3]>] [[1,1,1,1],[2,2],[4]] 41 x-1 5 [[-54425643],[50365728],[-25417722],[29477638]] 2 [4,4,1,3,2,4,4,2,3,2,2,4,1,4,4,4,2,2,4,2,4,2,4,2,3,1,4,4,1,3,3,2,4,2,2,2,3,4,4,4,2,1,2,4,3,1,2,4,3,1,3,2,2,2,3,3,1,1,4,2,3,4,3,1,4,3,2,3,4,1,4,1,3,4,1,3,2,4,1,1,2,1,1,3,1,3,2,4,2,3,3,1,4,2,1,3,1,2,4,2,4,3,4,1,1,4,3,3,2,1,4,3,4,1,2,2,3,3,4,1,1,4,4,3,2,2,1,2,4,4,1,3,1,4,1,2,4,3,4,1,1,2,4,4,2,2,3,3,2,4,4,2,4,3,3,2,2,2,3,1,4,4,3,1,3,4,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x+2854,3>,<x-951,4>]*]] [*<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,4,3],[1],[[[2,4,1,3]]],20,<[],[193055,6865,1035,15,1]>,[[34351624022824,4225491612709,-6630547400151,2594381113269],[19192594843564,-5982472246352,7584455772592,383851896871],[41823212774234,1756980633642,-953908372441,-2978233010140],[4,1,0,0]]>,<761,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[1848403203984549641280146713218830342567632681192984580212,-1540194498986836161875755596470788099400900550700263038149,1]>,[[1540194498986836161875755596470788099400900550700263038484,-1],[335,1],[998196505472923669893615199744311661194548134628375062225,1269123946469769096962836727369803154303303921930739503],[1704805410053714171508387501483238367823611114665241898158,-1269123946469769096962836727369803154303303921930739503]]>,<36671,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[9458191368710652726070024449743749864879577298413492239711121053570610432190237911215267429,-7748011850602703334046410552493354024509804001207943859130554992334409016418744670665718102,65080687619094463408141826125235591333639437748735864494517145968735693087994306699576,82819264166144104785930447912966383558533456201953845604037523376460224278073152612431]>*] [x,0,x^2-x-1,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,761,36671],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,5*761,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[5,761,36671],[5,5,1],0,[0.8506508084-0.5257311121*i,0.4127807280-0.4945991177*i,0.8947203495-0.3219128257*i],<"1.5_761.4t1.1",1>,[4,1]>,<1,5,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,761,36671],[5,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,1]>,<1,5*761,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[5,761,36671],[5,5,1],0,[0.8506508084+0.5257311121*i,0.4127807280+0.4945991177*i,0.8947203495+0.3219128257*i],<"1.5_761.4t1.1",2>,[4,1]>]
x^5-2*x^4-20*x^3-35*x^2-25*x-10 5^3*761^2 1 2 20 "F5" [[4,1,2,5,3],[3,1,5,4,2],[5,3,2,4,1]] [<1,1,[1,2,3,4,5]>,<2,5,[5,3,2,4,1]>,<4,5,[3,1,5,4,2]>,<4,5,[2,5,1,4,3]>,<5,4,[4,1,2,5,3]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 11 x^2+7*x+2 14 [[167150334527920,102395089645363],[-153233779046509,-100363125603050],[169558266591600,100363125603050],[-13609362666629,0],[-169865459406380,-102395089645363]] 2 [4,4,1,3,2,4,4,2,3,2,2,4,5,4,4,4,2,2,4,2,4,2,4,2,3,5,4,4,1,3,3,2,4,2,2,2,3,4,4,4,2,5,2,4,3,5,2,4,3,5,3,2,2,2,3,3,5,5,4,2,3,4,3,5,4,3,2,3,4,5,4,5,3,4,5,3,2,4,5,1,2,1,1,3,5,3,2,4,2,3,3,5,4,2,5,3,5,2,4,2,4,3,4,5,1,4,3,3,2,5,4,3,4,5,2,2,3,3,4,5,5,4,4,3,2,2,5,2,4,4,5,3,5,4,1,2,4,3,4,5,5,2,4,4,2,2,3,3,2,4,4,2,4,3,3,2,2,2,3,5,4,4,3,5,3,4,5,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5-88*x^4-29420*x^3-1577905*x^2-36831855*x-1339245740,3>,<x^5-88*x^4-29420*x^3-1498000*x^2-16456080*x-414859040,4>]*],[*[5],"CYC",0,5*]] [*<5,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,2,4,3],[1],[[[1,3,5,2,4]]],20,<[],[5679194597480,17176373572490,-16873739323175,33423793213185,1]>,[[33423793213187,0,0,0],[-29354404676235,6212540510504,-1082679403581,5731632393744],[3691210479800,-7142078057832,-4745693873483,9401242270889],[-7760599016750,929537547327,5828373277064,3940611663492],[0,1,0,0]]>,<761,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-74334383859926251451518346888207279943760815733922085374,-1656820057858452581640177375675157936823304098227240561966,1]>,[[1149853694835604738033244568918868967242582417665838956596,0],[1656820057858452581640177375675157936823304098227240562442,-1],[476,1],[-1091779970836728599062968765751712670333051991336636937159,-378507055892272719204510747942888633356314937044883742],[-1714893781857328720610453178842314233732834524556442582353,378507055892272719204510747942888633356314937044883742]]>*] [x,x^2-x-1,x^4-x^3+951*x^2-951*x+181451,x^4-x^3+951*x^2-951*x+181451,0] [1,2,4,2,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,13,43,761],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,13,43,761],[3,3,6,3,3,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[5,3]>,<1,5*761,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,3,5,13,43,761],[4,4,6,4,4,6],0,[0.8506508084+0.5257311121*i,0.4127807280+0.4945991177*i,0.8947203495+0.3219128257*i],<"notfaithful",0>,[5,3]>,<1,5*761,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,3,5,13,43,761],[4,4,6,4,4,6],0,[0.8506508084-0.5257311121*i,0.4127807280-0.4945991177*i,0.8947203495-0.3219128257*i],<"notfaithful",0>,[5,3]>,<4,5^3*761^2,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[-2],[1]]],[2,3,5,13,43,761],[3,3,6,3,3,7],1,[0,0,0],<"4.5e3_761e2.5t3.1",1>,[5,3]>]
x^6-x^5-16*x^4+17*x^3+39*x^2-30*x-19 5^3*761^2 6 0 12 "D12" [[1,3,2,5,4,6],[2,1,5,6,3,4],[6,5,4,3,2,1]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,4,5,2,3,1]>,<2,3,[6,5,4,3,2,1]>,<2,3,[1,3,2,5,4,6]>,<3,2,[4,3,6,5,1,2]>,<6,2,[3,1,4,6,2,5]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 11 x^2+7*x+2 9 [[478791887,0],[1047293166,823526800],[-1499052,-823526800],[356068856,823526800],[-692723362,-823526800],[1170016197,0]] 1 [6,3,5,3,4,3,6,1,2,5,4,6,5,3,6,3,5,4,6,4,3,5,3,5,3,5,3,6,4,6,3,4,2,1,5,4,3,3,6,3,5,5,4,3,3,4,4,3,3,4,6,5,4,4,3,2,4,5,2,4,6,3,3,5,3,3,4,3,2,4,3,4,3,3,4,6,5,6,5,4,5,5,5,6,4,2,1,6,4,6,3,4,6,4,4,6,4,4,3,4,2,3,3,4,5,6,3,2,5,5,6,2,2,4,4,4,2,3,3,4,1,3,2,2,4,4,4,5,2,3,4,2,5,2,1,5,3,3,6,4,5,4,3,2,5,1,6,3,1,3,2,4,3,3,3,4,5,5,3,5,6,3,3,1,3,3,1,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+7,2>,<x^3-9*x^2-809*x+1209,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<3,2,1,[[3,4,1,2,6,5]],[[1,2,3,4,5,6],[3,4,1,2,6,5]],[3,4,1,2,6,5],[1,3],[1],[[]],20,<[],[2,2,1]>,[[275370360,-1711900066],[645915044,-609720706],[212386091,1711900066],[-1621427945,609720706],[269566036,-555442923],[218190415,555442923]]>,<5,6,2,[[2,1,4,3,6,5],[5,6,1,2,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,1,2,3,4],[3,4,5,6,1,2],[6,5,2,1,4,3],[4,3,6,5,2,1]],[5,6,1,2,3,4],[1,2,5,5,6,6],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,3,0,1]>,[[5310434258355,-5165247375500,9420850150800],[-7290806376730,71227627310,-19539975128465],[1,0,0]]>,[[[7290806376734,-71227627307,19539975128469],[-1,0,0]],[[4,3,4],[1,0,0]],[[40680409073846,45189685372222,36234776477025],[-1,0,0]],[[33389602697116,45260912999532,16694801348560],[1,0,0]],[[10648709934828,-45225299185880,21218926907516],[-1,0,0]],[[3357903558098,-45154071558570,1678951779051],[1,0,0]]]>,<73,2,1,[[4,3,2,1,6,5]],[[1,2,3,4,5,6],[4,3,2,1,6,5]],[4,3,2,1,6,5],[1,3],[1],[[]],20,<[],[5,70,1]>,[[1023197208495339943337518559872908483,-6250881202395197368657984707424403849],[-9082298159912289378351657874012058088,-5430751026425084115185747610906984283],[1678518247139752873434166740148697702,5430751026425084115185747610906984283],[-4685225155085459224063361699612594911,6250881202395197368657984707424403849],[49707112201092089790335536394121523,13214068481064503016396160565839621],[-116253526454168643663115207017402336,-13214068481064503016396160565839621]]>,<761,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,2,4,3,6,5]]],20,<[],[404643519588342766863574820256993841437625467311881623880,-1782844778311732567374529495823507100308554540049483515095,1]>,[[2082964553754706953553720310160804858326863407837487365746,0],[920157137214905274027473205404042928709604709244133444182,0],[1782844778311732567374529495823507100308554540049483515648,-1],[553,1],[620037361771930887848282391066745170691295841456129594084,-1],[-1162807416539801679526247104756761929617258698593353921011,1]]>*] [x,x^2-x-190,x^2-x-1,x^2-x-951,x^3-x^2-6*x-1,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,73,761],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,761,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[3,5,73,761],[3,1,3,7],1,[1.000000000,1.604661394,1.218590414],<"notfaithful",0>,[6,3]>,<1,5,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,73,761],[2,7,2,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[6,3]>,<1,5*761,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,73,761],[1,7,1,7],1,[1.000000000,1.145382038,0.9150116947],<"notfaithful",0>,[6,3]>,<2,761,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[3,5,73,761],[3,5,3,7],1,[1.000000000,0.5113102760,0.7424077354],<"notfaithful",0>,[6,3]>,<2,5^2*761,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[3,5,73,761],[3,7,3,8],1,[1.000000000,1.564678023,1.251996405],<"2.5e2_761.6t3.2",1>,[6,3]>]
